dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.379980,17.850000,0.000030,0.005999,0.599910,59.990976,6.283172
0.010000,17.380122,17.850000,0.000172,0.014192,0.819296,21.938628,0.000027
0.010000,17.380529,17.850000,0.000578,0.040640,2.644804,182.550843,0.000118
0.010000,17.381251,17.850000,0.001301,0.072251,3.161066,51.626136,0.000280
0.010000,17.382380,17.850001,0.002430,0.112896,4.064536,90.347048,0.000533
0.010000,17.384006,17.850002,0.004056,0.162580,4.968353,90.381714,0.000897
0.010000,17.386219,17.850004,0.006269,0.221306,5.872675,90.432203,0.001392
0.010000,17.389110,17.850009,0.009159,0.289083,6.777706,90.503056,0.002040
0.010000,17.392769,17.850018,0.012819,0.365920,7.683662,90.595640,0.002859
0.010000,17.397287,17.850033,0.017337,0.451828,8.590789,90.712692,0.003872
0.010000,17.402710,17.850058,0.022760,0.542302,9.047392,45.660259,0.005088
0.010000,17.409039,17.850094,0.029088,0.632834,9.053170,0.577850,0.006507
0.010000,17.416273,17.850147,0.036323,0.723432,9.059806,0.663570,0.008130
0.010000,17.424413,17.850221,0.044464,0.814104,9.067242,0.743564,0.009958
0.010000,17.433461,17.850320,0.053512,0.904858,9.075425,0.818272,0.011991
0.010000,17.443418,17.850451,0.063469,0.995701,9.084282,0.885789,0.014230
0.010000,17.454283,17.850619,0.074336,1.086639,9.093737,0.945501,0.016675
0.010000,17.466058,17.850831,0.086112,1.177676,9.103712,0.997498,0.019327
0.010000,17.478743,17.851094,0.098801,1.268817,9.114098,1.038532,0.022186
0.010000,17.492340,17.851417,0.112401,1.360065,9.124805,1.070693,0.025254
0.010000,17.506849,17.851807,0.126915,1.451422,9.135701,1.089596,0.028532
0.010000,17.522271,17.852274,0.142344,1.542888,9.146673,1.097278,0.032018
0.010000,17.538606,17.852827,0.158689,1.634464,9.157574,1.090039,0.035716
0.010000,17.555855,17.853477,0.175950,1.726147,9.168262,1.068850,0.039625
0.010000,17.574019,17.854235,0.194130,1.817932,9.178566,1.030360,0.043746
0.010000,17.593097,17.855112,0.213228,1.909816,9.188318,0.975241,0.048079
0.010000,17.613089,17.856119,0.233246,2.001789,9.197330,0.901176,0.052626
0.010000,17.633996,17.857270,0.254184,2.093843,9.205397,0.806698,0.057386
0.010000,17.655816,17.858578,0.276044,2.185966,9.212311,0.691442,0.062360
0.010000,17.678550,17.860057,0.298825,2.278144,9.217838,0.552621,0.067550
0.010000,17.702195,17.861721,0.322529,2.370362,9.221739,0.390114,0.072954
0.010000,17.726750,17.863585,0.347155,2.462599,9.223759,0.202056,0.078573
0.010000,17.752214,17.865664,0.372703,2.554836,9.223630,-0.012914,0.084406
0.010000,17.778583,17.867976,0.399174,2.647046,9.221067,-0.256286,0.090455
0.010000,17.805855,17.870536,0.426566,2.739204,9.215783,-0.528463,0.096718
0.010000,17.834027,17.873361,0.454879,2.831279,9.207461,-0.832188,0.103196
