dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.380000,19.350000,0.000030,0.005999,0.599910,59.990976,6.283172
0.010000,17.380081,19.350000,0.000150,0.017997,1.199820,59.990976,0.000027
0.010000,17.380351,19.350000,0.000420,0.035995,1.799729,59.990976,0.000118
0.010000,17.380831,19.350000,0.000900,0.059991,2.399639,59.990976,0.000280
0.010000,17.381581,19.350000,0.001650,0.089986,2.999549,59.990976,0.000533
0.010000,17.382661,19.350001,0.002730,0.125981,3.599459,59.990976,0.000897
0.010000,17.384131,19.350003,0.004199,0.167975,4.199368,59.990976,0.001392
0.010000,17.386050,19.350006,0.006119,0.215968,4.799278,59.990976,0.002040
0.010000,17.388480,19.350012,0.008549,0.269959,5.399188,59.990976,0.002859
0.010000,17.391480,19.350022,0.011548,0.329950,5.999098,59.990976,0.003872
0.010000,17.395079,19.350038,0.015148,0.389941,5.999098,0.000000,0.005088
0.010000,17.399278,19.350063,0.019347,0.449932,5.999098,0.000000,0.006507
0.010000,17.404077,19.350098,0.024146,0.509923,5.999098,-0.000000,0.008130
0.010000,17.409476,19.350147,0.029546,0.569914,5.999098,-0.000000,0.009958
0.010000,17.415475,19.350212,0.035545,0.629905,5.999098,0.000000,0.011991
0.010000,17.422074,19.350299,0.042144,0.689896,5.999098,0.000000,0.014230
0.010000,17.429272,19.350410,0.049343,0.749887,5.999098,-0.000000,0.016675
0.010000,17.437069,19.350551,0.057141,0.809878,5.999098,0.000000,0.019327
0.010000,17.445466,19.350725,0.065540,0.869869,5.999098,-0.000000,0.022186
0.010000,17.454462,19.350938,0.074539,0.929860,5.999098,0.000000,0.025254
0.010000,17.464057,19.351196,0.084137,0.989851,5.999098,-0.000000,0.028532
0.010000,17.474251,19.351505,0.094336,1.049842,5.999098,0.000000,0.032018
0.010000,17.485043,19.351871,0.105134,1.109833,5.999098,-0.000000,0.035716
0.010000,17.496433,19.352300,0.116532,1.169824,5.999098,0.000000,0.039625
0.010000,17.508421,19.352800,0.128531,1.229815,5.999098,-0.000000,0.043746
0.010000,17.521006,19.353378,0.141129,1.289806,5.999098,0.000000,0.048079
0.010000,17.534187,19.354043,0.154327,1.349797,5.999098,0.000000,0.052626
0.010000,17.547964,19.354801,0.168125,1.409788,5.999098,-0.000000,0.057386
0.010000,17.562336,19.355663,0.182523,1.469779,5.999098,0.000000,0.062360
0.010000,17.577302,19.356636,0.197520,1.529770,5.999098,0.000000,0.067550
0.010000,17.592862,19.357731,0.213118,1.589761,5.999098,-0.000000,0.072954
0.010000,17.609013,19.358957,0.229316,1.649752,5.999098,0.000000,0.078573
0.010000,17.625754,19.360324,0.246113,1.709743,5.999098,-0.000000,0.084406
0.010000,17.643085,19.361843,0.263510,1.769734,5.999098,0.000000,0.090455
0.010000,17.661004,19.363525,0.281508,1.829725,5.999098,0.000000,0.096718
0.010000,17.679508,19.365381,0.300105,1.889716,5.999098,0.000000,0.103196
0.010000,17.698596,19.367422,0.319302,1.949707,5.999098,-0.000000,0.109886
0.010000,17.718266,19.369661,0.339099,2.009698,5.999098,0.000000,0.116788
0.010000,17.738516,19.372110,0.359496,2.069689,5.999098,0.000000,0.123901
