dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.588000,8.299998,0.000030,0.005970,0.597015,59.701493,1.570799
0.010000,18.588000,8.300033,0.000064,0.003445,-0.252554,-84.956921,1.570795
0.010000,18.588000,8.300307,0.000339,0.027448,2.400324,265.287868,1.570787
0.010000,18.588000,8.300795,0.000827,0.048796,2.134826,-26.549799,1.570773
0.010000,18.588000,8.301557,0.001589,0.076244,2.744765,60.993865,1.570751
0.010000,18.588000,8.302625,0.002657,0.106741,3.049717,30.495209,1.570720
0.010000,18.588000,8.303997,0.004029,0.137238,3.049684,-0.003353,1.570681
0.010000,18.588000,8.305675,0.005706,0.167734,3.049641,-0.004309,1.570632
0.010000,18.588001,8.307657,0.007689,0.198230,3.049588,-0.005264,1.570575
0.010000,18.588001,8.309944,0.009976,0.228725,3.049526,-0.006222,1.570508
0.010000,18.588002,8.312536,0.012568,0.259220,3.049454,-0.007179,1.570433
0.010000,18.588003,8.315433,0.015465,0.289714,3.049372,-0.008145,1.570350
0.010000,18.588005,8.318636,0.018667,0.320206,3.049281,-0.009096,1.570257
0.010000,18.588007,8.322142,0.022174,0.350698,3.049181,-0.010059,1.570156
0.010000,18.588010,8.325954,0.025986,0.381189,3.049071,-0.011018,1.570046
0.010000,18.588013,8.330071,0.030103,0.411678,3.048951,-0.011979,1.569927
0.010000,18.588017,8.334493,0.034525,0.442167,3.048822,-0.012938,1.569800
0.010000,18.588022,8.339219,0.039251,0.472653,3.048682,-0.013905,1.569663
0.010000,18.588028,8.344251,0.044282,0.503139,3.048534,-0.014858,1.569519
0.010000,18.588036,8.349587,0.049619,0.533623,3.048376,-0.015826,1.569365
0.010000,18.588044,8.355228,0.055260,0.564105,3.048208,-0.016796,1.569203
0.010000,18.588054,8.361174,0.061206,0.594585,3.048030,-0.017753,1.569032
0.010000,18.588066,8.367424,0.067456,0.625063,3.047843,-0.018715,1.568853
0.010000,18.588079,8.373980,0.074012,0.655540,3.047646,-0.019691,1.568665
0.010000,18.588094,8.380840,0.080872,0.686014,3.047440,-0.020649,1.568469
0.010000,18.588112,8.388005,0.088037,0.716486,3.047223,-0.021624,1.568264
0.010000,18.588131,8.395474,0.095506,0.746956,3.046998,-0.022587,1.568051
0.010000,18.588154,8.403249,0.103280,0.777424,3.046762,-0.023564,1.567829
0.010000,18.588179,8.411327,0.111359,0.807889,3.046517,-0.024526,1.567599
0.010000,18.588206,8.419711,0.119743,0.838352,3.046262,-0.025509,1.567360
0.010000,18.588237,8.428399,0.128431,0.868812,3.045997,-0.026476,1.567114
0.010000,18.588272,8.437392,0.137424,0.899269,3.045722,-0.027448,1.566859
0.010000,18.588309,8.446689,0.146721,0.929723,3.045438,-0.028425,1.566595
0.010000,18.588351,8.456290,0.156323,0.960175,3.045144,-0.029407,1.566324
0.010000,18.588397,8.466197,0.166229,0.990623,3.044840,-0.030379,1.566044
0.010000,18.588447,8.476407,0.176440,1.021069,3.044527,-0.031358,1.565756
0.010000,18.588501,8.486922,0.186955,1.051511,3.044203,-0.032342,1.565460
0.010000,18.588561,8.497741,0.197774,1.081949,3.043870,-0.033318,1.565156
0.010000,18.588625,8.508865,0.208898,1.112385,3.043527,-0.034307,1.564844
0.010000,18.588695,8.520293,0.220326,1.142816,3.043174,-0.035287,1.564525
0.010000,18.588770,8.532025,0.232059,1.173244,3.042811,-0.036272,1.564197
0.010000,18.588852,8.544062,0.244095,1.203669,3.042439,-0.037262,1.563861
0.010000,18.588940,8.556402,0.256436,1.234089,3.042056,-0.038245,1.563518
0.010000,18.589034,8.569047,0.269081,1.264506,3.041664,-0.039238,1.563167
0.010000,18.589135,8.581996,0.282030,1.294919,3.041262,-0.040229,1.562808
0.010000,18.589243,8.595249,0.295284,1.325327,3.040849,-0.041217,1.562442
0.010000,18.589359,8.608805,0.308841,1.355731,3.040427,-0.042216,1.562068
0.010000,18.589483,8.622666,0.322702,1.386131,3.039995,-0.043205,1.561686
0.010000,18.589614,8.636831,0.336868,1.416527,3.039553,-0.044205,1.561297
0.010000,18.589755,8.651299,0.351337,1.446918,3.039101,-0.045199,1.560901
0.010000,18.589904,8.666072,0.366110,1.477304,3.038639,-0.046203,1.560497
0.010000,18.590062,8.681148,0.381187,1.507686,3.038167,-0.047194,1.560087
0.010000,18.590230,8.696527,0.396567,1.538063,3.037685,-0.048203,1.559669
0.010000,18.590408,8.712211,0.412252,1.568435,3.037193,-0.049206,1.559243
0.010000,18.590596,8.728198,0.428240,1.598802,3.036691,-0.050208,1.558811
0.010000,18.590795,8.744488,0.444531,1.629163,3.036179,-0.051208,1.558372
0.010000,18.591005,8.761082,0.461127,1.659520,3.035657,-0.052223,1.557926
0.010000,18.591226,8.777979,0.478025,1.689871,3.035124,-0.053228,1.557473
0.010000,18.591459,8.795180,0.495227,1.720217,3.034582,-0.054232,1.557013
0.010000,18.591705,8.812684,0.512733,1.750557,3.034030,-0.055250,1.556547
0.010000,18.591963,8.830491,0.530542,1.780892,3.033467,-0.056256,1.556074
0.010000,18.592234,8.848601,0.548654,1.811221,3.032894,-0.057268,1.555594
0.010000,18.592518,8.867014,0.567070,1.841544,3.032312,-0.058288,1.555108
0.010000,18.592816,8.885730,0.585788,1.871861,3.031719,-0.059297,1.554616
