dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.052000,8.300002,0.000030,0.005970,0.597015,59.701493,1.570799
0.010000,20.052000,8.300031,0.000059,0.002927,-0.304305,-90.132009,1.570795
0.010000,20.052000,8.300294,0.000322,0.026283,2.335640,263.994471,1.570787
0.010000,20.052000,8.300761,0.000789,0.046726,2.044278,-29.136149,1.570773
0.010000,20.052000,8.301491,0.001519,0.073010,2.628369,58.409116,1.570751
0.010000,20.052000,8.302514,0.002541,0.102214,2.920432,29.206296,1.570720
0.010000,20.052000,8.303828,0.003856,0.131419,2.920466,0.003347,1.570681
0.010000,20.052000,8.305434,0.005462,0.160624,2.920509,0.004306,1.570632
0.010000,20.052001,8.307332,0.007360,0.189830,2.920561,0.005266,1.570575
0.010000,20.052001,8.309523,0.009551,0.219036,2.920624,0.006224,1.570508
0.010000,20.052002,8.312005,0.012033,0.248243,2.920695,0.007183,1.570433
0.010000,20.052003,8.314780,0.014807,0.277451,2.920777,0.008135,1.570350
0.010000,20.052005,8.317846,0.017874,0.306659,2.920868,0.009101,1.570257
0.010000,20.052007,8.321205,0.021233,0.335869,2.920968,0.010057,1.570156
0.010000,20.052009,8.324856,0.024884,0.365080,2.921079,0.011018,1.570046
0.010000,20.052013,8.328799,0.028826,0.394292,2.921198,0.011977,1.569927
0.010000,20.052016,8.333034,0.033062,0.423505,2.921328,0.012941,1.569800
0.010000,20.052021,8.337561,0.037589,0.452720,2.921467,0.013897,1.569663
0.010000,20.052027,8.342380,0.042408,0.481936,2.921615,0.014868,1.569519
0.010000,20.052034,8.347492,0.047520,0.511154,2.921774,0.015826,1.569365
0.010000,20.052042,8.352895,0.052923,0.540373,2.921941,0.016784,1.569203
0.010000,20.052052,8.358591,0.058619,0.569594,2.922119,0.017755,1.569032
0.010000,20.052063,8.364579,0.064607,0.598817,2.922306,0.018724,1.568853
0.010000,20.052076,8.370860,0.070888,0.628042,2.922503,0.019681,1.568665
0.010000,20.052090,8.377433,0.077461,0.657269,2.922710,0.020657,1.568469
0.010000,20.052107,8.384298,0.084326,0.686499,2.922926,0.021618,1.568264
0.010000,20.052126,8.391455,0.091483,0.715730,2.923152,0.022592,1.568051
0.010000,20.052147,8.398904,0.098933,0.744964,2.923387,0.023556,1.567829
0.010000,20.052171,8.406646,0.106675,0.774200,2.923633,0.024536,1.567599
0.010000,20.052198,8.414681,0.114709,0.803439,2.923888,0.025498,1.567360
0.010000,20.052227,8.423007,0.123036,0.832681,2.924152,0.026477,1.567114
0.010000,20.052260,8.431627,0.131655,0.861925,2.924427,0.027453,1.566859
0.010000,20.052296,8.440538,0.140567,0.891172,2.924711,0.028426,1.566595
0.010000,20.052336,8.449742,0.149771,0.920422,2.925005,0.029398,1.566324
0.010000,20.052380,8.459239,0.159268,0.949675,2.925309,0.030382,1.566044
0.010000,20.052428,8.469028,0.169057,0.978931,2.925623,0.031360,1.565756
