dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,19.320000,8.300000,0.000030,0.005970,0.597015,59.701493,1.570799
0.010000,19.320000,8.300032,0.000149,0.017910,1.194030,59.701493,1.570795
0.010000,19.320000,8.300301,0.000418,0.035821,1.791045,59.701493,1.570787
0.010000,19.320000,8.300778,0.000896,0.059701,2.388060,59.701493,1.570773
0.010000,19.320000,8.301524,0.001642,0.089552,2.985075,59.701493,1.570751
0.010000,19.320000,8.302569,0.002687,0.119403,2.985075,-0.000000,1.570720
0.010000,19.320000,8.303912,0.004030,0.149254,2.985075,0.000000,1.570681
0.010000,19.320000,8.305554,0.005672,0.179104,2.985075,-0.000000,1.570632
0.010000,19.320001,8.307495,0.007612,0.208955,2.985075,-0.000000,1.570575
0.010000,19.320001,8.309733,0.009851,0.238806,2.985075,0.000000,1.570508
0.010000,19.320002,8.312271,0.012388,0.268657,2.985075,0.000000,1.570433
0.010000,19.320003,8.315106,0.015224,0.298507,2.985075,0.000000,1.570350
0.010000,19.320005,8.318241,0.018358,0.328358,2.985075,-0.000000,1.570257
0.010000,19.320007,8.321674,0.021791,0.358209,2.985075,0.000000,1.570156
0.010000,19.320010,8.325405,0.025522,0.388060,2.985075,-0.000000,1.570046
0.010000,19.320013,8.329435,0.029552,0.417910,2.985075,0.000000,1.569927
0.010000,19.320017,8.333763,0.033881,0.447761,2.985075,0.000000,1.569800
0.010000,19.320022,8.338390,0.038507,0.477612,2.985075,0.000000,1.569663
0.010000,19.320028,8.343315,0.043433,0.507463,2.985075,0.000000,1.569519
0.010000,19.320035,8.348539,0.048657,0.537313,2.985075,-0.000000,1.569365
0.010000,19.320043,8.354062,0.054179,0.567164,2.985075,0.000000,1.569203
0.010000,19.320053,8.359883,0.060000,0.597015,2.985075,-0.000000,1.569032
0.010000,19.320064,8.366002,0.066119,0.626866,2.985075,0.000000,1.568853
0.010000,19.320077,8.372420,0.072537,0.656716,2.985075,0.000000,1.568665
0.010000,19.320092,8.379136,0.079254,0.686567,2.985075,0.000000,1.568469
0.010000,19.320109,8.386151,0.086269,0.716418,2.985075,0.000000,1.568264
