dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000007,24.166500,0.000030,0.006000,0.600000,60.000000,6.283179
0.010000,0.000000,24.166500,0.000037,0.000721,-0.527929,-112.792876,6.283185
0.010000,0.000251,24.166500,0.000288,0.025112,2.439106,296.703427,0.000014
0.010000,0.000702,24.166500,0.000739,0.045117,2.000556,-43.854902,0.000038
0.010000,0.001407,24.166500,0.001444,0.070496,2.537881,53.732420,0.000077
0.010000,0.002423,24.166500,0.002460,0.101515,3.101896,56.401488,0.000133
0.010000,0.003804,24.166500,0.003841,0.138175,3.665947,56.405180,0.000208
0.010000,0.005609,24.166501,0.005646,0.180475,4.230049,56.410203,0.000307
0.010000,0.007893,24.166502,0.007930,0.228417,4.794220,56.417034,0.000432
0.010000,0.010713,24.166503,0.010750,0.282002,5.358477,56.425700,0.000586
0.010000,0.014126,24.166505,0.014163,0.341230,5.922842,56.436495,0.000773
0.010000,0.018187,24.166509,0.018224,0.406104,6.487340,56.449800,0.000995
0.010000,0.022953,24.166514,0.022990,0.476624,7.051997,56.465710,0.001255
0.010000,0.028481,24.166522,0.028518,0.552792,7.616843,56.484581,0.001557
0.010000,0.034827,24.166533,0.034864,0.634611,8.181908,56.506514,0.001904
0.010000,0.042048,24.166548,0.042085,0.722084,8.747228,56.532010,0.002297
0.010000,0.050200,24.166569,0.050237,0.815212,9.312840,56.561188,0.002741
0.010000,0.059340,24.166596,0.059377,0.914000,9.878782,56.594255,0.003238
0.010000,0.069524,24.166632,0.069561,1.018451,10.445099,56.631659,0.003792
0.010000,0.080810,24.166678,0.080847,1.128569,11.011835,56.673597,0.004404
0.010000,0.093253,24.166737,0.093291,1.244360,11.579039,56.720396,0.005078
0.010000,0.106911,24.166812,0.106949,1.365827,12.146762,56.772287,0.005817
0.010000,0.121841,24.166905,0.121879,1.492978,12.715059,56.829716,0.006623
0.010000,0.138099,24.167019,0.138137,1.625818,13.283988,56.892887,0.007499
0.010000,0.155742,24.167160,0.155780,1.764354,13.853610,56.962182,0.008447
0.010000,0.174798,24.167331,0.174838,1.905770,14.141633,28.802313,0.009470
0.010000,0.195270,24.167536,0.195311,2.047249,14.147902,0.626978,0.010565
0.010000,0.217157,24.167780,0.217199,2.188796,14.154667,0.676406,0.011732
0.010000,0.240459,24.168068,0.240503,2.330415,14.161932,0.726520,0.012972
0.010000,0.265178,24.168405,0.265224,2.472112,14.169704,0.777211,0.014282
0.010000,0.291314,24.168796,0.291363,2.613892,14.177990,0.828609,0.015664
0.010000,0.318868,24.169248,0.318920,2.755760,14.186796,0.880652,0.017114
0.010000,0.347840,24.169765,0.347898,2.897721,14.196130,0.933394,0.018634
0.010000,0.378232,24.170356,0.378295,3.039781,14.205999,0.986848,0.020222
0.010000,0.410045,24.171026,0.410115,3.181945,14.216409,1.041025,0.021877
0.010000,0.443278,24.171782,0.443357,3.324219,14.227369,1.095960,0.023598
0.010000,0.477934,24.172631,0.478023,3.466608,14.238885,1.151582,0.025385
0.010000,0.514013,24.173580,0.514114,3.609118,14.250964,1.207974,0.027235
0.010000,0.551515,24.174638,0.551632,3.751754,14.263615,1.265055,0.029149
0.010000,0.590443,24.175811,0.590577,3.894522,14.276844,1.322905,0.031125
0.010000,0.630796,24.177109,0.630951,4.037429,14.290658,1.381438,0.033162
0.010000,0.672577,24.178539,0.672756,4.180479,14.305065,1.440658,0.035258
0.010000,0.715785,24.180109,0.715993,4.323680,14.320070,1.500559,0.037412
0.010000,0.760422,24.181830,0.760663,4.467037,14.335681,1.561107,0.039624
0.010000,0.806489,24.183708,0.806769,4.610556,14.351904,1.622268,0.041891
0.010000,0.853988,24.185754,0.854311,4.754243,14.368744,1.684021,0.044212
0.010000,0.902918,24.187977,0.903292,4.898105,14.386208,1.746324,0.046585
0.010000,0.953282,24.190387,0.953714,5.042148,14.404299,1.809167,0.049010
0.010000,1.005080,24.192992,1.005578,5.186379,14.423023,1.872384,0.051484
0.010000,1.058314,24.195802,1.058886,5.330802,14.442384,1.936130,0.054007
0.010000,1.112985,24.198828,1.113640,5.475426,14.462386,2.000165,0.056575
0.010000,1.169093,24.202080,1.169842,5.620257,14.483032,2.064554,0.059187
0.010000,1.226641,24.205566,1.227495,5.765300,14.504323,2.129164,0.061842
0.010000,1.285629,24.209299,1.286601,5.910563,14.526263,2.194020,0.064538
0.010000,1.346058,24.213287,1.347162,6.056051,14.548853,2.258935,0.067272
