dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,23.000000,0.000029,0.005714,0.571429,57.142857,0.000000
0.010000,0.000000,23.000000,0.000143,0.017143,1.142857,57.142857,0.000000
0.010000,0.000220,23.000000,0.000400,0.034286,1.714286,57.142857,0.000000
0.010000,0.000677,23.000000,0.000857,0.057143,2.285714,57.142857,0.000000
0.010000,0.001391,23.000000,0.001571,0.085714,2.857143,57.142857,0.000000
0.010000,0.002420,23.000000,0.002600,0.120000,3.428571,57.142857,0.000000
0.010000,0.003820,23.000000,0.004000,0.160000,4.000000,57.142857,0.000000
0.010000,0.005620,23.000000,0.005800,0.200000,4.000000,-0.000000,0.000000
0.010000,0.007820,23.000000,0.008000,0.240000,4.000000,0.000000,0.000000
0.010000,0.010420,23.000000,0.010600,0.280000,4.000000,-0.000000,0.000000
0.010000,0.013420,23.000000,0.013600,0.320000,4.000000,0.000000,0.000000
0.010000,0.016820,23.000000,0.017000,0.360000,4.000000,-0.000000,0.000000
0.010000,0.020620,23.000000,0.020800,0.400000,4.000000,0.000000,0.000000
0.010000,0.024820,23.000000,0.025000,0.440000,4.000000,0.000000,0.000000
0.010000,0.029420,23.000000,0.029600,0.480000,4.000000,-0.000000,0.000000
0.010000,0.034420,23.000000,0.034600,0.520000,4.000000,0.000000,0.000000
0.010000,0.039820,23.000000,0.040000,0.560000,4.000000,-0.000000,0.000000
0.010000,0.045620,23.000000,0.045800,0.600000,4.000000,0.000000,0.000000
0.010000,0.051820,23.000000,0.052000,0.640000,4.000000,0.000000,0.000000
0.010000,0.058420,23.000000,0.058600,0.680000,4.000000,-0.000000,0.000000
0.010000,0.065420,23.000000,0.065600,0.720000,4.000000,0.000000,0.000000
0.010000,0.072820,23.000000,0.073000,0.760000,4.000000,0.000000,0.000000
0.010000,0.080620,23.000000,0.080800,0.800000,4.000000,-0.000000,0.000000
0.010000,0.088820,23.000000,0.089000,0.840000,4.000000,0.000000,0.000000
0.010000,0.097420,23.000000,0.097600,0.880000,4.000000,0.000000,0.000000
0.010000,0.106420,23.000000,0.106600,0.920000,4.000000,0.000000,0.000000
0.010000,0.115820,23.000000,0.116000,0.960000,4.000000,-0.000000,0.000000
0.010000,0.125620,23.000000,0.125800,1.000000,4.000000,0.000000,0.000000
0.010000,0.135820,23.000000,0.136000,1.040000,4.000000,0.000000,0.000000
0.010000,0.146420,23.000000,0.146600,1.080000,4.000000,-0.000000,0.000000
0.010000,0.157420,23.000000,0.157600,1.120000,4.000000,0.000000,0.000000
0.010000,0.168820,23.000000,0.169000,1.160000,4.000000,0.000000,0.000000
0.010000,0.180620,23.000000,0.180800,1.200000,4.000000,0.000000,0.000000
0.010000,0.192820,23.000000,0.193000,1.240000,4.000000,0.000000,0.000000
0.010000,0.205420,23.000000,0.205600,1.280000,4.000000,0.000000,0.000000
0.010000,0.218420,23.000000,0.218600,1.320000,4.000000,0.000000,0.000000
0.010000,0.231820,23.000000,0.232000,1.360000,4.000000,-0.000000,0.000000
0.010000,0.245620,23.000000,0.245800,1.400000,4.000000,0.000000,0.000000
0.010000,0.259820,23.000000,0.260000,1.440000,4.000000,-0.000000,0.000000
0.010000,0.274420,23.000000,0.274600,1.480000,4.000000,0.000000,0.000000
0.010000,0.289420,23.000000,0.289600,1.520000,4.000000,0.000000,0.000000
0.010000,0.304820,23.000000,0.305000,1.560000,4.000000,0.000000,0.000000
0.010000,0.320620,23.000000,0.320800,1.600000,4.000000,-0.000000,0.000000
0.010000,0.336820,23.000000,0.337000,1.640000,4.000000,0.000000,0.000000
0.010000,0.353420,23.000000,0.353600,1.680000,4.000000,-0.000000,0.000000
0.010000,0.370420,23.000000,0.370600,1.720000,4.000000,0.000000,0.000000
0.010000,0.387820,23.000000,0.388000,1.760000,4.000000,0.000000,0.000000
0.010000,0.405620,23.000000,0.405800,1.800000,4.000000,0.000000,0.000000
0.010000,0.423820,23.000000,0.424000,1.840000,4.000000,0.000000,0.000000
0.010000,0.442420,23.000000,0.442600,1.880000,4.000000,0.000000,0.000000
0.010000,0.461420,23.000000,0.461600,1.920000,4.000000,-0.000000,0.000000
0.010000,0.480820,23.000000,0.481000,1.960000,4.000000,0.000000,0.000000
0.010000,0.500620,23.000000,0.500800,2.000000,4.000000,-0.000000,0.000000
0.010000,0.520820,23.000000,0.521000,2.040000,4.000000,0.000000,0.000000
0.010000,0.541420,23.000000,0.541600,2.080000,4.000000,0.000000,0.000000
0.010000,0.562420,23.000000,0.562600,2.120000,4.000000,0.000000,0.000000
0.010000,0.583820,23.000000,0.584000,2.160000,4.000000,-0.000000,0.000000
0.010000,0.605620,23.000000,0.605800,2.200000,4.000000,0.000000,0.000000
0.010000,0.627820,23.000000,0.628000,2.240000,4.000000,-0.000000,0.000000
0.010000,0.650420,23.000000,0.650600,2.280000,4.000000,0.000000,0.000000
0.010000,0.673420,23.000000,0.673600,2.320000,4.000000,-0.000000,0.000000
0.010000,0.696820,23.000000,0.697000,2.360000,4.000000,0.000000,0.000000
0.010000,0.720620,23.000000,0.720800,2.400000,4.000000,0.000000,0.000000
0.010000,0.744820,23.000000,0.745000,2.440000,4.000000,0.000000,0.000000
0.010000,0.769420,23.000000,0.769600,2.480000,4.000000,0.000000,0.000000
0.010000,0.794420,23.000000,0.794600,2.520000,4.000000,0.000000,0.000000
0.010000,0.819820,23.000000,0.820000,2.560000,4.000000,0.000000,0.000000
0.010000,0.845620,23.000000,0.845800,2.600000,4.000000,0.000000,0.000000
0.010000,0.871820,23.000000,0.872000,2.640000,4.000000,0.000000,0.000000
0.010000,0.898420,23.000000,0.898600,2.680000,4.000000,0.000000,0.000000
0.010000,0.925420,23.000000,0.925600,2.720000,4.000000,-0.000000,0.000000
0.010000,0.952820,23.000000,0.953000,2.760000,4.000000,0.000000,0.000000
0.010000,0.980620,23.000000,0.980800,2.800000,4.000000,-0.000000,0.000000
0.010000,1.008820,23.000000,1.009000,2.840000,4.000000,-0.000000,0.000000
0.010000,1.037420,23.000000,1.037600,2.880000,4.000000,0.000000,0.000000
0.010000,1.066420,23.000000,1.066600,2.920000,4.000000,0.000000,0.000000
0.010000,1.095820,23.000000,1.096000,2.960000,4.000000,-0.000000,0.000000
0.010000,1.125620,23.000000,1.125800,3.000000,4.000000,0.000000,0.000000
0.010000,1.155820,23.000000,1.156000,3.040000,4.000000,0.000000,0.000000
0.010000,1.186420,23.000000,1.186600,3.080000,4.000000,-0.000000,0.000000
0.010000,1.217420,23.000000,1.217600,3.120000,4.000000,0.000000,0.000000
0.010000,1.248820,23.000000,1.249000,3.160000,4.000000,-0.000000,0.000000
0.010000,1.280620,23.000000,1.280800,3.200000,4.000000,-0.000000,0.000000
0.010000,1.312820,23.000000,1.313000,3.240000,4.000000,0.000000,0.000000
0.010000,1.345420,23.000000,1.345600,3.280000,4.000000,0.000000,0.000000
0.010000,1.378420,23.000000,1.378600,3.320000,4.000000,-0.000000,0.000000
0.010000,1.411820,23.000000,1.412000,3.360000,4.000000,0.000000,0.000000
0.010000,1.445620,23.000000,1.445800,3.400000,4.000000,0.000000,0.000000
0.010000,1.479820,23.000000,1.480000,3.440000,4.000000,0.000000,0.000000
0.010000,1.514420,23.000000,1.514600,3.480000,4.000000,0.000000,0.000000
0.010000,1.549420,23.000000,1.549600,3.520000,4.000000,0.000000,0.000000
0.010000,1.584820,23.000000,1.585000,3.560000,4.000000,0.000000,0.000000
0.010000,1.620620,23.000000,1.620800,3.600000,4.000000,0.000000,0.000000
0.010000,1.656820,23.000000,1.657000,3.640000,4.000000,0.000000,0.000000
0.010000,1.693420,23.000000,1.693600,3.680000,4.000000,0.000000,0.000000
0.010000,1.730420,23.000000,1.730600,3.720000,4.000000,-0.000000,0.000000
0.010000,1.767820,23.000000,1.768000,3.760000,4.000000,0.000000,0.000000
0.010000,1.805620,23.000000,1.805800,3.800000,4.000000,-0.000000,0.000000
0.010000,1.843820,23.000000,1.844000,3.840000,4.000000,-0.000000,0.000000
0.010000,1.882420,23.000000,1.882600,3.880000,4.000000,0.000000,0.000000
0.010000,1.921420,23.000000,1.921600,3.920000,4.000000,0.000000,0.000000
0.010000,1.960820,23.000000,1.961000,3.960000,4.000000,-0.000000,0.000000
0.010000,2.000620,23.000000,2.000800,4.000000,4.000000,0.000000,0.000000
0.010000,2.040820,23.000000,2.041000,4.040000,4.000000,0.000000,0.000000
0.010000,2.081420,23.000000,2.081600,4.080000,4.000000,0.000000,0.000000
0.010000,2.122420,23.000000,2.122600,4.120000,4.000000,0.000000,0.000000
0.010000,2.163820,23.000000,2.164000,4.160000,4.000000,0.000000,0.000000
0.010000,2.205620,23.000000,2.205800,4.200000,4.000000,0.000000,0.000000
0.010000,2.247820,23.000000,2.248000,4.240000,4.000000,0.000000,0.000000
0.010000,2.290420,23.000000,2.290600,4.280000,4.000000,0.000000,0.000000
0.010000,2.333420,23.000000,2.333600,4.320000,4.000000,-0.000000,0.000000
0.010000,2.376820,23.000000,2.377000,4.360000,4.000000,0.000000,0.000000
0.010000,2.420620,23.000000,2.420800,4.400000,4.000000,-0.000000,0.000000
0.010000,2.464820,23.000000,2.465000,4.440000,4.000000,-0.000000,0.000000
0.010000,2.509420,23.000000,2.509600,4.480000,4.000000,0.000000,0.000000
0.010000,2.554420,23.000000,2.554600,4.520000,4.000000,0.000000,0.000000
0.010000,2.599820,23.000000,2.600000,4.560000,4.000000,-0.000000,0.000000
0.010000,2.645620,23.000000,2.645800,4.600000,4.000000,0.000000,0.000000
0.010000,2.691820,23.000000,2.692000,4.640000,4.000000,-0.000000,0.000000
0.010000,2.738420,23.000000,2.738600,4.680000,4.000000,0.000000,0.000000
0.010000,2.785420,23.000000,2.785600,4.720000,4.000000,0.000000,0.000000
0.010000,2.832820,23.000000,2.833000,4.760000,4.000000,0.000000,0.000000
0.010000,2.880620,23.000000,2.880800,4.800000,4.000000,0.000000,0.000000
0.010000,2.928820,23.000000,2.929000,4.840000,4.000000,0.000000,0.000000
0.010000,2.977420,23.000000,2.977600,4.880000,4.000000,-0.000000,0.000000
0.010000,3.026420,23.000000,3.026600,4.920000,4.000000,0.000000,0.000000
0.010000,3.075820,23.000000,3.076000,4.960000,4.000000,0.000000,0.000000
0.010000,3.125620,23.000000,3.125800,5.000000,4.000000,0.000000,0.000000
0.010000,3.175820,23.000000,3.176000,5.040000,4.000000,0.000000,0.000000
0.010000,3.226420,23.000000,3.226600,5.080000,4.000000,0.000000,0.000000
0.010000,3.277420,23.000000,3.277600,5.120000,4.000000,0.000000,0.000000
0.010000,3.328820,23.000000,3.329000,5.160000,4.000000,-0.000000,0.000000
0.010000,3.380620,23.000000,3.380800,5.200000,4.000000,0.000000,0.000000
0.010000,3.432820,23.000000,3.433000,5.240000,4.000000,-0.000000,0.000000
0.010000,3.485420,23.000000,3.485600,5.280000,4.000000,0.000000,0.000000
0.010000,3.538420,23.000000,3.538600,5.320000,4.000000,0.000000,0.000000
0.010000,3.591820,23.000000,3.592000,5.360000,4.000000,0.000000,0.000000
0.010000,3.645620,23.000000,3.645800,5.400000,4.000000,-0.000000,0.000000
0.010000,3.699820,23.000000,3.700000,5.440000,4.000000,0.000000,0.000000
0.010000,3.754420,23.000000,3.754600,5.480000,4.000000,0.000000,0.000000
0.010000,3.809420,23.000000,3.809600,5.520000,4.000000,0.000000,0.000000
