dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110001,24.400000,0.000029,0.005707,0.570748,57.074822,6.283185
0.010000,0.110039,24.400000,0.000067,0.003871,-0.183666,-75.441389,0.000000
0.010000,0.110294,24.400000,0.000322,0.025444,2.157277,234.094255,0.000002
0.010000,0.110746,24.400000,0.000774,0.045233,1.978949,-17.832770,0.000005
0.010000,0.111453,24.400000,0.001481,0.070677,2.544369,56.541949,0.000009
0.010000,0.112471,24.400000,0.002499,0.101775,3.109794,56.542556,0.000016
0.010000,0.113856,24.400000,0.003884,0.138527,3.675229,56.543459,0.000024
0.010000,0.115665,24.400000,0.005693,0.180934,4.240676,56.544717,0.000036
0.010000,0.117955,24.400000,0.007983,0.228995,4.806140,56.546389,0.000050
0.010000,0.120782,24.400000,0.010810,0.282711,5.371625,56.548533,0.000068
0.010000,0.124203,24.400001,0.014231,0.342083,5.937137,56.551210,0.000089
0.010000,0.128274,24.400001,0.018302,0.407110,6.502682,56.554478,0.000115
0.010000,0.133052,24.400002,0.023080,0.477792,7.068266,56.558396,0.000145
0.010000,0.138594,24.400003,0.028621,0.554131,7.633896,56.563024,0.000179
0.010000,0.144927,24.400004,0.034954,0.633300,7.916856,28.295941,0.000219
0.010000,0.152051,24.400006,0.042079,0.712471,7.917134,0.027810,0.000263
0.010000,0.159968,24.400008,0.049996,0.791646,7.917447,0.031287,0.000313
0.010000,0.168676,24.400011,0.058704,0.870824,7.917794,0.034764,0.000367
0.010000,0.178176,24.400015,0.068204,0.950005,7.918177,0.038241,0.000426
0.010000,0.188468,24.400019,0.078496,1.029191,7.918594,0.041718,0.000490
0.010000,0.199552,24.400025,0.089580,1.108382,7.919046,0.045196,0.000558
0.010000,0.211427,24.400032,0.101455,1.187577,7.919533,0.048673,0.000632
0.010000,0.224095,24.400041,0.114123,1.266778,7.920054,0.052151,0.000710
0.010000,0.237555,24.400051,0.127583,1.345984,7.920610,0.055629,0.000792
0.010000,0.251807,24.400063,0.141835,1.425196,7.921201,0.059107,0.000880
0.010000,0.266851,24.400077,0.156879,1.504414,7.921827,0.062586,0.000971
0.010000,0.282688,24.400093,0.172715,1.583639,7.922488,0.066065,0.001068
0.010000,0.299316,24.400111,0.189344,1.662871,7.923183,0.069544,0.001169
0.010000,0.316737,24.400133,0.206765,1.742110,7.923914,0.073023,0.001274
0.010000,0.334951,24.400157,0.224979,1.821357,7.924679,0.076503,0.001384
0.010000,0.353957,24.400184,0.243985,1.900611,7.925479,0.079983,0.001498
0.010000,0.373756,24.400215,0.263784,1.979875,7.926313,0.083462,0.001616
0.010000,0.394347,24.400250,0.284375,2.059146,7.927183,0.086943,0.001738
0.010000,0.415731,24.400288,0.305759,2.138427,7.928087,0.090424,0.001865
