dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,21.833500,0.000029,0.005833,0.583333,58.333333,0.000000
0.010000,0.000046,21.833500,0.000075,0.004583,-0.125000,-70.833333,0.000000
0.010000,0.000308,21.833500,0.000338,0.026250,2.166667,229.166667,0.000000
0.010000,0.000775,21.833500,0.000804,0.046667,2.041667,-12.500000,0.000000
0.010000,0.001504,21.833500,0.001533,0.072917,2.625000,58.333333,0.000000
0.010000,0.002554,21.833500,0.002583,0.105000,3.208333,58.333333,0.000000
0.010000,0.003983,21.833500,0.004012,0.142917,3.791667,58.333333,0.000000
0.010000,0.005850,21.833500,0.005879,0.186667,4.375000,58.333333,0.000000
0.010000,0.008212,21.833500,0.008242,0.236250,4.958333,58.333333,0.000000
0.010000,0.011129,21.833500,0.011158,0.291667,5.541667,58.333333,0.000000
0.010000,0.014658,21.833500,0.014687,0.352917,6.125000,58.333333,0.000000
0.010000,0.018858,21.833500,0.018887,0.420000,6.708333,58.333333,0.000000
0.010000,0.023758,21.833500,0.023787,0.490000,7.000000,29.166667,0.000000
0.010000,0.029358,21.833500,0.029387,0.560000,7.000000,-0.000000,0.000000
0.010000,0.035658,21.833500,0.035687,0.630000,7.000000,0.000000,0.000000
0.010000,0.042658,21.833500,0.042688,0.700000,7.000000,0.000000,0.000000
0.010000,0.050358,21.833500,0.050388,0.770000,7.000000,-0.000000,0.000000
0.010000,0.058758,21.833500,0.058788,0.840000,7.000000,-0.000000,0.000000
0.010000,0.067858,21.833500,0.067888,0.910000,7.000000,-0.000000,0.000000
0.010000,0.077658,21.833500,0.077688,0.980000,7.000000,0.000000,0.000000
0.010000,0.088158,21.833500,0.088188,1.050000,7.000000,-0.000000,0.000000
0.010000,0.099358,21.833500,0.099388,1.120000,7.000000,0.000000,0.000000
0.010000,0.111258,21.833500,0.111288,1.190000,7.000000,0.000000,0.000000
0.010000,0.123858,21.833500,0.123888,1.260000,7.000000,-0.000000,0.000000
0.010000,0.137158,21.833500,0.137188,1.330000,7.000000,0.000000,0.000000
0.010000,0.151158,21.833500,0.151188,1.400000,7.000000,0.000000,0.000000
0.010000,0.165858,21.833500,0.165888,1.470000,7.000000,-0.000000,0.000000
0.010000,0.181258,21.833500,0.181288,1.540000,7.000000,0.000000,0.000000
0.010000,0.197358,21.833500,0.197388,1.610000,7.000000,0.000000,0.000000
0.010000,0.214158,21.833500,0.214188,1.680000,7.000000,-0.000000,0.000000
0.010000,0.231658,21.833500,0.231688,1.750000,7.000000,-0.000000,0.000000
0.010000,0.249858,21.833500,0.249888,1.820000,7.000000,0.000000,0.000000
0.010000,0.268758,21.833500,0.268788,1.890000,7.000000,0.000000,0.000000
0.010000,0.288358,21.833500,0.288388,1.960000,7.000000,-0.000000,0.000000
0.010000,0.308658,21.833500,0.308688,2.030000,7.000000,0.000000,0.000000
0.010000,0.329658,21.833500,0.329688,2.100000,7.000000,-0.000000,0.000000
0.010000,0.351358,21.833500,0.351387,2.170000,7.000000,0.000000,0.000000
0.010000,0.373758,21.833500,0.373787,2.240000,7.000000,0.000000,0.000000
0.010000,0.396858,21.833500,0.396887,2.310000,7.000000,0.000000,0.000000
0.010000,0.420658,21.833500,0.420687,2.380000,7.000000,-0.000000,0.000000
0.010000,0.445158,21.833500,0.445187,2.450000,7.000000,0.000000,0.000000
0.010000,0.470358,21.833500,0.470387,2.520000,7.000000,-0.000000,0.000000
0.010000,0.496258,21.833500,0.496287,2.590000,7.000000,0.000000,0.000000
0.010000,0.522858,21.833500,0.522887,2.660000,7.000000,-0.000000,0.000000
0.010000,0.550158,21.833500,0.550187,2.730000,7.000000,0.000000,0.000000
0.010000,0.578158,21.833500,0.578187,2.800000,7.000000,0.000000,0.000000
0.010000,0.606858,21.833500,0.606887,2.870000,7.000000,-0.000000,0.000000
0.010000,0.636258,21.833500,0.636287,2.940000,7.000000,0.000000,0.000000
0.010000,0.666358,21.833500,0.666387,3.010000,7.000000,0.000000,0.000000
0.010000,0.697158,21.833500,0.697187,3.080000,7.000000,-0.000000,0.000000
0.010000,0.728658,21.833500,0.728687,3.150000,7.000000,-0.000000,0.000000
0.010000,0.760858,21.833500,0.760887,3.220000,7.000000,-0.000000,0.000000
0.010000,0.793758,21.833500,0.793787,3.290000,7.000000,0.000000,0.000000
0.010000,0.827358,21.833500,0.827387,3.360000,7.000000,-0.000000,0.000000
0.010000,0.861658,21.833500,0.861688,3.430000,7.000000,0.000000,0.000000
0.010000,0.896658,21.833500,0.896688,3.500000,7.000000,-0.000000,0.000000
0.010000,0.932358,21.833500,0.932388,3.570000,7.000000,0.000000,0.000000
0.010000,0.968758,21.833500,0.968788,3.640000,7.000000,-0.000000,0.000000
0.010000,1.005858,21.833500,1.005888,3.710000,7.000000,0.000000,0.000000
0.010000,1.043658,21.833500,1.043688,3.780000,7.000000,-0.000000,0.000000
0.010000,1.082158,21.833500,1.082188,3.850000,7.000000,0.000000,0.000000
0.010000,1.121358,21.833500,1.121388,3.920000,7.000000,0.000000,0.000000
0.010000,1.161258,21.833500,1.161288,3.990000,7.000000,-0.000000,0.000000
0.010000,1.201858,21.833500,1.201888,4.060000,7.000000,0.000000,0.000000
0.010000,1.243158,21.833500,1.243188,4.130000,7.000000,-0.000000,0.000000
0.010000,1.285158,21.833500,1.285188,4.200000,7.000000,-0.000000,0.000000
0.010000,1.327858,21.833500,1.327888,4.270000,7.000000,0.000000,0.000000
0.010000,1.371258,21.833500,1.371288,4.340000,7.000000,0.000000,0.000000
0.010000,1.415358,21.833500,1.415387,4.410000,7.000000,-0.000000,0.000000
0.010000,1.460158,21.833500,1.460187,4.480000,7.000000,0.000000,0.000000
0.010000,1.505658,21.833500,1.505687,4.550000,7.000000,-0.000000,0.000000
0.010000,1.551858,21.833500,1.551887,4.620000,7.000000,0.000000,0.000000
0.010000,1.598758,21.833500,1.598787,4.690000,7.000000,-0.000000,0.000000
0.010000,1.646358,21.833500,1.646387,4.760000,7.000000,0.000000,0.000000
0.010000,1.694658,21.833500,1.694687,4.830000,7.000000,0.000000,0.000000
0.010000,1.743658,21.833500,1.743687,4.900000,7.000000,0.000000,0.000000
0.010000,1.793358,21.833500,1.793387,4.970000,7.000000,-0.000000,0.000000
0.010000,1.843758,21.833500,1.843787,5.040000,7.000000,-0.000000,0.000000
0.010000,1.894858,21.833500,1.894887,5.110000,7.000000,0.000000,0.000000
0.010000,1.946658,21.833500,1.946687,5.180000,7.000000,-0.000000,0.000000
0.010000,1.999158,21.833500,1.999187,5.250000,7.000000,0.000000,0.000000
0.010000,2.052358,21.833500,2.052387,5.320000,7.000000,0.000000,0.000000
0.010000,2.106258,21.833500,2.106287,5.390000,7.000000,-0.000000,0.000000
0.010000,2.160858,21.833500,2.160887,5.460000,7.000000,0.000000,0.000000
0.010000,2.216158,21.833500,2.216187,5.530000,7.000000,-0.000000,0.000000
0.010000,2.272158,21.833500,2.272187,5.600000,7.000000,0.000000,0.000000
0.010000,2.328858,21.833500,2.328887,5.670000,7.000000,-0.000000,0.000000
0.010000,2.386258,21.833500,2.386287,5.740000,7.000000,0.000000,0.000000
0.010000,2.444358,21.833500,2.444387,5.810000,7.000000,-0.000000,0.000000
0.010000,2.503158,21.833500,2.503187,5.880000,7.000000,0.000000,0.000000
0.010000,2.562658,21.833500,2.562687,5.950000,7.000000,-0.000000,0.000000
0.010000,2.622858,21.833500,2.622887,6.020000,7.000000,0.000000,0.000000
0.010000,2.683758,21.833500,2.683787,6.090000,7.000000,-0.000000,0.000000
0.010000,2.745358,21.833500,2.745387,6.160000,7.000000,-0.000000,0.000000
0.010000,2.807658,21.833500,2.807687,6.230000,7.000000,0.000000,0.000000
0.010000,2.870658,21.833500,2.870687,6.300000,7.000000,-0.000000,0.000000
0.010000,2.934358,21.833500,2.934387,6.370000,7.000000,0.000000,0.000000
0.010000,2.998758,21.833500,2.998787,6.440000,7.000000,-0.000000,0.000000
0.010000,3.063858,21.833500,3.063887,6.510000,7.000000,0.000000,0.000000
0.010000,3.129658,21.833500,3.129687,6.580000,7.000000,-0.000000,0.000000
0.010000,3.196129,21.833500,3.196158,6.647083,6.708333,-29.166667,0.000000
