dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,5.166500,0.000029,0.005714,0.571429,57.142857,0.000000
0.010000,0.000033,5.166500,0.000061,0.003286,-0.242857,-81.428571,0.000000
0.010000,0.000290,5.166500,0.000319,0.025714,2.242857,248.571429,0.000000
0.010000,0.000747,5.166500,0.000776,0.045714,2.000000,-24.285714,0.000000
0.010000,0.001461,5.166500,0.001490,0.071429,2.571429,57.142857,0.000000
0.010000,0.002490,5.166500,0.002519,0.102857,3.142857,57.142857,0.000000
0.010000,0.003890,5.166500,0.003919,0.140000,3.714286,57.142857,0.000000
0.010000,0.005719,5.166500,0.005747,0.182857,4.285714,57.142857,0.000000
0.010000,0.008033,5.166500,0.008061,0.231429,4.857143,57.142857,0.000000
0.010000,0.010890,5.166500,0.010919,0.285714,5.428571,57.142857,0.000000
0.010000,0.014347,5.166500,0.014376,0.345714,6.000000,57.142857,0.000000
0.010000,0.018461,5.166500,0.018490,0.411429,6.571429,57.142857,0.000000
0.010000,0.023290,5.166500,0.023319,0.482857,7.142857,57.142857,0.000000
0.010000,0.028890,5.166500,0.028919,0.560000,7.714286,57.142857,0.000000
0.010000,0.035290,5.166500,0.035319,0.640000,8.000000,28.571429,0.000000
0.010000,0.042490,5.166500,0.042519,0.720000,8.000000,-0.000000,0.000000
0.010000,0.050490,5.166500,0.050519,0.800000,8.000000,0.000000,0.000000
0.010000,0.059290,5.166500,0.059319,0.880000,8.000000,-0.000000,0.000000
0.010000,0.068890,5.166500,0.068919,0.960000,8.000000,-0.000000,0.000000
0.010000,0.079290,5.166500,0.079319,1.040000,8.000000,-0.000000,0.000000
0.010000,0.090490,5.166500,0.090519,1.120000,8.000000,0.000000,0.000000
0.010000,0.102490,5.166500,0.102519,1.200000,8.000000,-0.000000,0.000000
0.010000,0.115290,5.166500,0.115319,1.280000,8.000000,0.000000,0.000000
0.010000,0.128890,5.166500,0.128919,1.360000,8.000000,-0.000000,0.000000
0.010000,0.143290,5.166500,0.143319,1.440000,8.000000,0.000000,0.000000
0.010000,0.158490,5.166500,0.158519,1.520000,8.000000,-0.000000,0.000000
0.010000,0.174490,5.166500,0.174519,1.600000,8.000000,0.000000,0.000000
0.010000,0.191290,5.166500,0.191319,1.680000,8.000000,0.000000,0.000000
0.010000,0.208890,5.166500,0.208919,1.760000,8.000000,0.000000,0.000000
0.010000,0.227290,5.166500,0.227319,1.840000,8.000000,-0.000000,0.000000
0.010000,0.246490,5.166500,0.246519,1.920000,8.000000,-0.000000,0.000000
0.010000,0.266490,5.166500,0.266519,2.000000,8.000000,0.000000,0.000000
0.010000,0.287290,5.166500,0.287319,2.080000,8.000000,-0.000000,0.000000
0.010000,0.308890,5.166500,0.308919,2.160000,8.000000,0.000000,0.000000
0.010000,0.331290,5.166500,0.331319,2.240000,8.000000,-0.000000,0.000000
0.010000,0.354490,5.166500,0.354519,2.320000,8.000000,-0.000000,0.000000
0.010000,0.378490,5.166500,0.378519,2.400000,8.000000,-0.000000,0.000000
0.010000,0.403290,5.166500,0.403319,2.480000,8.000000,0.000000,0.000000
0.010000,0.428890,5.166500,0.428919,2.560000,8.000000,0.000000,0.000000
0.010000,0.455290,5.166500,0.455319,2.640000,8.000000,-0.000000,0.000000
0.010000,0.482490,5.166500,0.482519,2.720000,8.000000,0.000000,0.000000
0.010000,0.510490,5.166500,0.510519,2.800000,8.000000,0.000000,0.000000
0.010000,0.539290,5.166500,0.539319,2.880000,8.000000,-0.000000,0.000000
0.010000,0.568890,5.166500,0.568919,2.960000,8.000000,0.000000,0.000000
0.010000,0.599290,5.166500,0.599319,3.040000,8.000000,-0.000000,0.000000
0.010000,0.630490,5.166500,0.630519,3.120000,8.000000,0.000000,0.000000
0.010000,0.662490,5.166500,0.662519,3.200000,8.000000,-0.000000,0.000000
0.010000,0.695290,5.166500,0.695319,3.280000,8.000000,0.000000,0.000000
0.010000,0.728890,5.166500,0.728919,3.360000,8.000000,0.000000,0.000000
0.010000,0.763290,5.166500,0.763319,3.440000,8.000000,-0.000000,0.000000
0.010000,0.798490,5.166500,0.798519,3.520000,8.000000,0.000000,0.000000
0.010000,0.834490,5.166500,0.834519,3.600000,8.000000,0.000000,0.000000
0.010000,0.871290,5.166500,0.871319,3.680000,8.000000,-0.000000,0.000000
0.010000,0.908890,5.166500,0.908919,3.760000,8.000000,0.000000,0.000000
