dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.160010,11.780000,0.000029,0.005832,0.583161,58.316051,0.000001
0.010000,6.160144,11.780000,0.000163,0.013425,0.759296,17.613595,0.000013
0.010000,6.160446,11.780000,0.000465,0.030205,1.677998,91.870198,0.000039
0.010000,6.160983,11.780000,0.001002,0.053694,2.348994,67.099584,0.000086
0.010000,6.161822,11.780000,0.001841,0.083891,3.019678,67.068355,0.000159
0.010000,6.163030,11.780000,0.003049,0.120790,3.689850,67.017214,0.000265
0.010000,6.164674,11.780001,0.004693,0.164382,4.359262,66.941178,0.000408
0.010000,6.166821,11.780002,0.006840,0.214659,5.027614,66.835252,0.000595
0.010000,6.169537,11.780004,0.009556,0.271604,5.694559,66.694438,0.000831
0.010000,6.172889,11.780007,0.012908,0.335201,6.359696,66.513722,0.001122
0.010000,6.176943,11.780013,0.016962,0.405427,7.022577,66.288073,0.001473
0.010000,6.181765,11.780021,0.021784,0.482254,7.682701,66.012445,0.001889
0.010000,6.187388,11.780033,0.027408,0.562303,8.004920,32.221876,0.002372
0.010000,6.193810,11.780050,0.033830,0.642201,7.989840,-1.507960,0.002921
0.010000,6.201030,11.780073,0.041049,0.721927,7.972598,-1.724270,0.003535
0.010000,6.209044,11.780104,0.049063,0.801459,7.953188,-1.940905,0.004213
0.010000,6.217852,11.780144,0.057871,0.880775,7.931610,-2.157883,0.004953
0.010000,6.227450,11.780196,0.067470,0.959854,7.907857,-2.375222,0.005753
0.010000,6.237837,11.780260,0.077856,1.038673,7.881928,-2.592930,0.006613
0.010000,6.249009,11.780339,0.089029,1.117211,7.853818,-2.811008,0.007530
0.010000,6.260963,11.780435,0.100983,1.195447,7.823524,-3.029453,0.008501
0.010000,6.273696,11.780550,0.113717,1.273357,7.791041,-3.248251,0.009526
0.010000,6.287204,11.780686,0.127226,1.350921,7.756367,-3.467382,0.010601
0.010000,6.301484,11.780845,0.141507,1.428116,7.719499,-3.686824,0.011724
0.010000,6.316533,11.781030,0.156556,1.504920,7.680434,-3.906540,0.012893
0.010000,6.332344,11.781244,0.172369,1.581312,7.639169,-4.126495,0.014105
0.010000,6.348915,11.781488,0.188942,1.657269,7.595702,-4.346643,0.015356
0.010000,6.366241,11.781765,0.206270,1.732769,7.550033,-4.566935,0.016644
0.010000,6.384316,11.782078,0.224348,1.807791,7.502160,-4.787319,0.017966
0.010000,6.403136,11.782429,0.243171,1.882312,7.452082,-5.007737,0.019318
0.010000,6.422695,11.782820,0.262734,1.956310,7.399801,-5.228131,0.020697
0.010000,6.442988,11.783255,0.283031,2.029763,7.345317,-5.448440,0.022099
0.010000,6.464009,11.783734,0.304058,2.102649,7.288630,-5.668605,0.023520
0.010000,6.485752,11.784261,0.325807,2.174946,7.229745,-5.888566,0.024957
0.010000,6.508211,11.784838,0.348274,2.246633,7.168662,-6.108268,0.026405
0.010000,6.531379,11.785467,0.371451,2.317687,7.105386,-6.327657,0.027861
0.010000,6.555250,11.786150,0.395331,2.388086,7.039919,-6.546688,0.029319
0.010000,6.579817,11.786888,0.419909,2.457809,6.972266,-6.765319,0.030776
0.010000,6.605073,11.787684,0.445178,2.526833,6.902430,-6.983518,0.032226
0.010000,6.631010,11.788539,0.471129,2.595137,6.830418,-7.201261,0.033665
0.010000,6.657622,11.789455,0.497756,2.662700,6.756232,-7.418538,0.035087
0.010000,6.684899,11.790431,0.525051,2.729498,6.679879,-7.635346,0.036489
0.010000,6.712835,11.791471,0.553006,2.795512,6.601362,-7.851699,0.037864
0.010000,6.741421,11.792573,0.581613,2.860719,6.520686,-8.067620,0.039208
0.010000,6.770649,11.793739,0.610864,2.925097,6.437854,-8.283150,0.040514
0.010000,6.800510,11.794968,0.640751,2.988626,6.352871,-8.498343,0.041777
0.010000,6.830995,11.796261,0.671264,3.051283,6.265738,-8.713268,0.042991
0.010000,6.862096,11.797617,0.702394,3.113048,6.176458,-8.928005,0.044150
0.010000,6.893803,11.799036,0.734133,3.173898,6.085032,-9.142652,0.045249
0.010000,6.926107,11.800516,0.766471,3.233813,5.991458,-9.357315,0.046280
0.010000,6.958999,11.802055,0.799399,3.292770,5.895737,-9.572113,0.047239
0.010000,6.992468,11.803652,0.832906,3.350749,5.797866,-9.787172,0.048117
0.010000,7.026506,11.805305,0.866984,3.407727,5.697839,-10.002624,0.048908
0.010000,7.061100,11.807011,0.901620,3.463684,5.595653,-10.218601,0.049606
0.010000,7.096243,11.808766,0.936806,3.518597,5.491301,-10.435233,0.050203
0.010000,7.131922,11.810568,0.972531,3.572445,5.384774,-10.652643,0.050693
0.010000,7.168127,11.812412,1.008783,3.625205,5.276065,-10.870937,0.051068
0.010000,7.204847,11.814294,1.045551,3.676857,5.165163,-11.090203,0.051321
0.010000,7.242072,11.816209,1.082825,3.727378,5.052058,-11.310495,0.051444
0.010000,7.279789,11.818151,1.120593,3.776745,4.936740,-11.531833,0.051430
0.010000,7.317988,11.820115,1.158842,3.824937,4.819198,-11.754182,0.051270
0.010000,7.356657,11.822094,1.197561,3.871931,4.699424,-11.977447,0.050958
0.010000,7.395783,11.824080,1.236738,3.917705,4.577409,-12.201456,0.050484
0.010000,7.435356,11.826068,1.276361,3.962237,4.453149,-12.425947,0.049840
0.010000,7.475362,11.828047,1.316416,4.005503,4.326644,-12.650545,0.049018
0.010000,7.515789,11.830011,1.356891,4.047482,4.197897,-12.874752,0.048010
0.010000,7.556625,11.831949,1.397772,4.088151,4.066917,-13.097918,0.046806
0.010000,7.597856,11.833851,1.439047,4.127489,3.933725,-13.319219,0.045398
0.010000,7.639469,11.835709,1.480702,4.165472,3.798349,-13.537635,0.043776
0.010000,7.681451,11.837510,1.522723,4.202080,3.660830,-13.751919,0.041932
0.010000,7.723789,11.839243,1.565096,4.237293,3.521224,-13.960569,0.039856
0.010000,7.766468,11.840896,1.607806,4.271089,3.379606,-14.161791,0.037540
0.010000,7.809474,11.842457,1.650841,4.303449,3.236071,-14.353471,0.034972
0.010000,7.852793,11.843912,1.694184,4.334357,3.090740,-14.533134,0.032144
0.010000,7.896410,11.845248,1.737822,4.363794,2.943761,-14.697904,0.029045
0.010000,7.940311,11.846450,1.781740,4.391748,2.795316,-14.844468,0.025666
0.010000,7.984481,11.847504,1.825922,4.418204,2.645626,-14.969032,0.021998
0.010000,8.028903,11.848394,1.870353,4.443153,2.494953,-15.067285,0.018029
0.010000,8.073564,11.849105,1.915019,4.466589,2.343610,-15.134351,0.013749
0.010000,8.118446,11.849620,1.959904,4.488509,2.191962,-15.164759,0.009150
0.010000,8.163534,11.849922,2.004994,4.508913,2.040438,-15.152407,0.004219
0.010000,8.206459,11.849992,2.047918,4.292468,-21.644518,-2368.495612,6.280604
0.010000,8.239527,11.849680,2.080988,3.307022,-98.544637,-7690.011847,6.266728
0.010000,8.271910,11.848911,2.113381,3.239211,-6.781039,9176.359809,6.251934
0.010000,8.303474,11.847678,2.144969,3.158819,-8.039291,-125.825273,6.236137
0.010000,8.334072,11.845983,2.175614,3.064480,-9.433813,-139.452187,6.219245
0.010000,8.363541,11.843833,2.205161,2.954703,-10.977764,-154.395056,6.201154
0.010000,8.391701,11.841248,2.233439,2.827863,-12.683973,-170.620923,6.181752
0.010000,8.418357,11.838260,2.260261,2.682224,-14.563931,-187.995789,6.160911
0.010000,8.443293,11.834919,2.285421,2.515961,-16.626259,-206.232780,6.138497
0.010000,8.466281,11.831293,2.308693,2.327217,-18.874444,-224.818527,6.114357
0.010000,8.487076,11.827478,2.329835,2.114181,-21.303585,-242.914105,6.088330
0.010000,8.505422,11.823598,2.348587,1.875222,-23.895846,-259.226116,6.060244
0.010000,8.521062,11.819813,2.364678,1.609079,-26.614349,-271.850327,6.029917
0.010000,8.533741,11.816320,2.377829,1.315126,-29.395297,-278.094758,5.997164
0.010000,8.543227,11.813360,2.387767,0.993742,-32.138411,-274.311438,5.961802
0.010000,8.549328,11.811212,2.394235,0.646778,-34.696376,-255.796471,5.923660
0.010000,8.551916,11.810193,2.397016,0.278129,-36.864881,-216.850517,5.882594
0.010000,8.550958,11.810639,2.398072,0.105657,-17.247270,1961.761082,5.838502
0.010000,8.546550,11.812885,2.403020,0.494712,38.905545,5615.281591,5.791350
0.010000,8.538945,11.817223,2.411775,0.875552,38.083993,-82.155270,5.741192
0.010000,8.528578,11.823861,2.424085,1.230982,35.543042,-254.095122,5.688198
0.010000,8.516068,11.832856,2.439493,1.540804,30.982116,-456.092602,5.632671
0.010000,8.502198,11.844065,2.457326,1.783323,24.251988,-673.012735,5.575061
0.010000,8.487860,11.857100,2.476703,1.937723,15.439964,-881.202396,5.515955
0.010000,8.473976,11.871314,2.496573,1.986949,4.922554,-1051.741003,5.456054
0.010000,8.461400,11.885828,2.515778,1.920490,-6.645905,-1156.845955,5.396129
0.010000,8.450827,11.899600,2.533140,1.736261,-18.422809,-1177.690330,5.336966
0.010000,8.442729,11.911519,2.547550,1.440991,-29.527009,-1110.420084,5.279306
0.010000,8.437328,11.920512,2.558040,1.048975,-39.201634,-967.462420,5.223793
0.010000,8.434607,11.925630,2.563836,0.579614,-46.936129,-773.449563,5.170943
0.010000,8.434358,11.926115,2.564381,0.054509,-52.510503,-557.437377,5.121128
0.010000,8.436237,11.921422,2.569436,0.505434,45.092489,9760.299199,5.074579
0.010000,8.439827,11.911221,2.580250,1.081478,57.604474,1251.198470,5.031405
0.010000,8.444692,11.895364,2.596836,1.658606,57.712734,10.826016,4.991611
0.010000,8.450412,11.873857,2.619092,2.225526,56.692047,-102.068672,4.955131
0.010000,8.456610,11.846813,2.646837,2.774489,54.896257,-179.579051,4.921843
0.010000,8.462964,11.814423,2.679844,3.300742,52.625380,-227.087680,4.891598
0.010000,8.469208,11.776920,2.717863,3.801905,50.116248,-250.913178,4.864227
0.010000,8.475137,11.734559,2.760637,4.277357,47.545163,-257.108501,4.839559
0.010000,8.480596,11.687598,2.807914,4.727723,45.036650,-250.851283,4.817427
