dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.160009,13.280000,0.000029,0.005832,0.583161,58.316051,0.000001
0.010000,6.160125,13.280000,0.000146,0.017495,1.166321,58.316051,0.000013
0.010000,6.160388,13.280000,0.000408,0.034990,1.749482,58.316051,0.000039
0.010000,6.160854,13.280000,0.000875,0.058316,2.332642,58.316051,0.000086
0.010000,6.161583,13.280000,0.001604,0.087474,2.915803,58.316051,0.000159
0.010000,6.162633,13.280000,0.002653,0.122464,3.498963,58.316051,0.000265
0.010000,6.164062,13.280001,0.004082,0.163285,4.082124,58.316051,0.000408
0.010000,6.165928,13.280002,0.005948,0.209938,4.665284,58.316051,0.000595
0.010000,6.168290,13.280003,0.008310,0.262422,5.248445,58.316051,0.000831
0.010000,6.171205,13.280006,0.011226,0.320738,5.831605,58.316051,0.001122
0.010000,6.174734,13.280011,0.014754,0.384886,6.414766,58.316051,0.001473
0.010000,6.178932,13.280018,0.018953,0.454865,6.997926,58.316051,0.001889
0.010000,6.183831,13.280028,0.023851,0.524844,6.997926,0.000000,0.002372
0.010000,6.189429,13.280043,0.029450,0.594824,6.997926,-0.000000,0.002921
0.010000,6.195727,13.280064,0.035748,0.664803,6.997926,0.000000,0.003535
0.010000,6.202725,13.280091,0.042746,0.734782,6.997926,0.000000,0.004213
0.010000,6.210423,13.280126,0.050443,0.804762,6.997926,-0.000000,0.004953
0.010000,6.218820,13.280171,0.058841,0.874741,6.997926,-0.000000,0.005753
0.010000,6.227917,13.280227,0.067938,0.944720,6.997926,0.000000,0.006613
0.010000,6.237714,13.280296,0.077735,1.014699,6.997926,-0.000000,0.007530
0.010000,6.248211,13.280381,0.088232,1.084679,6.997926,0.000000,0.008501
0.010000,6.259407,13.280481,0.099429,1.154658,6.997926,0.000000,0.009526
0.010000,6.271303,13.280601,0.111325,1.224637,6.997926,0.000000,0.010601
0.010000,6.283898,13.280742,0.123922,1.294616,6.997926,-0.000000,0.011724
0.010000,6.297193,13.280906,0.137218,1.364596,6.997926,0.000000,0.012893
0.010000,6.311188,13.281094,0.151214,1.434575,6.997926,0.000000,0.014105
0.010000,6.325882,13.281311,0.165909,1.504554,6.997926,-0.000000,0.015356
0.010000,6.341275,13.281557,0.181305,1.574533,6.997926,0.000000,0.016644
0.010000,6.357368,13.281836,0.197400,1.644513,6.997926,0.000000,0.017966
0.010000,6.374160,13.282149,0.214195,1.714492,6.997926,-0.000000,0.019318
0.010000,6.391652,13.282499,0.231690,1.784471,6.997926,0.000000,0.020697
0.010000,6.409842,13.282888,0.249884,1.854450,6.997926,-0.000000,0.022099
0.010000,6.428732,13.283319,0.268779,1.924430,6.997926,0.000000,0.023520
0.010000,6.448320,13.283794,0.288373,1.994409,6.997926,0.000000,0.024957
0.010000,6.468607,13.284315,0.308667,2.064388,6.997926,-0.000000,0.026405
0.010000,6.489593,13.284885,0.329661,2.134367,6.997926,0.000000,0.027861
0.010000,6.511278,13.285505,0.351354,2.204347,6.997926,-0.000000,0.029319
0.010000,6.533661,13.286178,0.373748,2.274326,6.997926,0.000000,0.030776
0.010000,6.556743,13.286906,0.396841,2.344305,6.997926,-0.000000,0.032226
0.010000,6.580523,13.287689,0.420634,2.414285,6.997926,0.000000,0.033665
