dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,15.160038,11.780000,0.000029,0.005714,0.571429,57.142857,0.000012
0.010000,15.160253,11.780000,0.000243,0.021491,1.577638,100.620966,0.000079
0.010000,15.160736,11.780000,0.000727,0.048345,2.685401,110.776249,0.000230
0.010000,15.161595,11.780000,0.001586,0.085914,3.756952,107.155079,0.000498
0.010000,15.162937,11.780001,0.002928,0.134159,4.824495,106.754382,0.000916
0.010000,15.164867,11.780004,0.004858,0.193014,5.885469,106.097403,0.001517
0.010000,15.167491,11.780009,0.007482,0.262380,6.936657,105.118794,0.002333
0.010000,15.170859,11.780018,0.010849,0.336782,7.440116,50.345909,0.003378
0.010000,15.174966,11.780035,0.014957,0.410758,7.397622,-4.249449,0.004650
0.010000,15.179808,11.780061,0.019799,0.484213,7.345528,-5.209416,0.006145
0.010000,15.185379,11.780100,0.025370,0.557051,7.283745,-6.178235,0.007858
0.010000,15.191670,11.780156,0.031661,0.629172,7.212175,-7.157012,0.009786
0.010000,15.198674,11.780232,0.038666,0.700479,7.130709,-8.146649,0.011923
0.010000,15.206383,11.780332,0.046375,0.770872,7.039231,-9.147774,0.014262
0.010000,15.214784,11.780463,0.054777,0.840248,6.937624,-10.160743,0.016797
0.010000,15.223868,11.780628,0.063862,0.908506,6.825767,-11.185612,0.019520
0.010000,15.233621,11.780833,0.073618,0.975541,6.703546,-12.222137,0.022424
0.010000,15.244030,11.781082,0.084030,1.041250,6.570849,-13.269753,0.025499
0.010000,15.255082,11.781382,0.095086,1.105525,6.427573,-14.327590,0.028736
0.010000,15.266759,11.781737,0.106768,1.168262,6.273628,-15.394480,0.032124
0.010000,15.279045,11.782154,0.119062,1.229351,6.108938,-16.468964,0.035653
0.010000,15.291923,11.782637,0.131949,1.288685,5.933445,-17.549334,0.039311
0.010000,15.305373,11.783191,0.145410,1.346156,5.747108,-18.633653,0.043085
0.010000,15.319375,11.783822,0.159427,1.401656,5.549910,-19.719805,0.046963
0.010000,15.333909,11.784534,0.173977,1.455074,5.341855,-20.805545,0.050930
0.010000,15.348951,11.785332,0.189040,1.506304,5.122969,-21.888553,0.054972
0.010000,15.364478,11.786218,0.204593,1.555237,4.893304,-22.966504,0.059074
0.010000,15.380466,11.787197,0.220610,1.601766,4.652933,-24.037133,0.063219
0.010000,15.396888,11.788271,0.237068,1.645786,4.401950,-25.098314,0.067391
0.010000,15.413719,11.789443,0.253940,1.687190,4.140468,-26.148136,0.071572
0.010000,15.430931,11.790713,0.271199,1.725877,3.868619,-27.184978,0.075745
0.010000,15.448495,11.792083,0.288816,1.761742,3.586543,-28.207589,0.079890
0.010000,15.466382,11.793552,0.306763,1.794686,3.294391,-29.215158,0.083987
0.010000,15.484561,11.795119,0.325009,1.824609,2.992317,-30.207378,0.088018
0.010000,15.503000,11.796783,0.343523,1.851414,2.680472,-31.184507,0.091961
0.010000,15.521667,11.798541,0.362274,1.875004,2.358998,-32.147409,0.095794
0.010000,15.540530,11.800389,0.381226,1.895284,2.028022,-33.097585,0.099496
0.010000,15.559554,11.802322,0.400348,1.912160,1.687651,-34.037184,0.103044
0.010000,15.578703,11.804336,0.419603,1.925540,1.337961,-34.969000,0.106414
0.010000,15.597944,11.806422,0.438957,1.935330,0.978996,-35.896435,0.109583
0.010000,15.617239,11.808574,0.458371,1.941438,0.610762,-36.823449,0.112526
0.010000,15.636550,11.810783,0.477809,1.943770,0.233217,-37.754469,0.115218
0.010000,15.655841,11.813040,0.497231,1.942233,-0.153726,-38.694273,0.117633
0.010000,15.675072,11.815334,0.516598,1.936731,-0.550204,-39.647839,0.119744
0.010000,15.694204,11.817653,0.535870,1.927166,-0.956406,-40.620144,0.121525
0.010000,15.713195,11.819987,0.555004,1.913441,-1.372565,-41.615932,0.122948
0.010000,15.732005,11.822322,0.573959,1.895451,-1.798959,-42.639417,0.123985
0.010000,15.750592,11.824645,0.592690,1.873092,-2.235898,-43.693938,0.124605
0.010000,15.768911,11.826942,0.611152,1.846255,-2.683714,-44.781541,0.124780
0.010000,15.786918,11.829198,0.629301,1.814828,-3.142739,-45.902489,0.124479
0.010000,15.804568,11.831400,0.647088,1.778695,-3.613286,-47.054684,0.123670
0.010000,15.821814,11.833533,0.664465,1.737739,-4.095615,-48.232993,0.122322
0.010000,15.838608,11.835582,0.681383,1.691840,-4.589900,-49.428457,0.120401
0.010000,15.854901,11.837534,0.697792,1.640878,-5.096174,-50.627388,0.117873
0.010000,15.870641,11.839373,0.713640,1.584735,-5.614277,-51.810324,0.114705
0.010000,15.885777,11.841089,0.728873,1.523297,-6.143786,-52.950852,0.110860
0.010000,15.900256,11.842668,0.743437,1.456458,-6.683929,-54.014286,0.106303
