dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,15.160020,13.280000,0.000029,0.005714,0.571429,57.142857,0.000012
0.010000,15.160134,13.280000,0.000143,0.017143,1.142857,57.142857,0.000079
0.010000,15.160392,13.280000,0.000400,0.034286,1.714286,57.142857,0.000230
0.010000,15.160849,13.280000,0.000857,0.057143,2.285714,57.142857,0.000498
0.010000,15.161563,13.280001,0.001571,0.085714,2.857143,57.142857,0.000916
0.010000,15.162592,13.280002,0.002600,0.120000,3.428571,57.142857,0.001517
0.010000,15.163992,13.280005,0.004000,0.160000,4.000000,57.142857,0.002333
0.010000,15.165792,13.280010,0.005800,0.200000,4.000000,-0.000000,0.003378
0.010000,15.167992,13.280019,0.008000,0.240000,4.000000,0.000000,0.004650
0.010000,15.170591,13.280033,0.010600,0.280000,4.000000,-0.000000,0.006145
0.010000,15.173591,13.280054,0.013600,0.320000,4.000000,0.000000,0.007858
0.010000,15.176991,13.280084,0.017000,0.360000,4.000000,-0.000000,0.009786
0.010000,15.180791,13.280125,0.020800,0.400000,4.000000,0.000000,0.011923
0.010000,15.184991,13.280180,0.025000,0.440000,4.000000,0.000000,0.014262
0.010000,15.189590,13.280251,0.029600,0.480000,4.000000,-0.000000,0.016797
0.010000,15.194589,13.280342,0.034600,0.520000,4.000000,0.000000,0.019520
0.010000,15.199988,13.280455,0.040000,0.560000,4.000000,-0.000000,0.022424
0.010000,15.205786,13.280594,0.045800,0.600000,4.000000,0.000000,0.025499
0.010000,15.211984,13.280763,0.052000,0.640000,4.000000,0.000000,0.028736
0.010000,15.218581,13.280963,0.058600,0.680000,4.000000,-0.000000,0.032124
0.010000,15.225577,13.281201,0.065600,0.720000,4.000000,0.000000,0.035653
0.010000,15.232972,13.281478,0.073000,0.760000,4.000000,0.000000,0.039311
0.010000,15.240765,13.281799,0.080800,0.800000,4.000000,-0.000000,0.043085
0.010000,15.248957,13.282168,0.089000,0.840000,4.000000,0.000000,0.046963
0.010000,15.257547,13.282589,0.097600,0.880000,4.000000,0.000000,0.050930
0.010000,15.266534,13.283066,0.106600,0.920000,4.000000,0.000000,0.054972
0.010000,15.275919,13.283601,0.116000,0.960000,4.000000,-0.000000,0.059074
0.010000,15.285700,13.284200,0.125800,1.000000,4.000000,0.000000,0.063219
0.010000,15.295879,13.284866,0.136000,1.040000,4.000000,0.000000,0.067391
0.010000,15.306453,13.285602,0.146600,1.080000,4.000000,-0.000000,0.071572
0.010000,15.317423,13.286412,0.157600,1.120000,4.000000,0.000000,0.075745
0.010000,15.328789,13.287298,0.169000,1.160000,4.000000,0.000000,0.079890
0.010000,15.340549,13.288264,0.180800,1.200000,4.000000,0.000000,0.083987
0.010000,15.352704,13.289312,0.193000,1.240000,4.000000,0.000000,0.088018
0.010000,15.365253,13.290445,0.205600,1.280000,4.000000,0.000000,0.091961
0.010000,15.378196,13.291664,0.218600,1.320000,4.000000,0.000000,0.095794
0.010000,15.391532,13.292971,0.232000,1.360000,4.000000,-0.000000,0.099496
0.010000,15.405261,13.294366,0.245800,1.400000,4.000000,0.000000,0.103044
0.010000,15.419383,13.295851,0.260000,1.440000,4.000000,-0.000000,0.106414
0.010000,15.433898,13.297425,0.274600,1.480000,4.000000,0.000000,0.109583
0.010000,15.448806,13.299088,0.289600,1.520000,4.000000,0.000000,0.112526
