dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.459971,9.080000,0.000029,0.005704,0.570442,57.044245,0.000019
0.010000,17.460067,9.080000,0.000125,0.009649,0.394443,-17.599897,6.283172
0.010000,17.460435,9.080000,0.000493,0.036811,2.716176,232.173295,6.283097
0.010000,17.461090,9.080000,0.001148,0.065444,2.863310,14.713317,6.282965
0.010000,17.462113,9.080000,0.002170,0.102263,3.681880,81.856993,6.282759
0.010000,17.463585,9.079999,0.003643,0.147272,4.500972,81.909278,6.282462
0.010000,17.465590,9.079997,0.005648,0.200481,5.320872,81.989946,6.282057
0.010000,17.468168,9.079993,0.008226,0.257807,5.732608,41.173631,6.281536
0.010000,17.471320,9.079987,0.011377,0.315167,5.736039,0.343112,6.280899
0.010000,17.475045,9.079977,0.015103,0.372570,5.740230,0.419097,6.280146
0.010000,17.479346,9.079962,0.019403,0.430022,5.745178,0.494814,6.279275
0.010000,17.484221,9.079941,0.024279,0.487530,5.750880,0.570217,6.278288
0.010000,17.489672,9.079911,0.029730,0.545104,5.757329,0.644886,6.277183
0.010000,17.495699,9.079871,0.035757,0.602749,5.764525,0.719561,6.275960
0.010000,17.502304,9.079819,0.042362,0.660473,5.772461,0.793642,6.274618
0.010000,17.509486,9.079752,0.049545,0.718285,5.781138,0.867650,6.273157
0.010000,17.517248,9.079668,0.057307,0.776190,5.790533,0.939561,6.271576
0.010000,17.525589,9.079564,0.065649,0.834197,5.800661,1.012711,6.269875
0.010000,17.534511,9.079437,0.074572,0.892312,5.811496,1.083495,6.268052
0.010000,17.544015,9.079284,0.084077,0.950542,5.823031,1.153557,6.266108
0.010000,17.554103,9.079102,0.094166,1.008895,5.835268,1.223669,6.264040
0.010000,17.564774,9.078886,0.104840,1.067377,5.848183,1.291518,6.261849
0.010000,17.576031,9.078632,0.116100,1.125994,5.861758,1.357472,6.259534
0.010000,17.587875,9.078338,0.127947,1.184754,5.875998,1.424044,6.257093
0.010000,17.600307,9.077997,0.140384,1.243663,5.890868,1.486939,6.254525
0.010000,17.613329,9.077606,0.153411,1.302726,5.906350,1.548212,6.251830
0.010000,17.626941,9.077160,0.167031,1.361951,5.922440,1.609026,6.249006
0.010000,17.641145,9.076654,0.181244,1.421342,5.939091,1.665068,6.246052
0.010000,17.655943,9.076081,0.196053,1.480905,5.956302,1.721108,6.242968
0.010000,17.671336,9.075437,0.211460,1.540645,5.974026,1.772393,6.239751
0.010000,17.687326,9.074715,0.227465,1.600567,5.992236,1.821067,6.236402
0.010000,17.703913,9.073910,0.244072,1.660676,6.010910,1.867406,6.232917
0.010000,17.721099,9.073014,0.261282,1.720976,6.029992,1.908131,6.229297
0.010000,17.738886,9.072021,0.279097,1.781471,6.049459,1.946779,6.225540
0.010000,17.757275,9.070924,0.297518,1.842163,6.069251,1.979140,6.221645
0.010000,17.776267,9.069715,0.316549,1.903057,6.089331,2.007966,6.217609
0.010000,17.795864,9.068387,0.336190,1.964153,6.109635,2.030401,6.213433
0.010000,17.816066,9.066932,0.356445,2.025454,6.130114,2.047994,6.209114
0.010000,17.836875,9.065341,0.377314,2.086961,6.150699,2.058457,6.204651
0.010000,17.858292,9.063606,0.398801,2.148674,6.171328,2.062859,6.200043
0.010000,17.880317,9.061718,0.420907,2.210594,6.191917,2.058924,6.195289
0.010000,17.902951,9.059667,0.443634,2.272718,6.212398,2.048164,6.190386
0.010000,17.926196,9.057445,0.466985,2.335044,6.232677,2.027860,6.185334
0.010000,17.950051,9.055040,0.490960,2.397571,6.252661,1.998397,6.180132
