dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.460029,6.080000,0.000029,0.005704,0.570442,57.044245,0.000019
0.010000,17.460027,6.080000,0.000031,0.000253,-0.545103,-111.554591,6.283172
0.010000,17.460172,6.080000,0.000176,0.014529,1.427579,197.268230,6.283097
0.010000,17.460430,6.080000,0.000435,0.025827,1.129788,-29.779113,6.282965
0.010000,17.460834,6.080000,0.000838,0.040348,1.452108,32.231982,6.282759
0.010000,17.461415,6.079999,0.001419,0.058087,1.773889,32.178162,6.282462
0.010000,17.462205,6.079999,0.002209,0.079036,2.094883,32.099374,6.282057
0.010000,17.463221,6.079997,0.003225,0.101572,2.253586,15.870333,6.281536
0.010000,17.464461,6.079995,0.004466,0.124073,2.250154,-0.343266,6.280899
0.010000,17.465927,6.079991,0.005931,0.146533,2.245962,-0.419106,6.280146
0.010000,17.467616,6.079985,0.007621,0.168943,2.241015,-0.494713,6.279275
0.010000,17.469529,6.079977,0.009533,0.191296,2.235315,-0.570031,6.278288
0.010000,17.471665,6.079965,0.011669,0.213585,2.228864,-0.645144,6.277183
0.010000,17.474023,6.079949,0.014027,0.235801,2.221667,-0.719674,6.275960
0.010000,17.476602,6.079929,0.016607,0.257939,2.213729,-0.793762,6.274618
0.010000,17.479402,6.079903,0.019407,0.279989,2.205058,-0.867101,6.273157
0.010000,17.482421,6.079870,0.022426,0.301946,2.195655,-0.940364,6.271576
0.010000,17.485659,6.079830,0.025664,0.323801,2.185533,-1.012126,6.269875
0.010000,17.489114,6.079781,0.029120,0.345548,2.174697,-1.083652,6.268052
0.010000,17.492785,6.079722,0.032791,0.367180,2.163155,-1.154148,6.266108
0.010000,17.496672,6.079651,0.036678,0.388689,2.150924,-1.223149,6.264040
0.010000,17.500771,6.079568,0.040779,0.410069,2.138010,-1.291368,6.261849
0.010000,17.505083,6.079471,0.045092,0.431313,2.124426,-1.358454,6.259534
0.010000,17.509606,6.079359,0.049616,0.452415,2.110193,-1.423225,6.257093
0.010000,17.514338,6.079229,0.054350,0.473369,2.095322,-1.487088,6.254525
0.010000,17.519278,6.079081,0.059292,0.494167,2.079833,-1.548987,6.251830
0.010000,17.524423,6.078912,0.064440,0.514804,2.063751,-1.608200,6.249006
0.010000,17.529772,6.078722,0.069792,0.535275,2.047090,-1.666051,6.246052
0.010000,17.535324,6.078507,0.075348,0.555574,2.029886,-1.720394,6.242968
0.010000,17.541076,6.078266,0.081105,0.575696,2.012160,-1.772662,6.239751
0.010000,17.547026,6.077998,0.087061,0.595635,1.993943,-1.821645,6.236402
0.010000,17.553173,6.077699,0.093215,0.615388,1.975275,-1.866823,6.232917
0.010000,17.559514,6.077369,0.099565,0.634950,1.956185,-1.908955,6.229297
0.010000,17.566047,6.077004,0.106108,0.654317,1.936723,-1.946237,6.225540
0.010000,17.572769,6.076603,0.112843,0.673486,1.916926,-1.979701,6.221645
0.010000,17.579680,6.076163,0.119767,0.692455,1.896848,-2.007766,6.217609
0.010000,17.586776,6.075682,0.126880,0.711220,1.876539,-2.030883,6.213433
0.010000,17.594055,6.075158,0.134177,0.729781,1.856061,-2.047846,6.209114
0.010000,17.601515,6.074587,0.141659,0.748135,1.835473,-2.058810,6.204651
0.010000,17.609152,6.073969,0.149322,0.766284,1.814846,-2.062672,6.200043
0.010000,17.616966,6.073299,0.157164,0.784226,1.794251,-2.059495,6.195289
0.010000,17.624953,6.072575,0.165184,0.801964,1.773772,-2.047943,6.190386
0.010000,17.633111,6.071795,0.173379,0.819499,1.753490,-2.028153,6.185334
0.010000,17.641437,6.070956,0.181747,0.836834,1.733499,-1.999113,6.180132
0.010000,17.649929,6.070055,0.190287,0.853973,1.713903,-1.959645,6.174777
0.010000,17.658584,6.069089,0.198996,0.870921,1.694797,-1.910611,6.169270
0.010000,17.667401,6.068055,0.207873,0.887684,1.676305,-1.849115,6.163608
0.010000,17.676376,6.066950,0.216915,0.904269,1.658539,-1.776597,6.157790
0.010000,17.685507,6.065771,0.226122,0.920686,1.641635,-1.690402,6.151815
0.010000,17.694792,6.064516,0.235492,0.936943,1.625721,-1.591417,6.145683
0.010000,17.704228,6.063180,0.245022,0.953053,1.610947,-1.477454,6.139392
0.010000,17.713814,6.061760,0.254712,0.969027,1.597460,-1.348643,6.132941
0.010000,17.723547,6.060254,0.264561,0.984881,1.585421,-1.203955,6.126330
0.010000,17.733425,6.058657,0.274568,1.000631,1.574994,-1.042625,6.119557
0.010000,17.743446,6.056967,0.284730,1.016295,1.566360,-0.863478,6.112623
0.010000,17.753609,6.055180,0.295049,1.031892,1.559692,-0.666819,6.105526
0.010000,17.763912,6.053291,0.305524,1.047444,1.555184,-0.450721,6.098267
0.010000,17.774353,6.051298,0.316154,1.062974,1.553027,-0.215734,6.090846
0.010000,17.784932,6.049196,0.326939,1.078508,1.553424,0.039711,6.083261
0.010000,17.795646,6.046982,0.337879,1.094074,1.556578,0.315410,6.075514
0.010000,17.806495,6.044651,0.348976,1.109701,1.562698,0.612028,6.067606
0.010000,17.817479,6.042199,0.360231,1.125421,1.571998,0.929918,6.059535
0.010000,17.828597,6.039622,0.371643,1.141268,1.584687,1.268980,6.051305
0.010000,17.839849,6.036916,0.383216,1.157278,1.600984,1.629666,6.042914
0.010000,17.851235,6.034075,0.394951,1.173489,1.621097,2.011326,6.034366
0.010000,17.862755,6.031094,0.406850,1.189941,1.645239,2.414143,6.025661
0.010000,17.874410,6.027969,0.418917,1.206677,1.673612,2.837305,6.016801
0.010000,17.886201,6.024695,0.431155,1.223741,1.706416,3.280430,6.007789
0.010000,17.898130,6.021265,0.443566,1.241180,1.743838,3.742184,5.998627
0.010000,17.910197,6.017674,0.456157,1.259040,1.786058,4.221973,5.989318
0.010000,17.922406,6.013916,0.468930,1.277373,1.833237,4.717962,5.979865
0.010000,17.934757,6.009985,0.481893,1.296228,1.885528,5.229030,5.970272
0.010000,17.947255,6.005875,0.495049,1.315658,1.943054,5.752652,5.960541
0.010000,17.959902,6.001577,0.508407,1.335718,2.005929,6.287470,5.950679
0.010000,17.972702,5.997085,0.521971,1.356460,2.074236,6.830696,5.940688
0.010000,17.985657,5.992392,0.535751,1.377940,2.148033,7.379689,5.930574
0.010000,17.998773,5.987489,0.549753,1.400214,2.227352,7.931978,5.920343
0.010000,18.012053,5.982368,0.563986,1.423336,2.312195,8.484219,5.909999
0.010000,18.025503,5.977021,0.578460,1.447361,2.402529,9.033398,5.899550
0.010000,18.039127,5.971438,0.593183,1.472344,2.498288,9.575954,5.889001
0.010000,18.052930,5.965610,0.608166,1.498338,2.599374,10.108626,5.878359
0.010000,18.066919,5.959527,0.623420,1.525394,2.705650,10.627584,5.867631
0.010000,18.081098,5.953178,0.638956,1.553564,2.816945,11.129440,5.856825
0.010000,18.095474,5.946554,0.654785,1.582894,2.933047,11.610246,5.845948
0.010000,18.110053,5.939642,0.670919,1.613431,3.053715,12.066767,5.835008
0.010000,18.124840,5.932431,0.687371,1.645218,3.178666,12.495165,5.824014
0.010000,18.139844,5.924910,0.704154,1.678294,3.307590,12.892366,5.812975
0.010000,18.155068,5.917065,0.721281,1.712695,3.440141,13.255072,5.801898
0.010000,18.170521,5.908885,0.738766,1.748455,3.575945,13.580391,5.790794
0.010000,18.186209,5.900356,0.756622,1.785601,3.714603,13.865837,5.779671
0.010000,18.202137,5.891465,0.774863,1.824158,3.855693,14.109029,5.768539
0.010000,18.218312,5.882199,0.793505,1.864145,3.998775,14.308148,5.757408
0.010000,18.234741,5.872543,0.812561,1.905579,4.143393,14.461824,5.746286
0.010000,18.251428,5.862484,0.832045,1.948470,4.289082,14.568927,5.735184
0.010000,18.268380,5.852008,0.851974,1.992824,4.435373,14.629011,5.724112
0.010000,18.285603,5.841099,0.872360,2.038642,4.581792,14.641961,5.713079
0.010000,18.303100,5.829744,0.893219,2.085921,4.727875,14.608238,5.702095
