dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000001,5.166500,0.000029,0.005828,0.582751,58.275058,6.283185
0.010000,0.000000,5.166500,0.000030,0.000044,-0.578340,-116.109055,6.283185
0.010000,0.000192,5.166500,0.000221,0.019190,1.914629,249.296901,0.000001
0.010000,0.000657,5.166500,0.000686,0.046444,2.725323,81.069438,0.000002
0.010000,0.001382,5.166500,0.001412,0.072568,2.612456,-11.286766,0.000005
0.010000,0.002427,5.166500,0.002457,0.104498,3.193004,58.054780,0.000008
0.010000,0.003850,5.166500,0.003879,0.142234,3.773553,58.054963,0.000013
0.010000,0.005707,5.166500,0.005737,0.185775,4.354105,58.055218,0.000019
0.010000,0.008059,5.166500,0.008088,0.235121,4.934661,58.055554,0.000026
0.010000,0.010961,5.166500,0.010991,0.290274,5.515221,58.055988,0.000036
0.010000,0.014474,5.166500,0.014503,0.351231,6.095786,58.056529,0.000047
0.010000,0.018654,5.166501,0.018683,0.417995,6.676358,58.057188,0.000061
0.010000,0.023530,5.166501,0.023560,0.487662,6.966663,29.030473,0.000077
0.010000,0.029103,5.166501,0.029133,0.557329,6.966699,0.003610,0.000095
0.010000,0.035373,5.166502,0.035403,0.626996,6.966740,0.004126,0.000115
0.010000,0.042340,5.166503,0.042369,0.696664,6.966786,0.004642,0.000138
0.010000,0.050003,5.166504,0.050033,0.766332,6.966838,0.005157,0.000162
0.010000,0.058363,5.166506,0.058393,0.836001,6.966895,0.005674,0.000190
0.010000,0.067420,5.166507,0.067449,0.905671,6.966957,0.006189,0.000219
0.010000,0.077174,5.166510,0.077203,0.975341,6.967024,0.006705,0.000250
0.010000,0.087624,5.166512,0.087653,1.045012,6.967096,0.007221,0.000284
0.010000,0.098770,5.166516,0.098800,1.114684,6.967173,0.007737,0.000320
0.010000,0.110614,5.166520,0.110643,1.184356,6.967256,0.008253,0.000358
0.010000,0.123154,5.166525,0.123184,1.254030,6.967344,0.008768,0.000399
0.010000,0.136391,5.166530,0.136421,1.323704,6.967436,0.009285,0.000441
0.010000,0.150325,5.166537,0.150354,1.393379,6.967534,0.009800,0.000486
0.010000,0.164956,5.166544,0.164985,1.463056,6.967638,0.010317,0.000533
0.010000,0.180283,5.166553,0.180312,1.532733,6.967746,0.010833,0.000582
0.010000,0.196307,5.166562,0.196337,1.602412,6.967859,0.011348,0.000633
