dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000001,2.833500,0.000029,0.005828,0.582751,58.275058,6.283185
0.010000,-0.000000,2.833500,0.000030,0.000037,-0.579059,-116.180918,6.283185
0.010000,0.000173,2.833500,0.000203,0.017373,1.733603,231.266157,0.000000
0.010000,0.000641,2.833500,0.000671,0.046768,2.939477,120.587398,0.000002
0.010000,0.001372,2.833500,0.001402,0.073075,2.630683,-30.879392,0.000004
0.010000,0.002424,2.833500,0.002454,0.105227,3.215278,58.459464,0.000007
0.010000,0.003856,2.833500,0.003886,0.143226,3.799871,58.459324,0.000010
0.010000,0.005727,2.833500,0.005757,0.187071,4.384462,58.459129,0.000015
0.010000,0.008095,2.833500,0.008125,0.236761,4.969051,58.458871,0.000022
0.010000,0.011018,2.833500,0.011047,0.292298,5.553636,58.458539,0.000030
0.010000,0.014554,2.833500,0.014584,0.353680,6.138218,58.458125,0.000039
0.010000,0.018764,2.833500,0.018793,0.420908,6.722794,58.457619,0.000051
0.010000,0.023674,2.833501,0.023704,0.491058,7.015067,29.227371,0.000064
0.010000,0.029286,2.833501,0.029316,0.561209,7.015040,-0.002765,0.000079
0.010000,0.035600,2.833502,0.035630,0.631359,7.015008,-0.003161,0.000096
0.010000,0.042615,2.833502,0.042645,0.701509,7.014973,-0.003555,0.000115
0.010000,0.050331,2.833503,0.050361,0.771658,7.014933,-0.003951,0.000136
0.010000,0.058750,2.833505,0.058779,0.841807,7.014890,-0.004346,0.000159
0.010000,0.067869,2.833506,0.067899,0.911955,7.014842,-0.004741,0.000183
0.010000,0.077690,2.833508,0.077720,0.982103,7.014791,-0.005136,0.000210
0.010000,0.088213,2.833511,0.088242,1.052250,7.014736,-0.005532,0.000238
0.010000,0.099437,2.833513,0.099466,1.122397,7.014676,-0.005926,0.000268
0.010000,0.111362,2.833517,0.111392,1.192543,7.014613,-0.006322,0.000300
0.010000,0.123989,2.833521,0.124019,1.262689,7.014546,-0.006717,0.000334
0.010000,0.137317,2.833525,0.137347,1.332834,7.014475,-0.007111,0.000370
0.010000,0.151347,2.833531,0.151377,1.402978,7.014400,-0.007507,0.000407
0.010000,0.166078,2.833537,0.166108,1.473121,7.014321,-0.007902,0.000446
0.010000,0.181511,2.833544,0.181541,1.543263,7.014238,-0.008298,0.000488
0.010000,0.197645,2.833553,0.197675,1.613405,7.014151,-0.008692,0.000531
0.010000,0.214480,2.833562,0.214510,1.683545,7.014060,-0.009088,0.000575
0.010000,0.232017,2.833572,0.232047,1.753685,7.013965,-0.009483,0.000622
0.010000,0.250255,2.833584,0.250285,1.823824,7.013866,-0.009878,0.000670
0.010000,0.269195,2.833597,0.269225,1.893961,7.013764,-0.010274,0.000720
