dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.380020,20.850000,0.000030,0.005999,0.599910,59.990976,6.283172
0.010000,17.380040,20.850000,0.000051,0.002064,-0.393477,-99.338644,0.000027
0.010000,17.380174,20.850000,0.000184,0.013352,1.128744,152.222077,0.000118
0.010000,17.380411,20.850000,0.000422,0.023735,1.038303,-9.044134,0.000280
0.010000,17.380782,20.850000,0.000792,0.037081,1.334651,29.634826,0.000533
0.010000,17.381316,20.850001,0.001326,0.053388,1.630656,29.600463,0.000897
0.010000,17.382042,20.850001,0.002053,0.072649,1.926149,29.549378,0.001392
0.010000,17.382991,20.850003,0.003001,0.094859,2.220940,29.479084,0.002040
0.010000,17.384191,20.850006,0.004201,0.120007,2.514804,29.386375,0.002859
0.010000,17.385672,20.850011,0.005682,0.148082,2.807493,29.268932,0.003872
0.010000,17.387448,20.850019,0.007458,0.177590,2.950802,14.330833,0.005088
0.010000,17.389518,20.850031,0.009528,0.207040,2.945021,-0.578034,0.006507
0.010000,17.391882,20.850048,0.011893,0.236424,2.938387,-0.663435,0.008130
0.010000,17.394539,20.850072,0.014550,0.265733,2.930948,-0.743907,0.009958
0.010000,17.397489,20.850105,0.017500,0.294961,2.922766,-0.818228,0.011991
0.010000,17.400730,20.850147,0.020741,0.324100,2.913907,-0.885899,0.014230
0.010000,17.404261,20.850202,0.024272,0.353145,2.904447,-0.945953,0.016675
0.010000,17.408081,20.850270,0.028093,0.382089,2.894476,-0.997144,0.019327
0.010000,17.412189,20.850356,0.032202,0.410930,2.884083,-1.039259,0.022186
0.010000,17.416585,20.850460,0.036599,0.439664,2.873380,-1.070296,0.025254
0.010000,17.421266,20.850586,0.041282,0.468289,2.862477,-1.090294,0.028532
0.010000,17.426232,20.850736,0.046250,0.496804,2.851506,-1.097154,0.032018
0.010000,17.431481,20.850914,0.051502,0.525210,2.840600,-1.090572,0.035716
0.010000,17.437012,20.851123,0.057037,0.553509,2.829913,-1.068679,0.039625
0.010000,17.442824,20.851365,0.062854,0.581705,2.819604,-1.030942,0.043746
0.010000,17.448915,20.851645,0.068952,0.609803,2.809849,-0.975480,0.048079
0.010000,17.455285,20.851966,0.075330,0.637812,2.800836,-0.901327,0.052626
0.010000,17.461933,20.852332,0.081988,0.665739,2.792764,-0.807203,0.057386
0.010000,17.468856,20.852747,0.088924,0.693598,2.785849,-0.691443,0.062360
0.010000,17.476055,20.853215,0.096138,0.721401,2.780318,-0.553136,0.067550
0.010000,17.483528,20.853741,0.103629,0.749165,2.776413,-0.390513,0.072954
0.010000,17.491275,20.854329,0.111398,0.776909,2.774389,-0.202371,0.078573
0.010000,17.499295,20.854984,0.119445,0.804654,2.774515,0.012625,0.084406
0.010000,17.507587,20.855711,0.127769,0.832425,2.777072,0.255723,0.090455
0.010000,17.516152,20.856515,0.136372,0.860249,2.782357,0.528437,0.096718
0.010000,17.524989,20.857401,0.145253,0.888155,2.790671,0.831446,0.103196
0.010000,17.534099,20.858375,0.154415,0.916179,2.802335,1.166399,0.109886
0.010000,17.543482,20.859443,0.163859,0.944355,2.817673,1.533817,0.116788
0.010000,17.553139,20.860611,0.173586,0.972726,2.837021,1.934747,0.123901
0.010000,17.563071,20.861885,0.183599,1.001333,2.860716,2.369522,0.131223
0.010000,17.573280,20.863271,0.193901,1.030224,2.889105,2.838931,0.138753
0.010000,17.583767,20.864777,0.204496,1.059449,2.922533,3.342734,0.146488
0.010000,17.594534,20.866410,0.215386,1.089063,2.961344,3.881161,0.154425
0.010000,17.605585,20.868176,0.226578,1.119121,3.005879,4.453464,0.162562
0.010000,17.616923,20.870084,0.238075,1.149686,3.056470,5.059135,0.170895
0.010000,17.628550,20.872142,0.249883,1.180820,3.113440,5.696929,0.179420
0.010000,17.640472,20.874358,0.262009,1.212591,3.177092,6.365281,0.188134
0.010000,17.652692,20.876741,0.274459,1.245068,3.247715,7.062272,0.197031
0.010000,17.665217,20.879300,0.287243,1.278324,3.325571,7.785604,0.206106
0.010000,17.678051,20.882046,0.300367,1.312433,3.410894,8.532243,0.215354
0.010000,17.691200,20.884987,0.313842,1.347472,3.503884,9.299075,0.224768
0.010000,17.704673,20.888135,0.327677,1.383519,3.604708,10.082314,0.234341
0.010000,17.718475,20.891501,0.341883,1.420654,3.713484,10.877595,0.244067
0.010000,17.732614,20.895097,0.356473,1.458957,3.830290,11.680601,0.253938
0.010000,17.747100,20.898934,0.371458,1.498508,3.955151,12.486101,0.263945
0.010000,17.761940,20.903026,0.386852,1.539389,4.088040,13.288901,0.274079
0.010000,17.777144,20.907385,0.402669,1.581677,4.228872,14.083244,0.284332
0.010000,17.792722,20.912026,0.418923,1.625452,4.377506,14.863443,0.294692
0.010000,17.808684,20.916962,0.435631,1.670790,4.533741,15.623412,0.305150
0.010000,17.825041,20.922209,0.452809,1.717763,4.697312,16.357171,0.315695
0.010000,17.841803,20.927783,0.470473,1.766442,4.867899,17.058658,0.326315
0.010000,17.858981,20.933700,0.488642,1.816893,5.045120,17.722114,0.336999
0.010000,17.876588,20.939975,0.507334,1.869179,5.228538,18.341835,0.347734
0.010000,17.894635,20.946627,0.526567,1.923355,5.417664,18.912616,0.358508
0.010000,17.913133,20.953673,0.546362,1.979475,5.611961,19.429673,0.369308
0.010000,17.932095,20.961131,0.566738,2.037583,5.810848,19.888651,0.380121
0.010000,17.951532,20.969020,0.587715,2.097720,6.013708,20.286076,0.390932
0.010000,17.971457,20.977359,0.609314,2.159919,6.219898,20.618977,0.401729
0.010000,17.991881,20.986166,0.631556,2.224207,6.428751,20.885276,0.412497
0.010000,18.012816,20.995462,0.654462,2.290603,6.639589,21.083778,0.423222
0.010000,18.034273,21.005267,0.678054,2.359120,6.851730,21.214078,0.433891
0.010000,18.056264,21.015599,0.702351,2.429765,7.064497,21.276754,0.444488
0.010000,18.078801,21.026479,0.727377,2.502537,7.277230,21.273243,0.455000
0.010000,18.101893,21.037927,0.753151,2.577430,7.489288,21.205883,0.465413
0.010000,18.125552,21.049963,0.779695,2.654431,7.700067,21.077859,0.475713
0.010000,18.149788,21.062606,0.807031,2.733521,7.908998,20.893145,0.485885
0.010000,18.174610,21.075876,0.835177,2.814676,8.115563,20.656459,0.495916
0.010000,18.200029,21.089791,0.864156,2.897869,8.319294,20.373134,0.505792
0.010000,18.226054,21.104372,0.893987,2.983067,8.519786,20.049140,0.515501
0.010000,18.252693,21.119635,0.924689,3.070234,8.716694,19.690793,0.525028
0.010000,18.279956,21.135600,0.956282,3.159332,8.909743,19.304894,0.534361
0.010000,18.307852,21.152282,0.988786,3.250319,9.098727,18.898441,0.543488
0.010000,18.336388,21.169698,1.022217,3.343154,9.283513,18.478633,0.552395
0.010000,18.365574,21.187865,1.056595,3.437794,9.464040,18.052707,0.561072
0.010000,18.395417,21.206798,1.091937,3.534198,9.640319,17.627899,0.569505
0.010000,18.425926,21.226510,1.128260,3.632322,9.812434,17.211416,0.577685
0.010000,18.457110,21.247015,1.165581,3.732127,9.980535,16.810165,0.585599
0.010000,18.488976,21.268327,1.203917,3.833576,10.144845,16.430988,0.593237
0.010000,18.521534,21.290456,1.243284,3.936632,10.305648,16.080297,0.600588
0.010000,18.554793,21.313413,1.283696,4.041265,10.463292,15.764385,0.607641
0.010000,18.588762,21.337208,1.325171,4.147447,10.618182,15.488977,0.614386
0.010000,18.623452,21.361850,1.367722,4.255155,10.770779,15.259697,0.620813
0.010000,18.658874,21.387347,1.411366,4.364371,10.921594,15.081564,0.626912
0.010000,18.695038,21.413706,1.456117,4.475083,11.071189,14.959483,0.632672
0.010000,18.731957,21.440932,1.501990,4.587284,11.220167,14.897772,0.638085
0.010000,18.769645,21.469030,1.548999,4.700976,11.369172,14.900559,0.643140
0.010000,18.808116,21.498005,1.597161,4.816165,11.518889,14.971645,0.647826
0.010000,18.847385,21.527859,1.646490,4.932865,11.670033,15.114418,0.652135
0.010000,18.887448,21.558577,1.696974,5.048395,11.552945,-11.708787,0.656053
0.010000,18.928279,21.590126,1.748573,5.159905,11.151011,-40.193459,0.659568
0.010000,18.969852,21.622468,1.801244,5.267154,10.724901,-42.610982,0.662668
0.010000,19.012140,21.655563,1.854943,5.369907,10.275280,-44.962044,0.665343
0.010000,19.055117,21.689368,1.909623,5.467935,9.802795,-47.248536,0.667584
0.010000,19.098757,21.723837,1.965233,5.561015,9.308047,-49.474801,0.669385
0.010000,19.143031,21.758920,2.021722,5.648931,8.791572,-51.647471,0.670740
0.010000,19.187911,21.794567,2.079037,5.731469,8.253822,-53.774992,0.671644
0.010000,19.233370,21.830723,2.137121,5.808420,7.695149,-55.867340,0.672095
0.010000,19.279377,21.867333,2.195916,5.879534,7.111345,-58.380362,0.672092
0.010000,19.325902,21.904336,2.255362,5.944602,6.506775,-60.456989,0.671635
0.010000,19.372913,21.941674,2.315397,6.003462,5.885988,-62.078710,0.670724
0.010000,19.420377,21.979284,2.375956,6.055907,5.244516,-64.147206,0.669364
0.010000,19.468261,22.017103,2.436973,6.101728,4.582118,-66.239872,0.667557
0.010000,19.516528,22.055066,2.498380,6.140712,3.898439,-68.367815,0.665310
0.010000,19.565139,22.093106,2.560107,6.172643,3.193030,-70.540971,0.662629
0.010000,19.614055,22.131157,2.622080,6.197296,2.465351,-72.767841,0.659524
0.010000,19.663233,22.169151,2.684224,6.214444,1.714802,-75.054913,0.656003
0.010000,19.712626,22.207018,2.746463,6.223851,0.940736,-77.406620,0.652080
0.010000,19.762186,22.244691,2.808716,6.225326,0.147449,-79.328737,0.647766
0.010000,19.811889,22.282120,2.870936,6.222021,-0.330533,-47.798150,0.643074
0.010000,19.861736,22.319278,2.933108,6.217204,-0.481658,-15.112465,0.638015
0.010000,19.911726,22.356136,2.995217,6.210890,-0.631363,-14.970538,0.632598
0.010000,19.961858,22.392668,3.057248,6.203087,-0.780366,-14.900279,0.626832
0.010000,20.012130,22.428848,3.119186,6.193793,-0.929349,-14.898294,0.620729
0.010000,20.062541,22.464650,3.181016,6.183004,-1.078955,-14.960650,0.614298
0.010000,20.113085,22.500048,3.242723,6.170706,-1.229790,-15.083496,0.607549
0.010000,20.163759,22.535018,3.304292,6.156882,-1.382411,-15.262130,0.600492
0.010000,20.214556,22.569535,3.365707,6.141508,-1.537332,-15.492026,0.593137
0.010000,20.265470,22.603576,3.426953,6.124558,-1.695010,-15.767837,0.585496
0.010000,20.316492,22.637118,3.488013,6.106000,-1.855852,-16.084141,0.577578
0.010000,20.367613,22.670139,3.548870,6.085798,-2.020203,-16.435154,0.569396
0.010000,20.418822,22.702616,3.609510,6.063914,-2.188348,-16.814540,0.560959
0.010000,20.470106,22.734529,3.669913,6.040309,-2.360507,-17.215879,0.552279
0.010000,20.521452,22.765858,3.730062,6.014941,-2.536832,-17.632477,0.543369
0.010000,20.572846,22.796583,3.789940,5.987767,-2.717403,-18.057140,0.534240
0.010000,20.624271,22.826686,3.849527,5.958745,-2.902233,-18.482988,0.524904
0.010000,20.675709,22.856148,3.908806,5.927832,-3.091259,-18.902534,0.515375
0.010000,20.727142,22.884954,3.967755,5.894988,-3.284345,-19.308639,0.505664
0.010000,20.778549,22.913087,4.026357,5.860176,-3.481287,-19.694155,0.495786
0.010000,20.829908,22.940534,4.084591,5.823358,-3.681806,-20.051953,0.485753
0.010000,20.881198,22.967280,4.142436,5.784502,-3.885560,-20.375415,0.475579
0.010000,20.932395,22.993315,4.199872,5.743581,-4.092141,-20.658050,0.465279
0.010000,20.983473,23.018627,4.256877,5.700570,-4.301081,-20.894049,0.454865
0.010000,21.034406,23.043207,4.313432,5.655451,-4.511861,-21.077975,0.444351
0.010000,21.085169,23.067047,4.369514,5.608212,-4.723913,-21.205189,0.433753
0.010000,21.135733,23.090141,4.425102,5.558846,-4.936630,-21.271700,0.423084
0.010000,21.186071,23.112484,4.480176,5.507352,-5.149373,-21.274336,0.412359
0.010000,21.236154,23.134072,4.534713,5.453737,-5.361481,-21.210785,0.401590
0.010000,21.285952,23.154904,4.588693,5.398014,-5.572277,-21.079591,0.390794
0.010000,21.335437,23.174980,4.642095,5.340204,-5.781079,-20.880236,0.379983
0.010000,21.384579,23.194300,4.694899,5.280331,-5.987210,-20.613068,0.369171
0.010000,21.433348,23.212868,4.747083,5.218431,-6.190004,-20.279378,0.358372
0.010000,21.481715,23.230687,4.798629,5.154543,-6.388816,-19.881189,0.347598
0.010000,21.529651,23.247765,4.849516,5.088713,-6.583030,-19.421464,0.336864
0.010000,21.577127,23.264108,4.899726,5.020992,-6.772068,-18.903808,0.326181
0.010000,21.624114,23.279725,4.949240,4.951438,-6.955393,-18.332418,0.315562
0.010000,21.670585,23.294626,4.998041,4.880113,-7.132514,-17.712186,0.305019
0.010000,21.716511,23.308822,5.046112,4.807083,-7.302998,-17.048325,0.294562
0.010000,21.761868,23.322327,5.093436,4.732419,-7.466463,-16.346484,0.284204
0.010000,21.806628,23.335153,5.139998,4.656193,-7.622587,-15.612405,0.273953
0.010000,21.850768,23.347317,5.185783,4.578482,-7.771110,-14.852355,0.263821
0.010000,21.894263,23.358832,5.230776,4.499363,-7.911831,-14.072035,0.253816
0.010000,21.937090,23.369717,5.274966,4.418917,-8.044606,-13.277514,0.243948
0.010000,21.979229,23.379989,5.318338,4.337224,-8.169355,-12.474973,0.234224
0.010000,22.020658,23.389664,5.360882,4.254363,-8.286050,-11.669445,0.224653
0.010000,22.061357,23.398763,5.402586,4.170416,-8.394717,-10.866706,0.215241
0.010000,22.101309,23.407305,5.443440,4.085462,-8.495433,-10.071588,0.205996
0.010000,22.140496,23.415308,5.483436,3.999579,-8.588319,-9.288641,0.196924
0.010000,22.178902,23.422793,5.522565,3.912843,-8.673543,-8.522371,0.188029
0.010000,22.216511,23.429780,5.560818,3.825330,-8.751300,-7.775757,0.179319
0.010000,22.253311,23.436288,5.598189,3.737112,-8.821831,-7.053068,0.170796
0.010000,22.289289,23.442339,5.634672,3.648258,-8.885396,-6.356460,0.162466
0.010000,22.324431,23.447953,5.670260,3.558835,-8.942283,-5.688679,0.154332
0.010000,22.358729,23.453150,5.704949,3.468907,-8.992793,-5.051077,0.146398
0.010000,22.392172,23.457949,5.738734,3.378535,-9.037256,-4.446253,0.138666
0.010000,22.424751,23.462371,5.771612,3.287775,-9.075998,-3.874216,0.131139
0.010000,22.456458,23.466435,5.803579,3.196681,-9.109361,-3.336274,0.123820
0.010000,22.487287,23.470160,5.834632,3.105304,-9.137692,-2.833174,0.116710
0.010000,22.517231,23.473566,5.864769,3.013691,-9.161333,-2.364010,0.109811
0.010000,22.546284,23.476671,5.893988,2.921884,-9.180632,-1.929942,0.103124
0.010000,22.574442,23.479493,5.922287,2.829925,-9.195924,-1.529239,0.096650
0.010000,22.601701,23.482050,5.949665,2.737850,-9.207548,-1.162376,0.090390
0.010000,22.628057,23.484359,5.976122,2.645691,-9.215829,-0.828084,0.084344
0.010000,22.653507,23.486436,6.001657,2.553481,-9.221080,-0.525087,0.078514
0.010000,22.678049,23.488297,6.026270,2.461244,-9.223610,-0.253058,0.072898
0.010000,22.701681,23.489959,6.049960,2.369007,-9.223713,-0.010286,0.067497
0.010000,22.724401,23.491435,6.072728,2.276791,-9.221668,0.204540,0.062311
0.010000,22.746208,23.492741,6.094574,2.184613,-9.217749,0.391931,0.057339
0.010000,22.767102,23.493891,6.115499,2.092491,-9.212204,0.554411,0.052582
0.010000,22.787081,23.494897,6.135503,2.000438,-9.205276,0.692865,0.048039
0.010000,22.806145,23.495772,6.154588,1.908466,-9.197199,0.807649,0.043708
0.010000,22.824295,23.496528,6.172753,1.816585,-9.188181,0.901836,0.039591
0.010000,22.841531,23.497177,6.190001,1.724800,-9.178422,0.975867,0.035685
0.010000,22.857853,23.497730,6.206333,1.633119,-9.168113,1.030939,0.031991
