dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.180004,24.510000,0.000028,0.005700,0.569985,56.998527,6.283183
0.010000,0.180001,24.510000,0.000031,0.000247,-0.545287,-111.527242,6.283184
0.010000,0.180196,24.510000,0.000226,0.019478,1.923076,246.836267,0.000003
0.010000,0.180642,24.510000,0.000672,0.044611,2.513321,59.024578,0.000009
0.010000,0.181339,24.510000,0.001369,0.069705,2.509375,-0.394655,0.000020
0.010000,0.182343,24.510000,0.002373,0.100375,3.067026,55.765099,0.000035
0.010000,0.183709,24.510000,0.003739,0.136622,3.624687,55.766154,0.000055
0.010000,0.185466,24.510000,0.005495,0.175657,3.903542,27.885472,0.000081
0.010000,0.187613,24.510000,0.007642,0.214693,3.903588,0.004591,0.000112
0.010000,0.190150,24.510001,0.010180,0.253730,3.903644,0.005612,0.000150
0.010000,0.193078,24.510001,0.013107,0.292767,3.903710,0.006633,0.000193
0.010000,0.196396,24.510002,0.016425,0.331805,3.903787,0.007653,0.000242
0.010000,0.200104,24.510003,0.020134,0.370843,3.903874,0.008675,0.000296
0.010000,0.204203,24.510004,0.024233,0.409883,3.903971,0.009696,0.000357
0.010000,0.208692,24.510006,0.028722,0.448924,3.904078,0.010717,0.000423
0.010000,0.213572,24.510008,0.033602,0.487966,3.904195,0.011739,0.000495
0.010000,0.218842,24.510011,0.038872,0.527009,3.904323,0.012761,0.000572
0.010000,0.224502,24.510015,0.044532,0.566054,3.904461,0.013784,0.000656
0.010000,0.230553,24.510019,0.050583,0.605100,3.904609,0.014809,0.000744
0.010000,0.236995,24.510024,0.057025,0.644147,3.904767,0.015828,0.000839
0.010000,0.243827,24.510030,0.063857,0.683197,3.904936,0.016853,0.000939
0.010000,0.251049,24.510037,0.071079,0.722248,3.905114,0.017878,0.001045
0.010000,0.258662,24.510046,0.078692,0.761301,3.905303,0.018902,0.001157
0.010000,0.266666,24.510055,0.086696,0.800356,3.905503,0.019927,0.001274
0.010000,0.275060,24.510066,0.095090,0.839413,3.905712,0.020954,0.001397
0.010000,0.283845,24.510079,0.103874,0.878472,3.905932,0.021979,0.001525
0.010000,0.293020,24.510094,0.113050,0.917534,3.906162,0.023002,0.001659
0.010000,0.302586,24.510110,0.122616,0.956598,3.906402,0.024032,0.001798
0.010000,0.312543,24.510129,0.132572,0.995664,3.906653,0.025060,0.001943
0.010000,0.322890,24.510150,0.142920,1.034734,3.906914,0.026091,0.002094
0.010000,0.333628,24.510173,0.153658,1.073805,3.907185,0.027116,0.002250
0.010000,0.344757,24.510199,0.164787,1.112880,3.907466,0.028144,0.002412
0.010000,0.356276,24.510228,0.176306,1.151958,3.907758,0.029177,0.002579
0.010000,0.368187,24.510260,0.188217,1.191038,3.908060,0.030211,0.002751
0.010000,0.380488,24.510295,0.200518,1.230122,3.908373,0.031239,0.002929
0.010000,0.393180,24.510333,0.213210,1.269209,3.908695,0.032268,0.003113
0.010000,0.406263,24.510375,0.226293,1.308299,3.909028,0.033304,0.003301
0.010000,0.419737,24.510421,0.239767,1.347393,3.909372,0.034345,0.003496
0.010000,0.433601,24.510471,0.253632,1.386490,3.909725,0.035366,0.003695
0.010000,0.447857,24.510525,0.267888,1.425591,3.910090,0.036408,0.003900
0.010000,0.462504,24.510583,0.282535,1.464696,3.910464,0.037450,0.004110
0.010000,0.477542,24.510647,0.297573,1.503804,3.910849,0.038476,0.004325
0.010000,0.492971,24.510715,0.313002,1.542917,3.911244,0.039516,0.004546
0.010000,0.508791,24.510789,0.328822,1.582033,3.911650,0.040564,0.004772
0.010000,0.525002,24.510868,0.345034,1.621154,3.912066,0.041590,0.005003
0.010000,0.541605,24.510953,0.361636,1.660279,3.912492,0.042636,0.005239
0.010000,0.558599,24.511044,0.378631,1.699408,3.912929,0.043683,0.005480
0.010000,0.575984,24.511142,0.396016,1.738542,3.913376,0.044711,0.005727
0.010000,0.593761,24.511246,0.413793,1.777680,3.913833,0.045767,0.005978
0.010000,0.611928,24.511357,0.431961,1.816823,3.914302,0.046802,0.006235
0.010000,0.630488,24.511475,0.450521,1.855971,3.914780,0.047847,0.006496
0.010000,0.649439,24.511601,0.469472,1.895124,3.915269,0.048899,0.006763
0.010000,0.668781,24.511734,0.488815,1.934281,3.915768,0.049933,0.007034
0.010000,0.688515,24.511875,0.508549,1.973444,3.916278,0.050996,0.007311
0.010000,0.708640,24.512025,0.528675,2.012612,3.916799,0.052025,0.007592
0.010000,0.729158,24.512184,0.549193,2.051785,3.917329,0.053091,0.007878
0.010000,0.750067,24.512352,0.570103,2.090964,3.917871,0.054126,0.008169
0.010000,0.771367,24.512529,0.591404,2.130148,3.918423,0.055189,0.008464
0.010000,0.793060,24.512716,0.613098,2.169338,3.918985,0.056228,0.008765
0.010000,0.815144,24.512913,0.635183,2.208534,3.919558,0.057292,0.009070
0.010000,0.837621,24.513120,0.657660,2.247735,3.920141,0.058332,0.009380
0.010000,0.860489,24.513338,0.680530,2.286943,3.920735,0.059400,0.009694
0.010000,0.883750,24.513568,0.703791,2.326156,3.921339,0.060439,0.010013
0.010000,0.907402,24.513808,0.727445,2.365375,3.921955,0.061510,0.010336
0.010000,0.931447,24.514061,0.751491,2.404601,3.922580,0.062552,0.010664
0.010000,0.955884,24.514325,0.775929,2.443833,3.923216,0.063619,0.010996
0.010000,0.980713,24.514603,0.800760,2.483072,3.923863,0.064672,0.011333
0.010000,1.005934,24.514893,0.825983,2.522317,3.924520,0.065728,0.011674
0.010000,1.031548,24.515196,0.851599,2.561569,3.925188,0.066797,0.012020
0.010000,1.057555,24.515513,0.877607,2.600828,3.925867,0.067844,0.012369
0.010000,1.083954,24.515845,0.904008,2.640093,3.926556,0.068913,0.012723
0.010000,1.110745,24.516190,0.930802,2.679366,3.927256,0.069974,0.013081
0.010000,1.137929,24.516551,0.957988,2.718646,3.927966,0.071030,0.013444
0.010000,1.165506,24.516927,0.985568,2.757932,3.928687,0.072100,0.013810
0.010000,1.193475,24.517318,1.013540,2.797227,3.929418,0.073161,0.014180
0.010000,1.221838,24.517726,1.041905,2.836528,3.930161,0.074221,0.014555
0.010000,1.250593,24.518150,1.070664,2.875837,3.930914,0.075290,0.014933
0.010000,1.279741,24.518590,1.099815,2.915154,3.931677,0.076358,0.015315
0.010000,1.309282,24.519049,1.129360,2.954479,3.932451,0.077416,0.015701
0.010000,1.339217,24.519525,1.159298,2.993811,3.933236,0.078487,0.016091
0.010000,1.369544,24.520019,1.189630,3.033151,3.934032,0.079555,0.016484
0.010000,1.400265,24.520531,1.220355,3.072500,3.934838,0.080622,0.016881
0.010000,1.431379,24.521063,1.251473,3.111856,3.935655,0.081687,0.017282
0.010000,1.462886,24.521614,1.282985,3.151221,3.936482,0.082757,0.017686
0.010000,1.494787,24.522184,1.314891,3.190594,3.937321,0.083826,0.018094
0.010000,1.527082,24.522775,1.347191,3.229976,3.938170,0.084897,0.018505
0.010000,1.559769,24.523387,1.379885,3.269366,3.939029,0.085963,0.018920
0.010000,1.592851,24.524020,1.412972,3.308765,3.939900,0.087034,0.019338
0.010000,1.626326,24.524675,1.446454,3.348173,3.940781,0.088105,0.019759
0.010000,1.660196,24.525351,1.480330,3.387590,3.941672,0.089176,0.020184
0.010000,1.694459,24.526050,1.514600,3.427016,3.942575,0.090246,0.020611
0.010000,1.729116,24.526772,1.549265,3.466450,3.943488,0.091317,0.021042
0.010000,1.764167,24.527517,1.584324,3.505895,3.944412,0.092390,0.021476
0.010000,1.799612,24.528286,1.619777,3.545348,3.945347,0.093459,0.021913
0.010000,1.835451,24.529080,1.655625,3.584811,3.946292,0.094531,0.022352
0.010000,1.871685,24.529898,1.691868,3.624283,3.947248,0.095603,0.022795
0.010000,1.908313,24.530741,1.728506,3.663766,3.948215,0.096675,0.023240
0.010000,1.945335,24.531610,1.765538,3.703257,3.949192,0.097747,0.023688
0.010000,1.982752,24.532505,1.802966,3.742759,3.950180,0.098818,0.024138
0.010000,2.020563,24.533426,1.840789,3.782271,3.951179,0.099890,0.024592
0.010000,2.058769,24.534375,1.879007,3.821793,3.952189,0.100962,0.025047
0.010000,2.097370,24.535351,1.917620,3.861325,3.953209,0.102033,0.025506
0.010000,2.136366,24.536354,1.956628,3.900867,3.954240,0.103105,0.025966
0.010000,2.175757,24.537387,1.996033,3.940420,3.955282,0.104176,0.026429
0.010000,2.215543,24.538448,2.035832,3.979984,3.956334,0.105247,0.026894
0.010000,2.255723,24.539538,2.076028,4.019558,3.957398,0.106318,0.027361
0.010000,2.296299,24.540658,2.116619,4.059142,3.958471,0.107388,0.027831
0.010000,2.337271,24.541808,2.157607,4.098738,3.959556,0.108459,0.028302
0.010000,2.378637,24.542989,2.198990,4.138344,3.960651,0.109529,0.028775
