dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.179996,21.510000,0.000028,0.005700,0.569985,56.998527,6.283183
0.010000,0.179999,21.510000,0.000031,0.000247,-0.545287,-111.527242,6.283184
0.010000,0.180205,21.510000,0.000237,0.020589,2.034215,257.950223,0.000003
0.010000,0.180671,21.510000,0.000703,0.046587,2.599756,56.554116,0.000009
0.010000,0.181398,21.510000,0.001431,0.072792,2.620493,2.073637,0.000020
0.010000,0.182447,21.510000,0.002479,0.104820,3.202812,58.231966,0.000035
0.010000,0.183873,21.510000,0.003906,0.142671,3.785121,58.230901,0.000055
0.010000,0.185708,21.510000,0.005740,0.183433,4.076252,29.113054,0.000081
0.010000,0.187950,21.510000,0.007982,0.224196,4.076206,-0.004591,0.000112
0.010000,0.190599,21.510001,0.010631,0.264957,4.076150,-0.005612,0.000150
0.010000,0.193656,21.510001,0.013689,0.305718,4.076083,-0.006633,0.000193
0.010000,0.197121,21.510002,0.017153,0.346478,4.076007,-0.007654,0.000242
0.010000,0.200994,21.510003,0.021026,0.387237,4.075920,-0.008675,0.000296
0.010000,0.205274,21.510005,0.025306,0.427995,4.075823,-0.009696,0.000357
0.010000,0.209961,21.510006,0.029993,0.468753,4.075716,-0.010718,0.000423
0.010000,0.215056,21.510009,0.035088,0.509509,4.075599,-0.011739,0.000495
0.010000,0.220559,21.510012,0.040591,0.550263,4.075471,-0.012762,0.000572
0.010000,0.226469,21.510015,0.046501,0.591017,4.075333,-0.013784,0.000656
0.010000,0.232787,21.510020,0.052819,0.631768,4.075185,-0.014804,0.000744
0.010000,0.239512,21.510025,0.059544,0.672519,4.075027,-0.015832,0.000839
0.010000,0.246644,21.510031,0.066677,0.713267,4.074858,-0.016855,0.000939
0.010000,0.254185,21.510039,0.074217,0.754014,4.074680,-0.017878,0.001045
0.010000,0.262132,21.510048,0.082164,0.794759,4.074490,-0.018902,0.001157
0.010000,0.270487,21.510058,0.090519,0.835502,4.074291,-0.019927,0.001274
0.010000,0.279250,21.510069,0.099282,0.876243,4.074082,-0.020951,0.001397
0.010000,0.288419,21.510083,0.108452,0.916981,4.073862,-0.021978,0.001525
0.010000,0.297997,21.510098,0.118029,0.957718,4.073632,-0.023008,0.001659
0.010000,0.307981,21.510115,0.128013,0.998452,4.073392,-0.024032,0.001798
0.010000,0.318373,21.510135,0.138405,1.039183,4.073141,-0.025060,0.001943
0.010000,0.329172,21.510157,0.149204,1.079912,4.072880,-0.026085,0.002094
0.010000,0.340378,21.510181,0.160411,1.120638,4.072609,-0.027118,0.002250
0.010000,0.351992,21.510208,0.172024,1.161361,4.072327,-0.028149,0.002412
0.010000,0.364013,21.510238,0.184045,1.202081,4.072036,-0.029177,0.002579
0.010000,0.376441,21.510271,0.196473,1.242799,4.071734,-0.030204,0.002751
0.010000,0.389276,21.510308,0.209308,1.283513,4.071421,-0.031240,0.002929
0.010000,0.402518,21.510348,0.222550,1.324224,4.071098,-0.032275,0.003113
0.010000,0.416167,21.510391,0.236200,1.364932,4.070765,-0.033305,0.003301
0.010000,0.430223,21.510439,0.250256,1.405636,4.070422,-0.034331,0.003496
0.010000,0.444687,21.510491,0.264719,1.446337,4.070068,-0.035380,0.003695
0.010000,0.459557,21.510548,0.279590,1.487034,4.069704,-0.036408,0.003900
0.010000,0.474834,21.510609,0.294867,1.527727,4.069330,-0.037438,0.004110
0.010000,0.490518,21.510675,0.310551,1.568416,4.068945,-0.038486,0.004325
0.010000,0.506609,21.510746,0.326642,1.609102,4.068550,-0.039521,0.004546
0.010000,0.523107,21.510823,0.343140,1.649783,4.068144,-0.040550,0.004772
0.010000,0.540011,21.510906,0.360045,1.690461,4.067728,-0.041603,0.005003
0.010000,0.557322,21.510994,0.377356,1.731134,4.067302,-0.042636,0.005239
0.010000,0.575040,21.511089,0.395074,1.771802,4.066865,-0.043671,0.005480
0.010000,0.593164,21.511191,0.413199,1.812466,4.066418,-0.044727,0.005727
0.010000,0.611695,21.511299,0.431730,1.853126,4.065960,-0.045756,0.005978
0.010000,0.630633,21.511415,0.450668,1.893781,4.065492,-0.046807,0.006235
0.010000,0.649977,21.511538,0.470012,1.934431,4.065014,-0.047851,0.006496
0.010000,0.669727,21.511669,0.489763,1.975076,4.064525,-0.048889,0.006763
0.010000,0.689884,21.511808,0.509920,2.015717,4.064025,-0.049948,0.007034
0.010000,0.710447,21.511956,0.530484,2.056352,4.063516,-0.050977,0.007311
0.010000,0.731416,21.512112,0.551453,2.096982,4.062995,-0.052045,0.007592
0.010000,0.752791,21.512277,0.572829,2.137606,4.062464,-0.053075,0.007878
0.010000,0.774573,21.512452,0.594612,2.178226,4.061923,-0.054140,0.008169
0.010000,0.796760,21.512637,0.616800,2.218839,4.061371,-0.055177,0.008464
0.010000,0.819354,21.512831,0.639395,2.259447,4.060809,-0.056240,0.008765
0.010000,0.842354,21.513036,0.662395,2.300050,4.060236,-0.057280,0.009070
0.010000,0.865759,21.513252,0.685802,2.340646,4.059653,-0.058346,0.009380
0.010000,0.889570,21.513479,0.709614,2.381237,4.059059,-0.059385,0.009694
0.010000,0.913787,21.513718,0.733832,2.421821,4.058454,-0.060455,0.010013
0.010000,0.938410,21.513968,0.758456,2.462400,4.057839,-0.061494,0.010336
0.010000,0.963438,21.514231,0.783486,2.502972,4.057214,-0.062565,0.010664
0.010000,0.988872,21.514507,0.808921,2.543538,4.056577,-0.063611,0.010996
0.010000,1.014712,21.514795,0.834762,2.584097,4.055931,-0.064674,0.011333
0.010000,1.040956,21.515097,0.861009,2.624650,4.055273,-0.065734,0.011674
0.010000,1.067607,21.515413,0.887661,2.665196,4.054606,-0.066784,0.012020
0.010000,1.094662,21.515743,0.914718,2.705735,4.053927,-0.067857,0.012369
0.010000,1.122122,21.516087,0.942181,2.746267,4.053238,-0.068908,0.012723
0.010000,1.149988,21.516447,0.970049,2.786793,4.052538,-0.069971,0.013081
0.010000,1.178259,21.516822,0.998322,2.827311,4.051828,-0.071038,0.013444
0.010000,1.206934,21.517213,1.027000,2.867822,4.051107,-0.072094,0.013810
0.010000,1.236015,21.517620,1.056083,2.908326,4.050375,-0.073160,0.014180
0.010000,1.265500,21.518043,1.085571,2.948822,4.049633,-0.074228,0.014555
0.010000,1.295390,21.518484,1.115464,2.989311,4.048880,-0.075288,0.014933
0.010000,1.325684,21.518942,1.145762,3.029792,4.048117,-0.076351,0.015315
0.010000,1.356383,21.519418,1.176465,3.070266,4.047342,-0.077424,0.015701
0.010000,1.387486,21.519913,1.207572,3.110731,4.046558,-0.078486,0.016091
0.010000,1.418994,21.520426,1.239084,3.151189,4.045762,-0.079552,0.016484
0.010000,1.450906,21.520959,1.271001,3.191638,4.044956,-0.080620,0.016881
0.010000,1.483222,21.521511,1.303321,3.232080,4.044139,-0.081691,0.017282
0.010000,1.515942,21.522083,1.336047,3.272513,4.043311,-0.082757,0.017686
0.010000,1.549066,21.522675,1.369176,3.312938,4.042473,-0.083826,0.018094
0.010000,1.582594,21.523289,1.402710,3.353354,4.041624,-0.084893,0.018505
0.010000,1.616526,21.523924,1.436647,3.393762,4.040764,-0.085966,0.018920
0.010000,1.650861,21.524581,1.470989,3.434160,4.039894,-0.087035,0.019338
0.010000,1.685600,21.525260,1.505734,3.474551,4.039013,-0.088105,0.019759
0.010000,1.720743,21.525962,1.540884,3.514932,4.038121,-0.089175,0.020184
0.010000,1.756288,21.526687,1.576437,3.555304,4.037219,-0.090246,0.020611
0.010000,1.792237,21.527436,1.612393,3.595667,4.036306,-0.091317,0.021042
0.010000,1.828589,21.528209,1.648753,3.636021,4.035382,-0.092387,0.021476
0.010000,1.865344,21.529006,1.685517,3.676365,4.034447,-0.093461,0.021913
0.010000,1.902502,21.529829,1.722684,3.716700,4.033502,-0.094531,0.022352
0.010000,1.940063,21.530677,1.760254,3.757026,4.032546,-0.095603,0.022795
0.010000,1.978026,21.531551,1.798228,3.797342,4.031579,-0.096675,0.023240
0.010000,2.016392,21.532451,1.836604,3.837648,4.030602,-0.097746,0.023688
0.010000,2.055160,21.533379,1.875384,3.877944,4.029613,-0.098818,0.024138
0.010000,2.094331,21.534333,1.914566,3.918230,4.028615,-0.099890,0.024592
0.010000,2.133904,21.535316,1.954151,3.958506,4.027605,-0.100962,0.025047
0.010000,2.173879,21.536326,1.994139,3.998772,4.026585,-0.102033,0.025506
0.010000,2.214256,21.537366,2.034529,4.039027,4.025554,-0.103105,0.025966
0.010000,2.255034,21.538434,2.075322,4.079272,4.024512,-0.104176,0.026429
0.010000,2.296215,21.539532,2.116517,4.119507,4.023459,-0.105247,0.026894
0.010000,2.337797,21.540661,2.158114,4.159731,4.022396,-0.106318,0.027361
0.010000,2.379780,21.541820,2.200114,4.199944,4.021322,-0.107388,0.027831
0.010000,2.422165,21.543009,2.242515,4.240147,4.020238,-0.108459,0.028302
0.010000,2.464951,21.544231,2.285318,4.280338,4.019142,-0.109529,0.028775
0.010000,2.508138,21.545484,2.328524,4.320518,4.018036,-0.110598,0.029250
0.010000,2.551726,21.546770,2.372131,4.360688,4.016920,-0.111667,0.029727
0.010000,2.595715,21.548089,2.416139,4.400846,4.015792,-0.112737,0.030206
0.010000,2.640104,21.549440,2.460549,4.440992,4.014654,-0.113804,0.030687
0.010000,2.684894,21.550826,2.505360,4.481127,4.013506,-0.114872,0.031168
0.010000,2.730084,21.552246,2.550573,4.521251,4.012346,-0.115940,0.031652
0.010000,2.775674,21.553701,2.596186,4.561362,4.011176,-0.117006,0.032137
0.010000,2.821665,21.555190,2.642201,4.601462,4.009995,-0.118071,0.032623
0.010000,2.868055,21.556716,2.688616,4.641550,4.008804,-0.119139,0.033110
0.010000,2.914846,21.558277,2.735433,4.681626,4.007602,-0.120203,0.033599
0.010000,2.962035,21.559875,2.782650,4.721690,4.006389,-0.121267,0.034089
0.010000,3.009625,21.561509,2.830267,4.761742,4.005166,-0.122330,0.034580
0.010000,3.057613,21.563181,2.878285,4.801781,4.003932,-0.123392,0.035071
0.010000,3.106001,21.564891,2.926703,4.841808,4.002688,-0.124456,0.035564
0.010000,3.154788,21.566639,2.975521,4.881822,4.001432,-0.125516,0.036057
0.010000,3.203974,21.568425,3.024739,4.921824,4.000167,-0.126576,0.036551
0.010000,3.253559,21.570250,3.074357,4.961813,3.998890,-0.127636,0.037046
0.010000,3.303542,21.572115,3.124375,5.001789,3.997603,-0.128696,0.037541
0.010000,3.353923,21.574020,3.174793,5.041752,3.996306,-0.129752,0.038036
0.010000,3.404703,21.575965,3.225610,5.081702,3.994998,-0.130809,0.038532
0.010000,3.455881,21.577951,3.276826,5.121639,3.993679,-0.131866,0.039028
0.010000,3.507457,21.579978,3.328442,5.161562,3.992350,-0.132920,0.039525
0.010000,3.559430,21.582046,3.380457,5.201472,3.991010,-0.133974,0.040021
0.010000,3.611802,21.584156,3.432870,5.241369,3.989660,-0.135028,0.040517
0.010000,3.664570,21.586308,3.485683,5.281252,3.988299,-0.136079,0.041014
0.010000,3.717736,21.588503,3.538894,5.321121,3.986928,-0.137131,0.041510
0.010000,3.771299,21.590741,3.592504,5.360977,3.985546,-0.138180,0.042005
0.010000,3.825259,21.593023,3.646512,5.400818,3.984154,-0.139229,0.042501
0.010000,3.879616,21.595348,3.700918,5.440646,3.982751,-0.140278,0.042996
0.010000,3.934369,21.597717,3.755723,5.480459,3.981338,-0.141323,0.043490
0.010000,3.989519,21.600131,3.810926,5.520258,3.979914,-0.142371,0.043984
0.010000,4.045065,21.602589,3.866526,5.560043,3.978480,-0.143414,0.044477
0.010000,4.101007,21.605093,3.922524,5.599813,3.977035,-0.144458,0.044969
0.010000,4.157345,21.607642,3.978920,5.639569,3.975580,-0.145500,0.045460
0.010000,4.214079,21.610236,4.035713,5.679310,3.974115,-0.146542,0.045950
0.010000,4.271208,21.612877,4.092903,5.719037,3.972639,-0.147582,0.046439
0.010000,4.328733,21.615565,4.150491,5.758748,3.971153,-0.148622,0.046926
0.010000,4.386653,21.618299,4.208475,5.798445,3.969656,-0.149660,0.047412
0.010000,4.444968,21.621080,4.266857,5.838126,3.968149,-0.150697,0.047897
