dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.039997,25.330000,0.000029,0.005714,0.571429,57.142857,0.000002
0.010000,0.040000,25.330000,0.000031,0.000240,-0.547449,-111.887796,0.000000
0.010000,0.040252,25.330000,0.000283,0.025180,2.494001,304.145012,6.283182
0.010000,0.040718,25.330000,0.000750,0.046673,2.149359,-34.464205,6.283175
0.010000,0.041448,25.330000,0.001479,0.072927,2.625367,47.600798,6.283165
0.010000,0.042498,25.330000,0.002529,0.105015,3.208766,58.339945,6.283151
0.010000,0.043927,25.330000,0.003958,0.142936,3.792152,58.338598,6.283132
0.010000,0.045765,25.330000,0.005796,0.183774,4.083815,29.166256,6.283106
0.010000,0.048011,25.330000,0.008042,0.224612,4.083756,-0.005836,6.283076
0.010000,0.050665,25.329999,0.010697,0.265449,4.083685,-0.007128,6.283039
0.010000,0.053728,25.329999,0.013759,0.306285,4.083601,-0.008425,6.282997
0.010000,0.057199,25.329998,0.017231,0.347120,4.083503,-0.009727,6.282950
0.010000,0.061079,25.329997,0.021110,0.387954,4.083393,-0.011019,6.282897
0.010000,0.065367,25.329996,0.025398,0.428786,4.083270,-0.012319,6.282838
0.010000,0.070063,25.329994,0.030094,0.469618,4.083134,-0.013614,6.282774
0.010000,0.075168,25.329992,0.035199,0.510448,4.082985,-0.014914,6.282705
0.010000,0.080680,25.329989,0.040711,0.551276,4.082823,-0.016210,6.282629
0.010000,0.086601,25.329985,0.046633,0.592102,4.082648,-0.017510,6.282549
0.010000,0.092931,25.329981,0.052962,0.632927,4.082460,-0.018806,6.282463
0.010000,0.099668,25.329976,0.059699,0.673750,4.082258,-0.020109,6.282371
0.010000,0.106814,25.329970,0.066845,0.714570,4.082044,-0.021407,6.282274
0.010000,0.114368,25.329962,0.074399,0.755388,4.081817,-0.022703,6.282171
0.010000,0.122330,25.329954,0.082361,0.796204,4.081577,-0.024009,6.282063
0.010000,0.130700,25.329944,0.090731,0.837017,4.081324,-0.025303,6.281950
0.010000,0.139478,25.329932,0.099509,0.877828,4.081058,-0.026611,6.281831
0.010000,0.148664,25.329919,0.108696,0.918636,4.080779,-0.027909,6.281707
0.010000,0.158259,25.329905,0.118290,0.959440,4.080487,-0.029208,6.281577
0.010000,0.168261,25.329888,0.128293,1.000242,4.080182,-0.030517,6.281442
0.010000,0.178672,25.329869,0.138703,1.041041,4.079864,-0.031813,6.281302
0.010000,0.189490,25.329848,0.149521,1.081836,4.079532,-0.033123,6.281156
0.010000,0.200716,25.329824,0.160748,1.122628,4.079188,-0.034424,6.281005
0.010000,0.212350,25.329798,0.172382,1.163416,4.078831,-0.035726,6.280849
0.010000,0.224392,25.329769,0.184424,1.204201,4.078461,-0.037037,6.280688
0.010000,0.236842,25.329737,0.196874,1.244982,4.078077,-0.038337,6.280521
0.010000,0.249700,25.329701,0.209731,1.285759,4.077681,-0.039648,6.280350
0.010000,0.262965,25.329663,0.222996,1.326531,4.077271,-0.040953,6.280173
0.010000,0.276638,25.329620,0.236669,1.367300,4.076849,-0.042260,6.279991
0.010000,0.290718,25.329574,0.250750,1.408064,4.076413,-0.043570,6.279804
0.010000,0.305207,25.329523,0.265238,1.448824,4.075964,-0.044878,6.279611
0.010000,0.320102,25.329469,0.280134,1.489579,4.075502,-0.046187,6.279414
0.010000,0.335405,25.329410,0.295437,1.530329,4.075027,-0.047497,6.279212
0.010000,0.351116,25.329345,0.311148,1.571074,4.074539,-0.048811,6.279005
0.010000,0.367234,25.329276,0.327266,1.611815,4.074038,-0.050118,6.278793
0.010000,0.383759,25.329202,0.343792,1.652550,4.073524,-0.051434,6.278576
0.010000,0.400692,25.329122,0.360725,1.693280,4.072996,-0.052745,6.278354
0.010000,0.418032,25.329036,0.378065,1.734004,4.072456,-0.054061,6.278127
