dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.040003,22.330000,0.000029,0.005714,0.571429,57.142857,0.000002
0.010000,0.040000,22.330000,0.000031,0.000240,-0.547449,-111.887796,0.000000
0.010000,0.040241,22.330000,0.000272,0.024101,2.386097,293.354638,6.283182
0.010000,0.040689,22.330000,0.000720,0.044755,2.065442,-32.065462,6.283175
0.010000,0.041388,22.330000,0.001419,0.069930,2.517490,45.204811,6.283165
0.010000,0.042395,22.330000,0.002426,0.100700,3.076948,55.945770,6.283151
0.010000,0.043766,22.330000,0.003796,0.137064,3.636419,55.947117,6.283132
0.010000,0.045528,22.330000,0.005559,0.176226,3.916185,27.976602,6.283106
0.010000,0.047682,22.330000,0.007713,0.215388,3.916244,0.005831,6.283076
0.010000,0.050227,22.329999,0.010258,0.254551,3.916315,0.007132,6.283039
0.010000,0.053165,22.329999,0.013195,0.293715,3.916399,0.008428,6.282997
0.010000,0.056493,22.329998,0.016524,0.332880,3.916496,0.009720,6.282950
0.010000,0.060214,22.329997,0.020245,0.372046,3.916607,0.011022,6.282897
0.010000,0.064326,22.329996,0.024357,0.411214,3.916730,0.012317,6.282838
0.010000,0.068830,22.329994,0.028860,0.450382,3.916866,0.013616,6.282774
0.010000,0.073725,22.329992,0.033756,0.489552,3.917015,0.014912,6.282705
0.010000,0.079013,22.329989,0.039043,0.528724,3.917177,0.016211,6.282629
0.010000,0.084691,22.329986,0.044722,0.567898,3.917352,0.017508,6.282549
0.010000,0.090762,22.329982,0.050793,0.607073,3.917540,0.018810,6.282463
0.010000,0.097225,22.329977,0.057255,0.646250,3.917741,0.020105,6.282371
0.010000,0.104079,22.329971,0.064110,0.685430,3.917956,0.021406,6.282274
0.010000,0.111325,22.329964,0.071356,0.724612,3.918183,0.022708,6.282171
0.010000,0.118963,22.329956,0.078994,0.763796,3.918423,0.024003,6.282063
0.010000,0.126993,22.329946,0.087024,0.802983,3.918676,0.025310,6.281950
0.010000,0.135415,22.329935,0.095445,0.842172,3.918942,0.026605,6.281831
0.010000,0.144228,22.329923,0.104259,0.881364,3.919221,0.027909,6.281707
0.010000,0.153434,22.329909,0.113465,0.920560,3.919513,0.029214,6.281577
0.010000,0.163031,22.329892,0.123062,0.959758,3.919818,0.030510,6.281442
0.010000,0.173021,22.329874,0.133052,0.998959,3.920136,0.031820,6.281302
0.010000,0.183403,22.329854,0.143433,1.038164,3.920468,0.033117,6.281156
0.010000,0.194176,22.329831,0.154207,1.077372,3.920812,0.034424,6.281005
0.010000,0.205342,22.329806,0.165373,1.116584,3.921169,0.035731,6.280849
0.010000,0.216900,22.329778,0.176931,1.155799,3.921539,0.037031,6.280688
0.010000,0.228850,22.329747,0.188881,1.195018,3.921923,0.038342,6.280521
0.010000,0.241193,22.329713,0.201224,1.234241,3.922319,0.039644,6.280350
0.010000,0.253927,22.329676,0.213958,1.273469,3.922729,0.040953,6.280173
0.010000,0.267054,22.329635,0.227085,1.312700,3.923151,0.042261,6.279991
0.010000,0.280573,22.329591,0.240605,1.351936,3.923587,0.043568,6.279804
0.010000,0.294485,22.329543,0.254516,1.391176,3.924036,0.044878,6.279611
0.010000,0.308789,22.329490,0.268821,1.430421,3.924498,0.046188,6.279414
0.010000,0.323486,22.329433,0.283517,1.469671,3.924973,0.047498,6.279212
0.010000,0.338575,22.329372,0.298607,1.508926,3.925461,0.048806,6.279005
0.010000,0.354057,22.329305,0.314088,1.548185,3.925962,0.050122,6.278793
0.010000,0.369931,22.329234,0.329963,1.587450,3.926476,0.051431,6.278576
0.010000,0.386198,22.329157,0.346230,1.626720,3.927004,0.052746,6.278354
0.010000,0.402858,22.329075,0.362890,1.665996,3.927544,0.054057,6.278127
0.010000,0.419910,22.328986,0.379943,1.705277,3.928098,0.055376,6.277896
0.010000,0.437356,22.328892,0.397388,1.744563,3.928665,0.056685,6.277660
0.010000,0.455194,22.328791,0.415227,1.783856,3.929245,0.058005,6.277419
0.010000,0.473425,22.328684,0.433459,1.823154,3.929838,0.059320,6.277173
0.010000,0.492049,22.328570,0.452083,1.862459,3.930445,0.060639,6.276923
0.010000,0.511067,22.328448,0.471101,1.901769,3.931064,0.061953,6.276668
0.010000,0.530477,22.328319,0.490512,1.941086,3.931697,0.063276,6.276408
0.010000,0.550281,22.328182,0.510316,1.980410,3.932343,0.064592,6.276144
0.010000,0.570478,22.328037,0.530513,2.019740,3.933002,0.065912,6.275876
0.010000,0.591068,22.327884,0.551104,2.059076,3.933674,0.067233,6.275603
0.010000,0.612051,22.327722,0.572088,2.098420,3.934360,0.068554,6.275326
0.010000,0.633428,22.327551,0.593466,2.137771,3.935059,0.069875,6.275044
0.010000,0.655199,22.327371,0.615237,2.177128,3.935771,0.071198,6.274759
0.010000,0.677363,22.327181,0.637402,2.216493,3.936496,0.072522,6.274469
0.010000,0.699921,22.326981,0.659961,2.255866,3.937234,0.073843,6.274174
0.010000,0.722872,22.326771,0.682913,2.295245,3.937986,0.075170,6.273876
0.010000,0.746218,22.326550,0.706260,2.334633,3.938751,0.076492,6.273574
0.010000,0.769957,22.326318,0.730000,2.374028,3.939529,0.077819,6.273267
0.010000,0.794090,22.326075,0.754134,2.413431,3.940320,0.079146,6.272957
0.010000,0.818617,22.325820,0.778663,2.452843,3.941125,0.080469,6.272642
0.010000,0.843538,22.325553,0.803585,2.492262,3.941943,0.081799,6.272324
0.010000,0.868854,22.325274,0.828902,2.531690,3.942774,0.083124,6.272002
0.010000,0.894563,22.324982,0.854613,2.571126,3.943619,0.084454,6.271676
0.010000,0.920667,22.324678,0.880719,2.610571,3.944477,0.085782,6.271347
0.010000,0.947165,22.324360,0.907219,2.650024,3.945348,0.087110,6.271013
0.010000,0.974058,22.324028,0.934114,2.689487,3.946232,0.088440,6.270677
0.010000,1.001346,22.323682,0.961404,2.728958,3.947130,0.089770,6.270336
0.010000,1.029028,22.323321,0.989088,2.768438,3.948041,0.091100,6.269993
0.010000,1.057104,22.322946,1.017167,2.807928,3.948965,0.092429,6.269645
0.010000,1.085576,22.322555,1.045642,2.847427,3.949903,0.093762,6.269295
0.010000,1.114443,22.322149,1.074511,2.886935,3.950854,0.095091,6.268941
0.010000,1.143704,22.321727,1.103776,2.926454,3.951818,0.096424,6.268584
0.010000,1.173361,22.321289,1.133435,2.965982,3.952795,0.097753,6.268224
0.010000,1.203412,22.320834,1.163491,3.005519,3.953786,0.099088,6.267861
0.010000,1.233859,22.320362,1.193941,3.045067,3.954791,0.100417,6.267495
0.010000,1.264702,22.319872,1.224787,3.084625,3.955808,0.101751,6.267126
0.010000,1.295940,22.319364,1.256029,3.124194,3.956839,0.103082,6.266754
0.010000,1.327573,22.318839,1.287667,3.163773,3.957883,0.104415,6.266379
0.010000,1.359602,22.318294,1.319701,3.203362,3.958940,0.105746,6.266001
0.010000,1.392027,22.317731,1.352130,3.242962,3.960011,0.107081,6.265621
0.010000,1.424847,22.317148,1.384956,3.282573,3.961095,0.108412,6.265238
0.010000,1.458064,22.316545,1.418178,3.322195,3.962193,0.109744,6.264853
0.010000,1.491676,22.315923,1.451796,3.361828,3.963304,0.111077,6.264465
0.010000,1.525685,22.315279,1.485811,3.401472,3.964428,0.112409,6.264075
0.010000,1.560090,22.314615,1.520222,3.441128,3.965565,0.113742,6.263682
0.010000,1.594891,22.313929,1.555030,3.480795,3.966716,0.115074,6.263287
0.010000,1.630088,22.313222,1.590235,3.520474,3.967880,0.116406,6.262891
0.010000,1.665683,22.312492,1.625837,3.560165,3.969057,0.117737,6.262492
0.010000,1.701673,22.311740,1.661835,3.599867,3.970248,0.119070,6.262091
0.010000,1.738061,22.310965,1.698231,3.639582,3.971452,0.120401,6.261688
0.010000,1.774845,22.310167,1.735024,3.679308,3.972669,0.121732,6.261283
0.010000,1.812027,22.309345,1.772215,3.719047,3.973900,0.123062,6.260877
0.010000,1.849605,22.308498,1.809803,3.758799,3.975144,0.124393,6.260469
0.010000,1.887581,22.307628,1.847788,3.798563,3.976401,0.125723,6.260059
0.010000,1.925954,22.306732,1.886172,3.838339,3.977672,0.127053,6.259648
