dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110001,24.400000,0.000029,0.005807,0.580665,58.066458,6.283185
0.010000,0.110063,24.400000,0.000092,0.006250,0.044287,-53.637759,0.000001
0.010000,0.110321,24.400000,0.000349,0.025735,1.948530,190.424318,0.000003
0.010000,0.110778,24.400000,0.000806,0.045751,2.001603,5.307303,0.000008
0.010000,0.111493,24.400000,0.001521,0.071486,2.573501,57.189820,0.000015
0.010000,0.112522,24.400000,0.002551,0.102940,3.145413,57.191113,0.000026
0.010000,0.113924,24.400000,0.003952,0.140113,3.717343,57.193034,0.000040
0.010000,0.115754,24.400000,0.005782,0.183006,4.289300,57.195711,0.000059
0.010000,0.118070,24.400000,0.008098,0.231619,4.861293,57.199268,0.000083
0.010000,0.120929,24.400001,0.010958,0.285953,5.433331,57.203832,0.000112
0.010000,0.124389,24.400001,0.014418,0.346007,6.005426,57.209529,0.000147
0.010000,0.128507,24.400002,0.018535,0.411783,6.577591,57.216483,0.000189
0.010000,0.133311,24.400003,0.023340,0.480422,6.863871,28.628036,0.000238
0.010000,0.138802,24.400004,0.028830,0.549064,6.864252,0.038047,0.000294
0.010000,0.144979,24.400006,0.035007,0.617711,6.864687,0.043484,0.000356
0.010000,0.151843,24.400009,0.041871,0.686363,6.865176,0.048920,0.000426
0.010000,0.159393,24.400012,0.049421,0.755020,6.865720,0.054357,0.000502
0.010000,0.167630,24.400017,0.057658,0.823683,6.866317,0.059795,0.000586
0.010000,0.176553,24.400023,0.066582,0.892353,6.866970,0.065233,0.000675
0.010000,0.186164,24.400029,0.076192,0.961030,6.867677,0.070672,0.000772
0.010000,0.196461,24.400038,0.086489,1.029714,6.868438,0.076110,0.000875
0.010000,0.207445,24.400048,0.097473,1.098406,6.869253,0.081551,0.000985
0.010000,0.219116,24.400060,0.109144,1.167108,6.870123,0.086991,0.001101
0.010000,0.231474,24.400075,0.121502,1.235818,6.871047,0.092432,0.001224
0.010000,0.244519,24.400092,0.134548,1.304538,6.872026,0.097873,0.001353
0.010000,0.258252,24.400111,0.148280,1.373269,6.873059,0.103316,0.001489
0.010000,0.272672,24.400134,0.162701,1.442010,6.874147,0.108759,0.001631
0.010000,0.287780,24.400159,0.177808,1.510763,6.875289,0.114203,0.001779
0.010000,0.303575,24.400189,0.193603,1.579528,6.876485,0.119647,0.001933
0.010000,0.320058,24.400222,0.210087,1.648306,6.877736,0.125092,0.002093
0.010000,0.337229,24.400259,0.227257,1.717096,6.879042,0.130539,0.002259
0.010000,0.355088,24.400301,0.245116,1.785900,6.880402,0.135985,0.002430
0.010000,0.373635,24.400348,0.263664,1.854718,6.881816,0.141433,0.002608
0.010000,0.392871,24.400400,0.282899,1.923551,6.883285,0.146881,0.002791
0.010000,0.412794,24.400457,0.302823,1.992399,6.884808,0.152330,0.002980
0.010000,0.433407,24.400521,0.323436,2.061263,6.886386,0.157780,0.003174
0.010000,0.454708,24.400590,0.344737,2.130143,6.888018,0.163230,0.003374
0.010000,0.476699,24.400667,0.366728,2.199040,6.889705,0.168681,0.003578
0.010000,0.499378,24.400750,0.389407,2.267955,6.891446,0.174133,0.003788
0.010000,0.522747,24.400841,0.412776,2.336887,6.893242,0.179585,0.004003
0.010000,0.546805,24.400940,0.436834,2.405838,6.895092,0.185038,0.004223
0.010000,0.571553,24.401048,0.461582,2.474808,6.896997,0.190491,0.004447
0.010000,0.596990,24.401164,0.487020,2.543798,6.898957,0.195945,0.004676
0.010000,0.623118,24.401289,0.513149,2.612807,6.900971,0.201400,0.004910
0.010000,0.649936,24.401424,0.539967,2.681838,6.903039,0.206855,0.005148
0.010000,0.677445,24.401569,0.567476,2.750889,6.905162,0.212310,0.005390
0.010000,0.705644,24.401724,0.595675,2.819963,6.907340,0.217766,0.005636
0.010000,0.734534,24.401891,0.624566,2.889058,6.909572,0.223221,0.005886
0.010000,0.764115,24.402068,0.654148,2.958177,6.911859,0.228677,0.006139
0.010000,0.794388,24.402258,0.684421,3.027319,6.914200,0.234134,0.006396
0.010000,0.825352,24.402460,0.715386,3.096485,6.916596,0.239590,0.006657
0.010000,0.857008,24.402675,0.747043,3.165675,6.919047,0.245047,0.006921
0.010000,0.889356,24.402903,0.779391,3.234891,6.921552,0.250503,0.007188
0.010000,0.922397,24.403145,0.812433,3.304132,6.924111,0.255959,0.007458
0.010000,0.956130,24.403402,0.846167,3.373399,6.926726,0.261416,0.007731
0.010000,0.990555,24.403672,0.880594,3.442693,6.929394,0.266872,0.008006
0.010000,1.025674,24.403959,0.915714,3.512014,6.932118,0.272328,0.008284
0.010000,1.061487,24.404260,0.951528,3.581363,6.934895,0.277784,0.008564
0.010000,1.097993,24.404578,0.988035,3.650741,6.937728,0.283239,0.008846
0.010000,1.135193,24.404912,1.025236,3.720147,6.940615,0.288694,0.009129
0.010000,1.173087,24.405264,1.063132,3.789582,6.943556,0.294148,0.009415
0.010000,1.211676,24.405633,1.101723,3.859048,6.946552,0.299602,0.009702
0.010000,1.250959,24.406019,1.141008,3.928544,6.949603,0.305055,0.009990
