dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.109999,21.400000,0.000029,0.005806,0.580610,58.061038,6.283185
0.010000,0.110078,21.400000,0.000108,0.007866,0.205944,-37.466639,0.000001
0.010000,0.110345,21.400000,0.000374,0.026672,1.880648,167.470446,0.000005
0.010000,0.110819,21.400000,0.000849,0.047417,2.074481,19.383246,0.000011
0.010000,0.111560,21.400000,0.001589,0.074089,2.667171,59.269012,0.000021
0.010000,0.112626,21.400000,0.002656,0.106687,3.259840,59.266922,0.000036
0.010000,0.114079,21.400000,0.004108,0.145212,3.852478,59.263814,0.000055
0.010000,0.115975,21.400000,0.006005,0.189662,4.445073,59.259486,0.000081
0.010000,0.118376,21.400000,0.008405,0.240039,5.037611,59.253733,0.000114
0.010000,0.121339,21.400001,0.011369,0.296339,5.630074,59.246352,0.000154
0.010000,0.124925,21.400002,0.014954,0.358564,6.222445,59.237140,0.000203
0.010000,0.129192,21.400003,0.019222,0.426711,6.814704,59.225893,0.000261
0.010000,0.134170,21.400004,0.024200,0.497816,7.110514,29.580936,0.000328
0.010000,0.139859,21.400006,0.029889,0.568915,7.109898,-0.061531,0.000405
0.010000,0.146259,21.400009,0.036289,0.640007,7.109195,-0.070323,0.000491
0.010000,0.153370,21.400013,0.043400,0.711091,7.108404,-0.079117,0.000587
0.010000,0.161192,21.400018,0.051222,0.782166,7.107525,-0.087911,0.000692
0.010000,0.169724,21.400024,0.059754,0.853232,7.106558,-0.096707,0.000806
0.010000,0.178967,21.400032,0.068997,0.924287,7.105503,-0.105504,0.000930
0.010000,0.188920,21.400042,0.078950,0.995330,7.104360,-0.114303,0.001062
0.010000,0.199584,21.400054,0.089614,1.066362,7.103129,-0.123102,0.001204
0.010000,0.210958,21.400069,0.100987,1.137380,7.101810,-0.131904,0.001355
0.010000,0.223041,21.400086,0.113071,1.208384,7.100403,-0.140707,0.001515
0.010000,0.235835,21.400107,0.125865,1.279373,7.098908,-0.149511,0.001683
0.010000,0.249339,21.400130,0.139368,1.350346,7.097324,-0.158318,0.001860
0.010000,0.263552,21.400158,0.153582,1.421303,7.095653,-0.167126,0.002046
0.010000,0.278474,21.400190,0.168504,1.492242,7.093894,-0.175936,0.002240
0.010000,0.294105,21.400227,0.184136,1.563162,7.092046,-0.184747,0.002442
0.010000,0.310446,21.400268,0.200476,1.634063,7.090111,-0.193561,0.002652
0.010000,0.327495,21.400315,0.217526,1.704944,7.088087,-0.202375,0.002871
0.010000,0.345253,21.400368,0.235284,1.775804,7.085975,-0.211193,0.003097
0.010000,0.363720,21.400428,0.253750,1.846642,7.083775,-0.220011,0.003332
0.010000,0.382894,21.400494,0.272925,1.917456,7.081487,-0.228832,0.003574
0.010000,0.402777,21.400568,0.292807,1.988247,7.079110,-0.237654,0.003823
0.010000,0.423366,21.400649,0.313397,2.059014,7.076645,-0.246478,0.004079
0.010000,0.444664,21.400739,0.334695,2.129755,7.074092,-0.255303,0.004343
0.010000,0.466668,21.400837,0.356699,2.200469,7.071451,-0.264130,0.004614
0.010000,0.489380,21.400945,0.379411,2.271157,7.068721,-0.272958,0.004891
0.010000,0.512797,21.401063,0.402829,2.341816,7.065904,-0.281788,0.005175
0.010000,0.536922,21.401191,0.426954,2.412446,7.062997,-0.290619,0.005466
0.010000,0.561752,21.401331,0.451784,2.483046,7.060003,-0.299451,0.005762
0.010000,0.587287,21.401482,0.477320,2.553615,7.056920,-0.308285,0.006065
0.010000,0.613528,21.401645,0.503562,2.624152,7.053749,-0.317119,0.006373
0.010000,0.640474,21.401821,0.530508,2.694657,7.050489,-0.325954,0.006687
0.010000,0.668125,21.402010,0.558160,2.765129,7.047141,-0.334789,0.007006
0.010000,0.696480,21.402213,0.586515,2.835566,7.043705,-0.343626,0.007330
0.010000,0.725539,21.402431,0.615575,2.905967,7.040180,-0.352462,0.007659
0.010000,0.755301,21.402664,0.645338,2.976333,7.036567,-0.361299,0.007993
0.010000,0.785767,21.402913,0.675805,3.046662,7.032866,-0.370136,0.008331
0.010000,0.816935,21.403178,0.706974,3.116953,7.029076,-0.378973,0.008673
0.010000,0.848806,21.403460,0.738847,3.187205,7.025198,-0.387810,0.009019
0.010000,0.881379,21.403759,0.771421,3.257417,7.021232,-0.396646,0.009369
0.010000,0.914653,21.404077,0.804697,3.327589,7.017177,-0.405482,0.009722
0.010000,0.948629,21.404413,0.838674,3.397719,7.013034,-0.414317,0.010078
0.010000,0.983305,21.404769,0.873352,3.467807,7.008802,-0.423151,0.010437
0.010000,1.018681,21.405145,0.908730,3.537852,7.004482,-0.431985,0.010798
0.010000,1.054758,21.405541,0.944809,3.607853,7.000074,-0.440817,0.011161
