dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.109999,21.400000,0.000029,0.005818,0.581824,58.182449,6.283185
0.010000,0.110043,21.400000,0.000073,0.004363,-0.145503,-72.732786,0.000000
0.010000,0.110307,21.400000,0.000337,0.026427,2.206363,235.186589,0.000002
0.010000,0.110777,21.400000,0.000807,0.046981,2.055418,-15.094499,0.000005
0.010000,0.111511,21.400000,0.001541,0.073408,2.642674,58.725650,0.000009
0.010000,0.112568,21.400000,0.002598,0.105707,3.229924,58.725019,0.000016
0.010000,0.114007,21.400000,0.004037,0.143879,3.817165,58.724081,0.000025
0.010000,0.115886,21.400000,0.005916,0.187923,4.404393,58.722773,0.000036
0.010000,0.118265,21.400000,0.008294,0.237839,4.991603,58.721036,0.000051
0.010000,0.121201,21.400000,0.011231,0.293627,5.578791,58.718808,0.000069
0.010000,0.124754,21.400001,0.014783,0.355286,6.165951,58.716026,0.000091
0.010000,0.128982,21.400001,0.019012,0.422817,6.753078,58.712631,0.000117
0.010000,0.133915,21.400002,0.023944,0.493282,7.046544,29.346650,0.000147
0.010000,0.139552,21.400003,0.029582,0.563746,7.046358,-0.018578,0.000182
0.010000,0.145894,21.400004,0.035924,0.634207,7.046146,-0.021233,0.000221
0.010000,0.152941,21.400006,0.042971,0.704666,7.045907,-0.023887,0.000264
0.010000,0.160692,21.400008,0.050722,0.775123,7.045642,-0.026542,0.000311
0.010000,0.169148,21.400011,0.059178,0.845576,7.045350,-0.029196,0.000363
0.010000,0.178308,21.400014,0.068338,0.916027,7.045031,-0.031851,0.000419
0.010000,0.188173,21.400019,0.078203,0.986473,7.044686,-0.034506,0.000479
0.010000,0.198742,21.400024,0.088772,1.056917,7.044315,-0.037161,0.000543
0.010000,0.210016,21.400031,0.100045,1.127356,7.043917,-0.039816,0.000612
0.010000,0.221993,21.400038,0.112023,1.197791,7.043492,-0.042471,0.000684
0.010000,0.234676,21.400048,0.124705,1.268221,7.043041,-0.045127,0.000761
0.010000,0.248062,21.400058,0.138092,1.338647,7.042563,-0.047782,0.000841
