dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110000,22.900000,0.000029,0.005806,0.580610,58.061038,6.283185
0.010000,0.110076,22.900000,0.000145,0.017418,1.161221,58.061038,0.000001
0.010000,0.110338,22.900000,0.000406,0.034837,1.741831,58.061038,0.000005
0.010000,0.110802,22.900000,0.000871,0.058061,2.322442,58.061038,0.000011
0.010000,0.111528,22.900000,0.001597,0.087092,2.903052,58.061038,0.000021
0.010000,0.112573,22.900000,0.002642,0.121928,3.483662,58.061038,0.000036
0.010000,0.113995,22.900000,0.004064,0.162571,4.064273,58.061038,0.000055
0.010000,0.115853,22.900000,0.005922,0.209020,4.644883,58.061038,0.000081
0.010000,0.118205,22.900000,0.008274,0.261275,5.225493,58.061038,0.000114
0.010000,0.121108,22.900001,0.011177,0.319336,5.806104,58.061038,0.000154
0.010000,0.124621,22.900001,0.014689,0.383203,6.386714,58.061038,0.000203
0.010000,0.128801,22.900002,0.018870,0.452876,6.967325,58.061038,0.000261
0.010000,0.133678,22.900004,0.023747,0.522549,6.967325,0.000000,0.000328
0.010000,0.139252,22.900006,0.029321,0.592223,6.967325,-0.000000,0.000405
0.010000,0.145522,22.900009,0.035591,0.661896,6.967325,0.000000,0.000491
0.010000,0.152490,22.900012,0.042559,0.731569,6.967325,-0.000000,0.000587
0.010000,0.160154,22.900017,0.050223,0.801242,6.967325,-0.000000,0.000692
0.010000,0.168515,22.900024,0.058584,0.870916,6.967325,0.000000,0.000806
0.010000,0.177572,22.900032,0.067641,0.940589,6.967325,-0.000000,0.000930
0.010000,0.187326,22.900041,0.077395,1.010262,6.967325,0.000000,0.001062
0.010000,0.197777,22.900053,0.087846,1.079935,6.967325,-0.000000,0.001204
0.010000,0.208925,22.900067,0.098994,1.149609,6.967325,0.000000,0.001355
0.010000,0.220770,22.900084,0.110839,1.219282,6.967325,0.000000,0.001515
0.010000,0.233311,22.900104,0.123380,1.288955,6.967325,0.000000,0.001683
0.010000,0.246549,22.900128,0.136618,1.358628,6.967325,0.000000,0.001860
0.010000,0.260483,22.900155,0.150552,1.428302,6.967325,-0.000000,0.002046
0.010000,0.275115,22.900186,0.165184,1.497975,6.967325,0.000000,0.002240
0.010000,0.290443,22.900222,0.180512,1.567648,6.967325,-0.000000,0.002442
0.010000,0.306467,22.900263,0.196537,1.637321,6.967325,0.000000,0.002652
0.010000,0.323189,22.900309,0.213258,1.706995,6.967325,-0.000000,0.002871
0.010000,0.340607,22.900361,0.230677,1.776668,6.967325,0.000000,0.003097
0.010000,0.358722,22.900419,0.248792,1.846341,6.967325,-0.000000,0.003332
0.010000,0.377534,22.900484,0.267603,1.916014,6.967325,0.000000,0.003574
0.010000,0.397042,22.900557,0.287112,1.985687,6.967325,-0.000000,0.003823
0.010000,0.417247,22.900636,0.307317,2.055361,6.967325,0.000000,0.004079
0.010000,0.438149,22.900724,0.328219,2.125034,6.967325,0.000000,0.004343
0.010000,0.459748,22.900821,0.349818,2.194707,6.967325,-0.000000,0.004614
0.010000,0.482043,22.900927,0.372113,2.264380,6.967325,0.000000,0.004891
0.010000,0.505035,22.901043,0.395105,2.334054,6.967325,-0.000000,0.005175
0.010000,0.528723,22.901169,0.418794,2.403727,6.967325,0.000000,0.005466
0.010000,0.553108,22.901306,0.443180,2.473400,6.967325,-0.000000,0.005762
0.010000,0.578190,22.901454,0.468262,2.543073,6.967325,0.000000,0.006065
0.010000,0.603969,22.901614,0.494041,2.612747,6.967325,-0.000000,0.006373
0.010000,0.630444,22.901787,0.520517,2.682420,6.967325,0.000000,0.006687
0.010000,0.657616,22.901973,0.547690,2.752093,6.967325,0.000000,0.007006
0.010000,0.685485,22.902173,0.575559,2.821766,6.967325,0.000000,0.007330
0.010000,0.714050,22.902387,0.604125,2.891440,6.967325,-0.000000,0.007659
0.010000,0.743312,22.902616,0.633388,2.961113,6.967325,0.000000,0.007993
0.010000,0.773270,22.902861,0.663347,3.030786,6.967325,0.000000,0.008331
0.010000,0.803925,22.903121,0.694004,3.100459,6.967325,-0.000000,0.008673
0.010000,0.835277,22.903399,0.725357,3.170133,6.967325,0.000000,0.009019
0.010000,0.867326,22.903694,0.757406,3.239806,6.967325,0.000000,0.009369
0.010000,0.900070,22.904006,0.790153,3.309479,6.967325,-0.000000,0.009722
0.010000,0.933512,22.904337,0.823596,3.379152,6.967325,-0.000000,0.010078
0.010000,0.967650,22.904687,0.857736,3.448826,6.967325,0.000000,0.010437
0.010000,1.002485,22.905057,0.892572,3.518499,6.967325,-0.000000,0.010798
0.010000,1.038016,22.905447,0.928106,3.588172,6.967325,0.000000,0.011161
0.010000,1.074244,22.905858,0.964336,3.657845,6.967325,0.000000,0.011527
0.010000,1.111168,22.906291,1.001263,3.727519,6.967325,-0.000000,0.011894
0.010000,1.148789,22.906745,1.038886,3.797192,6.967325,-0.000000,0.012262
0.010000,1.187106,22.907222,1.077206,3.866865,6.967325,0.000000,0.012631
0.010000,1.226120,22.907722,1.116223,3.936538,6.967325,-0.000000,0.013001
0.010000,1.265830,22.908246,1.155937,4.006212,6.967325,0.000000,0.013371
0.010000,1.306237,22.908794,1.196348,4.075885,6.967325,0.000000,0.013741
0.010000,1.347340,22.909366,1.237455,4.145558,6.967325,-0.000000,0.014110
0.010000,1.389140,22.909964,1.279259,4.215231,6.967325,0.000000,0.014479
0.010000,1.431636,22.910587,1.321760,4.284905,6.967325,-0.000000,0.014847
0.010000,1.474829,22.911236,1.364957,4.354578,6.967325,0.000000,0.015214
0.010000,1.518717,22.911912,1.408851,4.424251,6.967325,0.000000,0.015578
0.010000,1.563303,22.912615,1.453442,4.493924,6.967325,-0.000000,0.015941
0.010000,1.608585,22.913345,1.498730,4.563598,6.967325,0.000000,0.016300
0.010000,1.654563,22.914103,1.544714,4.633271,6.967325,0.000000,0.016657
0.010000,1.701237,22.914888,1.591395,4.702944,6.967325,-0.000000,0.017011
0.010000,1.748608,22.915703,1.638773,4.772617,6.967325,0.000000,0.017361
0.010000,1.796675,22.916546,1.686847,4.842291,6.967325,-0.000000,0.017707
0.010000,1.845439,22.917418,1.735619,4.911964,6.967325,0.000000,0.018048
