dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110000,22.900000,0.000029,0.005818,0.581824,58.182449,6.283185
0.010000,0.110043,22.900000,0.000145,0.017455,1.163649,58.182449,0.000000
0.010000,0.110304,22.900000,0.000407,0.034909,1.745473,58.182449,0.000002
0.010000,0.110770,22.900000,0.000873,0.058182,2.327298,58.182449,0.000005
0.010000,0.111497,22.900000,0.001600,0.087274,2.909122,58.182449,0.000009
0.010000,0.112544,22.900000,0.002647,0.122183,3.490947,58.182449,0.000016
0.010000,0.113970,22.900000,0.004073,0.162911,4.072771,58.182449,0.000025
0.010000,0.115832,22.900000,0.005935,0.209457,4.654596,58.182449,0.000036
0.010000,0.118188,22.900000,0.008291,0.261821,5.236420,58.182449,0.000051
0.010000,0.121097,22.900000,0.011200,0.320003,5.818245,58.182449,0.000069
0.010000,0.124617,22.900001,0.014720,0.384004,6.400069,58.182449,0.000091
0.010000,0.128806,22.900001,0.018909,0.453823,6.981894,58.182449,0.000117
0.010000,0.133694,22.900002,0.023797,0.523642,6.981894,0.000000,0.000147
0.010000,0.139279,22.900003,0.029382,0.593461,6.981894,0.000000,0.000182
0.010000,0.145563,22.900004,0.035666,0.663280,6.981894,-0.000000,0.000221
0.010000,0.152545,22.900006,0.042648,0.733099,6.981894,0.000000,0.000264
0.010000,0.160225,22.900008,0.050328,0.802918,6.981894,0.000000,0.000311
0.010000,0.168603,22.900011,0.058706,0.872737,6.981894,0.000000,0.000363
0.010000,0.177680,22.900014,0.067783,0.942556,6.981894,-0.000000,0.000419
0.010000,0.187454,22.900019,0.077557,1.012375,6.981894,0.000000,0.000479
0.010000,0.197927,22.900024,0.088030,1.082194,6.981894,0.000000,0.000543
0.010000,0.209098,22.900030,0.099201,1.152012,6.981894,0.000000,0.000612
0.010000,0.220967,22.900038,0.111070,1.221831,6.981894,-0.000000,0.000684
0.010000,0.233535,22.900047,0.123638,1.291650,6.981894,0.000000,0.000761
0.010000,0.246800,22.900058,0.136903,1.361469,6.981894,0.000000,0.000841
0.010000,0.260764,22.900070,0.150867,1.431288,6.981894,-0.000000,0.000926
0.010000,0.275426,22.900084,0.165529,1.501107,6.981894,0.000000,0.001014
0.010000,0.290786,22.900101,0.180889,1.570926,6.981894,0.000000,0.001107
0.010000,0.306845,22.900119,0.196948,1.640745,6.981894,0.000000,0.001203
0.010000,0.323601,22.900140,0.213704,1.710564,6.981894,-0.000000,0.001304
0.010000,0.341056,22.900164,0.231159,1.780383,6.981894,-0.000000,0.001408
0.010000,0.359209,22.900190,0.249312,1.850202,6.981894,0.000000,0.001515
0.010000,0.378060,22.900220,0.268163,1.920021,6.981894,0.000000,0.001627
0.010000,0.397609,22.900253,0.287712,1.989840,6.981894,-0.000000,0.001742
0.010000,0.417857,22.900289,0.307960,2.059659,6.981894,0.000000,0.001861
0.010000,0.438802,22.900330,0.328905,2.129478,6.981894,-0.000000,0.001984
0.010000,0.460446,22.900374,0.350549,2.199297,6.981894,0.000000,0.002110
0.010000,0.482788,22.900423,0.372891,2.269115,6.981894,0.000000,0.002239
0.010000,0.505828,22.900476,0.395932,2.338934,6.981894,0.000000,0.002372
0.010000,0.529567,22.900534,0.419670,2.408753,6.981894,0.000000,0.002508
0.010000,0.554003,22.900597,0.444107,2.478572,6.981894,0.000000,0.002648
0.010000,0.579138,22.900665,0.469241,2.548391,6.981894,-0.000000,0.002790
0.010000,0.604971,22.900739,0.495074,2.618210,6.981894,0.000000,0.002936
0.010000,0.631502,22.900819,0.521606,2.688029,6.981894,0.000000,0.003085
0.010000,0.658731,22.900905,0.548835,2.757848,6.981894,-0.000000,0.003237
0.010000,0.686659,22.900997,0.576763,2.827667,6.981894,0.000000,0.003392
0.010000,0.715284,22.901097,0.605388,2.897486,6.981894,0.000000,0.003550
0.010000,0.744608,22.901203,0.634712,2.967305,6.981894,0.000000,0.003711
0.010000,0.774630,22.901317,0.664734,3.037124,6.981894,-0.000000,0.003875
0.010000,0.805350,22.901439,0.695455,3.106943,6.981894,0.000000,0.004041
0.010000,0.836768,22.901568,0.726873,3.176762,6.981894,0.000000,0.004209
0.010000,0.868885,22.901706,0.758990,3.246581,6.981894,0.000000,0.004381
0.010000,0.901699,22.901853,0.791805,3.316400,6.981894,0.000000,0.004554
0.010000,0.935212,22.902009,0.825318,3.386219,6.981894,-0.000000,0.004731
0.010000,0.969423,22.902173,0.859529,3.456037,6.981894,0.000000,0.004909
0.010000,1.004332,22.902348,0.894439,3.525856,6.981894,0.000000,0.005089
0.010000,1.039939,22.902532,0.930046,3.595675,6.981894,0.000000,0.005272
0.010000,1.076244,22.902727,0.966352,3.665494,6.981894,0.000000,0.005457
0.010000,1.113248,22.902933,1.003356,3.735313,6.981894,-0.000000,0.005643
0.010000,1.150949,22.903149,1.041059,3.805132,6.981894,0.000000,0.005831
0.010000,1.189349,22.903376,1.079459,3.874951,6.981894,-0.000000,0.006021
0.010000,1.228447,22.903616,1.118558,3.944770,6.981894,-0.000000,0.006213
0.010000,1.268243,22.903867,1.158354,4.014589,6.981894,0.000000,0.006406
0.010000,1.308737,22.904130,1.198849,4.084408,6.981894,-0.000000,0.006601
0.010000,1.349929,22.904406,1.240043,4.154227,6.981894,0.000000,0.006797
0.010000,1.391820,22.904695,1.281934,4.224046,6.981894,0.000000,0.006994
0.010000,1.434408,22.904997,1.324523,4.293865,6.981894,0.000000,0.007192
0.010000,1.477695,22.905313,1.367811,4.363684,6.981894,0.000000,0.007391
0.010000,1.521680,22.905642,1.411797,4.433503,6.981894,-0.000000,0.007591
0.010000,1.566362,22.905986,1.456481,4.503322,6.981894,0.000000,0.007792
0.010000,1.611743,22.906344,1.501864,4.573140,6.981894,0.000000,0.007994
0.010000,1.657822,22.906717,1.547944,4.642959,6.981894,0.000000,0.008196
0.010000,1.704599,22.907105,1.594723,4.712778,6.981894,0.000000,0.008398
0.010000,1.752074,22.907509,1.642200,4.782597,6.981894,0.000000,0.008601
0.010000,1.800248,22.907928,1.690375,4.852416,6.981894,-0.000000,0.008804
0.010000,1.849119,22.908363,1.739248,4.922235,6.981894,0.000000,0.009007
0.010000,1.898688,22.908815,1.788819,4.992054,6.981894,0.000000,0.009210
0.010000,1.948956,22.909283,1.839089,5.061873,6.981894,0.000000,0.009413
0.010000,1.999921,22.909768,1.890057,5.131692,6.981894,0.000000,0.009616
