dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110001,24.400000,0.000029,0.005806,0.580610,58.061038,6.283185
0.010000,0.110075,24.400000,0.000103,0.007381,0.157536,-42.307447,0.000001
0.010000,0.110330,24.400000,0.000359,0.025583,1.820144,166.260839,0.000005
0.010000,0.110785,24.400000,0.000813,0.045481,1.989792,16.964744,0.000011
0.010000,0.111496,24.400000,0.001524,0.071064,2.558322,56.853063,0.000021
0.010000,0.112519,24.400000,0.002547,0.102333,3.126874,56.855154,0.000036
0.010000,0.113912,24.400000,0.003940,0.139287,3.695457,56.858261,0.000055
0.010000,0.115731,24.400000,0.005760,0.181928,4.264082,56.862590,0.000081
0.010000,0.118034,24.400000,0.008062,0.230256,4.832766,56.868342,0.000114
0.010000,0.120877,24.400001,0.010905,0.284271,5.401523,56.875723,0.000154
0.010000,0.124316,24.400001,0.014345,0.343975,5.970372,56.884935,0.000203
0.010000,0.128410,24.400002,0.018438,0.409368,6.539334,56.896182,0.000261
0.010000,0.133186,24.400004,0.023214,0.477609,6.824135,28.480102,0.000328
0.010000,0.138645,24.400006,0.028673,0.545857,6.824751,0.061530,0.000405
0.010000,0.144786,24.400009,0.034814,0.614112,6.825454,0.070323,0.000491
0.010000,0.151610,24.400012,0.041638,0.682374,6.826245,0.079116,0.000587
0.010000,0.159116,24.400017,0.049144,0.750645,6.827124,0.087911,0.000692
0.010000,0.167305,24.400023,0.057334,0.818926,6.828091,0.096707,0.000806
0.010000,0.176178,24.400031,0.066206,0.887218,6.829146,0.105504,0.000930
0.010000,0.185733,24.400040,0.075761,0.955520,6.830289,0.114302,0.001062
0.010000,0.195971,24.400052,0.085999,1.023836,6.831520,0.123102,0.001204
0.010000,0.206893,24.400066,0.096921,1.092164,6.832839,0.131903,0.001355
0.010000,0.218498,24.400083,0.108526,1.160507,6.834246,0.140706,0.001515
0.010000,0.230786,24.400102,0.120815,1.228864,6.835741,0.149511,0.001683
0.010000,0.243759,24.400125,0.133787,1.297237,6.837325,0.158317,0.001860
0.010000,0.257415,24.400152,0.147443,1.365627,6.838996,0.167125,0.002046
0.010000,0.271755,24.400183,0.161784,1.434035,6.840755,0.175935,0.002240
0.010000,0.286780,24.400218,0.176808,1.502461,6.842603,0.184747,0.002442
0.010000,0.302489,24.400258,0.192517,1.570906,6.844538,0.193560,0.002652
0.010000,0.318883,24.400303,0.208911,1.639372,6.846562,0.202375,0.002871
0.010000,0.335961,24.400354,0.225990,1.707858,6.848674,0.211192,0.003097
0.010000,0.353725,24.400411,0.243753,1.776367,6.850874,0.220011,0.003332
0.010000,0.372173,24.400475,0.262202,1.844899,6.853162,0.228831,0.003574
0.010000,0.391308,24.400546,0.281337,1.913454,6.855539,0.237653,0.003823
0.010000,0.411128,24.400624,0.301157,1.982034,6.858004,0.246477,0.004079
0.010000,0.431634,24.400710,0.321664,2.050640,6.860557,0.255303,0.004343
0.010000,0.452827,24.400805,0.342856,2.119272,6.863198,0.264130,0.004614
0.010000,0.474706,24.400909,0.364736,2.187931,6.865928,0.272958,0.004891
0.010000,0.497272,24.401023,0.387302,2.256619,6.868745,0.281788,0.005175
0.010000,0.520525,24.401147,0.410555,2.325335,6.871652,0.290619,0.005466
0.010000,0.544465,24.401281,0.434496,2.394082,6.874646,0.299451,0.005762
0.010000,0.569093,24.401427,0.459124,2.462859,6.877729,0.308284,0.006065
0.010000,0.594410,24.401584,0.484441,2.531668,6.880900,0.317118,0.006373
0.010000,0.620414,24.401754,0.510446,2.600509,6.884160,0.325954,0.006687
0.010000,0.647107,24.401937,0.537140,2.669384,6.887508,0.334789,0.007006
0.010000,0.674490,24.402133,0.564523,2.738294,6.890944,0.343625,0.007330
0.010000,0.702561,24.402343,0.592595,2.807239,6.894468,0.352462,0.007659
0.010000,0.731322,24.402568,0.621358,2.876219,6.898081,0.361299,0.007993
0.010000,0.760774,24.402809,0.650810,2.945237,6.901783,0.370136,0.008331
0.010000,0.790916,24.403065,0.680953,3.014293,6.905573,0.378973,0.008673
0.010000,0.821748,24.403338,0.711787,3.083387,6.909451,0.387810,0.009019
0.010000,0.853272,24.403628,0.743312,3.152522,6.913417,0.396646,0.009369
0.010000,0.885488,24.403935,0.775529,3.221696,6.917472,0.405482,0.009722
0.010000,0.918395,24.404261,0.808438,3.290913,6.921615,0.414317,0.010078
0.010000,0.951995,24.404606,0.842040,3.360171,6.925847,0.423152,0.010437
