dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.070000,22.900000,0.000029,0.005714,0.571429,57.142857,6.283185
0.010000,0.070004,22.900000,0.000143,0.017143,1.142857,57.142857,0.000000
0.010000,0.070261,22.900000,0.000400,0.034286,1.714286,57.142857,0.000002
0.010000,0.070718,22.900000,0.000857,0.057143,2.285714,57.142857,0.000005
0.010000,0.071432,22.900000,0.001571,0.085714,2.857143,57.142857,0.000009
0.010000,0.072461,22.900000,0.002600,0.120000,3.428571,57.142857,0.000016
0.010000,0.073861,22.900000,0.004000,0.160000,4.000000,57.142857,0.000025
0.010000,0.075661,22.900000,0.005800,0.200000,4.000000,0.000000,0.000037
0.010000,0.077861,22.900000,0.008000,0.240000,4.000000,-0.000000,0.000051
0.010000,0.080461,22.900000,0.010600,0.280000,4.000000,0.000000,0.000068
0.010000,0.083461,22.900001,0.013600,0.320000,4.000000,-0.000000,0.000087
0.010000,0.086861,22.900001,0.017000,0.360000,4.000000,0.000000,0.000109
0.010000,0.090661,22.900001,0.020800,0.400000,4.000000,0.000000,0.000134
0.010000,0.094861,22.900002,0.025000,0.440000,4.000000,-0.000000,0.000161
0.010000,0.099461,22.900003,0.029600,0.480000,4.000000,0.000000,0.000191
0.010000,0.104461,22.900004,0.034600,0.520000,4.000000,0.000000,0.000223
0.010000,0.109861,22.900005,0.040000,0.560000,4.000000,0.000000,0.000258
0.010000,0.115661,22.900007,0.045800,0.600000,4.000000,-0.000000,0.000295
0.010000,0.121861,22.900009,0.052000,0.640000,4.000000,0.000000,0.000335
0.010000,0.128461,22.900011,0.058600,0.680000,4.000000,-0.000000,0.000378
0.010000,0.135461,22.900014,0.065600,0.720000,4.000000,0.000000,0.000423
0.010000,0.142861,22.900017,0.073000,0.760000,4.000000,0.000000,0.000470
0.010000,0.150661,22.900021,0.080800,0.800000,4.000000,0.000000,0.000520
0.010000,0.158861,22.900026,0.089000,0.840000,4.000000,-0.000000,0.000573
0.010000,0.167461,22.900031,0.097600,0.880000,4.000000,0.000000,0.000628
0.010000,0.176461,22.900037,0.106600,0.920000,4.000000,-0.000000,0.000686
0.010000,0.185861,22.900043,0.116000,0.960000,4.000000,0.000000,0.000746
0.010000,0.195661,22.900051,0.125800,1.000000,4.000000,0.000000,0.000808
0.010000,0.205861,22.900060,0.136000,1.040000,4.000000,0.000000,0.000873
0.010000,0.216461,22.900069,0.146600,1.080000,4.000000,0.000000,0.000941
0.010000,0.227461,22.900080,0.157600,1.120000,4.000000,0.000000,0.001010
0.010000,0.238861,22.900092,0.169000,1.160000,4.000000,-0.000000,0.001083
0.010000,0.250661,22.900105,0.180800,1.200000,4.000000,0.000000,0.001157
0.010000,0.262861,22.900120,0.193000,1.240000,4.000000,0.000000,0.001234
0.010000,0.275461,22.900136,0.205600,1.280000,4.000000,-0.000000,0.001314
0.010000,0.288461,22.900153,0.218600,1.320000,4.000000,0.000000,0.001396
0.010000,0.301861,22.900173,0.232000,1.360000,4.000000,-0.000000,0.001480
0.010000,0.315661,22.900194,0.245800,1.400000,4.000000,0.000000,0.001566
0.010000,0.329861,22.900216,0.260000,1.440000,4.000000,0.000000,0.001655
0.010000,0.344461,22.900241,0.274600,1.480000,4.000000,0.000000,0.001746
0.010000,0.359461,22.900268,0.289600,1.520000,4.000000,0.000000,0.001840
0.010000,0.374860,22.900297,0.305000,1.560000,4.000000,0.000000,0.001935
0.010000,0.390660,22.900329,0.320800,1.600000,4.000000,0.000000,0.002033
0.010000,0.406860,22.900362,0.337000,1.640000,4.000000,-0.000000,0.002134
0.010000,0.423460,22.900399,0.353600,1.680000,4.000000,0.000000,0.002236
0.010000,0.440460,22.900437,0.370600,1.720000,4.000000,0.000000,0.002341
0.010000,0.457860,22.900479,0.388000,1.760000,4.000000,-0.000000,0.002447
0.010000,0.475660,22.900524,0.405800,1.800000,4.000000,0.000000,0.002556
0.010000,0.493860,22.900571,0.424000,1.840000,4.000000,0.000000,0.002667
0.010000,0.512460,22.900622,0.442600,1.880000,4.000000,0.000000,0.002781
0.010000,0.531460,22.900676,0.461600,1.920000,4.000000,-0.000000,0.002896
0.010000,0.550860,22.900733,0.481000,1.960000,4.000000,0.000000,0.003013
0.010000,0.570660,22.900794,0.500800,2.000000,4.000000,0.000000,0.003133
0.010000,0.590860,22.900859,0.521000,2.040000,4.000000,0.000000,0.003254
0.010000,0.611460,22.900927,0.541600,2.080000,4.000000,0.000000,0.003378
0.010000,0.632459,22.900999,0.562600,2.120000,4.000000,0.000000,0.003503
0.010000,0.653859,22.901075,0.584000,2.160000,4.000000,0.000000,0.003631
0.010000,0.675659,22.901156,0.605800,2.200000,4.000000,0.000000,0.003760
0.010000,0.697859,22.901241,0.628000,2.240000,4.000000,0.000000,0.003892
0.010000,0.720459,22.901330,0.650600,2.280000,4.000000,0.000000,0.004025
0.010000,0.743459,22.901425,0.673600,2.320000,4.000000,-0.000000,0.004160
0.010000,0.766858,22.901523,0.697000,2.360000,4.000000,0.000000,0.004297
0.010000,0.790658,22.901627,0.720800,2.400000,4.000000,-0.000000,0.004436
0.010000,0.814858,22.901736,0.745000,2.440000,4.000000,0.000000,0.004576
0.010000,0.839458,22.901851,0.769600,2.480000,4.000000,0.000000,0.004719
0.010000,0.864457,22.901971,0.794600,2.520000,4.000000,-0.000000,0.004863
0.010000,0.889857,22.902096,0.820000,2.560000,4.000000,0.000000,0.005009
0.010000,0.915657,22.902227,0.845800,2.600000,4.000000,-0.000000,0.005156
0.010000,0.941856,22.902364,0.872000,2.640000,4.000000,0.000000,0.005305
0.010000,0.968456,22.902507,0.898600,2.680000,4.000000,-0.000000,0.005456
0.010000,0.995456,22.902657,0.925600,2.720000,4.000000,0.000000,0.005608
0.010000,1.022855,22.902812,0.953000,2.760000,4.000000,0.000000,0.005762
