dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.160007,14.780000,0.000029,0.005832,0.583161,58.316051,0.000001
0.010000,6.160106,14.780000,0.000128,0.009902,0.407025,-17.613595,0.000013
0.010000,6.160329,14.780000,0.000351,0.022280,1.237804,83.077956,0.000039
0.010000,6.160725,14.780000,0.000747,0.039611,1.733129,49.532519,0.000086
0.010000,6.161344,14.780000,0.001366,0.061899,2.228767,49.563747,0.000159
0.010000,6.162236,14.780000,0.002258,0.089148,2.724916,49.614888,0.000265
0.010000,6.163449,14.780001,0.003471,0.121366,3.221825,49.690925,0.000408
0.010000,6.165035,14.780001,0.005057,0.158564,3.719793,49.796849,0.000595
0.010000,6.167043,14.780003,0.007064,0.200756,4.219170,49.937662,0.000831
0.010000,6.169522,14.780005,0.009544,0.247959,4.720354,50.118378,0.001122
0.010000,6.172524,14.780009,0.012546,0.300197,5.223794,50.344024,0.001473
0.010000,6.176099,14.780015,0.016121,0.357497,5.729991,50.619649,0.001889
0.010000,6.180273,14.780024,0.020295,0.417407,5.990932,26.094166,0.002372
0.010000,6.185048,14.780037,0.025070,0.477467,6.006012,1.507949,0.002921
0.010000,6.190425,14.780054,0.030447,0.537699,6.023254,1.724259,0.003535
0.010000,6.196406,14.780077,0.036428,0.598126,6.042663,1.940891,0.004213
0.010000,6.202994,14.780108,0.043016,0.658768,6.064242,2.157870,0.004953
0.010000,6.210190,14.780146,0.050212,0.719648,6.087994,2.375208,0.005753
0.010000,6.217998,14.780194,0.058020,0.780787,6.113923,2.592916,0.006613
0.010000,6.226420,14.780254,0.066442,0.842208,6.142033,2.810994,0.007530
0.010000,6.235459,14.780326,0.075481,0.903931,6.172327,3.029439,0.008501
0.010000,6.245118,14.780413,0.085141,0.965979,6.204810,3.248237,0.009526
0.010000,6.255401,14.780517,0.095425,1.028374,6.239483,3.467370,0.010601
0.010000,6.266312,14.780639,0.106336,1.091138,6.276352,3.686811,0.011724
0.010000,6.277854,14.780781,0.117879,1.154292,6.315417,3.906530,0.012893
0.010000,6.290032,14.780945,0.130058,1.217859,6.356682,4.126486,0.014105
0.010000,6.302849,14.781134,0.142876,1.281860,6.400148,4.346636,0.015356
0.010000,6.316310,14.781350,0.156340,1.346318,6.445817,4.566930,0.016644
0.010000,6.330421,14.781594,0.170452,1.411255,6.493691,4.787316,0.017966
0.010000,6.345185,14.781869,0.185219,1.476693,6.543768,5.007736,0.019318
0.010000,6.360608,14.782178,0.200646,1.542653,6.596049,5.228133,0.020697
0.010000,6.376696,14.782522,0.216737,1.609159,6.650534,5.448445,0.022099
0.010000,6.393454,14.782904,0.233499,1.676231,6.707220,5.668612,0.023520
0.010000,6.410888,14.783327,0.250938,1.743892,6.766106,5.888577,0.024957
0.010000,6.429004,14.783793,0.269060,1.812164,6.827188,6.108282,0.026405
0.010000,6.447807,14.784303,0.287871,1.881068,6.890465,6.327675,0.027861
0.010000,6.467306,14.784861,0.307377,1.950628,6.955932,6.546708,0.029319
0.010000,6.487505,14.785468,0.327586,2.020864,7.023586,6.765342,0.030776
