dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,15.160002,14.780000,0.000029,0.005714,0.571429,57.142857,0.000012
0.010000,15.160016,14.780000,0.000042,0.001366,-0.434781,-100.620966,0.000079
0.010000,15.160047,14.780000,0.000073,0.003084,0.171742,60.652323,0.000230
0.010000,15.160102,14.780000,0.000128,0.005514,0.243048,7.130633,0.000498
0.010000,15.160189,14.780000,0.000215,0.008698,0.318362,7.531327,0.000916
0.010000,15.160316,14.780000,0.000342,0.012700,0.400245,8.188299,0.001517
0.010000,15.160492,14.780001,0.000518,0.017620,0.491914,9.166893,0.002333
0.010000,15.160724,14.780001,0.000751,0.023218,0.559883,6.796911,0.003378
0.010000,15.161017,14.780002,0.001043,0.029242,0.602377,4.249401,0.004650
0.010000,15.161375,14.780004,0.001401,0.035787,0.654470,5.209363,0.006145
0.010000,15.161804,14.780007,0.001830,0.042949,0.716252,6.178170,0.007858
0.010000,15.162312,14.780012,0.002339,0.050828,0.787822,7.156944,0.009786
0.010000,15.162908,14.780018,0.002934,0.059520,0.869287,8.146575,0.011923
0.010000,15.163599,14.780027,0.003625,0.069128,0.960764,9.147697,0.014262
0.010000,15.164396,14.780040,0.004423,0.079752,1.062371,10.160664,0.016797
0.010000,15.165311,14.780056,0.005338,0.091494,1.174226,11.185534,0.019520
0.010000,15.166355,14.780078,0.006382,0.104459,1.296447,12.222060,0.022424
0.010000,15.167543,14.780107,0.007570,0.118750,1.429144,13.269680,0.025499
0.010000,15.168887,14.780143,0.008914,0.134474,1.572419,14.327524,0.028736
0.010000,15.170403,14.780189,0.010432,0.151738,1.726363,15.394421,0.032124
0.010000,15.172109,14.780247,0.012138,0.170648,1.891052,16.468916,0.035653
0.010000,15.174021,14.780319,0.014051,0.191314,2.066545,17.549297,0.039311
0.010000,15.176157,14.780407,0.016190,0.213843,2.252882,18.633630,0.043085
0.010000,15.178538,14.780515,0.018573,0.238343,2.450080,19.719799,0.046963
0.010000,15.181184,14.780644,0.021223,0.264925,2.658135,20.805556,0.050930
0.010000,15.184117,14.780800,0.024159,0.293695,2.877021,21.888583,0.054972
0.010000,15.187360,14.780985,0.027407,0.324762,3.106686,22.966553,0.059074
0.010000,15.190935,14.781204,0.030989,0.358232,3.347058,24.037203,0.063219
0.010000,15.194869,14.781461,0.034932,0.394213,3.598043,25.098406,0.067391
0.010000,15.199187,14.781762,0.039260,0.432808,3.859525,26.148249,0.071572
0.010000,15.203915,14.782111,0.044001,0.474122,4.131376,27.185112,0.075745
0.010000,15.209082,14.782514,0.049183,0.518256,4.413454,28.207742,0.079890
0.010000,15.214716,14.782977,0.054837,0.565312,4.705607,29.215329,0.083987
0.010000,15.220847,14.783506,0.060990,0.615389,5.007683,30.207565,0.088018
0.010000,15.227506,14.784107,0.067676,0.668585,5.319530,31.184707,0.091961
0.010000,15.234724,14.784787,0.074926,0.724995,5.641006,32.147618,0.095794
0.010000,15.242534,14.785552,0.082773,0.784714,5.971984,33.097798,0.099496
0.010000,15.250969,14.786409,0.091252,0.847838,6.312358,34.037396,0.103044
0.010000,15.260063,14.787366,0.100396,0.914459,6.662050,34.969205,0.106414
0.010000,15.269852,14.788427,0.110243,0.984669,7.021016,35.896626,0.109583
0.010000,15.280373,14.789601,0.120829,1.058561,7.389252,36.823617,0.112526
0.010000,15.291661,14.790893,0.132191,1.136229,7.766798,37.754605,0.115218
0.010000,15.303756,14.792308,0.144369,1.217767,8.153742,38.694366,0.117633
0.010000,15.316697,14.793851,0.157401,1.303269,8.550221,39.647878,0.119744
0.010000,15.330524,14.795528,0.171330,1.392833,8.956422,40.620116,0.121525
0.010000,15.345279,14.797341,0.186195,1.486559,9.372580,41.615821,0.122948
0.010000,15.361004,14.799293,0.202041,1.584549,9.798972,42.639208,0.123985
0.010000,15.377743,14.801385,0.218910,1.686908,10.235908,43.693613,0.124605
0.010000,15.395541,14.803617,0.236847,1.793745,10.683719,44.781079,0.124780
0.010000,15.414445,14.805986,0.255899,1.905172,11.142738,45.901870,0.124479
0.010000,15.434502,14.808488,0.276112,2.021305,11.613277,47.053883,0.123670
0.010000,15.455763,14.811117,0.297535,2.142261,12.095596,48.231984,0.122322
0.010000,15.478277,14.813864,0.320216,2.268160,12.589869,49.427211,0.120401
0.010000,15.502099,14.816716,0.344207,2.399121,13.096127,50.625874,0.117873
0.010000,15.527280,14.819659,0.369560,2.535263,13.614212,51.808508,0.114705
0.010000,15.553877,14.822673,0.396327,2.676700,14.143699,52.948698,0.110860
0.010000,15.581946,14.825734,0.424562,2.823538,14.683817,54.011757,0.106303
0.010000,15.611544,14.828814,0.454321,2.975872,15.233350,54.953285,0.100998
0.010000,15.642732,14.831880,0.485659,3.133777,15.790526,55.717626,0.094906
0.010000,15.675567,14.834892,0.518632,3.297306,16.352889,56.236279,0.087990
0.010000,15.710109,14.837806,0.553297,3.466477,16.917152,56.426350,0.080214
0.010000,15.746417,14.840567,0.589709,3.641268,17.479044,56.189170,0.071539
0.010000,15.784548,14.843117,0.627925,3.821599,18.033137,55.409268,0.061928
0.010000,15.824557,14.845387,0.667999,4.007326,18.572676,53.953950,0.051345
0.010000,15.866495,14.847301,0.709981,4.198220,19.089414,51.673807,0.039757
0.010000,15.910410,14.848772,0.753920,4.393955,19.573460,48.404567,0.027131
0.010000,15.956342,14.849705,0.799861,4.594086,20.013168,43.970767,0.013436
0.010000,16.003074,14.849999,0.846594,4.673303,7.921675,-1209.149257,6.282629
0.010000,16.039151,14.849861,0.882672,3.607795,-106.550837,-11447.251243,6.276044
0.010000,16.076002,14.849472,0.919525,3.685254,7.745884,11429.672127,6.269209
0.010000,16.113640,14.848813,0.957169,3.764418,7.916446,17.056213,6.262112
0.010000,16.152082,14.847861,0.995623,3.845387,8.096886,18.044033,6.254743
0.010000,16.191345,14.846594,1.034905,3.928265,8.287771,19.088480,6.247088
0.010000,16.231444,14.844987,1.075037,4.013161,8.489686,20.191455,6.239134
0.010000,16.272398,14.843012,1.116039,4.100194,8.703216,21.353039,6.230866
0.010000,16.314226,14.840642,1.157934,4.189483,8.928982,22.576638,6.222269
0.010000,16.356946,14.837845,1.200745,4.281159,9.167568,23.858544,6.213328
0.010000,16.400578,14.834589,1.244499,4.375355,9.419591,25.202310,6.204025
0.010000,16.445143,14.830837,1.289221,4.472211,9.685606,26.601490,6.194344
0.010000,16.490660,14.826552,1.334940,4.571873,9.966167,28.056147,6.184264
0.010000,16.537152,14.821692,1.381685,4.674490,10.261751,29.558386,6.173768
0.010000,16.584639,14.816213,1.429487,4.780218,10.572761,31.100950,6.162833
0.010000,16.633143,14.810068,1.478379,4.889213,10.899495,32.673454,6.151438
0.010000,16.682687,14.803204,1.528395,5.001634,11.242102,34.260728,6.139560
0.010000,16.733290,14.795566,1.579572,5.117639,11.600542,35.843911,6.127176
0.010000,16.784974,14.787096,1.631946,5.237385,11.974534,37.399196,6.114259
0.010000,16.837760,14.777728,1.685556,5.361020,12.363494,38.896050,6.100786
0.010000,16.891665,14.767394,1.740443,5.488684,12.766456,40.296187,6.086728
0.010000,16.946707,14.756020,1.796648,5.620504,13.181996,41.554043,6.072057
0.010000,17.002901,14.743527,1.854214,5.756585,13.608119,42.612290,6.056746
0.010000,17.060258,14.729831,1.913184,5.897007,14.042160,43.404122,6.040766
0.010000,17.118787,14.714840,1.973602,6.041813,14.480652,43.849166,6.024087
0.010000,17.178491,14.698459,2.035512,6.191005,14.919192,43.854018,6.006679
0.010000,17.239367,14.680587,2.098957,6.344528,15.352295,43.310312,5.988515
0.010000,17.301406,14.661116,2.163980,6.502261,15.773261,42.096549,5.969566
0.010000,17.364590,14.639934,2.230620,6.664001,16.174023,40.076221,5.949805
0.010000,17.428891,14.616924,2.298914,6.829451,16.545032,37.100905,5.929208
0.010000,17.494271,14.591965,2.368896,6.998203,16.875189,33.015712,5.907753
0.010000,17.560678,14.564934,2.440593,7.169721,17.151796,27.660670,5.885420
0.010000,17.628044,14.535707,2.514027,7.343328,17.360628,20.883155,5.862197
0.010000,17.696287,14.504159,2.589209,7.518188,17.486077,12.544899,5.838074
0.010000,17.765305,14.470171,2.666142,7.693303,17.511473,2.539600,5.813051
0.010000,17.834977,14.433627,2.744817,7.867498,17.419537,-9.193583,5.787133
0.010000,17.905163,14.394420,2.825211,8.039429,17.193034,-22.650252,5.760335
0.010000,17.975701,14.352458,2.907287,8.207585,16.815622,-37.741225,5.732683
0.010000,18.046409,14.307662,2.990990,8.370314,16.272874,-54.274807,5.704212
0.010000,18.117083,14.259974,3.076248,8.525848,15.553447,-71.942711,5.674971
0.010000,18.187506,14.209361,3.162972,8.672351,14.650306,-90.314067,5.645020
0.010000,18.257440,14.155815,3.251052,8.807971,13.561932,-108.837425,5.614431
0.010000,18.326641,14.099359,3.340361,8.930904,12.293330,-126.860151,5.583290
0.010000,18.394857,14.040048,3.430755,9.039471,10.856744,-143.658614,5.551691
0.010000,18.461833,13.977968,3.522077,9.132190,9.271905,-158.483965,5.519740
0.010000,18.527323,13.913241,3.614156,9.207847,7.565712,-170.619239,5.487552
0.010000,18.591088,13.846017,3.706811,9.265561,5.771314,-179.439772,5.455245
0.010000,18.652909,13.776475,3.799860,9.304827,3.926600,-184.471443,5.422944
0.010000,18.712589,13.704817,3.893115,9.325549,2.072221,-185.437880,5.390771
0.010000,18.769957,13.631264,3.986396,9.328042,0.249334,-182.288688,5.358848
0.010000,18.824874,13.556048,4.079526,9.313015,-1.502712,-175.204646,5.327292
