dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.460000,7.580000,0.000029,0.005704,0.570442,57.044245,0.000019
0.010000,17.460047,7.580000,0.000143,0.017113,1.140885,57.044245,6.283172
0.010000,17.460304,7.580000,0.000399,0.034227,1.711327,57.044245,6.283097
0.010000,17.460760,7.580000,0.000856,0.057044,2.281770,57.044245,6.282965
0.010000,17.461473,7.580000,0.001569,0.085566,2.852212,57.044245,6.282759
0.010000,17.462500,7.579999,0.002596,0.119793,3.422655,57.044245,6.282462
0.010000,17.463897,7.579998,0.003993,0.159724,3.993097,57.044245,6.282057
0.010000,17.465694,7.579995,0.005790,0.199655,3.993097,-0.000000,6.281536
0.010000,17.467891,7.579991,0.007986,0.239586,3.993097,0.000000,6.280899
0.010000,17.470486,7.579984,0.010582,0.279517,3.993097,0.000000,6.280146
0.010000,17.473481,7.579974,0.013577,0.319448,3.993097,0.000000,6.279275
0.010000,17.476875,7.579959,0.016971,0.359379,3.993097,-0.000000,6.278288
0.010000,17.480668,7.579938,0.020764,0.399310,3.993097,0.000000,6.277183
0.010000,17.484861,7.579910,0.024957,0.439241,3.993097,-0.000000,6.275960
0.010000,17.489453,7.579874,0.029549,0.479172,3.993097,0.000000,6.274618
0.010000,17.494444,7.579828,0.034540,0.519103,3.993097,0.000000,6.273157
0.010000,17.499834,7.579769,0.039931,0.559034,3.993097,0.000000,6.271576
0.010000,17.505624,7.579697,0.045721,0.598965,3.993097,-0.000000,6.269875
0.010000,17.511813,7.579609,0.051910,0.638896,3.993097,0.000000,6.268052
0.010000,17.518400,7.579503,0.058499,0.678827,3.993097,-0.000000,6.266108
0.010000,17.525387,7.579377,0.065487,0.718757,3.993097,0.000000,6.264040
0.010000,17.532773,7.579227,0.072874,0.758688,3.993097,0.000000,6.261849
0.010000,17.540557,7.579052,0.080661,0.798619,3.993097,0.000000,6.259534
0.010000,17.548741,7.578848,0.088846,0.838550,3.993097,0.000000,6.257093
0.010000,17.557323,7.578613,0.097432,0.878481,3.993097,-0.000000,6.254525
0.010000,17.566303,7.578344,0.106416,0.918412,3.993097,0.000000,6.251830
0.010000,17.575682,7.578036,0.115800,0.958343,3.993097,0.000000,6.249006
0.010000,17.585459,7.577688,0.125583,0.998274,3.993097,-0.000000,6.246052
0.010000,17.595634,7.577294,0.135765,1.038205,3.993097,0.000000,6.242968
0.010000,17.606206,7.576851,0.146347,1.078136,3.993097,-0.000000,6.239751
0.010000,17.617176,7.576356,0.157328,1.118067,3.993097,0.000000,6.236402
0.010000,17.628543,7.575804,0.168708,1.157998,3.993097,-0.000000,6.232917
0.010000,17.640306,7.575191,0.180488,1.197929,3.993097,0.000000,6.229297
0.010000,17.652466,7.574512,0.192667,1.237860,3.993097,0.000000,6.225540
0.010000,17.665022,7.573763,0.205245,1.277791,3.993097,0.000000,6.221645
0.010000,17.677974,7.572939,0.218223,1.317722,3.993097,-0.000000,6.217609
0.010000,17.691320,7.572034,0.231600,1.357653,3.993097,-0.000000,6.213433
0.010000,17.705061,7.571045,0.245376,1.397584,3.993097,0.000000,6.209114
0.010000,17.719195,7.569964,0.259551,1.437515,3.993097,-0.000000,6.204651
0.010000,17.733722,7.568787,0.274126,1.477446,3.993097,0.000000,6.200043
0.010000,17.748641,7.567508,0.289100,1.517377,3.993097,-0.000000,6.195289
0.010000,17.763952,7.566121,0.304474,1.557308,3.993097,0.000000,6.190386
0.010000,17.779653,7.564620,0.320246,1.597239,3.993097,-0.000000,6.185334
0.010000,17.795744,7.562998,0.336418,1.637170,3.993097,0.000000,6.180132
0.010000,17.812222,7.561249,0.352990,1.677101,3.993097,0.000000,6.174777
0.010000,17.829088,7.559367,0.369960,1.717032,3.993097,-0.000000,6.169270
0.010000,17.846340,7.557344,0.387330,1.756963,3.993097,0.000000,6.163608
0.010000,17.863976,7.555173,0.405100,1.796894,3.993097,0.000000,6.157790
0.010000,17.881995,7.552847,0.423268,1.836825,3.993097,0.000000,6.151815
0.010000,17.900396,7.550358,0.441836,1.876756,3.993097,0.000000,6.145683
0.010000,17.919175,7.547699,0.460803,1.916687,3.993097,-0.000000,6.139392
0.010000,17.938333,7.544862,0.480170,1.956618,3.993097,0.000000,6.132941
0.010000,17.957866,7.541839,0.499936,1.996549,3.993097,-0.000000,6.126330
0.010000,17.977773,7.538622,0.520101,2.036480,3.993097,0.000000,6.119557
0.010000,17.998051,7.535201,0.540665,2.076411,3.993097,-0.000000,6.112623
0.010000,18.018698,7.531570,0.561629,2.116341,3.993097,0.000000,6.105526
0.010000,18.039711,7.527718,0.582992,2.156272,3.993097,-0.000000,6.098267
0.010000,18.061087,7.523638,0.604755,2.196203,3.993097,0.000000,6.090846
0.010000,18.082824,7.519319,0.626916,2.236134,3.993097,0.000000,6.083261
0.010000,18.104918,7.514753,0.649477,2.276065,3.993097,-0.000000,6.075514
0.010000,18.127366,7.509930,0.672438,2.315996,3.993097,-0.000000,6.067606
0.010000,18.150164,7.504841,0.695797,2.355927,3.993097,0.000000,6.059535
0.010000,18.173310,7.499476,0.719556,2.395858,3.993097,-0.000000,6.051305
0.010000,18.196798,7.493826,0.743714,2.435789,3.993097,0.000000,6.042914
0.010000,18.220625,7.487880,0.768272,2.475720,3.993097,-0.000000,6.034366
0.010000,18.244786,7.481629,0.793229,2.515651,3.993097,0.000000,6.025661
0.010000,18.269277,7.475063,0.818585,2.555582,3.993097,0.000000,6.016801
0.010000,18.294093,7.468171,0.844340,2.595513,3.993097,-0.000000,6.007789
0.010000,18.319229,7.460944,0.870495,2.635444,3.993097,0.000000,5.998627
0.010000,18.344681,7.453371,0.897049,2.675375,3.993097,-0.000000,5.989318
0.010000,18.370441,7.445442,0.924003,2.715306,3.993097,0.000000,5.979865
0.010000,18.396506,7.437146,0.951355,2.755237,3.993097,0.000000,5.970272
0.010000,18.422868,7.428475,0.979107,2.795168,3.993097,-0.000000,5.960541
0.010000,18.449522,7.419417,1.007259,2.835099,3.993097,0.000000,5.950679
0.010000,18.476462,7.409963,1.035809,2.875030,3.993097,-0.000000,5.940688
0.010000,18.503681,7.400103,1.064759,2.914961,3.993097,0.000000,5.930574
0.010000,18.531172,7.389827,1.094109,2.954892,3.993097,0.000000,5.920343
0.010000,18.558929,7.379124,1.123857,2.994823,3.993097,-0.000000,5.909999
0.010000,18.586944,7.367986,1.154005,3.034754,3.993097,0.000000,5.899550
0.010000,18.615210,7.356403,1.184552,3.074685,3.993097,0.000000,5.889001
0.010000,18.643719,7.344366,1.215499,3.114616,3.993097,0.000000,5.878359
0.010000,18.672464,7.331866,1.246845,3.154547,3.993097,0.000000,5.867631
0.010000,18.701438,7.318894,1.278590,3.194478,3.993097,-0.000000,5.856825
0.010000,18.730632,7.305441,1.310734,3.234409,3.993097,0.000000,5.845948
0.010000,18.760038,7.291499,1.343278,3.274340,3.993097,0.000000,5.835008
0.010000,18.789648,7.277061,1.376221,3.314271,3.993097,-0.000000,5.824014
0.010000,18.819455,7.262119,1.409563,3.354202,3.993097,0.000000,5.812975
0.010000,18.849449,7.246665,1.443305,3.394133,3.993097,-0.000000,5.801898
0.010000,18.879623,7.230692,1.477446,3.434064,3.993097,0.000000,5.790794
0.010000,18.909969,7.214195,1.511986,3.473994,3.993097,0.000000,5.779671
0.010000,18.940477,7.197166,1.546926,3.513925,3.993097,-0.000000,5.768539
0.010000,18.971141,7.179600,1.582265,3.553856,3.993097,0.000000,5.757408
0.010000,19.001952,7.161492,1.618003,3.593787,3.993097,-0.000000,5.746286
0.010000,19.032901,7.142836,1.654140,3.633718,3.993097,0.000000,5.735184
0.010000,19.063981,7.123628,1.690677,3.673649,3.993097,0.000000,5.724112
0.010000,19.095185,7.103864,1.727613,3.713580,3.993097,0.000000,5.713079
0.010000,19.126504,7.083541,1.764949,3.753511,3.993097,-0.000000,5.702095
0.010000,19.157931,7.062655,1.802684,3.793442,3.993097,-0.000000,5.691169
0.010000,19.189459,7.041203,1.840818,3.833373,3.993097,0.000000,5.680312
0.010000,19.221080,7.019183,1.879351,3.873304,3.993097,0.000000,5.669533
0.010000,19.252789,6.996593,1.918284,3.913235,3.993097,0.000000,5.658841
0.010000,19.284578,6.973431,1.957616,3.953166,3.993097,0.000000,5.648245
0.010000,19.316441,6.949698,1.997347,3.993097,3.993097,-0.000000,5.637754
0.010000,19.348373,6.925391,2.037478,4.033028,3.993097,0.000000,5.627378
0.010000,19.380368,6.900511,2.078008,4.072959,3.993097,0.000000,5.617124
0.010000,19.412420,6.875058,2.118937,4.112890,3.993097,-0.000000,5.607001
0.010000,19.444524,6.849032,2.160266,4.152821,3.993097,-0.000000,5.597017
0.010000,19.476677,6.822436,2.201993,4.192752,3.993097,0.000000,5.587180
0.010000,19.508874,6.795269,2.244121,4.232683,3.993097,0.000000,5.577498
0.010000,19.541112,6.767533,2.286647,4.272614,3.993097,-0.000000,5.567977
0.010000,19.573386,6.739232,2.329573,4.312545,3.993097,0.000000,5.558625
0.010000,19.605695,6.710367,2.372898,4.352476,3.993097,0.000000,5.549448
0.010000,19.638035,6.680940,2.416622,4.392407,3.993097,-0.000000,5.540452
0.010000,19.670405,6.650956,2.460746,4.432338,3.993097,0.000000,5.531644
0.010000,19.702803,6.620416,2.505269,4.472269,3.993097,-0.000000,5.523030
0.010000,19.735228,6.589326,2.550191,4.512200,3.993097,0.000000,5.514615
0.010000,19.767680,6.557688,2.595513,4.552131,3.993097,0.000000,5.506404
0.010000,19.800158,6.525508,2.641234,4.592062,3.993097,-0.000000,5.498403
0.010000,19.832662,6.492788,2.687354,4.631993,3.993097,0.000000,5.490616
0.010000,19.865193,6.459535,2.733874,4.671924,3.993097,0.000000,5.483047
0.010000,19.897752,6.425752,2.780793,4.711855,3.993097,0.000000,5.475702
0.010000,19.930341,6.391446,2.828111,4.751786,3.993097,0.000000,5.468584
0.010000,19.962962,6.356620,2.875829,4.791717,3.993097,-0.000000,5.461697
0.010000,19.995618,6.321281,2.923945,4.831648,3.993097,0.000000,5.455045
0.010000,20.028311,6.285435,2.972461,4.871578,3.993097,0.000000,5.448632
0.010000,20.061045,6.249087,3.021377,4.911509,3.993097,0.000000,5.442461
0.010000,20.093824,6.212243,3.070692,4.951440,3.993097,-0.000000,5.436536
0.010000,20.126653,6.174910,3.120406,4.991371,3.993097,0.000000,5.430861
0.010000,20.159536,6.137094,3.170519,5.031302,3.993097,0.000000,5.425438
0.010000,20.192479,6.098802,3.221032,5.071233,3.993097,0.000000,5.420272
0.010000,20.225487,6.060040,3.271944,5.111164,3.993097,0.000000,5.415364
0.010000,20.258567,6.020816,3.323255,5.151095,3.993097,-0.000000,5.410720
0.010000,20.291726,5.981136,3.374966,5.191026,3.993097,0.000000,5.406341
0.010000,20.324971,5.941009,3.427076,5.230957,3.993097,0.000000,5.402232
0.010000,20.358310,5.900441,3.479585,5.270888,3.993097,0.000000,5.398396
0.010000,20.391751,5.859441,3.532493,5.310819,3.993097,-0.000000,5.394837
0.010000,20.425304,5.818017,3.585801,5.350750,3.993097,0.000000,5.391558
0.010000,20.458976,5.776176,3.639508,5.390681,3.993097,0.000000,5.388563
0.010000,20.492778,5.733928,3.693615,5.430612,3.993097,-0.000000,5.385857
0.010000,20.526721,5.691281,3.748121,5.470543,3.993097,0.000000,5.383444
0.010000,20.560815,5.648244,3.803026,5.510474,3.993097,-0.000000,5.381328
0.010000,20.595054,5.604849,3.858302,5.544701,3.422655,-57.044245,5.379515
0.010000,20.629415,5.561151,3.913891,5.573223,2.852212,-57.044245,5.378010
0.010000,20.663875,5.517205,3.969738,5.596040,2.281770,-57.044245,5.376820
0.010000,20.698413,5.473066,4.025783,5.613154,1.711327,-57.044245,5.375946
0.010000,20.733008,5.428789,4.081972,5.624563,1.140885,-57.044245,5.375394
0.010000,20.767638,5.384432,4.138246,5.630267,0.570442,-57.044245,5.375163
0.010000,20.802272,5.340063,4.194532,5.626977,-0.328951,-89.939366,5.375256
0.010000,20.836879,5.295751,4.250757,5.617983,-0.899394,-57.044245,5.375672
0.010000,20.871440,5.251553,4.306864,5.603285,-1.469836,-57.044245,5.376409
0.010000,20.905931,5.207523,4.362794,5.582882,-2.040279,-57.044245,5.377465
0.010000,20.940332,5.163719,4.418493,5.556775,-2.610721,-57.044245,5.378836
0.010000,20.974621,5.120194,4.473901,5.524964,-3.181163,-57.044245,5.380519
0.010000,21.008775,5.077004,4.528963,5.487447,-3.751606,-57.044245,5.382506
0.010000,21.042780,5.034191,4.583638,5.447516,-3.993097,-24.149123,5.384793
0.010000,21.076641,4.991773,4.637914,5.407586,-3.993097,-0.000000,5.387375
