dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000021,9.500000,0.000028,0.005695,0.569521,56.952144,0.000014
0.010000,0.000068,9.500000,0.000117,0.008821,0.312551,-25.697068,6.283174
0.010000,0.000408,9.500000,0.000457,0.033988,2.516766,220.421498,6.283118
0.010000,0.001012,9.500000,0.001061,0.060420,2.643139,12.637291,6.283019
0.010000,0.001956,9.500000,0.002005,0.094396,3.397583,75.444430,6.282865
0.010000,0.003315,9.499999,0.003364,0.135908,4.151200,75.361731,6.282642
0.010000,0.005164,9.499998,0.005213,0.184944,4.903597,75.239654,6.282339
0.010000,0.007541,9.499995,0.007590,0.237714,5.277030,37.343274,6.281951
0.010000,0.010446,9.499991,0.010495,0.290431,5.271737,-0.529257,6.281476
0.010000,0.013877,9.499984,0.013926,0.343084,5.265282,-0.645497,6.280916
0.010000,0.017833,9.499974,0.017882,0.395661,5.257673,-0.760874,6.280272
0.010000,0.022315,9.499959,0.022364,0.448150,5.248918,-0.875503,6.279543
0.010000,0.027320,9.499939,0.027369,0.500540,5.239030,-0.988798,6.278731
0.010000,0.032848,9.499912,0.032897,0.552820,5.228019,-1.101101,6.277837
0.010000,0.038898,9.499877,0.038947,0.604979,5.215902,-1.211726,6.276860
0.010000,0.045468,9.499832,0.045517,0.657006,5.202692,-1.321017,6.275802
0.010000,0.052556,9.499775,0.052606,0.708890,5.188402,-1.428968,6.274664
0.010000,0.060162,9.499706,0.060212,0.760621,5.173060,-1.534235,6.273447
0.010000,0.068284,9.499621,0.068334,0.812188,5.156676,-1.638377,6.272152
0.010000,0.076919,9.499520,0.076970,0.863580,5.139271,-1.740546,6.270780
0.010000,0.086066,9.499400,0.086118,0.914789,5.120875,-1.839512,6.269333
0.010000,0.095723,9.499259,0.095776,0.965804,5.101503,-1.937247,6.267811
0.010000,0.105888,9.499095,0.105942,1.016616,5.081183,-2.032031,6.266216
0.010000,0.116558,9.498905,0.116614,1.067215,5.059939,-2.124407,6.264550
0.010000,0.127732,9.498687,0.127790,1.117593,5.037799,-2.213973,6.262813
0.010000,0.139407,9.498438,0.139467,1.167741,5.014791,-2.300770,6.261008
0.010000,0.151580,9.498157,0.151644,1.217651,4.990941,-2.384989,6.259136
0.010000,0.164249,9.497840,0.164317,1.267314,4.966287,-2.465475,6.257199
0.010000,0.177412,9.497484,0.177484,1.316722,4.940848,-2.543837,6.255198
0.010000,0.191065,9.497088,0.191143,1.365869,4.914663,-2.618478,6.253136
0.010000,0.205205,9.496648,0.205291,1.414746,4.887765,-2.689824,6.251013
0.010000,0.219831,9.496161,0.219924,1.463348,4.860186,-2.757871,6.248832
0.010000,0.234938,9.495625,0.235041,1.511668,4.831958,-2.822850,6.246594
0.010000,0.250524,9.495037,0.250638,1.559699,4.803118,-2.883951,6.244303
0.010000,0.266585,9.494393,0.266712,1.607436,4.773697,-2.942106,6.241958
0.010000,0.283119,9.493691,0.283261,1.654873,4.743739,-2.995877,6.239563
0.010000,0.300122,9.492928,0.300281,1.702006,4.713271,-3.046799,6.237120
0.010000,0.317591,9.492101,0.317769,1.748829,4.682332,-3.093835,6.234631
0.010000,0.335522,9.491207,0.335723,1.795339,4.650960,-3.137265,6.232097
0.010000,0.353912,9.490243,0.354138,1.841531,4.619187,-3.177290,6.229521
0.010000,0.372757,9.489206,0.373012,1.887401,4.587056,-3.213117,6.226905
0.010000,0.392055,9.488093,0.392341,1.932947,4.554597,-3.245856,6.224251
0.010000,0.411801,9.486901,0.412123,1.978166,4.521848,-3.274882,6.221561
0.010000,0.431991,9.485628,0.432354,2.023054,4.488843,-3.300535,6.218838
0.010000,0.452622,9.484270,0.453030,2.067611,4.455622,-3.322110,6.216084
0.010000,0.473691,9.482824,0.474148,2.111833,4.422215,-3.340702,6.213300
0.010000,0.495194,9.481289,0.495705,2.155719,4.388656,-3.355824,6.210490
0.010000,0.517126,9.479660,0.517698,2.199269,4.354981,-3.367556,6.207656
0.010000,0.539484,9.477936,0.540123,2.242481,4.321221,-3.376024,6.204799
0.010000,0.562265,9.476114,0.562976,2.285355,4.287407,-3.381316,6.201921
0.010000,0.585465,9.474190,0.586255,2.327891,4.253571,-3.383617,6.199027
0.010000,0.609079,9.472164,0.609956,2.370088,4.219740,-3.383087,6.196116
0.010000,0.633104,9.470031,0.634075,2.411948,4.185949,-3.379170,6.193192
0.010000,0.657536,9.467790,0.658610,2.453470,4.152217,-3.373195,6.190258
0.010000,0.682371,9.465439,0.683557,2.494656,4.118573,-3.364337,6.187314
0.010000,0.707606,9.462974,0.708912,2.535506,4.085044,-3.352903,6.184364
0.010000,0.733237,9.460395,0.734672,2.576023,4.051652,-3.339288,6.181410
0.010000,0.759260,9.457698,0.760834,2.616207,4.018416,-3.323574,6.178453
0.010000,0.785671,9.454882,0.787395,2.656061,3.985357,-3.305855,6.175497
0.010000,0.812466,9.451945,0.814351,2.695586,3.952497,-3.286002,6.172542
0.010000,0.839642,9.448885,0.841698,2.734784,3.919852,-3.264553,6.169593
0.010000,0.867195,9.445701,0.869435,2.773658,3.887432,-3.241998,6.166649
0.010000,0.895122,9.442390,0.897557,2.812211,3.855256,-3.217568,6.163715
0.010000,0.923418,9.438951,0.926062,2.850444,3.823335,-3.192080,6.160792
0.010000,0.952080,9.435383,0.954945,2.888361,3.791677,-3.165833,6.157881
0.010000,0.981105,9.431684,0.984205,2.925964,3.760293,-3.138404,6.154986
0.010000,1.010489,9.427853,1.013837,2.963256,3.729186,-3.110713,6.152108
0.010000,1.040229,9.423889,1.043840,3.000239,3.698365,-3.082048,6.149249
0.010000,1.070320,9.419791,1.074209,3.036918,3.667827,-3.053844,6.146411
0.010000,1.100760,9.415557,1.104942,3.073294,3.637581,-3.024556,6.143596
0.010000,1.131545,9.411188,1.136036,3.109370,3.607618,-2.996372,6.140807
0.010000,1.162672,9.406682,1.167487,3.145149,3.577941,-2.967624,6.138045
0.010000,1.194138,9.402039,1.199293,3.180635,3.548543,-2.939833,6.135312
0.010000,1.225939,9.397258,1.231452,3.215829,3.519417,-2.912632,6.132611
0.010000,1.258072,9.392338,1.263959,3.250734,3.490557,-2.885981,6.129942
0.010000,1.290533,9.387280,1.296813,3.285354,3.461952,-2.860493,6.127309
0.010000,1.323321,9.382084,1.330009,3.319690,3.433589,-2.836290,6.124712
0.010000,1.356432,9.376749,1.363547,3.353744,3.405456,-2.813279,6.122154
0.010000,1.389862,9.371275,1.397422,3.387520,3.377538,-2.791839,6.119637
0.010000,1.423608,9.365663,1.431632,3.421018,3.349814,-2.772425,6.117162
0.010000,1.457669,9.359913,1.466175,3.454241,3.322270,-2.754319,6.114731
0.010000,1.492040,9.354025,1.501047,3.487189,3.294881,-2.738960,6.112347
0.010000,1.526719,9.348000,1.536245,3.519866,3.267628,-2.725321,6.110010
0.010000,1.561703,9.341839,1.571768,3.552270,3.240481,-2.714676,6.107723
0.010000,1.596990,9.335543,1.607612,3.584405,3.213420,-2.706045,6.105488
0.010000,1.632576,9.329111,1.643775,3.616269,3.186413,-2.700772,6.103306
0.010000,1.668459,9.322546,1.680253,3.647863,3.159429,-2.698317,6.101180
0.010000,1.704637,9.315849,1.717045,3.679187,3.132439,-2.699056,6.099110
0.010000,1.741105,9.309021,1.754148,3.710241,3.105409,-2.702978,6.097099
0.010000,1.777863,9.302064,1.791558,3.741024,3.078300,-2.710956,6.095148
0.010000,1.814907,9.294978,1.829273,3.771535,3.051078,-2.722203,6.093260
0.010000,1.852234,9.287767,1.867291,3.801772,3.023698,-2.737945,6.091436
0.010000,1.889843,9.280431,1.905608,3.831733,2.996124,-2.757439,6.089678
0.010000,1.927730,9.272973,1.944222,3.861417,2.968308,-2.781562,6.087988
0.010000,1.965893,9.265396,1.983131,3.890819,2.940205,-2.810353,6.086368
0.010000,2.004330,9.257700,2.022330,3.919936,2.911764,-2.844053,6.084820
0.010000,2.043037,9.249890,2.061818,3.948766,2.882936,-2.882771,6.083345
0.010000,2.082013,9.241967,2.101591,3.977302,2.853668,-2.926829,6.081945
0.010000,2.121255,9.233934,2.141646,4.005541,2.823900,-2.976774,6.080623
0.010000,2.160760,9.225794,2.181981,4.033477,2.793576,-3.032435,6.079381
0.010000,2.200525,9.217552,2.222592,4.061103,2.762632,-3.094426,6.078220
0.010000,2.240549,9.209208,2.263476,4.088413,2.731001,-3.163022,6.077143
0.010000,2.280828,9.200769,2.304630,4.115400,2.698618,-3.238383,6.076152
0.010000,2.321361,9.192236,2.346050,4.142054,2.665407,-3.321055,6.075249
0.010000,2.362143,9.183613,2.387734,4.168367,2.631293,-3.411372,6.074436
0.010000,2.403172,9.174906,2.429677,4.194329,2.596196,-3.509727,6.073716
0.010000,2.444446,9.166118,2.471877,4.219929,2.560031,-3.616464,6.073091
0.010000,2.485962,9.157253,2.514328,4.245156,2.522709,-3.732207,6.072563
