dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000040,6.500000,0.000030,0.005970,0.597015,59.701493,0.000027
0.010000,0.000016,6.500000,0.000054,0.002435,-0.353539,-95.055398,6.283152
0.010000,0.000082,6.500000,0.000120,0.006559,0.412419,76.595809,6.283017
0.010000,0.000198,6.500000,0.000237,0.011673,0.511373,9.895397,6.282776
0.010000,0.000381,6.500000,0.000419,0.018270,0.659748,14.837491,6.282400
0.010000,0.000638,6.500000,0.000676,0.025643,0.737277,7.752942,6.281875
0.010000,0.000968,6.499999,0.001006,0.033080,0.743744,0.646620,6.281200
0.010000,0.001374,6.499998,0.001412,0.040601,0.752051,0.830785,6.280376
0.010000,0.001857,6.499996,0.001895,0.048223,0.762194,1.014243,6.279404
0.010000,0.002416,6.499994,0.002454,0.055964,0.774168,1.197396,6.278285
0.010000,0.003055,6.499991,0.003093,0.063844,0.787962,1.379427,6.277019
0.010000,0.003773,6.499986,0.003812,0.071880,0.803571,1.560867,6.275607
0.010000,0.004574,6.499979,0.004612,0.080090,0.820981,1.741062,6.274052
0.010000,0.005459,6.499970,0.005497,0.088491,0.840182,1.920019,6.272353
0.010000,0.006430,6.499959,0.006468,0.097103,0.861159,2.097702,6.270513
0.010000,0.007489,6.499944,0.007528,0.105942,0.883897,2.273844,6.268533
0.010000,0.008640,6.499926,0.008678,0.115026,0.908377,2.447978,6.266414
0.010000,0.009883,6.499904,0.009922,0.124372,0.934580,2.620339,6.264158
0.010000,0.011223,6.499877,0.011262,0.133996,0.962484,2.790374,6.261768
0.010000,0.012662,6.499844,0.012701,0.143917,0.992063,2.957959,6.259245
0.010000,0.014203,6.499805,0.014242,0.154150,1.023293,3.122918,6.256591
0.010000,0.015849,6.499759,0.015890,0.164711,1.056140,3.284746,6.253808
0.010000,0.017604,6.499705,0.017646,0.175617,1.090576,3.443577,6.250900
0.010000,0.019472,6.499642,0.019515,0.186883,1.126561,3.598551,6.247867
0.010000,0.021456,6.499568,0.021500,0.198523,1.164062,3.750031,6.244713
0.010000,0.023560,6.499484,0.023605,0.210554,1.203034,3.897270,6.241440
0.010000,0.025788,6.499387,0.025835,0.222988,1.243435,4.040051,6.238051
0.010000,0.028143,6.499277,0.028194,0.235840,1.285215,4.178025,6.234549
0.010000,0.030632,6.499151,0.030685,0.249123,1.328328,4.311260,6.230936
0.010000,0.033256,6.499009,0.033313,0.262851,1.372716,4.438789,6.227215
0.010000,0.036022,6.498849,0.036084,0.277034,1.418326,4.561008,6.223391
0.010000,0.038933,6.498668,0.039001,0.291685,1.465096,4.677026,6.219465
0.010000,0.041995,6.498467,0.042069,0.306815,1.512964,4.786779,6.215440
0.010000,0.045211,6.498242,0.045293,0.322433,1.561867,4.890302,6.211321
0.010000,0.048587,6.497992,0.048679,0.338551,1.611734,4.986698,6.207111
0.010000,0.052128,6.497714,0.052230,0.355175,1.662496,5.076189,6.202812
0.010000,0.055839,6.497407,0.055953,0.372316,1.714079,5.158365,6.198428
0.010000,0.059724,6.497068,0.059853,0.389980,1.766409,5.232965,6.193963
0.010000,0.063788,6.496695,0.063935,0.408174,1.819408,5.299942,6.189421
0.010000,0.068038,6.496286,0.068204,0.426904,1.872999,5.359012,6.184804
0.010000,0.072477,6.495837,0.072666,0.446175,1.927099,5.410041,6.180117
0.010000,0.077111,6.495347,0.077326,0.465992,1.981627,5.452776,6.175363
0.010000,0.081945,6.494811,0.082189,0.486357,2.036501,5.487385,6.170546
0.010000,0.086984,6.494229,0.087262,0.507273,2.091638,5.513765,6.165669
0.010000,0.092234,6.493596,0.092549,0.528743,2.146954,5.531620,6.160736
0.010000,0.097698,6.492910,0.098057,0.550766,2.202367,5.541212,6.155751
0.010000,0.103383,6.492166,0.103791,0.573344,2.257790,5.542388,6.150718
0.010000,0.109294,6.491364,0.109755,0.596476,2.313146,5.535561,6.145639
0.010000,0.115435,6.490497,0.115957,0.620159,2.368350,5.520381,6.140520
0.010000,0.121811,6.489565,0.122401,0.644392,2.423322,5.497204,6.135363
0.010000,0.128427,6.488562,0.129093,0.669172,2.477984,5.466184,6.130173
0.010000,0.135288,6.487485,0.136037,0.694495,2.532259,5.427502,6.124952
0.010000,0.142398,6.486331,0.143241,0.720356,2.586073,5.381384,6.119705
0.010000,0.149763,6.485097,0.150709,0.746749,2.639353,5.328086,6.114434
0.010000,0.157386,6.483777,0.158445,0.773669,2.692032,5.267889,6.109144
0.010000,0.165273,6.482369,0.166456,0.801110,2.744039,5.200713,6.103838
0.010000,0.173426,6.480868,0.174747,0.829063,2.795319,5.127991,6.098519
0.010000,0.181852,6.479271,0.183322,0.857521,2.845804,5.048510,6.093192
0.010000,0.190552,6.477573,0.192187,0.886475,2.895443,4.963876,6.087858
0.010000,0.199533,6.475772,0.201346,0.915917,2.944183,4.873953,6.082521
0.010000,0.208796,6.473861,0.210804,0.945837,2.991973,4.779008,6.077185
0.010000,0.218347,6.471839,0.220567,0.976225,3.038770,4.679692,6.071852
0.010000,0.228187,6.469700,0.230637,1.007070,3.084536,4.576662,6.066526
0.010000,0.238322,6.467441,0.241021,1.038362,3.129231,4.469461,6.061210
0.010000,0.248754,6.465057,0.251722,1.070091,3.172825,4.359448,6.055906
0.010000,0.259487,6.462545,0.262744,1.102243,3.215289,4.246365,6.050617
0.010000,0.270522,6.459900,0.274092,1.134809,3.256600,4.131041,6.045347
0.010000,0.281864,6.457119,0.285770,1.167777,3.296738,4.013877,6.040097
0.010000,0.293515,6.454197,0.297782,1.201134,3.335685,3.894660,6.034871
0.010000,0.305477,6.451131,0.310130,1.234868,3.373434,3.774945,6.029671
0.010000,0.317752,6.447916,0.322820,1.268968,3.409970,3.653556,6.024499
0.010000,0.330344,6.444550,0.335854,1.303421,3.445298,3.532813,6.019357
0.010000,0.343254,6.441027,0.349236,1.338215,3.479409,3.411047,6.014249
0.010000,0.356485,6.437344,0.362970,1.373338,3.512309,3.290094,6.009176
0.010000,0.370037,6.433497,0.377057,1.408778,3.544004,3.169437,6.004140
0.010000,0.383914,6.429484,0.391503,1.444523,3.574506,3.050264,5.999143
0.010000,0.398116,6.425299,0.406308,1.480561,3.603823,2.931681,5.994187
0.010000,0.412645,6.420940,0.421477,1.516881,3.631974,2.815110,5.989275
0.010000,0.427502,6.416404,0.437012,1.553471,3.658974,2.700005,5.984408
0.010000,0.442689,6.411686,0.452915,1.590319,3.684845,2.587107,5.979587
0.010000,0.458208,6.406783,0.469189,1.627415,3.709610,2.476496,5.974814
0.010000,0.474058,6.401693,0.485837,1.664748,3.733295,2.368415,5.970092
0.010000,0.490241,6.396412,0.502860,1.702307,3.755922,2.262786,5.965421
0.010000,0.506758,6.390937,0.520261,1.740083,3.777525,2.160226,5.960802
0.010000,0.523610,6.385265,0.538041,1.778064,3.798133,2.060826,5.956238
0.010000,0.540797,6.379393,0.556204,1.816242,3.817776,1.964288,5.951730
0.010000,0.558320,6.373318,0.574750,1.854607,3.836487,1.871149,5.947278
0.010000,0.576179,6.367038,0.593681,1.893150,3.854303,1.781556,5.942884
0.010000,0.594376,6.360551,0.613000,1.931862,3.871258,1.695473,5.938549
0.010000,0.612910,6.353853,0.632707,1.970736,3.887388,1.612992,5.934274
0.010000,0.631782,6.346942,0.652805,2.009763,3.902729,1.534189,5.930061
0.010000,0.650992,6.339816,0.673294,2.048937,3.917318,1.458827,5.925909
0.010000,0.670541,6.332472,0.694177,2.088249,3.931198,1.388023,5.921821
0.010000,0.690429,6.324910,0.715454,2.127693,3.944401,1.320277,5.917797
0.010000,0.710655,6.317126,0.737126,2.167262,3.956971,1.257006,5.913837
0.010000,0.731221,6.309118,0.759196,2.206952,3.968942,1.197084,5.909943
0.010000,0.752126,6.300885,0.781663,2.246755,3.980360,1.141861,5.906116
0.010000,0.773370,6.292426,0.804530,2.286668,3.991256,1.089557,5.902355
0.010000,0.794954,6.283737,0.827797,2.326685,4.001678,1.042225,5.898663
0.010000,0.816877,6.274819,0.851465,2.366801,4.011661,0.998251,5.895038
0.010000,0.839140,6.265669,0.875535,2.407014,4.021240,0.957921,5.891483
0.010000,0.861744,6.256287,0.900008,2.447318,4.030466,0.922578,5.887997
0.010000,0.884687,6.246670,0.924885,2.487712,4.039367,0.890106,5.884582
0.010000,0.907970,6.236818,0.950167,2.528192,4.047985,0.861838,5.881238
0.010000,0.931594,6.226730,0.975855,2.568756,4.056365,0.838014,5.877965
0.010000,0.955558,6.216405,1.001949,2.609401,4.064536,0.817121,5.874764
0.010000,0.979863,6.205841,1.028450,2.650126,4.072546,0.801011,5.871635
0.010000,1.004509,6.195039,1.055359,2.690931,4.080428,0.788199,5.868580
0.010000,1.029496,6.183997,1.082677,2.731813,4.088222,0.779356,5.865598
0.010000,1.054824,6.172714,1.110405,2.772773,4.095969,0.774682,5.862690
0.010000,1.080495,6.161191,1.138543,2.813810,4.103701,0.773234,5.859857
0.010000,1.106508,6.149427,1.167092,2.854924,4.111466,0.776498,5.857099
0.010000,1.132863,6.137422,1.196054,2.896117,4.119292,0.782625,5.854416
0.010000,1.159562,6.125175,1.225428,2.937389,4.127230,0.793743,5.851810
0.010000,1.186605,6.112685,1.255215,2.978742,4.135306,0.807572,5.849280
0.010000,1.213992,6.099954,1.285417,3.020178,4.143571,0.826586,5.846827
0.010000,1.241725,6.086981,1.316034,3.061699,4.152055,0.848325,5.844452
0.010000,1.269803,6.073766,1.347067,3.103307,4.160807,0.875187,5.842156
0.010000,1.298229,6.060309,1.378517,3.145005,4.169860,0.905336,5.839939
0.010000,1.327003,6.046610,1.410385,3.186798,4.179258,0.939848,5.837801
0.010000,1.356125,6.032671,1.442672,3.228688,4.189047,0.978840,5.835743
0.010000,1.385598,6.018491,1.475379,3.270681,4.199264,1.021729,5.833767
0.010000,1.415423,6.004070,1.508506,3.312781,4.209956,1.069180,5.831872
0.010000,1.445600,5.989410,1.542056,3.354992,4.221167,1.121138,5.830060
0.010000,1.476132,5.974510,1.576029,3.397322,4.232945,1.177730,5.828330
0.010000,1.507020,5.959372,1.610427,3.439775,4.245336,1.239099,5.826685
0.010000,1.538265,5.943997,1.645251,3.482359,4.258388,1.305209,5.825125
0.010000,1.569870,5.928385,1.680502,3.525081,4.272156,1.376859,5.823650
0.010000,1.601837,5.912538,1.716181,3.567947,4.286689,1.453313,5.822262
0.010000,1.634168,5.896456,1.752291,3.610968,4.302045,1.535579,5.820962
0.010000,1.666865,5.880141,1.788832,3.654151,4.318281,1.623608,5.819751
0.010000,1.699931,5.863593,1.825807,3.697505,4.335457,1.717619,5.818630
0.010000,1.733368,5.846815,1.863218,3.741042,4.353635,1.817802,5.817600
0.010000,1.767179,5.829807,1.901065,3.784771,4.372883,1.924791,5.816663
0.010000,1.801341,5.812585,1.939324,3.825808,4.103742,-26.914114,5.815820
0.010000,1.835806,5.795175,1.977936,3.861214,3.540581,-56.316147,5.815074
0.010000,1.870523,5.777608,2.016845,3.890910,2.969606,-57.097433,5.814426
0.010000,1.905443,5.759912,2.055993,3.914819,2.390926,-57.868014,5.813878
0.010000,1.940516,5.742116,2.095322,3.932865,1.804641,-58.628519,5.813431
0.010000,1.975715,5.724239,2.134801,3.947926,1.506027,-29.861379,5.813083
0.010000,2.011043,5.706283,2.174430,3.962933,1.500753,-0.527438,5.812836
0.010000,2.046501,5.688252,2.214209,3.977903,1.497004,-0.374931,5.812689
0.010000,2.082091,5.670151,2.254138,3.992851,1.494770,-0.223338,5.812641
0.010000,2.117813,5.651981,2.294216,4.007791,1.494048,-0.072233,5.812693
0.010000,2.153671,5.633747,2.334443,4.022740,1.494834,0.078659,5.812845
0.010000,2.189666,5.615453,2.374820,4.037711,1.497132,0.229784,5.813096
0.010000,2.225800,5.597102,2.415347,4.052721,1.500946,0.381380,5.813448
0.010000,2.262076,5.578697,2.456025,4.067783,1.506286,0.533976,5.813900
0.010000,2.298496,5.560242,2.496854,4.082915,1.513163,0.687719,5.814452
0.010000,2.335063,5.541740,2.537836,4.098131,1.521595,0.843189,5.815107
0.010000,2.371780,5.523194,2.578970,4.113447,1.531601,1.000595,5.815863
0.010000,2.408650,5.504609,2.620259,4.128879,1.543205,1.160441,5.816722
0.010000,2.445675,5.485988,2.661703,4.144443,1.556435,1.322972,5.817685
0.010000,2.482860,5.467334,2.703305,4.160157,1.571323,1.488764,5.818753
0.010000,2.520208,5.448651,2.745065,4.176036,1.587903,1.658047,5.819926
0.010000,2.557722,5.429941,2.786986,4.192098,1.606217,1.831423,5.821207
0.010000,2.595407,5.411209,2.829070,4.208361,1.626308,2.009090,5.822596
0.010000,2.633267,5.392459,2.871318,4.224843,1.648228,2.191951,5.824095
0.010000,2.671305,5.373694,2.913734,4.241564,1.672025,2.379754,5.825705
0.010000,2.709528,5.354917,2.956319,4.258541,1.697763,2.573756,5.827429
0.010000,2.747938,5.336132,2.999077,4.275796,1.725503,2.773986,5.829268
0.010000,2.786543,5.317344,3.042011,4.293349,1.755315,2.981276,5.831223
0.010000,2.825345,5.298555,3.085123,4.311222,1.787271,3.195597,5.833298
0.010000,2.864352,5.279770,3.128417,4.329437,1.821458,3.418653,5.835494
0.010000,2.903569,5.260994,3.171898,4.348016,1.857957,3.649904,5.837815
0.010000,2.943002,5.242229,3.215567,4.366985,1.896862,3.890516,5.840261
0.010000,2.982657,5.223480,3.259431,4.386368,1.938274,4.141177,5.842837
0.010000,3.022540,5.204752,3.303493,4.406191,1.982305,4.403053,5.845545
