dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,8.000000,0.000030,0.005970,0.597015,59.701493,0.000027
0.010000,0.000066,8.000000,0.000149,0.017910,1.194030,59.701493,6.283152
0.010000,0.000335,8.000000,0.000418,0.035821,1.791045,59.701493,6.283017
0.010000,0.000812,8.000000,0.000896,0.059701,2.388060,59.701493,6.282776
0.010000,0.001558,7.999999,0.001642,0.089552,2.985075,59.701493,6.282400
0.010000,0.002603,7.999998,0.002687,0.119403,2.985075,-0.000000,6.281875
0.010000,0.003947,7.999996,0.004030,0.149254,2.985075,0.000000,6.281200
0.010000,0.005588,7.999992,0.005672,0.179104,2.985075,-0.000000,6.280376
0.010000,0.007529,7.999986,0.007612,0.208955,2.985075,-0.000000,6.279404
0.010000,0.009767,7.999976,0.009851,0.238806,2.985075,0.000000,6.278285
0.010000,0.012305,7.999962,0.012388,0.268657,2.985075,0.000000,6.277019
0.010000,0.015140,7.999942,0.015224,0.298507,2.985075,0.000000,6.275607
0.010000,0.018275,7.999916,0.018358,0.328358,2.985075,-0.000000,6.274052
0.010000,0.021707,7.999882,0.021791,0.358209,2.985075,0.000000,6.272353
0.010000,0.025438,7.999838,0.025522,0.388060,2.985075,-0.000000,6.270513
0.010000,0.029468,7.999783,0.029552,0.417910,2.985075,0.000000,6.268533
0.010000,0.033796,7.999715,0.033881,0.447761,2.985075,0.000000,6.266414
0.010000,0.038422,7.999632,0.038507,0.477612,2.985075,0.000000,6.264158
0.010000,0.043346,7.999533,0.043433,0.507463,2.985075,0.000000,6.261768
0.010000,0.048569,7.999414,0.048657,0.537313,2.985075,-0.000000,6.259245
0.010000,0.054089,7.999275,0.054179,0.567164,2.985075,0.000000,6.256591
0.010000,0.059908,7.999112,0.060000,0.597015,2.985075,-0.000000,6.253808
0.010000,0.066024,7.998923,0.066119,0.626866,2.985075,0.000000,6.250900
0.010000,0.072439,7.998706,0.072537,0.656716,2.985075,0.000000,6.247867
0.010000,0.079151,7.998459,0.079254,0.686567,2.985075,0.000000,6.244713
0.010000,0.086160,7.998177,0.086269,0.716418,2.985075,0.000000,6.241440
0.010000,0.093466,7.997860,0.093582,0.746269,2.985075,-0.000000,6.238051
0.010000,0.101070,7.997503,0.101194,0.776119,2.985075,0.000000,6.234549
0.010000,0.108970,7.997104,0.109104,0.805970,2.985075,-0.000000,6.230936
0.010000,0.117167,7.996660,0.117313,0.835821,2.985075,0.000000,6.227215
0.010000,0.125660,7.996168,0.125821,0.865672,2.985075,-0.000000,6.223391
0.010000,0.134450,7.995624,0.134627,0.895522,2.985075,0.000000,6.219465
0.010000,0.143534,7.995026,0.143731,0.925373,2.985075,0.000000,6.215440
0.010000,0.152914,7.994370,0.153134,0.955224,2.985075,0.000000,6.211321
0.010000,0.162589,7.993653,0.162836,0.985075,2.985075,0.000000,6.207111
0.010000,0.172559,7.992872,0.172836,1.014925,2.985075,0.000000,6.202812
0.010000,0.182822,7.992023,0.183134,1.044776,2.985075,0.000000,6.198428
0.010000,0.193379,7.991102,0.193731,1.074627,2.985075,-0.000000,6.193963
0.010000,0.204229,7.990106,0.204627,1.104478,2.985075,0.000000,6.189421
0.010000,0.215372,7.989032,0.215821,1.134328,2.985075,0.000000,6.184804
0.010000,0.226806,7.987877,0.227313,1.164179,2.985075,-0.000000,6.180117
0.010000,0.238531,7.986636,0.239104,1.194030,2.985075,0.000000,6.175363
0.010000,0.250547,7.985306,0.251194,1.223881,2.985075,-0.000000,6.170546
0.010000,0.262854,7.983883,0.263582,1.253731,2.985075,0.000000,6.165669
0.010000,0.275449,7.982365,0.276269,1.283582,2.985075,0.000000,6.160736
0.010000,0.288333,7.980746,0.289254,1.313433,2.985075,-0.000000,6.155751
0.010000,0.301504,7.979025,0.302537,1.343284,2.985075,0.000000,6.150718
0.010000,0.314963,7.977197,0.316119,1.373134,2.985075,-0.000000,6.145639
0.010000,0.328707,7.975258,0.330000,1.402985,2.985075,0.000000,6.140520
0.010000,0.342737,7.973206,0.344179,1.432836,2.985075,0.000000,6.135363
0.010000,0.357051,7.971036,0.358657,1.462687,2.985075,-0.000000,6.130173
0.010000,0.371649,7.968746,0.373433,1.492537,2.985075,0.000000,6.124952
0.010000,0.386529,7.966332,0.388507,1.522388,2.985075,-0.000000,6.119705
0.010000,0.401690,7.963790,0.403881,1.552239,2.985075,0.000000,6.114434
0.010000,0.417132,7.961116,0.419552,1.582090,2.985075,0.000000,6.109144
0.010000,0.432854,7.958309,0.435522,1.611940,2.985075,-0.000000,6.103838
0.010000,0.448854,7.955364,0.451791,1.641791,2.985075,0.000000,6.098519
0.010000,0.465131,7.952279,0.468358,1.671642,2.985075,-0.000000,6.093192
0.010000,0.481684,7.949049,0.485224,1.701493,2.985075,0.000000,6.087858
0.010000,0.498513,7.945673,0.502388,1.731343,2.985075,-0.000000,6.082521
0.010000,0.515616,7.942147,0.519851,1.761194,2.985075,0.000000,6.077185
0.010000,0.532992,7.938467,0.537612,1.791045,2.985075,-0.000000,6.071852
0.010000,0.550640,7.934632,0.555672,1.820896,2.985075,0.000000,6.066526
0.010000,0.568558,7.930638,0.574030,1.850746,2.985075,-0.000000,6.061210
0.010000,0.586746,7.926482,0.592687,1.880597,2.985075,0.000000,6.055906
0.010000,0.605202,7.922162,0.611642,1.910448,2.985075,-0.000000,6.050617
0.010000,0.623926,7.917675,0.630896,1.940299,2.985075,0.000000,6.045347
0.010000,0.642916,7.913018,0.650448,1.970149,2.985075,-0.000000,6.040097
0.010000,0.662170,7.908189,0.670299,2.000000,2.985075,0.000000,6.034871
0.010000,0.681688,7.903186,0.690448,2.029851,2.985075,0.000000,6.029671
0.010000,0.701469,7.898007,0.710896,2.059701,2.985075,0.000000,6.024499
0.010000,0.721511,7.892648,0.731642,2.089552,2.985075,0.000000,6.019357
0.010000,0.741814,7.887108,0.752687,2.119403,2.985075,-0.000000,6.014249
0.010000,0.762375,7.881384,0.774030,2.149254,2.985075,0.000000,6.009176
0.010000,0.783195,7.875476,0.795672,2.179104,2.985075,0.000000,6.004140
0.010000,0.804271,7.869379,0.817612,2.208955,2.985075,0.000000,5.999143
0.010000,0.825603,7.863094,0.839851,2.238806,2.985075,-0.000000,5.994187
0.010000,0.847190,7.856618,0.862388,2.268657,2.985075,0.000000,5.989275
0.010000,0.869030,7.849949,0.885224,2.298507,2.985075,-0.000000,5.984408
0.010000,0.891123,7.843086,0.908358,2.328358,2.985075,0.000000,5.979587
0.010000,0.913468,7.836027,0.931791,2.358209,2.985075,0.000000,5.974814
0.010000,0.936062,7.828771,0.955522,2.388060,2.985075,0.000000,5.970092
0.010000,0.958907,7.821316,0.979552,2.417910,2.985075,-0.000000,5.965421
0.010000,0.981999,7.813661,1.003881,2.447761,2.985075,0.000000,5.960802
0.010000,1.005339,7.805805,1.028507,2.477612,2.985075,0.000000,5.956238
0.010000,1.028926,7.797747,1.053433,2.507463,2.985075,0.000000,5.951730
0.010000,1.052759,7.789486,1.078657,2.537313,2.985075,-0.000000,5.947278
0.010000,1.076836,7.781020,1.104179,2.567164,2.985075,0.000000,5.942884
0.010000,1.101157,7.772348,1.130000,2.597015,2.985075,-0.000000,5.938549
0.010000,1.125722,7.763471,1.156119,2.626866,2.985075,0.000000,5.934274
0.010000,1.150529,7.754387,1.182537,2.656716,2.985075,0.000000,5.930061
0.010000,1.175577,7.745095,1.209254,2.686567,2.985075,0.000000,5.925909
0.010000,1.200867,7.735596,1.236269,2.716418,2.985075,-0.000000,5.921821
0.010000,1.226397,7.725887,1.263582,2.746269,2.985075,0.000000,5.917797
0.010000,1.252166,7.715970,1.291194,2.776119,2.985075,0.000000,5.913837
0.010000,1.278175,7.705843,1.319104,2.805970,2.985075,0.000000,5.909943
0.010000,1.304422,7.695507,1.347313,2.835821,2.985075,-0.000000,5.906116
0.010000,1.330907,7.684960,1.375821,2.865672,2.985075,0.000000,5.902355
0.010000,1.357629,7.674204,1.404627,2.895522,2.985075,-0.000000,5.898663
0.010000,1.384588,7.663237,1.433731,2.925373,2.985075,0.000000,5.895038
0.010000,1.411784,7.652060,1.463134,2.955224,2.985075,0.000000,5.891483
0.010000,1.439216,7.640673,1.492836,2.985075,2.985075,0.000000,5.887997
0.010000,1.466884,7.629076,1.522836,3.014925,2.985075,-0.000000,5.884582
0.010000,1.494787,7.617270,1.553134,3.044776,2.985075,0.000000,5.881238
0.010000,1.522926,7.605253,1.583731,3.074627,2.985075,0.000000,5.877965
0.010000,1.551300,7.593028,1.614627,3.104478,2.985075,0.000000,5.874764
0.010000,1.579908,7.580594,1.645821,3.134328,2.985075,-0.000000,5.871635
0.010000,1.608752,7.567952,1.677313,3.164179,2.985075,0.000000,5.868580
0.010000,1.637830,7.555102,1.709104,3.194030,2.985075,-0.000000,5.865598
0.010000,1.667143,7.542045,1.741194,3.223881,2.985075,0.000000,5.862690
0.010000,1.696691,7.528781,1.773582,3.253731,2.985075,0.000000,5.859857
0.010000,1.726474,7.515313,1.806269,3.283582,2.985075,-0.000000,5.857099
0.010000,1.756491,7.501639,1.839254,3.313433,2.985075,-0.000000,5.854416
0.010000,1.786744,7.487762,1.872537,3.343284,2.985075,0.000000,5.851810
0.010000,1.817231,7.473681,1.906119,3.373134,2.985075,0.000000,5.849280
0.010000,1.847955,7.459399,1.940000,3.402985,2.985075,-0.000000,5.846827
0.010000,1.878914,7.444917,1.974179,3.432836,2.985075,0.000000,5.844452
0.010000,1.910109,7.430235,2.008657,3.462687,2.985075,0.000000,5.842156
0.010000,1.941541,7.415355,2.043433,3.492537,2.985075,0.000000,5.839939
0.010000,1.973210,7.400278,2.078507,3.522388,2.985075,-0.000000,5.837801
0.010000,2.005116,7.385006,2.113881,3.552239,2.985075,0.000000,5.835743
0.010000,2.037261,7.369540,2.149552,3.582090,2.985075,-0.000000,5.833767
0.010000,2.069644,7.353883,2.185522,3.611940,2.985075,0.000000,5.831872
0.010000,2.102267,7.338034,2.221791,3.641791,2.985075,-0.000000,5.830060
0.010000,2.135130,7.321997,2.258358,3.671642,2.985075,0.000000,5.828330
0.010000,2.168234,7.305774,2.295224,3.701493,2.985075,-0.000000,5.826685
0.010000,2.201580,7.289365,2.332388,3.731343,2.985075,0.000000,5.825125
0.010000,2.235168,7.272773,2.369851,3.761194,2.985075,-0.000000,5.823650
0.010000,2.269000,7.256001,2.407612,3.791045,2.985075,-0.000000,5.822262
0.010000,2.303077,7.239051,2.445672,3.820896,2.985075,0.000000,5.820962
0.010000,2.337399,7.221925,2.484030,3.850746,2.985075,0.000000,5.819751
0.010000,2.371969,7.204624,2.522687,3.880597,2.985075,-0.000000,5.818630
0.010000,2.406786,7.187153,2.561642,3.910448,2.985075,-0.000000,5.817600
0.010000,2.441853,7.169514,2.600896,3.940299,2.985075,0.000000,5.816663
0.010000,2.477145,7.151722,2.640418,3.964179,2.388060,-59.701493,5.815820
0.010000,2.512608,7.133808,2.680149,3.982090,1.791045,-59.701493,5.815074
0.010000,2.548193,7.115802,2.720030,3.994030,1.194030,-59.701493,5.814426
0.010000,2.583846,7.097734,2.760000,4.000000,0.597015,-59.701493,5.813878
0.010000,2.619517,7.079635,2.800000,4.000000,0.000000,-59.701493,5.813431
