dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110000,13.590000,0.000028,0.005556,0.555556,55.555556,0.000001
0.010000,0.110076,13.590000,0.000139,0.016667,1.111111,55.555556,6.283182
0.010000,0.110326,13.590000,0.000389,0.033333,1.666667,55.555556,6.283172
0.010000,0.110770,13.590000,0.000833,0.055556,2.222222,55.555556,6.283154
0.010000,0.111465,13.590000,0.001528,0.083333,2.777778,55.555556,6.283127
0.010000,0.112465,13.590000,0.002528,0.116667,3.333333,55.555556,6.283086
0.010000,0.113826,13.590000,0.003889,0.155556,3.888889,55.555556,6.283032
0.010000,0.115603,13.589999,0.005667,0.200000,4.444444,55.555556,6.282961
0.010000,0.117853,13.589999,0.007917,0.250000,5.000000,55.555556,6.282872
0.010000,0.120603,13.589998,0.010667,0.300000,5.000000,0.000000,6.282764
0.010000,0.123853,13.589996,0.013917,0.350000,5.000000,-0.000000,6.282637
0.010000,0.127603,13.589994,0.017667,0.400000,5.000000,0.000000,6.282492
0.010000,0.131853,13.589991,0.021917,0.450000,5.000000,-0.000000,6.282328
0.010000,0.136603,13.589986,0.026667,0.500000,5.000000,0.000000,6.282148
0.010000,0.141853,13.589980,0.031917,0.550000,5.000000,0.000000,6.281951
0.010000,0.147603,13.589972,0.037667,0.600000,5.000000,0.000000,6.281738
0.010000,0.153853,13.589963,0.043917,0.650000,5.000000,-0.000000,6.281510
0.010000,0.160603,13.589950,0.050667,0.700000,5.000000,0.000000,6.281267
0.010000,0.167853,13.589936,0.057917,0.750000,5.000000,0.000000,6.281012
0.010000,0.175603,13.589918,0.065667,0.800000,5.000000,0.000000,6.280743
0.010000,0.183853,13.589896,0.073917,0.850000,5.000000,0.000000,6.280464
0.010000,0.192603,13.589871,0.082667,0.900000,5.000000,-0.000000,6.280174
0.010000,0.201853,13.589842,0.091917,0.950000,5.000000,0.000000,6.279875
0.010000,0.211603,13.589808,0.101667,1.000000,5.000000,-0.000000,6.279569
0.010000,0.221853,13.589770,0.111917,1.050000,5.000000,-0.000000,6.279255
0.010000,0.232603,13.589726,0.122667,1.100000,5.000000,0.000000,6.278937
0.010000,0.243853,13.589676,0.133917,1.150000,5.000000,-0.000000,6.278614
0.010000,0.255603,13.589620,0.145667,1.200000,5.000000,0.000000,6.278290
0.010000,0.267853,13.589558,0.157917,1.250000,5.000000,-0.000000,6.277964
0.010000,0.280602,13.589490,0.170667,1.300000,5.000000,0.000000,6.277640
0.010000,0.293852,13.589414,0.183917,1.350000,5.000000,0.000000,6.277318
0.010000,0.307602,13.589331,0.197667,1.400000,5.000000,-0.000000,6.277000
0.010000,0.321852,13.589241,0.211917,1.450000,5.000000,0.000000,6.276688
0.010000,0.336601,13.589143,0.226667,1.500000,5.000000,-0.000000,6.276384
0.010000,0.351851,13.589037,0.241917,1.550000,5.000000,0.000000,6.276089
0.010000,0.367601,13.588923,0.257667,1.600000,5.000000,0.000000,6.275806
0.010000,0.383850,13.588801,0.273917,1.650000,5.000000,-0.000000,6.275537
0.010000,0.400600,13.588670,0.290667,1.700000,5.000000,0.000000,6.275284
0.010000,0.417849,13.588532,0.307917,1.750000,5.000000,-0.000000,6.275048
0.010000,0.435599,13.588386,0.325667,1.800000,5.000000,0.000000,6.274833
0.010000,0.453848,13.588231,0.343917,1.850000,5.000000,0.000000,6.274640
0.010000,0.472597,13.588070,0.362667,1.900000,5.000000,0.000000,6.274472
0.010000,0.491846,13.587900,0.381917,1.950000,5.000000,-0.000000,6.274331
0.010000,0.511596,13.587724,0.401667,2.000000,5.000000,-0.000000,6.274219
0.010000,0.531845,13.587542,0.421917,2.050000,5.000000,0.000000,6.274140
0.010000,0.552594,13.587354,0.442667,2.100000,5.000000,0.000000,6.274095
