dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.069991,14.950000,0.000030,0.005970,0.597015,59.701493,6.283179
0.010000,-0.069949,14.950000,0.000072,0.004172,-0.179774,-77.678858,0.000033
0.010000,-0.069813,14.950000,0.000208,0.013644,0.947148,112.692123,0.000121
0.010000,-0.069570,14.950000,0.000451,0.024268,1.062433,11.528527,0.000278
0.010000,-0.069190,14.950000,0.000830,0.037951,1.368266,30.583310,0.000522
0.010000,-0.068658,14.950001,0.001362,0.053196,1.524542,15.627623,0.000864
0.010000,-0.067973,14.950001,0.002047,0.068507,1.531036,0.649348,0.001303
0.010000,-0.067134,14.950003,0.002886,0.083900,1.539367,0.833097,0.001838
0.010000,-0.066140,14.950005,0.003880,0.099396,1.549520,1.015317,0.002469
0.010000,-0.064990,14.950008,0.005030,0.115010,1.561478,1.195848,0.003195
0.010000,-0.063683,14.950013,0.006338,0.130763,1.575223,1.374459,0.004015
0.010000,-0.062216,14.950019,0.007805,0.146670,1.590730,1.550699,0.004927
0.010000,-0.060588,14.950028,0.009432,0.162750,1.607973,1.724351,0.005932
0.010000,-0.058798,14.950040,0.011222,0.179019,1.626924,1.895106,0.007027
0.010000,-0.056843,14.950055,0.013177,0.195494,1.647552,2.062783,0.008211
0.010000,-0.054722,14.950073,0.015299,0.212193,1.669822,2.226954,0.009483
0.010000,-0.052430,14.950097,0.017590,0.229130,1.693696,2.387436,0.010841
0.010000,-0.049967,14.950125,0.020054,0.246321,1.719136,2.543960,0.012284
0.010000,-0.047330,14.950160,0.022691,0.263782,1.746100,2.696416,0.013809
0.010000,-0.044515,14.950201,0.025507,0.281527,1.774543,2.844267,0.015414
0.010000,-0.041520,14.950249,0.028502,0.299571,1.804418,2.987589,0.017099
0.010000,-0.038341,14.950307,0.031682,0.317928,1.835679,3.126086,0.018860
0.010000,-0.034975,14.950373,0.035048,0.336611,1.868274,3.259432,0.020696
0.010000,-0.031420,14.950450,0.038604,0.355633,1.902150,3.387623,0.022603
0.010000,-0.027671,14.950539,0.042354,0.375005,1.937255,3.510480,0.024581
0.010000,-0.023725,14.950640,0.046302,0.394740,1.973532,3.627720,0.026626
0.010000,-0.019578,14.950755,0.050450,0.414850,2.010925,3.739345,0.028736
0.010000,-0.015226,14.950884,0.054804,0.435343,2.049377,3.845207,0.030908
0.010000,-0.010666,14.951030,0.059366,0.456232,2.088829,3.945129,0.033140
0.010000,-0.005894,14.951194,0.064141,0.477524,2.129222,4.039345,0.035429
0.010000,-0.000905,14.951377,0.069133,0.499229,2.170495,4.127236,0.037773
0.010000,0.004305,14.951580,0.074347,0.521355,2.212589,4.209458,0.040168
0.010000,0.009739,14.951805,0.079786,0.543909,2.255443,4.285426,0.042611
0.010000,0.015403,14.952054,0.085455,0.566899,2.298998,4.355437,0.045101
0.010000,0.021300,14.952327,0.091358,0.590331,2.343193,4.419564,0.047633
0.010000,0.027434,14.952628,0.097500,0.614211,2.387970,4.477634,0.050205
0.010000,0.033811,14.952957,0.103886,0.638543,2.433269,4.529952,0.052813
0.010000,0.040435,14.953315,0.110519,0.663334,2.479033,4.576405,0.055456
0.010000,0.047310,14.953706,0.117405,0.688586,2.525207,4.617411,0.058129
0.010000,0.054440,14.954131,0.124548,0.714303,2.571735,4.652737,0.060830
0.010000,0.061831,14.954591,0.131953,0.740489,2.618564,4.682906,0.063555
0.010000,0.069486,14.955089,0.139624,0.767145,2.665642,4.707788,0.066301
0.010000,0.077411,14.955626,0.147567,0.794274,2.712920,4.727798,0.069066
