dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.070009,11.950000,0.000030,0.005970,0.597015,59.701493,6.283179
0.010000,-0.069850,11.950000,0.000189,0.015928,0.995818,39.880328,0.000033
0.010000,-0.069449,11.950000,0.000590,0.040087,2.415912,142.009341,0.000121
0.010000,-0.068737,11.950000,0.001303,0.071254,3.116672,70.076078,0.000278
0.010000,-0.067624,11.950001,0.002416,0.111303,4.004868,88.819596,0.000522
0.010000,-0.066066,11.950002,0.003973,0.155759,4.445607,44.073912,0.000864
0.010000,-0.064064,11.950004,0.005975,0.200150,4.439112,-0.649507,0.001303
0.010000,-0.061620,11.950008,0.008419,0.244458,4.430783,-0.832930,0.001838
0.010000,-0.058733,11.950014,0.011306,0.288664,4.420630,-1.015338,0.002469
0.010000,-0.055406,11.950023,0.014633,0.332751,4.408670,-1.195989,0.003195
0.010000,-0.051639,11.950037,0.018400,0.376700,4.394926,-1.374388,0.004015
0.010000,-0.047434,11.950056,0.022605,0.420494,4.379419,-1.550686,0.004927
0.010000,-0.042793,11.950081,0.027247,0.464116,4.362175,-1.724371,0.005932
0.010000,-0.037717,11.950114,0.032322,0.507548,4.343223,-1.895221,0.007027
0.010000,-0.032210,11.950156,0.037830,0.550774,4.322596,-2.062687,0.008211
0.010000,-0.026272,11.950208,0.043768,0.593778,4.300327,-2.226937,0.009483
0.010000,-0.019907,11.950273,0.050133,0.636542,4.276452,-2.387483,0.010841
0.010000,-0.013117,11.950352,0.056923,0.679052,4.251011,-2.544112,0.012284
0.010000,-0.005905,11.950446,0.064136,0.721293,4.224049,-2.696218,0.013809
0.010000,0.001727,11.950557,0.071769,0.763249,4.195605,-2.844404,0.015414
0.010000,0.009775,11.950688,0.079818,0.804906,4.165728,-2.987638,0.017099
0.010000,0.018236,11.950840,0.088280,0.846251,4.134469,-3.125964,0.018860
0.010000,0.027107,11.951016,0.097153,0.887269,4.101873,-3.259536,0.020696
0.010000,0.036384,11.951217,0.106433,0.927949,4.067996,-3.387712,0.022603
0.010000,0.046064,11.951445,0.116115,0.968278,4.032892,-3.510380,0.024581
0.010000,0.056143,11.951703,0.126198,1.008244,3.996615,-3.627753,0.026626
0.010000,0.066618,11.951993,0.136676,1.047837,3.959221,-3.739356,0.028736
0.010000,0.077483,11.952317,0.147547,1.087044,3.920770,-3.845180,0.030908
0.010000,0.088736,11.952678,0.158805,1.125858,3.881316,-3.945347,0.033140
0.010000,0.100372,11.953077,0.170448,1.164267,3.840926,-4.039027,0.035429
0.010000,0.112387,11.953517,0.182471,1.202263,3.799650,-4.127567,0.037773
0.010000,0.124776,11.954000,0.194869,1.239839,3.757558,-4.209252,0.040168
0.010000,0.137535,11.954528,0.207639,1.276986,3.714703,-4.285474,0.042611
0.010000,0.150659,11.955104,0.220776,1.313697,3.671147,-4.355549,0.045101
0.010000,0.164144,11.955730,0.234275,1.349967,3.626953,-4.419425,0.047633
0.010000,0.177985,11.956408,0.248133,1.385789,3.582176,-4.477687,0.050205
0.010000,0.192178,11.957139,0.262345,1.421157,3.536878,-4.529880,0.052813
0.010000,0.206717,11.957927,0.276906,1.456069,3.491112,-4.576583,0.055456
0.010000,0.221599,11.958773,0.291811,1.490518,3.444939,-4.617252,0.058129
0.010000,0.236817,11.959680,0.307056,1.524502,3.398411,-4.652855,0.060830
0.010000,0.252367,11.960648,0.322636,1.558018,3.351583,-4.682764,0.063555
0.010000,0.268244,11.961680,0.338547,1.591063,3.304505,-4.707831,0.066301
0.010000,0.284443,11.962779,0.354783,1.623635,3.257227,-4.727802,0.069066
0.010000,0.300959,11.963944,0.371340,1.655733,3.209796,-4.743089,0.071845
0.010000,0.317788,11.965179,0.388214,1.687356,3.162258,-4.753812,0.074637
0.010000,0.334923,11.966485,0.405399,1.718502,3.114653,-4.760418,0.077437
0.010000,0.352360,11.967862,0.422891,1.749172,3.067022,-4.763102,0.080242
0.010000,0.370095,11.969313,0.440684,1.779367,3.019403,-4.761912,0.083050
0.010000,0.388121,11.970840,0.458775,1.809085,2.971827,-4.757650,0.085857
0.010000,0.406434,11.972442,0.477158,1.838328,2.924326,-4.750053,0.088659
0.010000,0.425030,11.974121,0.495829,1.867097,2.876926,-4.740015,0.091455
0.010000,0.443902,11.975878,0.514783,1.895394,2.829653,-4.727351,0.094240
0.010000,0.463046,11.977715,0.534015,1.923219,2.782523,-4.712983,0.097012
0.010000,0.482458,11.979631,0.553521,1.950575,2.735556,-4.696674,0.099767
0.010000,0.502131,11.981627,0.573296,1.977462,2.688765,-4.679124,0.102502
0.010000,0.522062,11.983705,0.593335,2.003884,2.642155,-4.661012,0.105215
0.010000,0.542245,11.985864,0.613633,2.029841,2.595736,-4.641902,0.107901
0.010000,0.562676,11.988105,0.634186,2.055336,2.549505,-4.623096,0.110559
0.010000,0.583350,11.990427,0.654990,2.080371,2.503461,-4.604335,0.113184
0.010000,0.604262,11.992832,0.676040,2.104947,2.457597,-4.586412,0.115774
0.010000,0.625407,11.995318,0.697330,2.129066,2.411902,-4.569568,0.118326
