dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.070000,13.450000,0.000030,0.005970,0.597015,59.701493,6.283179
0.010000,-0.069899,13.450000,0.000149,0.017910,1.194030,59.701493,0.000033
0.010000,-0.069631,13.450000,0.000418,0.035821,1.791045,59.701493,0.000121
0.010000,-0.069153,13.450000,0.000896,0.059701,2.388060,59.701493,0.000278
0.010000,-0.068407,13.450000,0.001642,0.089552,2.985075,59.701493,0.000522
0.010000,-0.067332,13.450001,0.002716,0.125373,3.582090,59.701493,0.000874
0.010000,-0.065870,13.450003,0.004179,0.167164,4.179104,59.701493,0.001352
0.010000,-0.063959,13.450006,0.006090,0.214925,4.776119,59.701493,0.001974
0.010000,-0.061541,13.450012,0.008507,0.268657,5.373134,59.701493,0.002760
0.010000,-0.058556,13.450021,0.011493,0.328358,5.970149,59.701493,0.003726
0.010000,-0.054974,13.450037,0.015075,0.388060,5.970149,0.000000,0.004879
0.010000,-0.050795,13.450060,0.019254,0.447761,5.970149,-0.000000,0.006218
0.010000,-0.046019,13.450093,0.024030,0.507463,5.970149,0.000000,0.007738
0.010000,-0.040646,13.450139,0.029403,0.567164,5.970149,0.000000,0.009436
0.010000,-0.034676,13.450201,0.035373,0.626866,5.970149,-0.000000,0.011308
0.010000,-0.028110,13.450282,0.041940,0.686567,5.970149,0.000000,0.013348
0.010000,-0.020946,13.450386,0.049104,0.746269,5.970149,0.000000,0.015552
0.010000,-0.013186,13.450516,0.056866,0.805970,5.970149,-0.000000,0.017914
0.010000,-0.004830,13.450676,0.065224,0.865672,5.970149,0.000000,0.020428
0.010000,0.004124,13.450871,0.074179,0.925373,5.970149,-0.000000,0.023088
0.010000,0.013673,13.451105,0.083731,0.985075,5.970149,0.000000,0.025889
0.010000,0.023818,13.451382,0.093881,1.044776,5.970149,0.000000,0.028821
0.010000,0.034560,13.451709,0.104627,1.104478,5.970149,-0.000000,0.031880
0.010000,0.045897,13.452088,0.115970,1.164179,5.970149,0.000000,0.035057
0.010000,0.057829,13.452526,0.127910,1.223881,5.970149,0.000000,0.038344
0.010000,0.070356,13.453028,0.140448,1.283582,5.970149,0.000000,0.041734
0.010000,0.083478,13.453599,0.153582,1.343284,5.970149,-0.000000,0.045218
0.010000,0.097194,13.454244,0.167313,1.402985,5.970149,0.000000,0.048789
0.010000,0.111504,13.454969,0.181642,1.462687,5.970149,0.000000,0.052438
0.010000,0.126408,13.455780,0.196567,1.522388,5.970149,0.000000,0.056156
0.010000,0.141904,13.456680,0.212090,1.582090,5.970149,0.000000,0.059935
0.010000,0.157992,13.457677,0.228209,1.641791,5.970149,-0.000000,0.063765
0.010000,0.174673,13.458774,0.244925,1.701493,5.970149,0.000000,0.067639
0.010000,0.191944,13.459978,0.262239,1.761194,5.970149,0.000000,0.071546
0.010000,0.209806,13.461294,0.280149,1.820896,5.970149,0.000000,0.075479
0.010000,0.228258,13.462726,0.298657,1.880597,5.970149,0.000000,0.079429
0.010000,0.247299,13.464280,0.317761,1.940299,5.970149,-0.000000,0.083385
0.010000,0.266929,13.465960,0.337463,2.000000,5.970149,0.000000,0.087340
0.010000,0.287147,13.467771,0.357761,2.059701,5.970149,0.000000,0.091284
0.010000,0.307951,13.469716,0.378657,2.119403,5.970149,-0.000000,0.095209
0.010000,0.329343,13.471802,0.400149,2.179104,5.970149,0.000000,0.099105
0.010000,0.351319,13.474030,0.422239,2.238806,5.970149,-0.000000,0.102964
0.010000,0.373881,13.476405,0.444925,2.298507,5.970149,0.000000,0.106777
0.010000,0.397028,13.478930,0.468209,2.358209,5.970149,0.000000,0.110535
0.010000,0.420757,13.481609,0.492090,2.417910,5.970149,-0.000000,0.114230
0.010000,0.445070,13.484443,0.516567,2.477612,5.970149,0.000000,0.117853
0.010000,0.469966,13.487436,0.541642,2.537313,5.970149,-0.000000,0.121395
0.010000,0.495443,13.490589,0.567313,2.597015,5.970149,0.000000,0.124848
0.010000,0.521502,13.493904,0.593582,2.656716,5.970149,0.000000,0.128203
0.010000,0.548141,13.497382,0.620448,2.716418,5.970149,-0.000000,0.131452
0.010000,0.575361,13.501025,0.647910,2.776119,5.970149,0.000000,0.134586
0.010000,0.603161,13.504832,0.675970,2.835821,5.970149,-0.000000,0.137597
0.010000,0.631541,13.508804,0.704627,2.895522,5.970149,0.000000,0.140476
0.010000,0.660501,13.512940,0.733881,2.955224,5.970149,0.000000,0.143214
0.010000,0.690041,13.517240,0.763731,3.014925,5.970149,-0.000000,0.145803
0.010000,0.720160,13.521700,0.794179,3.074627,5.970149,0.000000,0.148234
0.010000,0.750859,13.526321,0.825224,3.134328,5.970149,-0.000000,0.150499
0.010000,0.782138,13.531098,0.856866,3.194030,5.970149,0.000000,0.152587
0.010000,0.813998,13.536029,0.889104,3.253731,5.970149,0.000000,0.154490
0.010000,0.846438,13.541110,0.921940,3.313433,5.970149,-0.000000,0.156198
0.010000,0.879460,13.546337,0.955373,3.373134,5.970149,0.000000,0.157701
0.010000,0.913064,13.551703,0.989403,3.432836,5.970149,-0.000000,0.158990
0.010000,0.947251,13.557204,1.024030,3.492537,5.970149,0.000000,0.160053
0.010000,0.982022,13.562833,1.059254,3.552239,5.970149,-0.000000,0.160879
0.010000,1.017379,13.568582,1.095075,3.611940,5.970149,0.000000,0.161458
0.010000,1.053322,13.574443,1.131493,3.671642,5.970149,-0.000000,0.161776
