dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000025,14.500000,0.000030,0.005964,0.596379,59.637913,6.283168
0.010000,0.000031,14.500000,0.000036,0.000616,-0.534824,-113.120279,0.000012
0.010000,0.000203,14.500000,0.000208,0.017175,1.655988,219.081135,0.000076
0.010000,0.000509,14.500000,0.000513,0.030533,1.335765,-32.022280,0.000191
0.010000,0.000986,14.500000,0.000990,0.047705,1.717225,38.145998,0.000370
0.010000,0.001672,14.500001,0.001677,0.068690,2.098472,38.124689,0.000627
0.010000,0.002607,14.500001,0.002612,0.093484,2.479412,38.094004,0.000978
0.010000,0.003828,14.500003,0.003833,0.122083,2.859917,38.050543,0.001437
0.010000,0.005373,14.500005,0.005378,0.154482,3.239854,37.993641,0.002017
0.010000,0.007280,14.500010,0.007284,0.190673,3.619064,37.921004,0.002734
0.010000,0.009567,14.500017,0.009572,0.228740,3.806786,18.772277,0.003594
0.010000,0.012235,14.500028,0.012239,0.266772,3.803193,-0.359332,0.004599
0.010000,0.015282,14.500044,0.015287,0.304763,3.799036,-0.415685,0.005748
0.010000,0.018709,14.500066,0.018714,0.342706,3.794332,-0.470405,0.007041
0.010000,0.022515,14.500095,0.022520,0.380597,3.789100,-0.523214,0.008480
0.010000,0.026699,14.500134,0.026704,0.418431,3.783362,-0.573845,0.010064
0.010000,0.031261,14.500184,0.031266,0.456202,3.777142,-0.621984,0.011794
0.010000,0.036200,14.500247,0.036205,0.493907,3.770466,-0.667531,0.013670
0.010000,0.041515,14.500325,0.041521,0.531540,3.763369,-0.709796,0.015692
0.010000,0.047205,14.500420,0.047212,0.569099,3.755880,-0.748823,0.017862
0.010000,0.053269,14.500536,0.053278,0.606580,3.748038,-0.784218,0.020179
0.010000,0.059708,14.500674,0.059717,0.643978,3.739883,-0.815492,0.022645
0.010000,0.066519,14.500837,0.066530,0.681293,3.731463,-0.842025,0.025260
0.010000,0.073701,14.501028,0.073716,0.718521,3.722817,-0.864603,0.028024
0.010000,0.081255,14.501251,0.081272,0.755661,3.714005,-0.881202,0.030938
0.010000,0.089178,14.501508,0.089199,0.792712,3.705079,-0.892591,0.034002
0.010000,0.097469,14.501804,0.097496,0.829673,3.696099,-0.897978,0.037218
0.010000,0.106128,14.502141,0.106161,0.866544,3.687134,-0.896571,0.040586
0.010000,0.115153,14.502523,0.115195,0.903327,3.678245,-0.888839,0.044105
0.010000,0.124544,14.502955,0.124595,0.940022,3.669514,-0.873144,0.047778
0.010000,0.134298,14.503440,0.134361,0.976632,3.661015,-0.849826,0.051605
0.010000,0.144415,14.503983,0.144493,1.013160,3.652835,-0.818033,0.055585
0.010000,0.154893,14.504587,0.154989,1.049611,3.645063,-0.777178,0.059720
0.010000,0.165733,14.505259,0.165849,1.085989,3.637790,-0.727284,0.064010
0.010000,0.176931,14.506002,0.177072,1.122300,3.631122,-0.666859,0.068456
0.010000,0.188488,14.506821,0.188657,1.158552,3.625162,-0.595971,0.073057
0.010000,0.200401,14.507721,0.200605,1.194752,3.620020,-0.514208,0.077815
0.010000,0.212671,14.508708,0.212914,1.230910,3.615814,-0.420597,0.082729
0.010000,0.225295,14.509787,0.225584,1.267037,3.612667,-0.314694,0.087800
0.010000,0.238273,14.510964,0.238616,1.303144,3.610709,-0.195856,0.093028
0.010000,0.251604,14.512244,0.252008,1.339245,3.610067,-0.064129,0.098413
0.010000,0.265287,14.513633,0.265762,1.375353,3.610886,0.081879,0.103954
0.010000,0.279322,14.515137,0.279877,1.411487,3.613309,0.242266,0.109653
0.010000,0.293707,14.516764,0.294353,1.447661,3.617479,0.416978,0.115508
0.010000,0.308442,14.518518,0.309192,1.483897,3.623554,0.607497,0.121518
0.010000,0.323526,14.520408,0.324394,1.520214,3.631687,0.813332,0.127685
0.010000,0.338959,14.522439,0.339961,1.556634,3.642038,1.035145,0.134006
0.010000,0.354741,14.524618,0.355893,1.593182,3.654772,1.273338,0.140481
0.010000,0.370872,14.526954,0.372191,1.629882,3.670047,1.527549,0.147109
0.010000,0.387351,14.529453,0.388859,1.666763,3.688034,1.798669,0.153888
0.010000,0.404179,14.532123,0.405897,1.703852,3.708893,2.085897,0.160818
0.010000,0.421356,14.534972,0.423309,1.741179,3.732792,2.389929,0.167897
0.010000,0.438883,14.538008,0.441097,1.778778,3.759888,2.709614,0.175122
0.010000,0.456760,14.541239,0.459264,1.816682,3.790346,3.045798,0.182493
0.010000,0.474989,14.544674,0.477813,1.854925,3.824313,3.396663,0.190006
0.010000,0.493570,14.548321,0.496749,1.893544,3.861942,3.762868,0.197659
0.010000,0.512504,14.552190,0.516074,1.932578,3.903370,4.142849,0.205450
0.010000,0.531794,14.556290,0.535795,1.972065,3.948728,4.535846,0.213375
0.010000,0.551441,14.560629,0.555915,2.012047,3.998139,4.941047,0.221431
0.010000,0.571447,14.565219,0.576441,2.052564,4.051709,5.357006,0.229614
0.010000,0.591814,14.570069,0.597378,2.093659,4.109531,5.782165,0.237921
0.010000,0.612545,14.575189,0.618731,2.135376,4.171686,6.215558,0.246348
0.010000,0.633642,14.580590,0.640509,2.177758,4.238232,6.654600,0.254889
0.010000,0.655108,14.586283,0.662718,2.220850,4.309214,7.098194,0.263541
0.010000,0.676947,14.592278,0.685365,2.264697,4.384654,7.543975,0.272298
0.010000,0.699162,14.598588,0.708458,2.309343,4.464550,7.989606,0.281155
0.010000,0.721756,14.605223,0.732006,2.354831,4.548884,8.433382,0.290107
0.010000,0.744734,14.612196,0.756018,2.401207,4.637607,8.872291,0.299147
0.010000,0.768098,14.619519,0.780503,2.448514,4.730651,9.304422,0.308269
0.010000,0.791854,14.627204,0.805471,2.496793,4.827920,9.726898,0.317466
0.010000,0.816005,14.635264,0.830932,2.546086,4.929295,10.137513,0.326733
0.010000,0.840557,14.643712,0.856897,2.596432,5.034630,10.533509,0.336062
0.010000,0.865513,14.652561,0.883375,2.647870,5.143756,10.912567,0.345445
0.010000,0.890878,14.661825,0.910380,2.700435,5.256478,11.272168,0.354875
0.010000,0.916658,14.671518,0.937921,2.754161,5.372578,11.610045,0.364345
0.010000,0.942857,14.681653,0.966012,2.809079,5.491818,11.924006,0.373847
