dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000016,12.200000,0.000030,0.005970,0.597015,59.701493,6.283165
0.010000,0.000053,12.200000,0.000099,0.006918,0.094807,-50.220842,0.000012
0.010000,0.000379,12.200000,0.000425,0.032636,2.571737,247.693080,0.000084
0.010000,0.000959,12.200000,0.001006,0.058020,2.538478,-3.325887,0.000212
0.010000,0.001866,12.200000,0.001912,0.090661,3.264020,72.554188,0.000412
0.010000,0.003135,12.200001,0.003182,0.126933,3.627199,36.317818,0.000693
0.010000,0.004768,12.200003,0.004814,0.163212,3.627972,0.077395,0.001054
0.010000,0.006763,12.200005,0.006809,0.199502,3.628974,0.100144,0.001496
0.010000,0.009121,12.200009,0.009167,0.235804,3.630186,0.121173,0.002018
0.010000,0.011842,12.200016,0.011888,0.272120,3.631632,0.144679,0.002621
0.010000,0.014926,12.200025,0.014972,0.308453,3.633287,0.165467,0.003305
0.010000,0.018374,12.200037,0.018420,0.344805,3.635169,0.188166,0.004070
0.010000,0.022186,12.200054,0.022232,0.381177,3.637270,0.210122,0.004917
0.010000,0.026362,12.200077,0.026408,0.417573,3.639597,0.232697,0.005846
0.010000,0.030902,12.200106,0.030948,0.453995,3.642128,0.253107,0.006856
0.010000,0.035806,12.200142,0.035852,0.490444,3.644900,0.277172,0.007950
0.010000,0.041075,12.200187,0.041122,0.526922,3.647871,0.297095,0.009126
0.010000,0.046709,12.200242,0.046756,0.563433,3.651070,0.319882,0.010385
0.010000,0.052708,12.200308,0.052756,0.599978,3.654484,0.341476,0.011728
0.010000,0.059073,12.200388,0.059121,0.636559,3.658114,0.363004,0.013155
0.010000,0.065805,12.200481,0.065853,0.673179,3.661959,0.384453,0.014667
0.010000,0.072902,12.200591,0.072951,0.709839,3.666021,0.406259,0.016264
0.010000,0.080366,12.200719,0.080417,0.746542,3.670293,0.427189,0.017946
0.010000,0.088198,12.200866,0.088250,0.783290,3.674773,0.447932,0.019715
0.010000,0.096397,12.201035,0.096451,0.820084,3.679473,0.470054,0.021571
0.010000,0.104964,12.201229,0.105020,0.856928,3.684367,0.489346,0.023514
0.010000,0.113900,12.201448,0.113958,0.893823,3.689476,0.510907,0.025545
0.010000,0.123204,12.201695,0.123266,0.930771,3.694786,0.530986,0.027664
0.010000,0.132878,12.201974,0.132944,0.967773,3.700289,0.550364,0.029873
0.010000,0.142921,12.202285,0.142992,1.004833,3.705999,0.570960,0.032173
0.010000,0.153335,12.202633,0.153411,1.041952,3.711897,0.589787,0.034563
0.010000,0.164119,12.203019,0.164203,1.079132,3.717980,0.608343,0.037044
0.010000,0.175275,12.203447,0.175367,1.116375,3.724260,0.627955,0.039618
0.010000,0.186802,12.203919,0.186903,1.153682,3.730707,0.644732,0.042286
0.010000,0.198701,12.204439,0.198814,1.191055,3.737339,0.663165,0.045047
0.010000,0.210973,12.205010,0.211099,1.228497,3.744131,0.679284,0.047903
0.010000,0.223618,12.205635,0.223759,1.266008,3.751099,0.696750,0.050855
0.010000,0.236636,12.206317,0.236795,1.303590,3.758209,0.710969,0.053904
0.010000,0.250028,12.207061,0.250207,1.341244,3.765474,0.726513,0.057050
0.010000,0.263794,12.207870,0.263997,1.378973,3.772877,0.740363,0.060295
0.010000,0.277934,12.208747,0.278165,1.416777,3.780410,0.753247,0.063639
0.010000,0.292450,12.209697,0.292711,1.454658,3.788072,0.766202,0.067083
0.010000,0.307340,12.210724,0.307638,1.492616,3.795827,0.775532,0.070629
0.010000,0.322607,12.211832,0.322944,1.530653,3.803694,0.786657,0.074277
0.010000,0.338249,12.213026,0.338632,1.568770,3.811642,0.794852,0.078028
0.010000,0.354267,12.214309,0.354701,1.606966,3.819658,0.801575,0.081884
0.010000,0.370662,12.215687,0.371154,1.645244,3.827736,0.807831,0.085845
0.010000,0.387433,12.217165,0.387990,1.683602,3.835850,0.811346,0.089913
0.010000,0.404581,12.218747,0.405210,1.722042,3.843988,0.813793,0.094087
0.010000,0.422105,12.220438,0.422816,1.760563,3.852136,0.814856,0.098371
0.010000,0.440006,12.222245,0.440808,1.799166,3.860259,0.812253,0.102763
0.010000,0.458283,12.224171,0.459186,1.837849,3.868351,0.809262,0.107266
0.010000,0.476936,12.226223,0.477952,1.876613,3.876383,0.803169,0.111881
0.010000,0.495966,12.228407,0.497107,1.915457,3.884334,0.795057,0.116607
0.010000,0.515372,12.230728,0.516651,1.954378,3.892165,0.783161,0.121448
0.010000,0.535153,12.233192,0.536584,1.993377,3.899871,0.770527,0.126402
0.010000,0.555308,12.235805,0.556909,2.032451,3.907399,0.752811,0.131472
0.010000,0.575838,12.238574,0.577625,2.071598,3.914738,0.733960,0.136658
0.010000,0.596742,12.241505,0.598733,2.110817,3.921838,0.709940,0.141961
0.010000,0.618019,12.244605,0.620234,2.150103,3.928679,0.684108,0.147382
0.010000,0.639667,12.247880,0.642129,2.189456,3.935212,0.653361,0.152922
0.010000,0.661686,12.251337,0.664417,2.228870,3.941407,0.619414,0.158582
0.010000,0.684074,12.254984,0.687101,2.268342,3.947222,0.581562,0.164361
0.010000,0.706830,12.258827,0.710179,2.307868,3.952608,0.538631,0.170262
0.010000,0.729953,12.262874,0.733654,2.347443,3.957530,0.492161,0.176284
0.010000,0.753441,12.267133,0.757524,2.387063,3.961939,0.440855,0.182428
0.010000,0.777292,12.271610,0.781792,2.426720,3.965782,0.384342,0.188695
0.010000,0.801503,12.276314,0.806456,2.466411,3.969014,0.323241,0.195085
0.010000,0.826073,12.281252,0.831517,2.506126,3.971586,0.257160,0.201598
0.010000,0.850999,12.286432,0.856976,2.545861,3.973435,0.184934,0.208235
0.010000,0.876278,12.291863,0.882832,2.585606,3.974519,0.108382,0.214996
0.010000,0.901908,12.297552,0.909085,2.625354,3.974776,0.025651,0.221880
0.010000,0.927885,12.303508,0.935736,2.665095,3.974147,-0.062847,0.228888
0.010000,0.954206,12.309739,0.962784,2.704821,3.972577,-0.157073,0.236019
0.010000,0.980867,12.316253,0.990230,2.744521,3.970007,-0.256993,0.243273
0.010000,1.007864,12.323060,1.018071,2.784185,3.966381,-0.362525,0.250650
0.010000,1.035193,12.330166,1.046309,2.823801,3.961630,-0.475098,0.258149
0.010000,1.062850,12.337581,1.074943,2.863358,3.955709,-0.592173,0.265770
0.010000,1.090829,12.345314,1.103971,2.902844,3.948549,-0.715971,0.273511
0.010000,1.119126,12.353373,1.133394,2.942245,3.940094,-0.845525,0.281371
0.010000,1.147736,12.361766,1.163209,2.981548,3.930291,-0.980235,0.289349
0.010000,1.176653,12.370502,1.193417,3.020739,3.919087,-1.120476,0.297444
0.010000,1.205870,12.379590,1.224015,3.059803,3.906420,-1.266685,0.305655
0.010000,1.235382,12.389037,1.255002,3.098725,3.892249,-1.417026,0.313978
0.010000,1.265182,12.398853,1.286377,3.137490,3.876528,-1.572115,0.322414
0.010000,1.295263,12.409045,1.318138,3.176083,3.859209,-1.731896,0.330958
0.010000,1.325618,12.419622,1.350283,3.214485,3.840255,-1.895423,0.339609
0.010000,1.356239,12.430591,1.382809,3.252682,3.819638,-2.061674,0.348365
0.010000,1.387119,12.441961,1.415716,3.290655,3.797319,-2.231917,0.357222
0.010000,1.418249,12.453739,1.449000,3.328388,3.773287,-2.403194,0.366178
