dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,13.000000,0.000030,0.005963,0.596250,59.625022,6.283166
0.010000,0.000038,13.000000,0.000149,0.017888,1.192500,59.625022,0.000009
0.010000,0.000306,13.000000,0.000417,0.035775,1.788751,59.625022,0.000074
0.010000,0.000783,13.000000,0.000894,0.059625,2.385001,59.625022,0.000190
0.010000,0.001528,13.000000,0.001640,0.089438,2.981251,59.625022,0.000371
0.010000,0.002602,13.000001,0.002713,0.125213,3.577501,59.625022,0.000631
0.010000,0.004063,13.000002,0.004174,0.166950,4.173752,59.625022,0.000985
0.010000,0.005971,13.000004,0.006082,0.214650,4.770002,59.625022,0.001448
0.010000,0.008385,13.000009,0.008497,0.268313,5.366252,59.625022,0.002035
0.010000,0.011367,13.000016,0.011478,0.327938,5.962502,59.625022,0.002759
0.010000,0.014944,13.000027,0.015055,0.387563,5.962502,0.000000,0.003630
0.010000,0.019118,13.000044,0.019229,0.447188,5.962502,-0.000000,0.004646
0.010000,0.023888,13.000069,0.023999,0.506813,5.962502,0.000000,0.005809
0.010000,0.029254,13.000104,0.029365,0.566438,5.962502,-0.000000,0.007119
0.010000,0.035216,13.000151,0.035328,0.626063,5.962502,0.000000,0.008577
0.010000,0.041775,13.000212,0.041887,0.685688,5.962502,-0.000000,0.010184
0.010000,0.048929,13.000291,0.049042,0.745313,5.962502,0.000000,0.011940
0.010000,0.056680,13.000391,0.056793,0.804938,5.962502,-0.000000,0.013845
0.010000,0.065026,13.000516,0.065140,0.864563,5.962502,0.000000,0.015902
0.010000,0.073969,13.000668,0.074084,0.924188,5.962502,-0.000000,0.018111
0.010000,0.083507,13.000852,0.083624,0.983813,5.962502,0.000000,0.020473
0.010000,0.093641,13.001072,0.093760,1.043438,5.962502,0.000000,0.022988
0.010000,0.104370,13.001333,0.104493,1.103063,5.962502,-0.000000,0.025659
0.010000,0.115695,13.001640,0.115822,1.162688,5.962502,0.000000,0.028486
0.010000,0.127614,13.001997,0.127747,1.222313,5.962502,0.000000,0.031471
0.010000,0.140129,13.002411,0.140268,1.281938,5.962502,0.000000,0.034614
0.010000,0.153238,13.002886,0.153385,1.341563,5.962502,0.000000,0.037918
0.010000,0.166941,13.003430,0.167099,1.401188,5.962502,0.000000,0.041383
0.010000,0.181237,13.004048,0.181409,1.460813,5.962502,0.000000,0.045011
0.010000,0.196127,13.004747,0.196315,1.520438,5.962502,-0.000000,0.048803
0.010000,0.211610,13.005534,0.211818,1.580063,5.962502,0.000000,0.052762
0.010000,0.227684,13.006416,0.227917,1.639688,5.962502,0.000000,0.056887
0.010000,0.244350,13.007401,0.244612,1.699313,5.962502,0.000000,0.061182
0.010000,0.261607,13.008497,0.261903,1.758938,5.962502,-0.000000,0.065647
0.010000,0.279453,13.009711,0.279790,1.818563,5.962502,0.000000,0.070284
0.010000,0.297888,13.011054,0.298274,1.878188,5.962502,-0.000000,0.075094
0.010000,0.316910,13.012532,0.317354,1.937813,5.962502,0.000000,0.080079
0.010000,0.336519,13.014157,0.337030,1.997438,5.962502,0.000000,0.085241
0.010000,0.356714,13.015937,0.357303,2.057063,5.962502,-0.000000,0.090581
0.010000,0.377492,13.017882,0.378172,2.116688,5.962502,0.000000,0.096100
0.010000,0.398852,13.020002,0.399637,2.176313,5.962502,-0.000000,0.101800
0.010000,0.420792,13.022309,0.421698,2.235938,5.962502,0.000000,0.107682
0.010000,0.443311,13.024812,0.444355,2.295563,5.962502,0.000000,0.113748
0.010000,0.466406,13.027524,0.467609,2.355188,5.962502,-0.000000,0.119999
0.010000,0.490075,13.030455,0.491459,2.414813,5.962502,0.000000,0.126435
0.010000,0.514316,13.033618,0.515906,2.474438,5.962502,0.000000,0.133058
0.010000,0.539125,13.037024,0.540948,2.534063,5.962502,-0.000000,0.139868
0.010000,0.564501,13.040688,0.566587,2.593688,5.962502,0.000000,0.146868
0.010000,0.590440,13.044620,0.592822,2.653313,5.962502,-0.000000,0.154056
0.010000,0.616938,13.048835,0.619653,2.712938,5.962502,0.000000,0.161433
0.010000,0.643992,13.053346,0.647081,2.772564,5.962502,0.000000,0.169000
0.010000,0.671598,13.058166,0.675104,2.832189,5.962502,-0.000000,0.176757
0.010000,0.699751,13.063311,0.703724,2.891814,5.962502,0.000000,0.184703
0.010000,0.728449,13.068793,0.732941,2.951439,5.962502,0.000000,0.192838
0.010000,0.757684,13.074628,0.762753,3.011064,5.962502,0.000000,0.201162
0.010000,0.787454,13.080831,0.793162,3.070689,5.962502,0.000000,0.209672
0.010000,0.817751,13.087416,0.824167,3.130314,5.962502,-0.000000,0.218368
0.010000,0.848571,13.094399,0.855768,3.189939,5.962502,0.000000,0.227249
0.010000,0.879908,13.101795,0.887966,3.249564,5.962502,0.000000,0.236312
0.010000,0.911754,13.109619,0.920759,3.309189,5.962502,-0.000000,0.245554
0.010000,0.944104,13.117889,0.954149,3.368814,5.962502,0.000000,0.254974
0.010000,0.976950,13.126618,0.988136,3.428439,5.962502,0.000000,0.264567
0.010000,1.010284,13.135824,1.022718,3.488064,5.962502,-0.000000,0.274331
