dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,11.999999,7.531250,0.000029,0.005714,0.571429,57.142857,3.141591
0.010000,11.999932,7.531250,0.000095,0.006672,0.095790,-47.563873,3.141594
0.010000,11.999682,7.531250,0.000346,0.025057,1.838503,174.271326,3.141601
0.010000,11.999236,7.531250,0.000791,0.044547,1.948949,11.044555,3.141613
0.010000,11.998540,7.531250,0.001487,0.069606,2.505891,55.694187,3.141632
0.010000,11.997538,7.531250,0.002490,0.100235,3.062944,55.705305,3.141659
0.010000,11.996173,7.531250,0.003854,0.136437,3.620162,55.721819,3.141696
0.010000,11.994419,7.531250,0.005608,0.175428,3.899144,27.898225,3.141743
0.010000,11.992275,7.531249,0.007753,0.214427,3.899859,0.071513,3.141801
0.010000,11.989740,7.531249,0.010287,0.253434,3.900733,0.087393,3.141868
0.010000,11.986816,7.531248,0.013212,0.292452,3.901766,0.103257,3.141946
0.010000,11.983501,7.531246,0.016526,0.331481,3.902957,0.119116,3.142034
0.010000,11.979796,7.531245,0.020232,0.370524,3.904306,0.134958,3.142132
0.010000,11.975700,7.531242,0.024327,0.409582,3.905814,0.150783,3.142240
0.010000,11.971213,7.531239,0.028814,0.448657,3.907480,0.166607,3.142357
0.010000,11.966336,7.531235,0.033691,0.487750,3.909304,0.182392,3.142483
0.010000,11.961067,7.531230,0.038960,0.526863,3.911286,0.198178,3.142619
0.010000,11.955407,7.531224,0.044620,0.565997,3.913425,0.213930,3.142763
0.010000,11.949356,7.531216,0.050672,0.605155,3.915722,0.229674,3.142917
0.010000,11.942912,7.531207,0.057115,0.644336,3.918176,0.245380,3.143078
0.010000,11.936077,7.531196,0.063950,0.683544,3.920787,0.261081,3.143248
0.010000,11.928849,7.531184,0.071178,0.722780,3.923554,0.276741,3.143426
0.010000,11.921229,7.531169,0.078799,0.762045,3.926478,0.292384,3.143611
0.010000,11.913215,7.531152,0.086812,0.801340,3.929558,0.308005,3.143804
0.010000,11.904809,7.531133,0.095219,0.840668,3.932794,0.323588,3.144003
0.010000,11.896009,7.531110,0.104019,0.880030,3.936185,0.339151,3.144210
0.010000,11.886814,7.531085,0.113213,0.919427,3.939732,0.354688,3.144422
0.010000,11.877226,7.531057,0.122802,0.958862,3.943434,0.370185,3.144640
0.010000,11.867242,7.531026,0.132785,0.998335,3.947291,0.385675,3.144864
0.010000,11.856864,7.530991,0.143164,1.037848,3.951302,0.401111,3.145092
0.010000,11.846090,7.530952,0.153938,1.077402,3.955467,0.416543,3.145326
0.010000,11.834920,7.530909,0.165108,1.117000,3.959787,0.431928,3.145563
0.010000,11.823354,7.530861,0.176674,1.156643,3.964260,0.447296,3.145804
0.010000,11.811391,7.530809,0.188638,1.196332,3.968886,0.462636,3.146049
0.010000,11.799030,7.530753,0.200998,1.236068,3.973665,0.477947,3.146296
0.010000,11.786272,7.530691,0.213757,1.275854,3.978598,0.493238,3.146545
0.010000,11.773115,7.530624,0.226914,1.315691,3.983683,0.508496,3.146796
0.010000,11.759559,7.530552,0.240469,1.355580,3.988920,0.523743,3.147048
0.010000,11.745604,7.530474,0.254425,1.395523,3.994310,0.538964,3.147301
0.010000,11.731249,7.530390,0.268780,1.435522,3.999851,0.554164,3.147553
0.010000,11.716494,7.530301,0.283536,1.475577,4.005545,0.569348,3.147805
0.010000,11.701337,7.530205,0.298693,1.515691,4.011390,0.584526,3.148056
0.010000,11.685779,7.530102,0.314251,1.555865,4.017387,0.599680,3.148305
0.010000,11.669818,7.529993,0.330212,1.596100,4.023535,0.614832,3.148552
0.010000,11.653455,7.529877,0.346576,1.636399,4.029835,0.629976,3.148796
0.010000,11.636688,7.529754,0.363344,1.676762,4.036286,0.645123,3.149036
0.010000,11.619516,7.529624,0.380516,1.717190,4.042889,0.660262,3.149271
0.010000,11.601940,7.529487,0.398093,1.757687,4.049643,0.675414,3.149501
0.010000,11.583958,7.529343,0.416075,1.798252,4.056549,0.690572,3.149726
0.010000,11.565570,7.529192,0.434464,1.838888,4.063606,0.705747,3.149944
0.010000,11.546774,7.529033,0.453260,1.879597,4.070816,0.720934,3.150154
0.010000,11.527571,7.528866,0.472464,1.920378,4.078177,0.736154,3.150357
0.010000,11.507960,7.528692,0.492076,1.961235,4.085691,0.751401,3.150551
0.010000,11.487939,7.528511,0.512098,2.002169,4.093358,0.766680,3.150735
0.010000,11.467508,7.528323,0.532530,2.043181,4.101178,0.782002,3.150908
0.010000,11.446666,7.528127,0.553372,2.084272,4.109152,0.797376,3.151071
0.010000,11.425413,7.527924,0.574627,2.125445,4.117280,0.812798,3.151221
0.010000,11.403747,7.527714,0.596294,2.166701,4.125563,0.828290,3.151358
0.010000,11.381667,7.527497,0.618374,2.208041,4.134001,0.843845,3.151482
0.010000,11.359174,7.527273,0.640869,2.249467,4.142596,0.859480,3.151590
0.010000,11.336265,7.527043,0.663779,2.290980,4.151348,0.875201,3.151684
0.010000,11.312940,7.526806,0.687105,2.332583,4.160258,0.891016,3.151760
0.010000,11.289199,7.526564,0.710847,2.374276,4.169327,0.906933,3.151819
0.010000,11.265039,7.526317,0.735008,2.416061,4.178557,0.922962,3.151860
0.010000,11.240461,7.526064,0.759587,2.457941,4.187948,0.939115,3.151881
0.010000,11.215464,7.525807,0.784586,2.499916,4.197502,0.955397,3.151882
0.010000,11.190045,7.525545,0.810006,2.541988,4.207220,0.971822,3.151861
0.010000,11.164205,7.525281,0.835848,2.584159,4.217104,0.988399,3.151819
0.010000,11.137942,7.525013,0.862112,2.626431,4.227156,1.005139,3.151752
0.010000,11.111255,7.524743,0.888800,2.668805,4.237376,1.022053,3.151661
0.010000,11.084144,7.524471,0.915913,2.711282,4.247768,1.039155,3.151545
0.010000,11.056606,7.524199,0.943452,2.753866,4.258332,1.056451,3.151402
0.010000,11.028642,7.523927,0.971417,2.796556,4.269072,1.073956,3.151231
0.010000,11.000250,7.523656,0.999811,2.839356,4.279989,1.091686,3.151031
0.010000,10.971428,7.523388,1.028634,2.882267,4.291085,1.109647,3.150801
0.010000,10.942177,7.523122,1.057886,2.925291,4.302364,1.127855,3.150540
0.010000,10.912494,7.522861,1.087571,2.968429,4.313827,1.146324,3.150247
0.010000,10.882378,7.522605,1.117688,3.011684,4.325478,1.165060,3.149919
0.010000,10.851828,7.522356,1.148238,3.055057,4.337318,1.184089,3.149558
0.010000,10.820844,7.522115,1.179224,3.098550,4.349353,1.203405,3.149160
0.010000,10.789423,7.521884,1.210645,3.142166,4.361583,1.223045,3.148724
0.010000,10.757565,7.521664,1.242504,3.185906,4.374013,1.242995,3.148251
0.010000,10.725268,7.521458,1.274802,3.229773,4.386646,1.263297,3.147737
0.010000,10.692530,7.521265,1.307540,3.273768,4.399485,1.283933,3.147182
0.010000,10.659352,7.521090,1.340719,3.317893,4.412535,1.304947,3.146584
0.010000,10.625731,7.520933,1.374340,3.362151,4.425798,1.326320,3.145943
0.010000,10.591666,7.520796,1.408406,3.406544,4.439279,1.348097,3.145256
0.010000,10.557155,7.520682,1.442916,3.451074,4.452981,1.370252,3.144522
0.010000,10.522198,7.520593,1.477874,3.495743,4.466910,1.392841,3.143740
0.010000,10.486792,7.520532,1.513279,3.540553,4.481068,1.415824,3.142909
0.010000,10.450937,7.520501,1.549134,3.585508,4.495461,1.439253,3.142026
0.010000,10.414631,7.520502,1.585441,3.630609,4.510092,1.463119,3.141091
0.010000,10.377873,7.520538,1.622199,3.675859,4.524966,1.487425,3.140101
0.010000,10.340660,7.520613,1.659412,3.721259,4.540088,1.512194,3.139056
0.010000,10.302992,7.520729,1.697080,3.766814,4.555462,1.537409,3.137953
0.010000,10.264867,7.520890,1.735205,3.812525,4.571093,1.563101,3.136792
0.010000,10.226284,7.521099,1.773789,3.858395,4.586985,1.589245,3.135570
0.010000,10.187240,7.521359,1.812833,3.904426,4.603144,1.615875,3.134285
0.010000,10.147735,7.521674,1.852340,3.950622,4.619574,1.642953,3.132937
0.010000,10.107767,7.522048,1.892309,3.996985,4.636279,1.670488,3.131523
0.010000,10.067335,7.522485,1.932745,4.043517,4.653264,1.698509,3.130041
0.010000,10.026435,7.522989,1.973647,4.090223,4.670533,1.726945,3.128491
0.010000,9.985068,7.523564,2.015018,4.137104,4.688092,1.755841,3.126869
0.010000,9.943232,7.524215,2.056859,4.184163,4.705943,1.785140,3.125174
