dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,12.000001,9.468750,0.000029,0.005714,0.571429,57.142857,3.141591
0.010000,11.999929,9.468750,0.000101,0.007256,0.154210,-41.721843,3.141594
0.010000,11.999665,9.468750,0.000365,0.026371,1.911497,175.728671,3.141601
0.010000,11.999196,9.468750,0.000834,0.046882,2.051051,13.955458,3.141613
0.010000,11.998464,9.468750,0.001566,0.073252,2.636967,58.591517,3.141632
0.010000,11.997409,9.468750,0.002621,0.105479,3.222771,58.580413,3.141659
0.010000,11.995973,9.468750,0.004057,0.143563,3.808410,58.563894,3.141696
0.010000,11.994127,9.468750,0.005902,0.184572,4.100856,29.244633,3.141743
0.010000,11.991872,9.468749,0.008158,0.225573,4.100141,-0.071517,3.141801
0.010000,11.989206,9.468749,0.010824,0.266566,4.099267,-0.087389,3.141868
0.010000,11.986131,9.468748,0.013899,0.307548,4.098234,-0.103260,3.141946
0.010000,11.982645,9.468746,0.017384,0.348519,4.097043,-0.119113,3.142034
0.010000,11.978751,9.468744,0.021279,0.389476,4.095694,-0.134958,3.142132
0.010000,11.974446,9.468742,0.025583,0.430418,4.094186,-0.150792,3.142240
0.010000,11.969733,9.468738,0.030297,0.471343,4.092520,-0.166594,3.142357
0.010000,11.964610,9.468734,0.035419,0.512250,4.090696,-0.182402,3.142483
0.010000,11.959079,9.468729,0.040951,0.553137,4.088714,-0.198172,3.142619
0.010000,11.953139,9.468722,0.046891,0.594003,4.086575,-0.213936,3.142763
0.010000,11.946791,9.468714,0.053239,0.634845,4.084278,-0.229667,3.142917
0.010000,11.940034,9.468705,0.059996,0.675664,4.081824,-0.245391,3.143078
0.010000,11.932869,9.468694,0.067160,0.716456,4.079213,-0.261072,3.143248
0.010000,11.925297,9.468680,0.074732,0.757220,4.076446,-0.276746,3.143426
0.010000,11.917318,9.468665,0.082712,0.797955,4.073522,-0.292387,3.143611
0.010000,11.908931,9.468647,0.091099,0.838660,4.070442,-0.307997,3.143804
0.010000,11.900138,9.468627,0.099892,0.879332,4.067206,-0.323592,3.144003
0.010000,11.890938,9.468604,0.109092,0.919970,4.063815,-0.339152,3.144210
0.010000,11.881332,9.468578,0.118697,0.960573,4.060268,-0.354682,3.144422
0.010000,11.871321,9.468548,0.128709,1.001138,4.056566,-0.370197,3.144640
0.010000,11.860905,9.468515,0.139125,1.041665,4.052709,-0.385661,3.144864
0.010000,11.850083,9.468479,0.149947,1.082152,4.048698,-0.401124,3.145092
0.010000,11.838857,9.468438,0.161173,1.122598,4.044533,-0.416532,3.145326
0.010000,11.827227,9.468393,0.172803,1.163000,4.040213,-0.431933,3.145563
0.010000,11.815194,9.468344,0.184837,1.203357,4.035740,-0.447297,3.145804
0.010000,11.802757,9.468290,0.197273,1.243668,4.031114,-0.462634,3.146049
0.010000,11.789918,9.468231,0.210113,1.283932,4.026335,-0.477949,3.146296
0.010000,11.776677,9.468167,0.223354,1.324146,4.021402,-0.493233,3.146545
0.010000,11.763034,9.468098,0.236997,1.364309,4.016317,-0.508503,3.146796
0.010000,11.748990,9.468023,0.251041,1.404420,4.011080,-0.523739,3.147048
0.010000,11.734545,9.467943,0.265486,1.444477,4.005690,-0.538961,3.147301
0.010000,11.719701,9.467856,0.280331,1.484478,4.000149,-0.554165,3.147553
0.010000,11.704457,9.467763,0.295575,1.524423,3.994455,-0.569353,3.147805
0.010000,11.688814,9.467664,0.311218,1.564309,3.988610,-0.584517,3.148056
0.010000,11.672773,9.467558,0.327259,1.604135,3.982613,-0.599683,3.148305
0.010000,11.656334,9.467446,0.343698,1.643900,3.976465,-0.614832,3.148552
0.010000,11.639499,9.467327,0.360534,1.683601,3.970165,-0.629978,3.148796
0.010000,11.622267,9.467201,0.377767,1.723238,3.963714,-0.645117,3.149036
0.010000,11.604639,9.467067,0.395395,1.762810,3.957111,-0.660265,3.149271
0.010000,11.586617,9.466927,0.413418,1.802313,3.950357,-0.675412,3.149501
0.010000,11.568200,9.466779,0.431836,1.841748,3.943451,-0.690572,3.149726
0.010000,11.549389,9.466624,0.450647,1.881112,3.936394,-0.705743,3.149944
0.010000,11.530186,9.466462,0.469851,1.920403,3.929184,-0.720940,3.150154
0.010000,11.510591,9.466292,0.489447,1.959622,3.921823,-0.736152,3.150357
0.010000,11.490604,9.466115,0.509435,1.998765,3.914309,-0.751397,3.150551
0.010000,11.470226,9.465930,0.529813,2.037831,3.906642,-0.766680,3.150735
0.010000,11.449459,9.465739,0.550581,2.076819,3.898822,-0.782005,3.150908
0.010000,11.428303,9.465540,0.571738,2.115728,3.890848,-0.797372,3.151071
0.010000,11.406758,9.465334,0.593284,2.154555,3.882720,-0.812802,3.151221
0.010000,11.384826,9.465121,0.615217,2.193299,3.874437,-0.828286,3.151358
0.010000,11.362508,9.464902,0.637536,2.231959,3.865999,-0.843846,3.151482
0.010000,11.339803,9.464676,0.660242,2.270533,3.857404,-0.859481,3.151590
0.010000,11.316714,9.464444,0.683332,2.309020,3.848652,-0.875201,3.151684
0.010000,11.293241,9.464206,0.706806,2.347417,3.839742,-0.891016,3.151760
0.010000,11.269385,9.463963,0.730663,2.385724,3.830673,-0.906934,3.151819
0.010000,11.245147,9.463715,0.754903,2.423939,3.821443,-0.922965,3.151860
0.010000,11.220528,9.463461,0.779523,2.462059,3.812052,-0.939115,3.151881
0.010000,11.195528,9.463204,0.804524,2.500084,3.802498,-0.955399,3.151882
0.010000,11.170150,9.462943,0.829904,2.538012,3.792780,-0.971824,3.151861
0.010000,11.144393,9.462679,0.855663,2.575841,3.782896,-0.988401,3.151819
0.010000,11.118258,9.462413,0.881798,2.613569,3.772844,-1.005142,3.151752
0.010000,11.091748,9.462145,0.908310,2.651195,3.762624,-1.022057,3.151661
0.010000,11.064862,9.461875,0.935198,2.688718,3.752232,-1.039156,3.151545
0.010000,11.037602,9.461606,0.962459,2.726134,3.741668,-1.056455,3.151402
0.010000,11.009969,9.461337,0.990093,2.763444,3.730928,-1.073963,3.151231
0.010000,10.981963,9.461070,1.018100,2.800644,3.720011,-1.091690,3.151031
0.010000,10.953587,9.460805,1.046477,2.837733,3.708914,-1.109653,3.150801
0.010000,10.924841,9.460544,1.075224,2.874709,3.697636,-1.127863,3.150540
0.010000,10.895727,9.460288,1.104340,2.911571,3.686173,-1.146329,3.150247
0.010000,10.866245,9.460038,1.133823,2.948316,3.674522,-1.165073,3.149919
0.010000,10.836396,9.459794,1.163673,2.984943,3.662681,-1.184093,3.149558
0.010000,10.806183,9.459560,1.193887,3.021450,3.650647,-1.203422,3.149160
0.010000,10.775605,9.459335,1.224465,3.057834,3.638416,-1.223049,3.148724
0.010000,10.744665,9.459122,1.255406,3.094094,3.625986,-1.243015,3.148251
0.010000,10.713363,9.458921,1.286709,3.130227,3.613353,-1.263303,3.147737
0.010000,10.681702,9.458735,1.318371,3.166232,3.600513,-1.283956,3.147182
0.010000,10.649681,9.458566,1.350392,3.202107,3.587464,-1.304956,3.146584
0.010000,10.617303,9.458414,1.382770,3.237849,3.574200,-1.326346,3.145943
0.010000,10.584569,9.458283,1.415505,3.273456,3.560719,-1.348107,3.145256
0.010000,10.551480,9.458174,1.448594,3.308926,3.547017,-1.370285,3.144522
0.010000,10.518037,9.458089,1.482037,3.344257,3.533088,-1.392849,3.143740
0.010000,10.484243,9.458030,1.515831,3.379446,3.518929,-1.415859,3.142909
0.010000,10.450098,9.458000,1.549976,3.414492,3.504537,-1.439281,3.142026
0.010000,10.415604,9.458001,1.584470,3.449391,3.489905,-1.463145,3.141091
0.010000,10.380762,9.458036,1.619312,3.484141,3.475031,-1.487461,3.140101
0.010000,10.345575,9.458107,1.654499,3.518740,3.459908,-1.512222,3.139056
0.010000,10.310043,9.458216,1.690031,3.553186,3.444534,-1.537454,3.137953
0.010000,10.274169,9.458368,1.725906,3.587475,3.428902,-1.563136,3.136792
0.010000,10.237953,9.458563,1.762122,3.621605,3.413009,-1.589297,3.135570
0.010000,10.201399,9.458807,1.798677,3.655573,3.396850,-1.615908,3.134285
0.010000,10.164506,9.459101,1.835571,3.689377,3.380420,-1.643000,3.132937
0.010000,10.127277,9.459450,1.872801,3.723015,3.363715,-1.670560,3.131523
0.010000,10.089715,9.459856,1.910366,3.756482,3.346729,-1.698549,3.130041
0.010000,10.051820,9.460323,1.948264,3.789776,3.329459,-1.727016,3.128491
0.010000,10.013595,9.460854,1.986493,3.822895,3.311900,-1.755898,3.126869
0.010000,9.975041,9.461454,2.025051,3.855836,3.294048,-1.785220,3.125174
0.010000,9.936161,9.462127,2.063937,3.888595,3.275899,-1.814927,3.123405
0.010000,9.896956,9.462876,2.103149,3.921169,3.257448,-1.845032,3.121559
0.010000,9.857429,9.463706,2.142684,3.953556,3.238694,-1.875470,3.119634
0.010000,9.817582,9.464621,2.182542,3.985753,3.219631,-1.906255,3.117629
0.010000,9.777417,9.465625,2.222719,4.017755,3.200258,-1.937311,3.115542
0.010000,9.736937,9.466724,2.263215,4.049561,3.180572,-1.968605,3.113369
0.010000,9.696143,9.467921,2.304027,4.081167,3.160571,-2.000102,3.111110
0.010000,9.655038,9.469223,2.345152,4.112569,3.140254,-2.031743,3.108763
0.010000,9.613624,9.470633,2.386590,4.143765,3.119619,-2.063425,3.106324
0.010000,9.571904,9.472158,2.428338,4.174752,3.098668,-2.095168,3.103793
0.010000,9.529881,9.473802,2.470393,4.205526,3.077400,-2.126790,3.101166
0.010000,9.487557,9.475571,2.512754,4.236084,3.055817,-2.158253,3.098442
0.010000,9.444935,9.477472,2.555418,4.266423,3.033922,-2.189487,3.095618
0.010000,9.402018,9.479509,2.598383,4.296541,3.011719,-2.220297,3.092692
0.010000,9.358809,9.481689,2.641648,4.326433,2.989213,-2.250666,3.089661
0.010000,9.315310,9.484018,2.685209,4.356097,2.966409,-2.280374,3.086524
0.010000,9.271525,9.486502,2.729064,4.385530,2.943316,-2.309320,3.083278
0.010000,9.227457,9.489149,2.773211,4.414729,2.919942,-2.337327,3.079920
0.010000,9.183110,9.491965,2.817648,4.443692,2.896300,-2.364255,3.076449
0.010000,9.138486,9.494956,2.862372,4.472416,2.872402,-2.389828,3.072861
0.010000,9.093589,9.498130,2.907381,4.500899,2.848262,-2.413947,3.069154
0.010000,9.048423,9.501494,2.952673,4.529138,2.823899,-2.436304,3.065326
0.010000,9.002991,9.505055,2.998244,4.557131,2.799332,-2.456685,3.061374
0.010000,8.957297,9.508822,3.044093,4.584877,2.774584,-2.474828,3.057295
0.010000,8.911345,9.512802,3.090217,4.612374,2.749680,-2.490443,3.053087
0.010000,8.865140,9.517003,3.136613,4.639620,2.724647,-2.503213,3.048748
0.010000,8.818684,9.521433,3.183279,4.666616,2.699519,-2.512847,3.044274
0.010000,8.771983,9.526100,3.230212,4.693359,2.674329,-2.518950,3.039664
0.010000,8.725041,9.531014,3.277411,4.719850,2.649118,-2.521152,3.034914
0.010000,8.677863,9.536182,3.324872,4.746089,2.623927,-2.519110,3.030022
0.010000,8.630452,9.541614,3.372593,4.772077,2.598804,-2.512324,3.024986
0.010000,8.582814,9.547319,3.420571,4.797815,2.573800,-2.500388,3.019802
0.010000,8.534954,9.553306,3.468804,4.823305,2.548971,-2.482856,3.014468
0.010000,8.486877,9.559585,3.517289,4.848549,2.524379,-2.459176,3.008982
0.010000,8.438588,9.566164,3.566025,4.873550,2.500091,-2.428872,3.003342
0.010000,8.390092,9.573055,3.615008,4.898312,2.476177,-2.391394,2.997544
0.010000,8.341394,9.580266,3.664236,4.922839,2.452715,-2.346180,2.991586
0.010000,8.292501,9.587809,3.713708,4.947137,2.429788,-2.292663,2.985466
0.010000,8.243418,9.595692,3.763420,4.971212,2.407486,-2.230245,2.979182
0.010000,8.194151,9.603928,3.813371,4.995071,2.385903,-2.158311,2.972731
0.010000,8.144706,9.612525,3.863558,5.018722,2.365140,-2.076263,2.966112
0.010000,8.095088,9.621496,3.913979,5.042175,2.345305,-1.983483,2.959321
0.010000,8.045305,9.630850,3.964634,5.065440,2.326512,-1.879344,2.952358
0.010000,7.995363,9.640600,4.015519,5.088529,2.308879,-1.763244,2.945220
0.010000,7.945267,9.650756,4.066634,5.111454,2.292534,-1.634585,2.937907
0.010000,7.895025,9.661329,4.117976,5.134230,2.277606,-1.492798,2.930415
0.010000,7.844668,9.672326,4.169520,5.154378,2.014805,-26.280054,2.922748
0.010000,7.794251,9.683746,4.221214,5.169451,1.507254,-50.755058,2.914912
0.010000,7.743828,9.695587,4.273009,5.179513,1.006254,-50.100066,2.906914
0.010000,7.693452,9.707848,4.324856,5.184632,0.511830,-49.442337,2.898763
0.010000,7.643176,9.720523,4.376704,5.184871,0.023967,-48.786291,2.890467
0.010000,7.593053,9.733607,4.428507,5.180297,-0.457398,-48.136529,2.882035
0.010000,7.543132,9.747091,4.480217,5.170974,-0.932376,-47.497831,2.873478
0.010000,7.493441,9.760974,4.531811,5.159417,-1.155713,-22.333674,2.864801
0.010000,7.443982,9.775260,4.583293,5.148114,-1.130274,2.543921,2.856007
0.010000,7.394756,9.789951,4.634663,5.137083,-1.103128,2.714524,2.847100
0.010000,7.345767,9.805051,4.685927,5.126340,-1.074273,2.885536,2.838082
0.010000,7.297017,9.820563,4.737086,5.115903,-1.043711,3.056218,2.828956
0.010000,7.248507,9.836490,4.788144,5.105788,-1.011453,3.225822,2.819725
0.010000,7.200239,9.852836,4.839104,5.096013,-0.977518,3.393503,2.810394
0.010000,7.152216,9.869602,4.889970,5.086594,-0.941932,3.558522,2.800966
0.010000,7.104439,9.886793,4.940745,5.077546,-0.904734,3.719886,2.791444
0.010000,7.056910,9.904409,4.991434,5.068887,-0.865965,3.876874,2.781832
0.010000,7.009630,9.922454,5.042040,5.060630,-0.825680,4.028522,2.772136
0.010000,6.962601,9.940930,5.092568,5.052790,-0.783939,4.174028,2.762358
0.010000,6.915824,9.959839,5.143022,5.045382,-0.740814,4.312493,2.752505
0.010000,6.869301,9.979182,5.193406,5.038419,-0.696384,4.443054,2.742579
0.010000,6.823033,9.998963,5.243725,5.031911,-0.650733,4.565045,2.732586
0.010000,6.777021,10.019182,5.293984,5.025872,-0.603958,4.677518,2.722531
0.010000,6.731266,10.039841,5.344187,5.020310,-0.556160,4.779854,2.712418
0.010000,6.685768,10.060942,5.394340,5.015236,-0.507446,4.871324,2.702253
0.010000,6.640530,10.082486,5.444446,5.010656,-0.457933,4.951365,2.692040
0.010000,6.595550,10.104473,5.494512,5.006579,-0.407738,5.019464,2.681786
0.010000,6.550831,10.126905,5.544542,5.003009,-0.356989,5.074957,2.671495
0.010000,6.506373,10.149783,5.594541,4.999951,-0.305811,5.117769,2.661172
0.010000,6.462176,10.173108,5.644516,4.997407,-0.254337,5.147344,2.650823
0.010000,6.418241,10.196879,5.694469,4.995380,-0.202702,5.163516,2.640453
0.010000,6.374568,10.221098,5.744408,4.993870,-0.151039,5.166361,2.630067
0.010000,6.331158,10.245765,5.794337,4.992875,-0.099484,5.155490,2.619671
0.010000,6.288010,10.270879,5.844261,4.992394,-0.048170,5.131421,2.609270
0.010000,6.245127,10.296441,5.894185,4.992421,0.002768,5.093769,2.598870
0.010000,6.202506,10.322450,5.944114,4.992953,0.053202,5.043420,2.588475
0.010000,6.160150,10.348906,5.994054,4.993983,0.103004,4.980148,2.578090
0.010000,6.118057,10.375808,6.044009,4.995504,0.152050,4.904655,2.567721
0.010000,6.076229,10.403155,6.093984,4.997506,0.200225,4.817462,2.557373
0.010000,6.034665,10.430948,6.143984,4.999980,0.247415,4.718994,2.547051
0.010000,5.993365,10.459184,6.194013,5.002915,0.293514,4.609934,2.536758
0.010000,5.952330,10.487862,6.244076,5.006300,0.338426,4.491174,2.526501
0.010000,5.911560,10.516981,6.294178,5.010120,0.382056,4.362950,2.516283
0.010000,5.871054,10.546539,6.344321,5.014363,0.424322,4.226665,2.506109
0.010000,5.830814,10.576534,6.394511,5.019015,0.465149,4.082716,2.495983
