dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000028,14.082500,0.000029,0.005799,0.579912,57.991164,0.000018
0.010000,0.000075,14.082500,0.000132,0.010321,0.452176,-12.773578,6.283171
0.010000,0.000451,14.082500,0.000508,0.037591,2.727042,227.486653,6.283098
0.010000,0.001119,14.082500,0.001176,0.066831,2.923962,19.691934,6.282969
0.010000,0.002164,14.082500,0.002221,0.104428,3.759735,83.577295,6.282767
0.010000,0.003667,14.082499,0.003725,0.150387,4.595909,83.617423,6.282476
0.010000,0.005715,14.082497,0.005772,0.204714,5.432667,83.675842,6.282081
0.010000,0.008389,14.082493,0.008446,0.267417,6.270251,83.758366,6.281563
0.010000,0.011774,14.082487,0.011831,0.338506,7.108917,83.866638,6.280909
0.010000,0.015954,14.082475,0.016011,0.417995,7.948978,84.006113,6.280099
0.010000,0.021013,14.082457,0.021070,0.505903,8.790753,84.177467,6.279120
0.010000,0.027035,14.082429,0.027092,0.602249,9.634627,84.387418,6.277952
0.010000,0.034064,14.082388,0.034121,0.702875,10.062524,42.789624,6.276589
0.010000,0.042100,14.082328,0.042157,0.803614,10.073954,1.143012,6.275029
0.010000,0.051144,14.082247,0.051202,0.904483,10.086918,1.296464,6.273271
0.010000,0.061199,14.082137,0.061257,1.005497,10.101385,1.446690,6.271315
0.010000,0.072264,14.081994,0.072324,1.106670,10.117302,1.591627,6.269159
0.010000,0.084343,14.081810,0.084404,1.208016,10.134620,1.731889,6.266802
0.010000,0.097437,14.081579,0.097499,1.309549,10.153287,1.866627,6.264243
0.010000,0.111546,14.081292,0.111612,1.411281,10.173216,1.992907,6.261482
0.010000,0.126675,14.080941,0.126745,1.513225,10.194350,2.113430,6.258516
0.010000,0.142823,14.080517,0.142898,1.615391,10.216594,2.224388,6.255344
0.010000,0.159993,14.080010,0.160076,1.717789,10.239862,2.326782,6.251964
0.010000,0.178188,14.079409,0.178281,1.820430,10.264032,2.417026,6.248376
0.010000,0.197408,14.078703,0.197514,1.923320,10.289011,2.497915,6.244578
0.010000,0.217656,14.077881,0.217778,2.026466,10.314647,2.563624,6.240567
