dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000020,11.500000,0.000030,0.005951,0.595126,59.512575,0.000013
0.010000,0.000039,11.500000,0.000049,0.001894,-0.405766,-100.089215,6.283173
0.010000,0.000220,11.500000,0.000230,0.018097,1.620304,202.607004,6.283115
0.010000,0.000542,11.500000,0.000551,0.032172,1.407502,-21.280195,6.283012
0.010000,0.001044,11.500000,0.001054,0.050268,1.809620,40.211840,6.282851
0.010000,0.001768,11.499999,0.001778,0.072385,2.211711,40.209135,6.282620
0.010000,0.002753,11.499999,0.002763,0.098523,2.613761,40.204946,6.282304
0.010000,0.004040,11.499997,0.004050,0.128680,3.015757,40.199643,6.281893
0.010000,0.005669,11.499995,0.005679,0.162857,3.417683,40.192614,6.281372
0.010000,0.007679,11.499991,0.007689,0.201052,3.819528,40.184431,6.280728
0.010000,0.010092,11.499984,0.010102,0.241255,4.020230,20.070245,6.279956
0.010000,0.012906,11.499973,0.012916,0.281453,4.019828,-0.040206,6.279055
0.010000,0.016123,11.499958,0.016133,0.321647,4.019392,-0.043647,6.278025
0.010000,0.019741,11.499938,0.019751,0.361836,4.018940,-0.045211,6.276867
0.010000,0.023761,11.499910,0.023771,0.402021,4.018487,-0.045223,6.275580
0.010000,0.028183,11.499873,0.028193,0.442202,4.018059,-0.042816,6.274163
0.010000,0.033007,11.499826,0.033017,0.482378,4.017675,-0.038451,6.272618
0.010000,0.038232,11.499766,0.038242,0.522552,4.017360,-0.031463,6.270944
0.010000,0.043858,11.499692,0.043870,0.562723,4.017145,-0.021511,6.269141
0.010000,0.049887,11.499602,0.049899,0.602894,4.017058,-0.008711,6.267209
0.010000,0.056316,11.499492,0.056329,0.643065,4.017132,0.007452,6.265148
0.010000,0.063148,11.499362,0.063162,0.683239,4.017403,0.027097,6.262958
0.010000,0.070380,11.499207,0.070396,0.723418,4.017908,0.050510,6.260640
0.010000,0.078014,11.499025,0.078032,0.763605,4.018689,0.078025,6.258192
0.010000,0.086049,11.498814,0.086070,0.803803,4.019786,0.109751,6.255616
0.010000,0.094486,11.498570,0.094510,0.844016,4.021247,0.146032,6.252911
0.010000,0.103324,11.498290,0.103353,0.884247,4.023118,0.187133,6.250077
0.010000,0.112563,11.497970,0.112598,0.924501,4.025451,0.233286,6.247115
0.010000,0.122204,11.497607,0.122245,0.964784,4.028297,0.284624,6.244025
0.010000,0.132247,11.497198,0.132296,1.005101,4.031713,0.341620,6.240807
0.010000,0.142692,11.496737,0.142751,1.045459,4.035757,0.404355,6.237461
0.010000,0.153538,11.496222,0.153610,1.085864,4.040488,0.473162,6.233988
0.010000,0.164787,11.495648,0.164873,1.126324,4.045970,0.548125,6.230388
0.010000,0.176438,11.495010,0.176541,1.166846,4.052265,0.629572,6.226661
0.010000,0.188491,11.494305,0.188616,1.207441,4.059442,0.717709,6.222808
0.010000,0.200948,11.493527,0.201097,1.248116,4.067571,0.812836,6.218830
0.010000,0.213809,11.492672,0.213986,1.288884,4.076719,0.914801,6.214726
0.010000,0.227073,11.491734,0.227283,1.329753,4.086961,1.024219,6.210499
0.010000,0.240742,11.490709,0.240991,1.370737,4.098368,1.140739,6.206147
0.010000,0.254816,11.489591,0.255109,1.411847,4.111019,1.265050,6.201673
0.010000,0.269296,11.488375,0.269640,1.453097,4.124986,1.396706,6.197078
0.010000,0.284183,11.487054,0.284585,1.494500,4.140347,1.536077,6.192361
0.010000,0.299477,11.485624,0.299946,1.536072,4.157180,1.683310,6.187525
0.010000,0.315179,11.484078,0.315724,1.577828,4.175560,1.837983,6.182571
0.010000,0.331291,11.482410,0.331922,1.619783,4.195565,2.000576,6.177499
0.010000,0.347813,11.480614,0.348542,1.661956,4.217271,2.170608,6.172312
0.010000,0.364747,11.478683,0.365585,1.704364,4.240755,2.348378,6.167011
0.010000,0.382094,11.476611,0.383055,1.747025,4.266087,2.533208,6.161598
0.010000,0.399855,11.474391,0.400955,1.789958,4.293342,2.725445,6.156074
0.010000,0.418033,11.472016,0.419287,1.833184,4.322587,2.924539,6.150441
0.010000,0.436627,11.469479,0.438054,1.876723,4.353890,3.130271,6.144702
0.010000,0.455642,11.466772,0.457260,1.920596,4.387312,3.342202,6.138859
0.010000,0.475077,11.463888,0.476908,1.964825,4.422914,3.560183,6.132914
0.010000,0.494936,11.460820,0.497003,2.009432,4.460749,3.783513,6.126869
0.010000,0.515220,11.457559,0.517547,2.054441,4.500866,4.011753,6.120728
0.010000,0.535931,11.454098,0.538546,2.099874,4.543311,4.244423,6.114493
0.010000,0.557073,11.450428,0.560003,2.145755,4.588119,4.480857,6.108167
0.010000,0.578647,11.446542,0.581924,2.192109,4.635323,4.720390,6.101753
0.010000,0.600656,11.442431,0.604314,2.238958,4.684946,4.962259,6.095255
0.010000,0.623102,11.438085,0.627177,2.286328,4.737004,5.205852,6.088676
0.010000,0.645989,11.433497,0.650520,2.334243,4.791506,5.450188,6.082020
0.010000,0.669320,11.428657,0.674347,2.382728,4.848452,5.694559,6.075290
0.010000,0.693097,11.423557,0.698665,2.431806,4.907832,5.938055,6.068490
0.010000,0.717324,11.418187,0.723480,2.481502,4.969629,6.179677,6.061626
0.010000,0.742004,11.412538,0.748798,2.531841,5.033816,6.418670,6.054700
0.010000,0.767141,11.406599,0.774627,2.582844,5.100355,6.653928,6.047717
0.010000,0.792737,11.400363,0.800972,2.634536,5.169202,6.884671,6.040682
0.010000,0.818797,11.393818,0.827842,2.686939,5.240299,7.109714,6.033599
0.010000,0.845325,11.386955,0.855242,2.740075,5.313583,7.328387,6.026475
0.010000,0.872323,11.379764,0.883182,2.793965,5.388979,7.539598,6.019312
0.010000,0.899796,11.372235,0.911668,2.848629,5.466403,7.742474,6.012118
0.010000,0.927749,11.364358,0.940709,2.904086,5.545766,7.936231,6.004896
0.010000,0.956183,11.356122,0.970313,2.960356,5.626966,8.119993,5.997653
0.010000,0.985105,11.347518,1.000487,3.017455,5.709896,8.293041,5.990393
0.010000,1.014518,11.338534,1.031241,3.075399,5.794443,8.454665,5.983124
0.010000,1.044425,11.329161,1.062583,3.134204,5.880485,8.604270,5.975849
0.010000,1.074832,11.319388,1.094522,3.193883,5.967898,8.741299,5.968576
0.010000,1.105742,11.309204,1.127067,3.254449,6.056552,8.865333,5.961309
0.010000,1.137160,11.298600,1.160226,3.315912,6.146312,8.975995,5.954056
0.010000,1.169090,11.287565,1.194009,3.378282,6.237042,9.073042,5.946821
0.010000,1.201536,11.276088,1.228424,3.441568,6.328605,9.156329,5.939612
0.010000,1.234502,11.264160,1.263482,3.505777,6.420863,9.225796,5.932434
0.010000,1.267992,11.251770,1.299191,3.570914,6.513679,9.281542,5.925294
0.010000,1.302012,11.238908,1.335561,3.636983,6.606916,9.323720,5.918197
0.010000,1.336565,11.225565,1.372601,3.703987,6.700442,9.352628,5.911151
0.010000,1.371656,11.211730,1.410320,3.771929,6.794129,9.368667,5.904160
0.010000,1.407288,11.197395,1.448728,3.840807,6.887852,9.372337,5.897232
0.010000,1.443467,11.182549,1.487834,3.910622,6.981495,9.364246,5.890372
0.010000,1.480196,11.167183,1.527648,3.981372,7.074946,9.345102,5.883588
0.010000,1.517480,11.151289,1.568179,4.053053,7.168103,9.315685,5.876885
0.010000,1.555324,11.134858,1.609435,4.125661,7.260872,9.276928,5.870268
0.010000,1.593731,11.117882,1.651427,4.199193,7.353169,9.229716,5.863746
0.010000,1.632706,11.100351,1.694164,4.273642,7.444921,9.175149,5.857323
0.010000,1.672255,11.082259,1.737654,4.349003,7.536064,9.114295,5.851005
0.010000,1.712380,11.063599,1.781906,4.425268,7.626546,9.048290,5.844800
0.010000,1.753088,11.044362,1.826931,4.502432,7.716330,8.978357,5.838712
0.010000,1.794383,11.024543,1.872736,4.580486,7.805387,8.905732,5.832747
0.010000,1.836270,11.004135,1.919330,4.659423,7.893703,8.831614,5.826912
0.010000,1.878755,10.983131,1.966722,4.739235,7.981277,8.757380,5.821213
0.010000,1.921841,10.961527,2.014921,4.819917,8.068120,8.684234,5.815654
0.010000,1.965535,10.939318,2.063936,4.901459,8.154255,8.613523,5.810243
0.010000,2.009843,10.916499,2.113774,4.983856,8.239720,8.546524,5.804984
0.010000,2.054769,10.893065,2.164445,5.067102,8.324565,8.484509,5.799883
0.010000,2.100322,10.869014,2.215957,5.151190,8.408853,8.428768,5.794946
0.010000,2.146506,10.844342,2.268319,5.236117,8.492658,8.380520,5.790178
0.010000,2.193328,10.819046,2.321537,5.321878,8.576068,8.340984,5.785586
0.010000,2.240797,10.793124,2.375622,5.408470,8.659182,8.311371,5.781173
0.010000,2.288918,10.766576,2.430581,5.495891,8.742110,8.292795,5.776947
0.010000,2.337700,10.739400,2.486422,5.584140,8.824973,8.286370,5.772913
0.010000,2.387152,10.711595,2.543155,5.673219,8.907905,8.293214,5.769076
0.010000,2.437281,10.683162,2.600786,5.763130,8.991048,8.314245,5.765441
0.010000,2.488097,10.654101,2.659325,5.853875,9.074553,8.350558,5.762015
0.010000,2.539610,10.624415,2.718779,5.945461,9.158583,8.402956,5.758802
0.010000,2.591830,10.594105,2.779158,6.037894,9.243307,8.472423,5.755809
0.010000,2.644768,10.563175,2.840470,6.131183,9.328904,8.559660,5.753041
0.010000,2.698435,10.531626,2.902723,6.225339,9.415559,8.665506,5.750504
0.010000,2.752844,10.499465,2.965927,6.320374,9.503465,8.790613,5.748204
0.010000,2.808008,10.466695,3.030090,6.416302,9.592821,8.935572,5.746146
0.010000,2.863940,10.433322,3.095222,6.513140,9.683831,9.101003,5.744338
0.010000,2.920654,10.399353,3.161331,6.610907,9.776703,9.287279,5.742784
0.010000,2.978166,10.364795,3.228427,6.709624,9.871652,9.494847,5.741492
0.010000,3.036492,10.329656,3.296520,6.809313,9.968891,9.723951,5.740467
0.010000,3.095648,10.293944,3.365620,6.909999,10.068639,9.974727,5.739717
0.010000,3.155628,10.257686,3.435707,7.008755,9.875592,-19.304657,5.739249
0.010000,3.216399,10.220923,3.506733,7.102563,9.380805,-49.478668,5.739069
0.010000,3.277928,10.183698,3.578646,7.191306,8.874328,-50.647746,5.739182
0.010000,3.340182,10.146057,3.651395,7.274867,8.356095,-51.823305,5.739595
0.010000,3.403127,10.108047,3.724926,7.353127,7.826022,-53.007333,5.740312
0.010000,3.466729,10.069715,3.799186,7.425967,7.283999,-54.202221,5.741335
0.010000,3.530953,10.031112,3.874118,7.493266,6.729893,-55.410681,5.742669
0.010000,3.595763,9.992288,3.949667,7.554902,6.163536,-56.635669,5.744314
0.010000,3.661122,9.953294,4.025775,7.610749,5.584734,-57.880187,5.746272
0.010000,3.726966,9.914200,4.102351,7.657560,4.681140,-90.359433,5.748542
0.010000,3.793229,9.875074,4.179302,7.695130,3.756969,-92.417117,5.751121
0.010000,3.859867,9.835972,4.256566,7.726408,3.127833,-62.913577,5.754009
0.010000,3.926839,9.796947,4.334079,7.751260,2.485127,-64.270608,5.757201
0.010000,3.994100,9.758055,4.411774,7.769545,1.828545,-65.658160,5.760694
0.010000,4.061602,9.719350,4.489585,7.781123,1.157773,-67.077169,5.764481
0.010000,4.129297,9.680887,4.567444,7.785848,0.472496,-68.527716,5.768559
0.010000,4.197133,9.642722,4.645279,7.783572,-0.227595,-70.009104,5.772918
0.010000,4.265059,9.604908,4.723021,7.774144,-0.942792,-71.519694,5.777552
0.010000,4.333017,9.567499,4.800595,7.757410,-1.673358,-73.056610,5.782451
0.010000,4.400979,9.530532,4.877960,7.736528,-2.088202,-41.484447,5.787608
0.010000,4.468943,9.494027,4.955108,7.714751,-2.177714,-8.951174,5.793017
0.010000,4.536908,9.458005,5.032028,7.692074,-2.267717,-9.000270,5.798671
0.010000,4.604871,9.422486,5.108713,7.668487,-2.358719,-9.100232,5.804564
0.010000,4.672828,9.387488,5.185153,7.643977,-2.450957,-9.223820,5.810691
0.010000,4.740775,9.353029,5.261338,7.618531,-2.544652,-9.369453,5.817045
0.010000,4.808707,9.319129,5.337260,7.592131,-2.640004,-9.535265,5.823619
0.010000,4.876619,9.285804,5.412907,7.564759,-2.737197,-9.719239,5.830408
0.010000,4.944503,9.253071,5.488271,7.536395,-2.836389,-9.919250,5.837405
0.010000,5.012352,9.220946,5.563341,7.507018,-2.937720,-10.133084,5.844603
0.010000,5.080158,9.189445,5.638108,7.476605,-3.041303,-10.358244,5.851994
0.010000,5.147912,9.158583,5.712559,7.445132,-3.147226,-10.592334,5.859573
0.010000,5.215603,9.128375,5.786685,7.412577,-3.255552,-10.832651,5.867331
0.010000,5.283220,9.098833,5.860474,7.378914,-3.366317,-11.076498,5.875261
0.010000,5.350752,9.069970,5.933915,7.344118,-3.479528,-11.321099,5.883357
0.010000,5.418186,9.041799,6.006997,7.308167,-3.595165,-11.563637,5.891609
0.010000,5.485509,9.014331,6.079707,7.271035,-3.713177,-11.801202,5.900011
0.010000,5.552705,8.987576,6.152034,7.232700,-3.833486,-12.030944,5.908553
0.010000,5.619761,8.961544,6.223965,7.193140,-3.955987,-12.250043,5.917229
0.010000,5.686659,8.936243,6.295489,7.152335,-4.080543,-12.455649,5.926030
0.010000,5.753385,8.911681,6.366591,7.110265,-4.206994,-12.645111,5.934946
0.010000,5.819920,8.887865,6.437260,7.066913,-4.335152,-12.815799,5.943971
0.010000,5.886247,8.864800,6.507483,7.022265,-4.464805,-12.965280,5.953095
0.010000,5.952347,8.842491,6.577246,6.976308,-4.595718,-13.091267,5.962309
0.010000,6.018201,8.820942,6.646537,6.929032,-4.727635,-13.191702,5.971604
0.010000,6.083790,8.800156,6.715341,6.880429,-4.860282,-13.264749,5.980973
0.010000,6.149095,8.780133,6.783646,6.830495,-4.993370,-13.308789,5.990405
0.010000,6.214094,8.760875,6.851438,6.779229,-5.126595,-13.322511,5.999892
0.010000,6.278768,8.742380,6.918704,6.726633,-5.259645,-13.304983,6.009425
0.010000,6.343095,8.724647,6.985431,6.672711,-5.392198,-13.255324,6.018996
0.010000,6.407056,8.707673,7.051606,6.617472,-5.523931,-13.173250,6.028595
0.010000,6.470629,8.691455,7.117215,6.560926,-5.654517,-13.058632,6.038214
0.010000,6.533794,8.675986,7.182246,6.503090,-5.783634,-12.911695,6.047844
0.010000,6.596529,8.661262,7.246686,6.443980,-5.910963,-12.732884,6.057476
0.010000,6.658814,8.647275,7.310522,6.383618,-6.036196,-12.523267,6.067103
0.010000,6.720628,8.634017,7.373743,6.322028,-6.159030,-12.283487,6.076717
0.010000,6.781952,8.621478,7.436335,6.259236,-6.279185,-12.015435,6.086308
0.010000,6.842765,8.609650,7.498288,6.195272,-6.396389,-11.720429,6.095870
0.010000,6.903048,8.598521,7.559589,6.130169,-6.510390,-11.400136,6.105394
0.010000,6.962782,8.588079,7.620229,6.063959,-6.620960,-11.057001,6.114874
0.010000,7.021948,8.578312,7.680196,5.996680,-6.727888,-10.692727,6.124302
0.010000,7.080528,8.569207,7.739480,5.928370,-6.830985,-10.309766,6.133671
0.010000,7.138505,8.560749,7.798070,5.859069,-6.930091,-9.910519,6.142975
0.010000,7.195862,8.552923,7.855958,5.788819,-7.025066,-9.497533,6.152207
0.010000,7.252582,8.545715,7.913135,5.717661,-7.115793,-9.072752,6.161362
0.010000,7.308651,8.539109,7.969591,5.645639,-7.202186,-8.639227,6.170433
0.010000,7.364053,8.533087,8.025319,5.572797,-7.284176,-8.199060,6.179416
