dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,13.000000,0.000030,0.005951,0.595126,59.512575,0.000013
0.010000,0.000058,13.000000,0.000149,0.017854,1.190251,59.512575,6.283173
0.010000,0.000325,13.000000,0.000417,0.035708,1.785377,59.512575,6.283115
0.010000,0.000801,13.000000,0.000893,0.059513,2.380503,59.512575,6.283012
0.010000,0.001545,13.000000,0.001637,0.089269,2.975629,59.512575,6.282851
0.010000,0.002617,12.999999,0.002708,0.124976,3.570754,59.512575,6.282620
0.010000,0.004075,12.999998,0.004166,0.166635,4.165880,59.512575,6.282304
0.010000,0.005979,12.999996,0.006070,0.214245,4.761006,59.512575,6.281893
0.010000,0.008389,12.999992,0.008481,0.267807,5.356132,59.512575,6.281372
0.010000,0.011365,12.999986,0.011456,0.327319,5.951257,59.512575,6.280728
0.010000,0.014936,12.999976,0.015027,0.386832,5.951257,-0.000000,6.279956
0.010000,0.019102,12.999961,0.019193,0.446344,5.951257,0.000000,6.279055
0.010000,0.023862,12.999938,0.023954,0.505857,5.951257,-0.000000,6.278025
0.010000,0.029218,12.999908,0.029310,0.565369,5.951257,0.000000,6.276867
0.010000,0.035170,12.999866,0.035261,0.624882,5.951257,0.000000,6.275580
0.010000,0.041716,12.999812,0.041808,0.684395,5.951257,0.000000,6.274163
0.010000,0.048857,12.999742,0.048949,0.743907,5.951257,0.000000,6.272618
0.010000,0.056593,12.999654,0.056686,0.803420,5.951257,-0.000000,6.270944
0.010000,0.064924,12.999544,0.065017,0.862932,5.951257,0.000000,6.269141
0.010000,0.073850,12.999410,0.073944,0.922445,5.951257,0.000000,6.267209
0.010000,0.083371,12.999248,0.083466,0.981957,5.951257,-0.000000,6.265148
0.010000,0.093486,12.999055,0.093584,1.041470,5.951257,0.000000,6.262958
0.010000,0.104196,12.998826,0.104296,1.100983,5.951257,0.000000,6.260640
0.010000,0.115500,12.998557,0.115603,1.160495,5.951257,-0.000000,6.258192
0.010000,0.127398,12.998244,0.127506,1.220008,5.951257,0.000000,6.255616
0.010000,0.139891,12.997883,0.140003,1.279520,5.951257,-0.000000,6.252911
0.010000,0.152977,12.997468,0.153096,1.339033,5.951257,0.000000,6.250077
0.010000,0.166657,12.996994,0.166784,1.398546,5.951257,0.000000,6.247115
0.010000,0.180930,12.996457,0.181067,1.458058,5.951257,-0.000000,6.244025
0.010000,0.195795,12.995851,0.195945,1.517571,5.951257,0.000000,6.240807
0.010000,0.211254,12.995170,0.211418,1.577083,5.951257,-0.000000,6.237461
0.010000,0.227304,12.994407,0.227487,1.636596,5.951257,0.000000,6.233988
0.010000,0.243946,12.993558,0.244150,1.696108,5.951257,-0.000000,6.230388
0.010000,0.261179,12.992615,0.261409,1.755621,5.951257,0.000000,6.226661
0.010000,0.279002,12.991572,0.279263,1.815134,5.951257,-0.000000,6.222808
0.010000,0.297415,12.990422,0.297712,1.874646,5.951257,0.000000,6.218830
0.010000,0.316417,12.989158,0.316756,1.934159,5.951257,-0.000000,6.214726
0.010000,0.336007,12.987773,0.336395,1.993671,5.951257,0.000000,6.210499
0.010000,0.356185,12.986260,0.356629,2.053184,5.951257,-0.000000,6.206147
0.010000,0.376949,12.984611,0.377459,2.112696,5.951257,0.000000,6.201673
0.010000,0.398298,12.982817,0.398883,2.172209,5.951257,0.000000,6.197078
0.010000,0.420231,12.980872,0.420903,2.231722,5.951257,0.000000,6.192361
0.010000,0.442748,12.978766,0.443517,2.291234,5.951257,-0.000000,6.187525
0.010000,0.465846,12.976492,0.466727,2.350747,5.951257,0.000000,6.182571
0.010000,0.489525,12.974041,0.490532,2.410259,5.951257,-0.000000,6.177499
0.010000,0.513782,12.971404,0.514933,2.469772,5.951257,0.000000,6.172312
0.010000,0.538616,12.968572,0.539928,2.529284,5.951257,-0.000000,6.167011
0.010000,0.564026,12.965537,0.565518,2.588797,5.951257,0.000000,6.161598
0.010000,0.590009,12.962290,0.591704,2.648310,5.951257,0.000000,6.156074
0.010000,0.616564,12.958820,0.618484,2.707822,5.951257,0.000000,6.150441
0.010000,0.643689,12.955119,0.645860,2.767335,5.951257,0.000000,6.144702
0.010000,0.671380,12.951176,0.673831,2.826847,5.951257,-0.000000,6.138859
0.010000,0.699637,12.946984,0.702397,2.886360,5.951257,0.000000,6.132914
0.010000,0.728456,12.942531,0.731558,2.945872,5.951257,0.000000,6.126869
0.010000,0.757835,12.937808,0.761315,3.005385,5.951257,-0.000000,6.120728
0.010000,0.787771,12.932806,0.791666,3.064898,5.951257,0.000000,6.114493
0.010000,0.818262,12.927513,0.822613,3.124410,5.951257,0.000000,6.108167
0.010000,0.849304,12.921922,0.854154,3.183923,5.951257,-0.000000,6.101753
0.010000,0.880894,12.916020,0.886291,3.243435,5.951257,0.000000,6.095255
0.010000,0.913029,12.909799,0.919023,3.302948,5.951257,0.000000,6.088676
0.010000,0.945706,12.903249,0.952350,3.362460,5.951257,0.000000,6.082020
0.010000,0.978921,12.896359,0.986272,3.421973,5.951257,0.000000,6.075290
0.010000,1.012671,12.889119,1.020789,3.481486,5.951257,-0.000000,6.068490
0.010000,1.046951,12.881521,1.055902,3.540998,5.951257,0.000000,6.061626
0.010000,1.081758,12.873553,1.091609,3.600511,5.951257,0.000000,6.054700
0.010000,1.117089,12.865207,1.127912,3.660023,5.951257,0.000000,6.047717
0.010000,1.152938,12.856473,1.164810,3.719536,5.951257,-0.000000,6.040682
0.010000,1.189301,12.847340,1.202303,3.779049,5.951257,0.000000,6.033599
0.010000,1.226175,12.837801,1.240391,3.838561,5.951257,-0.000000,6.026475
0.010000,1.263555,12.827845,1.279074,3.898074,5.951257,-0.000000,6.019312
0.010000,1.301437,12.817464,1.318352,3.957586,5.951257,0.000000,6.012118
0.010000,1.339815,12.806648,1.358226,4.017099,5.951257,-0.000000,6.004896
0.010000,1.378686,12.795390,1.398694,4.076611,5.951257,-0.000000,5.997653
0.010000,1.418045,12.783681,1.439758,4.136124,5.951257,0.000000,5.990393
0.010000,1.457887,12.771511,1.481417,4.195637,5.951257,-0.000000,5.983124
0.010000,1.498207,12.758875,1.523671,4.255149,5.951257,0.000000,5.975849
0.010000,1.539000,12.745764,1.566520,4.314662,5.951257,0.000000,5.968576
0.010000,1.580263,12.732170,1.609964,4.374174,5.951257,-0.000000,5.961309
0.010000,1.621989,12.718086,1.654003,4.433687,5.951257,0.000000,5.954056
0.010000,1.664175,12.703506,1.698638,4.493199,5.951257,-0.000000,5.946821
0.010000,1.706816,12.688424,1.743867,4.552712,5.951257,0.000000,5.939612
0.010000,1.749906,12.672832,1.789692,4.612225,5.951257,0.000000,5.932434
0.010000,1.793442,12.656726,1.836112,4.671737,5.951257,-0.000000,5.925294
0.010000,1.837419,12.640100,1.883127,4.731250,5.951257,0.000000,5.918197
0.010000,1.881833,12.622950,1.930737,4.790762,5.951257,-0.000000,5.911151
0.010000,1.926679,12.605269,1.978942,4.850275,5.951257,0.000000,5.904160
0.010000,1.971952,12.587055,2.027742,4.909787,5.951257,0.000000,5.897232
0.010000,2.017650,12.568303,2.077138,4.969300,5.951257,0.000000,5.890372
0.010000,2.063767,12.549010,2.127128,5.028813,5.951257,-0.000000,5.883588
0.010000,2.110301,12.529173,2.177714,5.088325,5.951257,0.000000,5.876885
0.010000,2.157248,12.508790,2.228895,5.147838,5.951257,0.000000,5.870268
0.010000,2.204604,12.487858,2.280671,5.207350,5.951257,0.000000,5.863746
0.010000,2.252366,12.466375,2.333042,5.266863,5.951257,-0.000000,5.857323
0.010000,2.300532,12.444342,2.386008,5.326375,5.951257,0.000000,5.851005
0.010000,2.349098,12.421756,2.439569,5.385888,5.951257,0.000000,5.844800
0.010000,2.398063,12.398618,2.493726,5.445401,5.951257,0.000000,5.838712
0.010000,2.447423,12.374928,2.548477,5.504913,5.951257,0.000000,5.832747
0.010000,2.497179,12.350686,2.603824,5.564426,5.951257,-0.000000,5.826912
0.010000,2.547327,12.325894,2.659766,5.623938,5.951257,0.000000,5.821213
0.010000,2.597867,12.300553,2.716303,5.683451,5.951257,0.000000,5.815654
0.010000,2.648797,12.274666,2.773435,5.742963,5.951257,-0.000000,5.810243
0.010000,2.700118,12.248235,2.831162,5.802476,5.951257,0.000000,5.804984
0.010000,2.751829,12.221263,2.889484,5.861989,5.951257,-0.000000,5.799883
0.010000,2.803930,12.193754,2.948402,5.921501,5.951257,0.000000,5.794946
0.010000,2.856421,12.165712,3.007914,5.981014,5.951257,-0.000000,5.790178
0.010000,2.909305,12.137142,3.068022,6.040526,5.951257,0.000000,5.785586
0.010000,2.962582,12.108049,3.128725,6.100039,5.951257,-0.000000,5.781173
0.010000,3.016254,12.078438,3.190023,6.159552,5.951257,0.000000,5.776947
0.010000,3.070322,12.048317,3.251916,6.219064,5.951257,0.000000,5.772913
0.010000,3.124791,12.017691,3.314404,6.278577,5.951257,0.000000,5.769076
0.010000,3.179663,11.986568,3.377487,6.338089,5.951257,-0.000000,5.765441
0.010000,3.234940,11.954957,3.441166,6.397602,5.951257,0.000000,5.762015
0.010000,3.290629,11.922865,3.505439,6.457114,5.951257,0.000000,5.758802
0.010000,3.346732,11.890301,3.570308,6.516627,5.951257,0.000000,5.755809
0.010000,3.403255,11.857276,3.635772,6.576140,5.951257,0.000000,5.753041
0.010000,3.460203,11.823799,3.701831,6.635652,5.951257,-0.000000,5.750504
0.010000,3.517582,11.789882,3.768485,6.695165,5.951257,0.000000,5.748204
0.010000,3.575399,11.755536,3.835734,6.754677,5.951257,0.000000,5.746146
0.010000,3.633661,11.720773,3.903579,6.814190,5.951257,-0.000000,5.744338
0.010000,3.692374,11.685606,3.972018,6.873702,5.951257,0.000000,5.742784
0.010000,3.751548,11.650050,4.041053,6.933215,5.951257,-0.000000,5.741492
0.010000,3.811190,11.614118,4.110682,6.992728,5.951257,0.000000,5.740467
0.010000,3.871309,11.577825,4.180907,7.052240,5.951257,0.000000,5.739717
0.010000,3.931891,11.541203,4.251697,7.105801,5.356132,-59.512575,5.739249
0.010000,3.992893,11.504300,4.322993,7.153412,4.761006,-59.512575,5.739069
0.010000,4.054276,11.467164,4.394736,7.195070,4.165880,-59.512575,5.739182
0.010000,4.116000,11.429843,4.466865,7.230778,3.570754,-59.512575,5.739595
0.010000,4.178025,11.392388,4.539322,7.260534,2.975629,-59.512575,5.740312
0.010000,4.240312,11.354849,4.612046,7.284339,2.380503,-59.512575,5.741335
0.010000,4.302821,11.317277,4.684979,7.302193,1.785377,-59.512575,5.742669
0.010000,4.365514,11.279720,4.758060,7.314095,1.190251,-59.512575,5.744314
0.010000,4.428352,11.242231,4.831231,7.320047,0.595126,-59.512575,5.746272
0.010000,4.491268,11.204875,4.904402,7.314100,-0.594662,-118.978817,5.748542
0.010000,4.554198,11.167717,4.977483,7.302202,-1.189788,-59.512575,5.751121
0.010000,4.617101,11.130807,5.050416,7.284353,-1.784914,-59.512575,5.754009
0.010000,4.679936,11.094192,5.123140,7.260553,-2.380040,-59.512575,5.757201
0.010000,4.742661,11.057922,5.195597,7.230801,-2.975165,-59.512575,5.760694
0.010000,4.805234,11.022043,5.267727,7.195098,-3.570291,-59.512575,5.764481
0.010000,4.867612,10.986602,5.339469,7.153444,-4.165417,-59.512575,5.768559
0.010000,4.929749,10.951643,5.410766,7.105839,-4.760543,-59.512575,5.772918
0.010000,4.991601,10.917210,5.481556,7.052282,-5.355668,-59.512575,5.777552
0.010000,5.053121,10.883345,5.551782,6.992774,-5.950794,-59.512575,5.782451
0.010000,5.114288,10.850073,5.621412,6.933261,-5.951257,-0.046332,5.787608
