dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000004,22.000000,0.000030,0.005970,0.597015,59.701493,0.000004
0.010000,0.000027,22.000000,0.000053,0.002351,-0.361879,-95.889346,6.283184
0.010000,0.000285,22.000000,0.000311,0.025762,2.341032,270.291049,6.283173
0.010000,0.000743,22.000000,0.000769,0.045799,2.003698,-33.733412,6.283153
0.010000,0.001458,22.000000,0.001485,0.071561,2.576204,57.250603,6.283123
0.010000,0.002460,22.000000,0.002486,0.100186,2.862488,28.628383,6.283080
0.010000,0.003748,22.000000,0.003775,0.128811,2.862547,0.005974,6.283025
0.010000,0.005323,21.999999,0.005349,0.157437,2.862624,0.007669,6.282957
0.010000,0.007183,21.999999,0.007210,0.186064,2.862718,0.009393,6.282878
0.010000,0.009330,21.999998,0.009356,0.214693,2.862829,0.011098,6.282786
0.010000,0.011764,21.999997,0.011790,0.243322,2.862957,0.012790,6.282682
0.010000,0.014483,21.999996,0.014509,0.271953,2.863102,0.014514,6.282565
0.010000,0.017489,21.999993,0.017515,0.300586,2.863264,0.016239,6.282437
0.010000,0.020781,21.999991,0.020807,0.329220,2.863444,0.017936,6.282296
0.010000,0.024360,21.999987,0.024386,0.357857,2.863640,0.019648,6.282144
0.010000,0.028225,21.999983,0.028251,0.386495,2.863854,0.021381,6.281979
0.010000,0.032376,21.999978,0.032402,0.415136,2.864085,0.023089,6.281802
0.010000,0.036814,21.999971,0.036840,0.443780,2.864333,0.024816,6.281613
0.010000,0.041538,21.999963,0.041564,0.472426,2.864599,0.026542,6.281411
0.010000,0.046549,21.999954,0.046575,0.501074,2.864881,0.028263,6.281198
0.010000,0.051846,21.999943,0.051872,0.529726,2.865181,0.030001,6.280973
0.010000,0.057430,21.999930,0.057456,0.558381,2.865498,0.031727,6.280736
0.010000,0.063300,21.999914,0.063326,0.587039,2.865833,0.033465,6.280487
0.010000,0.069457,21.999897,0.069483,0.615701,2.866185,0.035207,6.280226
0.010000,0.075901,21.999877,0.075927,0.644367,2.866555,0.036938,6.279953
0.010000,0.082631,21.999854,0.082658,0.673036,2.866942,0.038703,6.279669
0.010000,0.089648,21.999829,0.089675,0.701710,2.867346,0.040438,6.279373
0.010000,0.096952,21.999800,0.096978,0.730387,2.867768,0.042185,6.279064
0.010000,0.104543,21.999767,0.104569,0.759070,2.868207,0.043950,6.278745
0.010000,0.112420,21.999731,0.112447,0.787756,2.868665,0.045715,6.278413
0.010000,0.120585,21.999691,0.120611,0.816448,2.869139,0.047476,6.278070
0.010000,0.129036,21.999646,0.129063,0.845144,2.869632,0.049232,6.277716
0.010000,0.137774,21.999596,0.137801,0.873845,2.870142,0.051018,6.277350
0.010000,0.146800,21.999542,0.146827,0.902552,2.870670,0.052796,6.276972
0.010000,0.156112,21.999482,0.156139,0.931264,2.871215,0.054564,6.276583
0.010000,0.165712,21.999417,0.165739,0.959982,2.871779,0.056371,6.276183
