dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,23.000000,0.000030,0.005970,0.597015,59.701493,0.000004
0.010000,0.000028,23.000000,0.000149,0.017910,1.194030,59.701493,6.283184
0.010000,0.000297,23.000000,0.000418,0.035821,1.791045,59.701493,6.283173
0.010000,0.000775,23.000000,0.000896,0.059701,2.388060,59.701493,6.283153
0.010000,0.001521,23.000000,0.001642,0.089552,2.985075,59.701493,6.283123
0.010000,0.002566,23.000000,0.002687,0.119403,2.985075,-0.000000,6.283080
0.010000,0.003909,23.000000,0.004030,0.149254,2.985075,0.000000,6.283025
0.010000,0.005551,22.999999,0.005672,0.179104,2.985075,-0.000000,6.282957
0.010000,0.007491,22.999999,0.007612,0.208955,2.985075,-0.000000,6.282878
0.010000,0.009730,22.999998,0.009851,0.238806,2.985075,0.000000,6.282786
0.010000,0.012267,22.999997,0.012388,0.268657,2.985075,0.000000,6.282682
0.010000,0.015103,22.999995,0.015224,0.298507,2.985075,0.000000,6.282565
0.010000,0.018237,22.999993,0.018358,0.328358,2.985075,-0.000000,6.282437
0.010000,0.021670,22.999990,0.021791,0.358209,2.985075,0.000000,6.282296
0.010000,0.025402,22.999987,0.025522,0.388060,2.985075,-0.000000,6.282144
0.010000,0.029431,22.999982,0.029552,0.417910,2.985075,0.000000,6.281979
0.010000,0.033760,22.999977,0.033881,0.447761,2.985075,0.000000,6.281802
0.010000,0.038387,22.999970,0.038507,0.477612,2.985075,0.000000,6.281613
0.010000,0.043312,22.999962,0.043433,0.507463,2.985075,0.000000,6.281411
0.010000,0.048536,22.999952,0.048657,0.537313,2.985075,-0.000000,6.281198
0.010000,0.054058,22.999940,0.054179,0.567164,2.985075,0.000000,6.280973
0.010000,0.059879,22.999927,0.060000,0.597015,2.985075,-0.000000,6.280736
0.010000,0.065998,22.999911,0.066119,0.626866,2.985075,0.000000,6.280487
0.010000,0.072416,22.999893,0.072537,0.656716,2.985075,0.000000,6.280226
0.010000,0.079133,22.999872,0.079254,0.686567,2.985075,0.000000,6.279953
0.010000,0.086148,22.999848,0.086269,0.716418,2.985075,0.000000,6.279669
0.010000,0.093461,22.999821,0.093582,0.746269,2.985075,-0.000000,6.279373
0.010000,0.101073,22.999791,0.101194,0.776119,2.985075,0.000000,6.279064
0.010000,0.108983,22.999757,0.109104,0.805970,2.985075,-0.000000,6.278745
0.010000,0.117192,22.999720,0.117313,0.835821,2.985075,0.000000,6.278413
0.010000,0.125700,22.999677,0.125821,0.865672,2.985075,-0.000000,6.278070
0.010000,0.134505,22.999631,0.134627,0.895522,2.985075,0.000000,6.277716
0.010000,0.143610,22.999579,0.143731,0.925373,2.985075,0.000000,6.277350
0.010000,0.153013,22.999523,0.153134,0.955224,2.985075,0.000000,6.276972
0.010000,0.162714,22.999461,0.162836,0.985075,2.985075,0.000000,6.276583
0.010000,0.172714,22.999393,0.172836,1.014925,2.985075,0.000000,6.276183
0.010000,0.183012,22.999318,0.183134,1.044776,2.985075,0.000000,6.275772
0.010000,0.193609,22.999238,0.193731,1.074627,2.985075,-0.000000,6.275349
0.010000,0.204504,22.999150,0.204627,1.104478,2.985075,0.000000,6.274915
0.010000,0.215697,22.999055,0.215821,1.134328,2.985075,0.000000,6.274470
0.010000,0.227189,22.998952,0.227313,1.164179,2.985075,-0.000000,6.274015
0.010000,0.238980,22.998841,0.239104,1.194030,2.985075,0.000000,6.273548
0.010000,0.251069,22.998722,0.251194,1.223881,2.985075,-0.000000,6.273070
0.010000,0.263456,22.998593,0.263582,1.253731,2.985075,0.000000,6.272581
0.010000,0.276142,22.998456,0.276269,1.283582,2.985075,0.000000,6.272082
0.010000,0.289126,22.998308,0.289254,1.313433,2.985075,-0.000000,6.271572
0.010000,0.302409,22.998150,0.302537,1.343284,2.985075,0.000000,6.271051
0.010000,0.315990,22.997982,0.316119,1.373134,2.985075,-0.000000,6.270520
0.010000,0.329869,22.997802,0.330000,1.402985,2.985075,0.000000,6.269979
0.010000,0.344047,22.997611,0.344179,1.432836,2.985075,0.000000,6.269427
