dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,13.000000,0.000028,0.005533,0.553318,55.331790,6.283164
0.010000,0.000033,13.000000,0.000138,0.016600,1.106636,55.331790,0.000009
0.010000,0.000282,13.000000,0.000387,0.033199,1.659954,55.331790,0.000076
0.010000,0.000724,13.000000,0.000830,0.055332,2.213272,55.331790,0.000194
0.010000,0.001416,13.000000,0.001522,0.082998,2.766589,55.331790,0.000380
0.010000,0.002412,13.000001,0.002518,0.116197,3.319907,55.331790,0.000648
0.010000,0.003768,13.000002,0.003873,0.154929,3.873225,55.331790,0.001012
0.010000,0.005538,13.000004,0.005644,0.199194,4.426543,55.331790,0.001488
0.010000,0.007779,13.000008,0.007885,0.248993,4.979861,55.331790,0.002091
0.010000,0.010518,13.000015,0.010624,0.298792,4.979861,-0.000000,0.002829
0.010000,0.013755,13.000025,0.013861,0.348590,4.979861,-0.000000,0.003702
0.010000,0.017490,13.000041,0.017596,0.398389,4.979861,0.000000,0.004711
0.010000,0.021723,13.000064,0.021828,0.448187,4.979861,0.000000,0.005856
0.010000,0.026453,13.000094,0.026559,0.497986,4.979861,0.000000,0.007138
0.010000,0.031682,13.000135,0.031788,0.547785,4.979861,-0.000000,0.008557
0.010000,0.037409,13.000189,0.037515,0.597583,4.979861,0.000000,0.010115
0.010000,0.043633,13.000257,0.043740,0.647382,4.979861,-0.000000,0.011812
0.010000,0.050355,13.000343,0.050463,0.697181,4.979861,0.000000,0.013649
0.010000,0.057575,13.000448,0.057683,0.746979,4.979861,0.000000,0.015628
0.010000,0.065293,13.000577,0.065402,0.796778,4.979861,0.000000,0.017749
0.010000,0.073508,13.000732,0.073619,0.846576,4.979861,0.000000,0.020014
0.010000,0.082221,13.000917,0.082334,0.896375,4.979861,-0.000000,0.022423
0.010000,0.091431,13.001135,0.091546,0.946174,4.979861,0.000000,0.024979
0.010000,0.101139,13.001391,0.101257,0.995972,4.979861,0.000000,0.027682
0.010000,0.111343,13.001688,0.111466,1.045771,4.979861,-0.000000,0.030534
0.010000,0.122044,13.002031,0.122173,1.095569,4.979861,0.000000,0.033537
0.010000,0.133242,13.002424,0.133377,1.145368,4.979861,0.000000,0.036692
0.010000,0.144936,13.002873,0.145080,1.195167,4.979861,-0.000000,0.040000
0.010000,0.157126,13.003382,0.157281,1.244965,4.979861,0.000000,0.043465
0.010000,0.169812,13.003957,0.169979,1.294764,4.979861,0.000000,0.047086
0.010000,0.182993,13.004603,0.183176,1.344562,4.979861,0.000000,0.050867
0.010000,0.196668,13.005326,0.196871,1.394361,4.979861,0.000000,0.054809
0.010000,0.210838,13.006133,0.211063,1.444160,4.979861,0.000000,0.058914
0.010000,0.225501,13.007029,0.225754,1.493958,4.979861,-0.000000,0.063184
0.010000,0.240657,13.008022,0.240942,1.543757,4.979861,0.000000,0.067621
0.010000,0.256305,13.009117,0.256629,1.593556,4.979861,0.000000,0.072228
0.010000,0.272445,13.010324,0.272813,1.643354,4.979861,0.000000,0.077005
0.010000,0.289075,13.011648,0.289496,1.693153,4.979861,-0.000000,0.081956
0.010000,0.306194,13.013099,0.306676,1.742951,4.979861,-0.000000,0.087083
0.010000,0.323801,13.014683,0.324355,1.792750,4.979861,0.000000,0.092387
0.010000,0.341895,13.016409,0.342531,1.842549,4.979861,-0.000000,0.097872
0.010000,0.360475,13.018287,0.361206,1.892347,4.979861,0.000000,0.103539
0.010000,0.379539,13.020324,0.380378,1.942146,4.979861,-0.000000,0.109390
0.010000,0.399085,13.022531,0.400049,1.991944,4.979861,0.000000,0.115427
0.010000,0.419112,13.024916,0.420217,2.041743,4.979861,-0.000000,0.121654
0.010000,0.439618,13.027489,0.440884,2.091542,4.979861,0.000000,0.128070
0.010000,0.460600,13.030262,0.462048,2.141340,4.979861,0.000000,0.134680
0.010000,0.482056,13.033243,0.483711,2.191139,4.979861,0.000000,0.141484
0.010000,0.503984,13.036445,0.505871,2.240937,4.979861,0.000000,0.148485
0.010000,0.526381,13.039878,0.528529,2.290736,4.979861,-0.000000,0.155684
0.010000,0.549243,13.043553,0.551686,2.340535,4.979861,-0.000000,0.163084
0.010000,0.572569,13.047482,0.575340,2.390333,4.979861,0.000000,0.170684
0.010000,0.596354,13.051677,0.599492,2.440132,4.979861,-0.000000,0.178487
0.010000,0.620595,13.056150,0.624143,2.489931,4.979861,0.000000,0.186494
0.010000,0.645288,13.060915,0.649291,2.539729,4.979861,-0.000000,0.194706
0.010000,0.670429,13.065982,0.674937,2.589528,4.979861,0.000000,0.203124
0.010000,0.696012,13.071367,0.701081,2.639326,4.979861,-0.000000,0.211748
0.010000,0.722034,13.077081,0.727724,2.689125,4.979861,0.000000,0.220578
0.010000,0.748490,13.083139,0.754864,2.738924,4.979861,-0.000000,0.229614
0.010000,0.775373,13.089553,0.782502,2.788722,4.979861,0.000000,0.238856
0.010000,0.802679,13.096339,0.810638,2.838521,4.979861,-0.000000,0.248303
0.010000,0.830401,13.103510,0.839273,2.888319,4.979861,0.000000,0.257954
0.010000,0.858532,13.111080,0.868405,2.938118,4.979861,-0.000000,0.267807
0.010000,0.887066,13.119064,0.898035,2.987917,4.979861,0.000000,0.277861
0.010000,0.915996,13.127477,0.928163,3.037715,4.979861,0.000000,0.288113
0.010000,0.945313,13.136332,0.958789,3.087514,4.979861,0.000000,0.298560
0.010000,0.975011,13.145645,0.989913,3.137312,4.979861,0.000000,0.309198
0.010000,1.005081,13.155430,1.021536,3.187111,4.979861,0.000000,0.320025
0.010000,1.035514,13.165703,1.053656,3.236910,4.979861,-0.000000,0.331034
0.010000,1.066302,13.176476,1.086274,3.286708,4.979861,0.000000,0.342222
0.010000,1.097434,13.187767,1.119390,3.336507,4.979861,-0.000000,0.353583
0.010000,1.128900,13.199587,1.153004,3.386306,4.979861,0.000000,0.365110
0.010000,1.160692,13.211953,1.187116,3.436104,4.979861,-0.000000,0.376797
0.010000,1.192798,13.224878,1.221726,3.485903,4.979861,0.000000,0.388636
0.010000,1.225207,13.238376,1.256834,3.535701,4.979861,0.000000,0.400619
0.010000,1.257909,13.252460,1.292440,3.585500,4.979861,0.000000,0.412738
0.010000,1.290892,13.267144,1.328544,3.635299,4.979861,-0.000000,0.424983
0.010000,1.324144,13.282441,1.365146,3.685097,4.979861,0.000000,0.437344
0.010000,1.357653,13.298364,1.402246,3.734896,4.979861,0.000000,0.449812
0.010000,1.391407,13.314924,1.439844,3.784694,4.979861,-0.000000,0.462376
0.010000,1.425394,13.332133,1.477940,3.834493,4.979861,-0.000000,0.475023
0.010000,1.459602,13.350002,1.516534,3.884292,4.979861,0.000000,0.487742
0.010000,1.494017,13.368542,1.555626,3.934090,4.979861,0.000000,0.500522
0.010000,1.528628,13.387763,1.595216,3.983889,4.979861,0.000000,0.513348
0.010000,1.563421,13.407675,1.635303,4.033687,4.979861,-0.000000,0.526208
0.010000,1.598384,13.428285,1.675889,4.083486,4.979861,0.000000,0.539089
0.010000,1.633504,13.449603,1.716973,4.133285,4.979861,0.000000,0.551976
0.010000,1.668768,13.471635,1.758555,4.183083,4.979861,-0.000000,0.564857
0.010000,1.704166,13.494389,1.800635,4.232882,4.979861,0.000000,0.577718
0.010000,1.739683,13.517870,1.843213,4.282681,4.979861,-0.000000,0.590544
0.010000,1.775309,13.542083,1.886288,4.332479,4.979861,0.000000,0.603321
0.010000,1.811031,13.567034,1.929862,4.382278,4.979861,-0.000000,0.616036
0.010000,1.846839,13.592726,1.973934,4.432076,4.979861,0.000000,0.628674
0.010000,1.882722,13.619163,2.018504,4.481875,4.979861,0.000000,0.641223
0.010000,1.918668,13.646346,2.063571,4.531674,4.979861,-0.000000,0.653668
0.010000,1.954669,13.674278,2.109137,4.581472,4.979861,0.000000,0.665996
0.010000,1.990713,13.702959,2.155201,4.631271,4.979861,-0.000000,0.678196
0.010000,2.026794,13.732390,2.201763,4.681069,4.979861,0.000000,0.690253
