dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000021,14.000000,0.000028,0.005533,0.553318,55.331790,6.283164
0.010000,0.000024,14.000000,0.000031,0.000291,-0.524233,-107.755107,0.000009
0.010000,0.000206,14.000000,0.000213,0.018215,1.792398,231.663131,0.000076
0.010000,0.000530,14.000000,0.000537,0.032380,1.416549,-37.584878,0.000194
0.010000,0.001036,14.000000,0.001042,0.050590,1.820989,40.443934,0.000380
0.010000,0.001764,14.000001,0.001771,0.072841,2.225096,40.410767,0.000648
0.010000,0.002755,14.000001,0.002762,0.099128,2.628726,40.362936,0.001012
0.010000,0.004050,14.000003,0.004057,0.129445,3.031676,40.294991,0.001488
0.010000,0.005688,14.000006,0.005694,0.163782,3.433731,40.205567,0.002091
0.010000,0.007689,14.000011,0.007695,0.200108,3.632548,19.881666,0.002829
0.010000,0.010053,14.000019,0.010059,0.236391,3.628312,-0.423630,0.003702
0.010000,0.012779,14.000030,0.012786,0.272624,3.623309,-0.500305,0.004711
0.010000,0.015867,14.000046,0.015874,0.308800,3.617537,-0.577151,0.005856
0.010000,0.019316,14.000069,0.019323,0.344910,3.611004,-0.653325,0.007138
0.010000,0.023125,14.000099,0.023132,0.380947,3.603705,-0.729883,0.008557
0.010000,0.027294,14.000138,0.027301,0.416903,3.595644,-0.806142,0.010115
0.010000,0.031821,14.000187,0.031829,0.452771,3.586831,-0.881255,0.011812
0.010000,0.036707,14.000249,0.036714,0.488544,3.577258,-0.957306,0.013649
0.010000,0.041948,14.000326,0.041957,0.524213,3.566940,-1.031802,0.015628
0.010000,0.047545,14.000420,0.047554,0.559772,3.555877,-1.106317,0.017749
0.010000,0.053496,14.000532,0.053506,0.595213,3.544075,-1.180155,0.020014
0.010000,0.059800,14.000666,0.059812,0.630528,3.531544,-1.253152,0.022423
0.010000,0.066455,14.000823,0.066469,0.665711,3.518295,-1.324857,0.024979
0.010000,0.073460,14.001008,0.073476,0.700755,3.504326,-1.396901,0.027682
0.010000,0.080814,14.001222,0.080833,0.735651,3.489668,-1.465828,0.030534
0.010000,0.088514,14.001469,0.088537,0.770394,3.474316,-1.535174,0.033537
0.010000,0.096559,14.001751,0.096587,0.804977,3.458300,-1.601614,0.036692
0.010000,0.104946,14.002073,0.104980,0.839394,3.441630,-1.666999,0.040000
0.010000,0.113675,14.002438,0.113717,0.873637,3.424328,-1.730239,0.043465
0.010000,0.122743,14.002848,0.122794,0.907701,3.406421,-1.790700,0.047086
0.010000,0.132147,14.003309,0.132210,0.941580,3.387932,-1.848832,0.050867
0.010000,0.141886,14.003824,0.141962,0.975269,3.368892,-1.904023,0.054809
0.010000,0.151958,14.004398,0.152050,1.008763,3.349333,-1.955911,0.058914
0.010000,0.162359,14.005033,0.162471,1.042056,3.329300,-2.003296,0.063184
0.010000,0.173087,14.005736,0.173222,1.075144,3.308825,-2.047478,0.067621
0.010000,0.184140,14.006510,0.184302,1.108024,3.287964,-2.086144,0.072228
0.010000,0.195516,14.007361,0.195709,1.140691,3.266767,-2.119720,0.077005
0.010000,0.207210,14.008292,0.207441,1.173144,3.245290,-2.147609,0.081956
0.010000,0.219221,14.009309,0.219494,1.205380,3.223598,-2.169221,0.087083
0.010000,0.231545,14.010418,0.231868,1.237398,3.201768,-2.183022,0.092387
0.010000,0.244180,14.011624,0.244560,1.269197,3.179869,-2.189931,0.097872
0.010000,0.257121,14.012932,0.257568,1.300777,3.157997,-2.187154,0.103539
0.010000,0.270367,14.014347,0.270889,1.332139,3.136234,-2.176306,0.109390
0.010000,0.283914,14.015876,0.284522,1.363286,3.114694,-2.154021,0.115427
0.010000,0.297759,14.017525,0.298465,1.394221,3.093481,-2.121288,0.121654
0.010000,0.311897,14.019300,0.312714,1.424948,3.072722,-2.075941,0.128070
0.010000,0.326327,14.021206,0.327269,1.455473,3.052538,-2.018320,0.134680
0.010000,0.341043,14.023251,0.342127,1.485804,3.033079,-1.945909,0.141484
0.010000,0.356044,14.025441,0.357286,1.515949,3.014494,-1.858586,0.148485
0.010000,0.371324,14.027783,0.372745,1.545918,2.996943,-1.755082,0.155684
0.010000,0.386882,14.030284,0.388503,1.575724,2.980600,-1.634245,0.163084
0.010000,0.402713,14.032951,0.404557,1.605381,2.965650,-1.494977,0.170684
0.010000,0.418813,14.035790,0.420906,1.634904,2.952291,-1.335959,0.178487
0.010000,0.435180,14.038811,0.437549,1.664311,2.940720,-1.157068,0.186494
0.010000,0.451809,14.042019,0.454485,1.693623,2.931166,-0.955374,0.194706
0.010000,0.468698,14.045424,0.471713,1.722861,2.923846,-0.732070,0.203124
0.010000,0.485843,14.049032,0.489234,1.752051,2.919001,-0.484462,0.211748
0.010000,0.503241,14.052852,0.507046,1.781220,2.916876,-0.212540,0.220578
0.010000,0.520888,14.056893,0.525150,1.810397,2.917719,0.084373,0.229614
0.010000,0.538782,14.061162,0.543546,1.839615,2.921794,0.407466,0.238856
0.010000,0.556920,14.065670,0.562235,1.868909,2.929357,0.756332,0.248303
0.010000,0.575298,14.070424,0.581219,1.898315,2.940681,1.132324,0.257954
0.010000,0.593914,14.075434,0.600497,1.927876,2.956023,1.534187,0.267807
0.010000,0.612766,14.080709,0.620074,1.957632,2.975652,1.962921,0.277861
0.010000,0.631852,14.086258,0.639950,1.987630,2.999821,2.416944,0.288113
0.010000,0.651169,14.092093,0.660129,2.017918,3.028785,2.896364,0.298560
0.010000,0.670716,14.098223,0.680615,2.048546,3.062776,3.399154,0.309198
0.010000,0.690491,14.104658,0.701410,2.079566,3.102023,3.924655,0.320025
0.010000,0.710493,14.111409,0.722521,2.111033,3.146725,4.470160,0.331034
0.010000,0.730720,14.118488,0.743951,2.143004,3.197067,5.034197,0.342222
