dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000021,12.000000,0.000028,0.005533,0.553318,55.331790,6.283164
0.010000,0.000041,12.000000,0.000090,0.006232,0.069906,-48.341217,0.000009
0.010000,0.000357,12.000000,0.000406,0.031584,2.535155,246.524908,0.000076
0.010000,0.000919,12.000000,0.000967,0.056151,2.456674,-7.848116,0.000194
0.010000,0.001796,12.000000,0.001845,0.087739,3.158877,70.220322,0.000380
0.010000,0.003060,12.000001,0.003108,0.126353,3.861396,70.251924,0.000648
0.010000,0.004780,12.000002,0.004828,0.171997,4.564411,70.301444,0.001012
0.010000,0.007026,12.000005,0.007075,0.224678,5.268091,70.368075,0.001488
0.010000,0.009870,12.000010,0.009919,0.284405,5.972672,70.458073,0.002091
0.010000,0.013347,12.000019,0.013396,0.347677,6.327174,35.450213,0.002829
0.010000,0.017457,12.000032,0.017506,0.410991,6.331409,0.423454,0.003702
0.010000,0.022201,12.000052,0.022249,0.474355,6.336413,0.500449,0.004711
0.010000,0.027578,12.000081,0.027627,0.537777,6.342181,0.576793,0.005856
0.010000,0.033591,12.000120,0.033640,0.601264,6.348720,0.653862,0.007138
0.010000,0.040239,12.000172,0.040288,0.664824,6.356017,0.729707,0.008557
0.010000,0.047523,12.000240,0.047573,0.728465,6.364071,0.805385,0.010115
0.010000,0.055445,12.000327,0.055495,0.792194,6.372893,0.882228,0.011812
0.010000,0.064004,12.000436,0.064055,0.856018,6.382457,0.956412,0.013649
0.010000,0.073203,12.000570,0.073254,0.919946,6.392778,1.032088,0.015628
0.010000,0.083041,12.000735,0.083094,0.983985,6.403841,1.106264,0.017749
0.010000,0.093521,12.000932,0.093575,1.048141,6.415639,1.179885,0.020014
0.010000,0.104642,12.001168,0.104700,1.112423,6.428169,1.252925,0.022423
0.010000,0.116407,12.001447,0.116468,1.176837,6.441427,1.325823,0.024979
0.010000,0.128817,12.001774,0.128882,1.241391,6.455380,1.395291,0.027682
0.010000,0.141872,12.002154,0.141943,1.306091,6.470050,1.466982,0.030534
0.010000,0.155575,12.002593,0.155652,1.370945,6.485391,1.534127,0.033537
0.010000,0.169926,12.003097,0.170012,1.435959,6.501411,1.602046,0.036692
0.010000,0.184926,12.003673,0.185023,1.501140,6.518079,1.666812,0.040000
0.010000,0.200577,12.004327,0.200688,1.566494,6.535376,1.729648,0.043465
0.010000,0.216881,12.005065,0.217008,1.632027,6.553285,1.790902,0.047086
0.010000,0.233838,12.005896,0.233986,1.697744,6.571774,1.848901,0.050867
0.010000,0.251450,12.006828,0.251622,1.763652,6.590812,1.903773,0.054809
0.010000,0.269718,12.007868,0.269920,1.829756,6.610363,1.955111,0.058914
0.010000,0.288643,12.009024,0.288881,1.896060,6.630402,2.003940,0.063184
0.010000,0.308227,12.010307,0.308506,1.962569,6.650869,2.046630,0.067621
0.010000,0.328470,12.011725,0.328799,2.029286,6.671729,2.086002,0.072228
0.010000,0.349374,12.013287,0.349761,2.096215,6.692926,2.119796,0.077005
0.010000,0.370939,12.015005,0.371395,2.163359,6.714401,2.147476,0.081956
0.010000,0.393167,12.016888,0.393702,2.230720,6.736085,2.168371,0.087083
0.010000,0.416057,12.018948,0.416685,2.298299,6.757919,2.183424,0.092387
0.010000,0.439611,12.021195,0.440346,2.366097,6.779808,2.188918,0.097872
0.010000,0.463829,12.023642,0.464687,2.434114,6.801687,2.187872,0.103539
0.010000,0.488711,12.026301,0.489711,2.502349,6.823437,2.174973,0.109390
