dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000035,9.500000,0.000030,0.005970,0.597015,59.701493,6.283162
0.010000,0.000005,9.500000,0.000060,0.003025,-0.294558,-89.157314,0.000052
0.010000,0.000019,9.500000,0.000075,0.001484,-0.154065,14.049281,0.000221
0.010000,0.000046,9.500000,0.000102,0.002657,0.117342,27.140758,0.000522
0.010000,0.000088,9.500000,0.000144,0.004201,0.154411,3.706896,0.000991
0.010000,0.000148,9.500000,0.000203,0.005983,0.178167,2.375583,0.001648
0.010000,0.000226,9.500000,0.000282,0.007866,0.188267,1.010020,0.002491
0.010000,0.000325,9.500001,0.000381,0.009878,0.201240,1.297322,0.003520
0.010000,0.000446,9.500001,0.000501,0.012049,0.217076,1.583593,0.004733
0.010000,0.000590,9.500002,0.000645,0.014407,0.235763,1.868659,0.006130
0.010000,0.000760,9.500003,0.000815,0.016979,0.257285,2.152187,0.007708
0.010000,0.000958,9.500005,0.001013,0.019796,0.281624,2.433894,0.009466
0.010000,0.001186,9.500007,0.001242,0.022883,0.308758,2.713447,0.011403
0.010000,0.001449,9.500010,0.001505,0.026270,0.338664,2.990588,0.013517
0.010000,0.001749,9.500015,0.001804,0.029983,0.371312,3.264820,0.015805
0.010000,0.002089,9.500021,0.002145,0.034050,0.406671,3.535852,0.018264
0.010000,0.002474,9.500028,0.002530,0.038497,0.444703,3.803178,0.020893
0.010000,0.002908,9.500038,0.002963,0.043350,0.485367,4.066437,0.023689
0.010000,0.003394,9.500050,0.003450,0.048637,0.528617,4.325030,0.026648
0.010000,0.003937,9.500065,0.003994,0.054381,0.574403,4.578574,0.029768
0.010000,0.004543,9.500084,0.004600,0.060607,0.622667,4.826416,0.033046
0.010000,0.005216,9.500108,0.005273,0.067341,0.673348,5.068105,0.036477
0.010000,0.005962,9.500136,0.006019,0.074605,0.726379,5.303060,0.040059
0.010000,0.006785,9.500171,0.006843,0.082421,0.781685,5.530581,0.043789
0.010000,0.007692,9.500213,0.007751,0.090813,0.839187,5.750242,0.047661
0.010000,0.008689,9.500262,0.008749,0.099801,0.898800,5.961296,0.051672
0.010000,0.009782,9.500321,0.009844,0.109406,0.960432,6.163209,0.055818
0.010000,0.010976,9.500390,0.011040,0.119645,1.023986,6.355416,0.060095
0.010000,0.012279,9.500471,0.012345,0.130539,1.089359,6.537228,0.064499
0.010000,0.013697,9.500566,0.013766,0.142103,1.156440,6.708141,0.069024
0.010000,0.015236,9.500676,0.015310,0.154355,1.225116,6.867603,0.073667
0.010000,0.016905,9.500804,0.016983,0.167307,1.295266,7.015030,0.078422
