dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000035,6.500000,0.000030,0.005970,0.597015,59.701493,6.283162
0.010000,0.000161,6.500000,0.000225,0.019542,1.357181,76.016646,0.000052
0.010000,0.000683,6.500000,0.000748,0.052247,3.270547,191.336517,0.000221
0.010000,0.001612,6.500000,0.001676,0.092865,4.061762,79.121539,0.000522
0.010000,0.003062,6.500002,0.003127,0.145052,5.218724,115.696169,0.000991
0.010000,0.005092,6.500004,0.005157,0.202972,5.791982,57.325859,0.001648
0.010000,0.007700,6.500010,0.007765,0.260791,5.781881,-1.010121,0.002491
0.010000,0.010885,6.500019,0.010949,0.318480,5.768911,-1.297037,0.003520
0.010000,0.014645,6.500035,0.014709,0.376011,5.753069,-1.584124,0.004733
0.010000,0.018978,6.500058,0.019043,0.433355,5.734384,-1.868527,0.006130
0.010000,0.023883,6.500092,0.023948,0.490483,5.712864,-2.151988,0.007708
0.010000,0.029356,6.500139,0.029422,0.547368,5.688526,-2.433845,0.009466
0.010000,0.035396,6.500202,0.035461,0.603982,5.661385,-2.714072,0.011403
0.010000,0.041998,6.500284,0.042064,0.660297,5.631484,-2.990142,0.013517
0.010000,0.049160,6.500389,0.049227,0.716285,5.598833,-3.265094,0.015805
0.010000,0.056879,6.500521,0.056946,0.771920,5.563476,-3.535718,0.018264
0.010000,0.065149,6.500683,0.065218,0.827175,5.525440,-3.803564,0.020893
0.010000,0.073967,6.500880,0.074038,0.882022,5.484779,-4.066090,0.023689
0.010000,0.083328,6.501115,0.083403,0.936438,5.441525,-4.325380,0.026648
0.010000,0.093228,6.501395,0.093307,0.990395,5.395742,-4.578318,0.029768
0.010000,0.103662,6.501722,0.103745,1.043870,5.347474,-4.826798,0.033046
0.010000,0.114623,6.502104,0.114714,1.096838,5.296791,-5.068309,0.036477
0.010000,0.126108,6.502543,0.126206,1.149275,5.243764,-5.302654,0.040059
0.010000,0.138109,6.503047,0.138218,1.201160,5.188454,-5.530999,0.043789
0.010000,0.150620,6.503619,0.150743,1.252469,5.130954,-5.750050,0.047661
0.010000,0.163636,6.504266,0.163775,1.303183,5.071339,-5.961450,0.051672
0.010000,0.177149,6.504993,0.177307,1.353280,5.009705,-6.163482,0.055818
0.010000,0.191153,6.505806,0.191335,1.402741,4.946152,-6.355217,0.060095
0.010000,0.205641,6.506709,0.205850,1.451549,4.880779,-6.537305,0.064499
0.010000,0.220604,6.507710,0.220847,1.499686,4.813697,-6.708235,0.069024
0.010000,0.236036,6.508813,0.236319,1.547136,4.745022,-6.867543,0.073667
0.010000,0.251929,6.510024,0.252257,1.593885,4.674869,-7.015281,0.078422
0.010000,0.268275,6.511348,0.268657,1.639919,4.603368,-7.150041,0.083285
0.010000,0.285065,6.512792,0.285509,1.685225,4.530650,-7.271809,0.088251
0.010000,0.302292,6.514360,0.302807,1.729794,4.456838,-7.381217,0.093315
0.010000,0.319946,6.516058,0.320543,1.773615,4.382085,-7.475341,0.098473
0.010000,0.338020,6.517892,0.338710,1.816680,4.306514,-7.557116,0.103718
0.010000,0.356505,6.519866,0.357300,1.858982,4.230282,-7.623138,0.109047
0.010000,0.375392,6.521985,0.376305,1.900518,4.153519,-7.676328,0.114453
0.010000,0.394671,6.524255,0.395718,1.941282,4.076387,-7.713155,0.119933
