dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,8.000000,0.000030,0.005970,0.597015,59.701493,6.283162
0.010000,0.000083,8.000000,0.000149,0.017910,1.194030,59.701493,0.000052
0.010000,0.000351,8.000000,0.000418,0.035821,1.791045,59.701493,0.000221
0.010000,0.000829,8.000000,0.000896,0.059701,2.388060,59.701493,0.000522
0.010000,0.001575,8.000001,0.001642,0.089552,2.985075,59.701493,0.000991
0.010000,0.002620,8.000002,0.002687,0.119403,2.985075,-0.000000,0.001648
0.010000,0.003963,8.000005,0.004030,0.149254,2.985075,0.000000,0.002491
0.010000,0.005605,8.000010,0.005672,0.179104,2.985075,-0.000000,0.003520
0.010000,0.007545,8.000018,0.007612,0.208955,2.985075,-0.000000,0.004733
0.010000,0.009784,8.000030,0.009851,0.238806,2.985075,0.000000,0.006130
0.010000,0.012321,8.000048,0.012388,0.268657,2.985075,0.000000,0.007708
0.010000,0.015157,8.000072,0.015224,0.298507,2.985075,0.000000,0.009466
0.010000,0.018291,8.000105,0.018358,0.328358,2.985075,-0.000000,0.011403
0.010000,0.021724,8.000147,0.021791,0.358209,2.985075,0.000000,0.013517
0.010000,0.025455,8.000202,0.025522,0.388060,2.985075,-0.000000,0.015805
0.010000,0.029484,8.000271,0.029552,0.417910,2.985075,0.000000,0.018264
0.010000,0.033811,8.000356,0.033881,0.447761,2.985075,0.000000,0.020893
0.010000,0.038437,8.000459,0.038507,0.477612,2.985075,0.000000,0.023689
0.010000,0.043361,8.000583,0.043433,0.507463,2.985075,0.000000,0.026648
0.010000,0.048583,8.000730,0.048657,0.537313,2.985075,-0.000000,0.029768
0.010000,0.054102,8.000903,0.054179,0.567164,2.985075,0.000000,0.033046
0.010000,0.059920,8.001106,0.060000,0.597015,2.985075,-0.000000,0.036477
0.010000,0.066035,8.001340,0.066119,0.626866,2.985075,0.000000,0.040059
0.010000,0.072447,8.001609,0.072537,0.656716,2.985075,0.000000,0.043789
0.010000,0.079156,8.001916,0.079254,0.686567,2.985075,0.000000,0.047661
0.010000,0.086163,8.002264,0.086269,0.716418,2.985075,0.000000,0.051672
0.010000,0.093466,8.002657,0.093582,0.746269,2.985075,-0.000000,0.055818
0.010000,0.101065,8.003098,0.101194,0.776119,2.985075,0.000000,0.060095
0.010000,0.108960,8.003590,0.109104,0.805970,2.985075,-0.000000,0.064499
0.010000,0.117150,8.004138,0.117313,0.835821,2.985075,0.000000,0.069024
0.010000,0.125636,8.004745,0.125821,0.865672,2.985075,-0.000000,0.073667
0.010000,0.134417,8.005414,0.134627,0.895522,2.985075,0.000000,0.078422
0.010000,0.143491,8.006149,0.143731,0.925373,2.985075,0.000000,0.083285
0.010000,0.152860,8.006955,0.153134,0.955224,2.985075,0.000000,0.088251
0.010000,0.162521,8.007834,0.162836,0.985075,2.985075,0.000000,0.093315
0.010000,0.172475,8.008792,0.172836,1.014925,2.985075,0.000000,0.098473
0.010000,0.182721,8.009831,0.183134,1.044776,2.985075,0.000000,0.103718
0.010000,0.193258,8.010956,0.193731,1.074627,2.985075,-0.000000,0.109047
0.010000,0.204086,8.012171,0.204627,1.104478,2.985075,0.000000,0.114453
0.010000,0.215203,8.013480,0.215821,1.134328,2.985075,0.000000,0.119933
0.010000,0.226609,8.014887,0.227313,1.164179,2.985075,-0.000000,0.125479
0.010000,0.238303,8.016396,0.239104,1.194030,2.985075,0.000000,0.131089
0.010000,0.250285,8.018010,0.251194,1.223881,2.985075,-0.000000,0.136755
0.010000,0.262552,8.019734,0.263582,1.253731,2.985075,0.000000,0.142474
0.010000,0.275105,8.021572,0.276269,1.283582,2.985075,0.000000,0.148239
0.010000,0.287942,8.023527,0.289254,1.313433,2.985075,-0.000000,0.154047
0.010000,0.301062,8.025604,0.302537,1.343284,2.985075,0.000000,0.159891
0.010000,0.314465,8.027805,0.316119,1.373134,2.985075,-0.000000,0.165768
0.010000,0.328148,8.030136,0.330000,1.402985,2.985075,0.000000,0.171671
0.010000,0.342111,8.032600,0.344179,1.432836,2.985075,0.000000,0.177596
0.010000,0.356354,8.035200,0.358657,1.462687,2.985075,-0.000000,0.183539
0.010000,0.370873,8.037940,0.373433,1.492537,2.985075,0.000000,0.189494
0.010000,0.385670,8.040824,0.388507,1.522388,2.985075,-0.000000,0.195456
0.010000,0.400741,8.043855,0.403881,1.552239,2.985075,0.000000,0.201423
0.010000,0.416086,8.047036,0.419552,1.582090,2.985075,0.000000,0.207388
0.010000,0.431704,8.050371,0.435522,1.611940,2.985075,-0.000000,0.213347
0.010000,0.447594,8.053863,0.451791,1.641791,2.985075,0.000000,0.219297
0.010000,0.463753,8.057515,0.468358,1.671642,2.985075,-0.000000,0.225233
0.010000,0.480182,8.061331,0.485224,1.701493,2.985075,0.000000,0.231152
0.010000,0.496878,8.065313,0.502388,1.731343,2.985075,-0.000000,0.237048
0.010000,0.513840,8.069463,0.519851,1.761194,2.985075,0.000000,0.242919
0.010000,0.531067,8.073786,0.537612,1.791045,2.985075,-0.000000,0.248761
0.010000,0.548558,8.078284,0.555672,1.820896,2.985075,0.000000,0.254571
0.010000,0.566311,8.082958,0.574030,1.850746,2.985075,-0.000000,0.260344
0.010000,0.584325,8.087813,0.592687,1.880597,2.985075,0.000000,0.266078
0.010000,0.602599,8.092849,0.611642,1.910448,2.985075,-0.000000,0.271770
0.010000,0.621131,8.098070,0.630896,1.940299,2.985075,0.000000,0.277417
0.010000,0.639921,8.103478,0.650448,1.970149,2.985075,-0.000000,0.283015
0.010000,0.658966,8.109074,0.670299,2.000000,2.985075,0.000000,0.288562
0.010000,0.678266,8.114861,0.690448,2.029851,2.985075,0.000000,0.294055
0.010000,0.697820,8.120841,0.710896,2.059701,2.985075,0.000000,0.299492
0.010000,0.717626,8.127015,0.731642,2.089552,2.985075,0.000000,0.304871
0.010000,0.737684,8.133386,0.752687,2.119403,2.985075,-0.000000,0.310188
0.010000,0.757991,8.139954,0.774030,2.149254,2.985075,0.000000,0.315443
0.010000,0.778547,8.146722,0.795672,2.179104,2.985075,0.000000,0.320632
0.010000,0.799352,8.153691,0.817612,2.208955,2.985075,0.000000,0.325754
0.010000,0.820403,8.160861,0.839851,2.238806,2.985075,-0.000000,0.330808
0.010000,0.841700,8.168235,0.862388,2.268657,2.985075,0.000000,0.335790
0.010000,0.863241,8.175812,0.885224,2.298507,2.985075,-0.000000,0.340701
0.010000,0.885027,8.183596,0.908358,2.328358,2.985075,0.000000,0.345537
0.010000,0.907056,8.191585,0.931791,2.358209,2.985075,0.000000,0.350298
0.010000,0.929327,8.199782,0.955522,2.388060,2.985075,0.000000,0.354982
0.010000,0.951839,8.208186,0.979552,2.417910,2.985075,-0.000000,0.359587
0.010000,0.974592,8.216798,1.003881,2.447761,2.985075,0.000000,0.364114
0.010000,0.997585,8.225620,1.028507,2.477612,2.985075,0.000000,0.368559
0.010000,1.020816,8.234651,1.053433,2.507463,2.985075,0.000000,0.372923
0.010000,1.044287,8.243891,1.078657,2.537313,2.985075,-0.000000,0.377204
0.010000,1.067995,8.253342,1.104179,2.567164,2.985075,0.000000,0.381401
0.010000,1.091940,8.263003,1.130000,2.597015,2.985075,-0.000000,0.385514
0.010000,1.116123,8.272873,1.156119,2.626866,2.985075,0.000000,0.389540
0.010000,1.140542,8.282954,1.182537,2.656716,2.985075,0.000000,0.393480
0.010000,1.165197,8.293245,1.209254,2.686567,2.985075,0.000000,0.397332
0.010000,1.190087,8.303746,1.236269,2.716418,2.985075,-0.000000,0.401097
0.010000,1.215213,8.314456,1.263582,2.746269,2.985075,0.000000,0.404772
0.010000,1.240574,8.325376,1.291194,2.776119,2.985075,0.000000,0.408357
0.010000,1.266170,8.336504,1.319104,2.805970,2.985075,0.000000,0.411851
0.010000,1.292001,8.347841,1.347313,2.835821,2.985075,-0.000000,0.415254
0.010000,1.318066,8.359385,1.375821,2.865672,2.985075,0.000000,0.418566
