dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000002,5.250000,0.000030,0.005970,0.597015,59.701493,0.000001
0.010000,-0.000000,5.250000,0.000031,0.000147,-0.582337,-117.935161,0.000000
0.010000,0.000261,5.250000,0.000292,0.026114,2.596686,317.902255,6.283183
0.010000,0.000744,5.250000,0.000776,0.048348,2.223464,-37.322174,6.283179
0.010000,0.001500,5.250000,0.001531,0.075544,2.719584,49.611977,6.283173
0.010000,0.002558,5.250000,0.002589,0.105762,3.021751,30.216665,6.283165
0.010000,0.003917,5.250000,0.003949,0.135979,3.021736,-0.001431,6.283154
0.010000,0.005579,5.250000,0.005611,0.166196,3.021718,-0.001839,6.283140
0.010000,0.007543,5.250000,0.007575,0.196413,3.021695,-0.002249,6.283124
0.010000,0.009810,5.250000,0.009841,0.226630,3.021669,-0.002657,6.283106
0.010000,0.012378,5.249999,0.012410,0.256846,3.021638,-0.003066,6.283085
0.010000,0.015249,5.249999,0.015280,0.287062,3.021603,-0.003475,6.283062
0.010000,0.018422,5.249999,0.018453,0.317278,3.021565,-0.003883,6.283036
0.010000,0.021897,5.249998,0.021928,0.347493,3.021522,-0.004294,6.283008
0.010000,0.025674,5.249997,0.025705,0.377708,3.021475,-0.004701,6.282978
0.010000,0.029753,5.249996,0.029784,0.407922,3.021423,-0.005112,6.282945
0.010000,0.034134,5.249995,0.034166,0.438136,3.021368,-0.005519,6.282910
0.010000,0.038818,5.249994,0.038849,0.468349,3.021309,-0.005929,6.282872
0.010000,0.043803,5.249992,0.043835,0.498561,3.021246,-0.006338,6.282832
0.010000,0.049091,5.249990,0.049122,0.528773,3.021178,-0.006747,6.282789
0.010000,0.054681,5.249988,0.054712,0.558984,3.021107,-0.007155,6.282744
0.010000,0.060573,5.249985,0.060604,0.589194,3.021031,-0.007567,6.282697
0.010000,0.066767,5.249982,0.066798,0.619404,3.020951,-0.007974,6.282647
0.010000,0.073263,5.249978,0.073294,0.649613,3.020867,-0.008383,6.282595
0.010000,0.080061,5.249974,0.080093,0.679820,3.020779,-0.008793,6.282540
0.010000,0.087161,5.249969,0.087193,0.710027,3.020687,-0.009202,6.282483
0.010000,0.094564,5.249964,0.094595,0.740233,3.020591,-0.009611,6.282424
0.010000,0.102268,5.249958,0.102300,0.770438,3.020491,-0.010022,6.282363
0.010000,0.110275,5.249951,0.110306,0.800642,3.020387,-0.010429,6.282299
0.010000,0.118583,5.249943,0.118614,0.830845,3.020278,-0.010841,6.282232
0.010000,0.127193,5.249935,0.127225,0.861046,3.020166,-0.011249,6.282164
0.010000,0.136106,5.249925,0.136137,0.891247,3.020049,-0.011658,6.282093
0.010000,0.145320,5.249915,0.145352,0.921446,3.019929,-0.012068,6.282019
0.010000,0.154837,5.249904,0.154868,0.951644,3.019804,-0.012478,6.281944
0.010000,0.164655,5.249891,0.164687,0.981841,3.019675,-0.012888,6.281866
0.010000,0.174776,5.249877,0.174807,1.012036,3.019542,-0.013297,6.281785
0.010000,0.185198,5.249862,0.185229,1.042230,3.019405,-0.013708,6.281703
0.010000,0.195922,5.249846,0.195954,1.072423,3.019264,-0.014116,6.281618
0.010000,0.206948,5.249828,0.206980,1.102614,3.019118,-0.014528,6.281531
0.010000,0.218276,5.249809,0.218308,1.132804,3.018969,-0.014937,6.281442
0.010000,0.229906,5.249788,0.229938,1.162992,3.018816,-0.015347,6.281350
0.010000,0.241838,5.249766,0.241870,1.193179,3.018658,-0.015757,6.281256
0.010000,0.254072,5.249741,0.254103,1.223364,3.018496,-0.016169,6.281160
0.010000,0.266607,5.249715,0.266639,1.253547,3.018331,-0.016578,6.281062
0.010000,0.279444,5.249687,0.279476,1.283729,3.018161,-0.016989,6.280961
0.010000,0.292583,5.249658,0.292615,1.313908,3.017987,-0.017398,6.280859
0.010000,0.306024,5.249626,0.306056,1.344087,3.017809,-0.017809,6.280754
0.010000,0.319767,5.249591,0.319798,1.374263,3.017626,-0.018220,6.280647
0.010000,0.333811,5.249555,0.333843,1.404437,3.017440,-0.018631,6.280538
0.010000,0.348157,5.249516,0.348189,1.434610,3.017250,-0.019041,6.280426
0.010000,0.362805,5.249475,0.362837,1.464780,3.017055,-0.019451,6.280313
0.010000,0.377754,5.249431,0.377786,1.494949,3.016857,-0.019864,6.280197
0.010000,0.393005,5.249385,0.393037,1.525115,3.016654,-0.020273,6.280080
0.010000,0.408558,5.249336,0.408590,1.555280,3.016447,-0.020685,6.279960
0.010000,0.424412,5.249283,0.424445,1.585442,3.016236,-0.021096,6.279838
0.010000,0.440568,5.249228,0.440601,1.615602,3.016021,-0.021506,6.279714
0.010000,0.457026,5.249170,0.457058,1.645760,3.015802,-0.021918,6.279588
0.010000,0.473785,5.249109,0.473817,1.675916,3.015579,-0.022329,6.279460
0.010000,0.490845,5.249044,0.490878,1.706070,3.015351,-0.022739,6.279330
0.010000,0.508207,5.248976,0.508240,1.736221,3.015120,-0.023152,6.279198
0.010000,0.525871,5.248904,0.525904,1.766370,3.014884,-0.023563,6.279064
0.010000,0.543836,5.248829,0.543869,1.796516,3.014644,-0.023974,6.278928
0.010000,0.562102,5.248750,0.562136,1.826660,3.014400,-0.024386,6.278790
0.010000,0.580670,5.248667,0.580704,1.856802,3.014152,-0.024798,6.278650
0.010000,0.599540,5.248580,0.599573,1.886941,3.013900,-0.025209,6.278508
0.010000,0.618710,5.248489,0.618744,1.917077,3.013644,-0.025622,6.278365
0.010000,0.638182,5.248394,0.638216,1.947211,3.013384,-0.026032,6.278219
0.010000,0.657955,5.248294,0.657990,1.977342,3.013119,-0.026445,6.278072
0.010000,0.678030,5.248190,0.678064,2.007471,3.012851,-0.026856,6.277922
0.010000,0.698405,5.248081,0.698440,2.037597,3.012578,-0.027268,6.277771
0.010000,0.719082,5.247968,0.719117,2.067720,3.012301,-0.027681,6.277618
0.010000,0.740060,5.247849,0.740096,2.097840,3.012020,-0.028092,6.277464
0.010000,0.761339,5.247726,0.761375,2.127957,3.011735,-0.028505,6.277307
0.010000,0.782920,5.247598,0.782956,2.158072,3.011446,-0.028917,6.277149
0.010000,0.804801,5.247464,0.804838,2.188183,3.011153,-0.029329,6.276989
0.010000,0.826984,5.247324,0.827021,2.218292,3.010855,-0.029741,6.276827
0.010000,0.849467,5.247180,0.849505,2.248397,3.010554,-0.030154,6.276664
0.010000,0.872252,5.247029,0.872290,2.278500,3.010248,-0.030566,6.276498
0.010000,0.895337,5.246873,0.895376,2.308599,3.009938,-0.030979,6.276332
0.010000,0.918723,5.246711,0.918763,2.338695,3.009625,-0.031392,6.276163
0.010000,0.942411,5.246542,0.942451,2.368788,3.009306,-0.031803,6.275993
0.010000,0.966399,5.246368,0.966439,2.398878,3.008984,-0.032217,6.275822
0.010000,0.990688,5.246187,0.990729,2.428965,3.008658,-0.032629,6.275648
0.010000,1.015278,5.245999,1.015320,2.459048,3.008328,-0.033042,6.275474
0.010000,1.040168,5.245805,1.040211,2.489128,3.007993,-0.033455,6.275297
0.010000,1.065359,5.245604,1.065403,2.519205,3.007654,-0.033867,6.275120
0.010000,1.090851,5.245396,1.090896,2.549278,3.007312,-0.034280,6.274940
0.010000,1.116644,5.245181,1.116689,2.579347,3.006965,-0.034692,6.274760
0.010000,1.142737,5.244959,1.142783,2.609413,3.006614,-0.035106,6.274577
0.010000,1.169131,5.244729,1.169178,2.639476,3.006258,-0.035519,6.274394
0.010000,1.195825,5.244492,1.195873,2.669535,3.005899,-0.035931,6.274209
0.010000,1.222820,5.244247,1.222869,2.699590,3.005536,-0.036344,6.274023
0.010000,1.250115,5.243995,1.250166,2.729642,3.005168,-0.036758,6.273835
0.010000,1.277711,5.243734,1.277763,2.759690,3.004796,-0.037171,6.273646
0.010000,1.305607,5.243465,1.305660,2.789734,3.004421,-0.037583,6.273456
0.010000,1.333803,5.243188,1.333858,2.819775,3.004041,-0.037996,6.273264
0.010000,1.362300,5.242903,1.362356,2.849811,3.003656,-0.038410,6.273071
0.010000,1.391097,5.242609,1.391154,2.879844,3.003268,-0.038823,6.272877
0.010000,1.420194,5.242306,1.420253,2.909873,3.002876,-0.039235,6.272682
0.010000,1.449591,5.241994,1.449652,2.939897,3.002479,-0.039649,6.272486
0.010000,1.479289,5.241674,1.479351,2.969918,3.002079,-0.040062,6.272288
0.010000,1.509286,5.241344,1.509350,2.999935,3.001674,-0.040474,6.272090
0.010000,1.539584,5.241004,1.539650,3.029948,3.001265,-0.040888,6.271890
0.010000,1.570182,5.240656,1.570249,3.059956,3.000852,-0.041300,6.271689
0.010000,1.601079,5.240297,1.601149,3.089960,3.000435,-0.041714,6.271488
0.010000,1.632277,5.239929,1.632349,3.119961,3.000014,-0.042127,6.271285
0.010000,1.663774,5.239551,1.663848,3.149956,2.999588,-0.042540,6.271081
0.010000,1.695571,5.239163,1.695648,3.179948,2.999159,-0.042953,6.270877
0.010000,1.727668,5.238765,1.727747,3.209935,2.998725,-0.043366,6.270671
0.010000,1.760064,5.238356,1.760146,3.239918,2.998287,-0.043778,6.270465
0.010000,1.792761,5.237937,1.792845,3.269897,2.997845,-0.044192,6.270257
0.010000,1.825757,5.237507,1.825844,3.299871,2.997399,-0.044604,6.270049
0.010000,1.859052,5.237066,1.859142,3.329840,2.996949,-0.045017,6.269841
0.010000,1.892647,5.236614,1.892740,3.359805,2.996495,-0.045430,6.269631
0.010000,1.926542,5.236151,1.926638,3.389765,2.996037,-0.045843,6.269420
0.010000,1.960735,5.235676,1.960835,3.419721,2.995574,-0.046255,6.269209
0.010000,1.995229,5.235191,1.995332,3.449672,2.995107,-0.046669,6.268998
0.010000,2.030021,5.234693,2.030128,3.479619,2.994636,-0.047081,6.268785
0.010000,2.065113,5.234184,2.065224,3.509560,2.994162,-0.047494,6.268572
0.010000,2.100504,5.233663,2.100619,3.539497,2.993682,-0.047906,6.268359
0.010000,2.136195,5.233130,2.136313,3.569429,2.993199,-0.048319,6.268145
0.010000,2.172184,5.232585,2.172307,3.599356,2.992712,-0.048731,6.267930
0.010000,2.208473,5.232027,2.208599,3.629278,2.992221,-0.049143,6.267715
0.010000,2.245060,5.231457,2.245191,3.659196,2.991725,-0.049556,6.267499
0.010000,2.281947,5.230875,2.282082,3.689108,2.991225,-0.049968,6.267283
0.010000,2.319132,5.230279,2.319273,3.719015,2.990722,-0.050380,6.267067
0.010000,2.356616,5.229671,2.356762,3.748917,2.990214,-0.050793,6.266850
0.010000,2.394399,5.229050,2.394550,3.778814,2.989702,-0.051205,6.266633
0.010000,2.432481,5.228415,2.432637,3.808706,2.989185,-0.051617,6.266416
0.010000,2.470862,5.227767,2.471023,3.838593,2.988665,-0.052029,6.266199
0.010000,2.509541,5.227106,2.509708,3.868474,2.988141,-0.052441,6.265981
0.010000,2.548518,5.226431,2.548691,3.898350,2.987612,-0.052852,6.265763
0.010000,2.587795,5.225743,2.587973,3.928221,2.987079,-0.053265,6.265545
0.010000,2.627369,5.225040,2.627554,3.958086,2.986543,-0.053676,6.265327
0.010000,2.667212,5.224324,2.667404,3.984937,2.685034,-30.150891,6.265109
0.010000,2.707263,5.223596,2.707461,4.005763,2.082644,-60.238978,6.264892
0.010000,2.747462,5.222856,2.747667,4.020567,1.480398,-60.224642,6.264675
0.010000,2.787748,5.222106,2.787960,4.029350,0.878296,-60.210140,6.264459
0.010000,2.828062,5.221346,2.828281,4.032114,0.276341,-60.195528,6.264245
0.010000,2.868374,5.220579,2.868600,4.031868,-0.024591,-30.093212,6.264033
0.010000,2.908683,5.219802,2.908916,4.031622,-0.024592,-0.000058,6.263822
0.010000,2.948989,5.219017,2.949230,4.031376,-0.024592,-0.000056,6.263613
0.010000,2.989292,5.218224,2.989541,4.031130,-0.024593,-0.000054,6.263405
0.010000,3.029593,5.217423,3.029850,4.030884,-0.024593,-0.000051,6.263199
0.010000,3.069891,5.216613,3.070157,4.030638,-0.024594,-0.000049,6.262995
0.010000,3.110187,5.215795,3.110461,4.030392,-0.024594,-0.000047,6.262793
0.010000,3.150480,5.214970,3.150762,4.030146,-0.024595,-0.000045,6.262592
0.010000,3.190770,5.214136,3.191061,4.029900,-0.024595,-0.000043,6.262392
0.010000,3.231058,5.213294,3.231358,4.029654,-0.024596,-0.000041,6.262195
0.010000,3.271343,5.212444,3.271652,4.029408,-0.024596,-0.000040,6.261998
0.010000,3.311626,5.211587,3.311943,4.029162,-0.024596,-0.000038,6.261804
0.010000,3.351906,5.210721,3.352232,4.028916,-0.024597,-0.000036,6.261611
0.010000,3.392183,5.209849,3.392519,4.028670,-0.024597,-0.000034,6.261420
0.010000,3.432457,5.208968,3.432803,4.028424,-0.024597,-0.000032,6.261231
0.010000,3.472729,5.208080,3.473085,4.028178,-0.024598,-0.000031,6.261043
0.010000,3.512999,5.207184,3.513364,4.027932,-0.024598,-0.000029,6.260857
0.010000,3.553266,5.206281,3.553641,4.027686,-0.024598,-0.000027,6.260672
0.010000,3.593530,5.205371,3.593916,4.027441,-0.024599,-0.000026,6.260489
0.010000,3.633791,5.204453,3.634188,4.027195,-0.024599,-0.000024,6.260308
0.010000,3.674050,5.203529,3.674457,4.026949,-0.024599,-0.000023,6.260128
0.010000,3.714306,5.202597,3.714724,4.026703,-0.024599,-0.000021,6.259950
0.010000,3.754560,5.201658,3.754989,4.026457,-0.024599,-0.000020,6.259774
0.010000,3.794811,5.200712,3.795251,4.026211,-0.024600,-0.000018,6.259599
0.010000,3.835059,5.199759,3.835511,4.025965,-0.024600,-0.000017,6.259426
0.010000,3.875305,5.198799,3.875768,4.025719,-0.024600,-0.000016,6.259254
0.010000,3.915548,5.197832,3.916022,4.025473,-0.024600,-0.000014,6.259085
0.010000,3.955789,5.196859,3.956275,4.025227,-0.024600,-0.000013,6.258916
0.010000,3.996026,5.195879,3.996525,4.024981,-0.024600,-0.000012,6.258750
0.010000,4.036262,5.194892,4.036772,4.024735,-0.024600,-0.000011,6.258585
0.010000,4.076494,5.193899,4.077017,4.024489,-0.024601,-0.000009,6.258422
0.010000,4.116724,5.192899,4.117259,4.024243,-0.024601,-0.000008,6.258260
0.010000,4.156952,5.191893,4.157499,4.023997,-0.024601,-0.000007,6.258100
0.010000,4.197176,5.190880,4.197737,4.023751,-0.024601,-0.000006,6.257942
0.010000,4.237399,5.189862,4.237972,4.023505,-0.024601,-0.000005,6.257785
0.010000,4.277618,5.188837,4.278204,4.023258,-0.024601,-0.000004,6.257630
0.010000,4.317835,5.187806,4.318434,4.023012,-0.024601,-0.000003,6.257477
0.010000,4.358049,5.186769,4.358662,4.022766,-0.024601,-0.000002,6.257325
0.010000,4.398261,5.185725,4.398887,4.022520,-0.024601,-0.000001,6.257175
0.010000,4.438470,5.184676,4.439110,4.022274,-0.024601,-0.000000,6.257026
0.010000,4.478677,5.183621,4.479330,4.022028,-0.024601,0.000001,6.256879
0.010000,4.518880,5.182561,4.519548,4.021782,-0.024601,0.000001,6.256734
0.010000,4.559082,5.181494,4.559763,4.021536,-0.024601,0.000002,6.256591
0.010000,4.599280,5.180422,4.599976,4.021290,-0.024601,0.000003,6.256449
0.010000,4.639476,5.179344,4.640187,4.021044,-0.024601,0.000004,6.256308
0.010000,4.679670,5.178261,4.680395,4.020798,-0.024601,0.000005,6.256170
0.010000,4.719860,5.177172,4.720600,4.020552,-0.024601,0.000005,6.256033
0.010000,4.760048,5.176078,4.760803,4.020306,-0.024601,0.000006,6.255897
0.010000,4.800234,5.174978,4.801004,4.020060,-0.024601,0.000007,6.255764
0.010000,4.840417,5.173873,4.841202,4.019814,-0.024600,0.000007,6.255631
0.010000,4.880597,5.172763,4.881398,4.019568,-0.024600,0.000008,6.255501
0.010000,4.920775,5.171648,4.921591,4.019322,-0.024600,0.000008,6.255372
0.010000,4.960950,5.170528,4.961782,4.019076,-0.024600,0.000009,6.255245
0.010000,5.001123,5.169403,5.001970,4.018830,-0.024600,0.000010,6.255119
0.010000,5.041293,5.168272,5.042156,4.018584,-0.024600,0.000010,6.254996
0.010000,5.081460,5.167137,5.082339,4.018338,-0.024600,0.000010,6.254873
0.010000,5.121625,5.165998,5.122520,4.018092,-0.024600,0.000011,6.254753
0.010000,5.161787,5.164853,5.162699,4.017846,-0.024600,0.000011,6.254634
0.010000,5.201947,5.163704,5.202875,4.017600,-0.024600,0.000012,6.254516
0.010000,5.242104,5.162550,5.243048,4.017354,-0.024599,0.000012,6.254401
0.010000,5.282258,5.161391,5.283219,4.017108,-0.024599,0.000013,6.254287
0.010000,5.322410,5.160228,5.323388,4.016862,-0.024599,0.000013,6.254174
0.010000,5.362559,5.159061,5.363554,4.016616,-0.024599,0.000013,6.254063
0.010000,5.402706,5.157889,5.403718,4.016370,-0.024599,0.000013,6.253954
0.010000,5.442850,5.156713,5.443879,4.016124,-0.024599,0.000014,6.253847
0.010000,5.482991,5.155533,5.484038,4.015878,-0.024599,0.000014,6.253741
0.010000,5.523130,5.154349,5.524194,4.015632,-0.024599,0.000014,6.253637
0.010000,5.563266,5.153161,5.564348,4.015386,-0.024598,0.000014,6.253534
0.010000,5.603400,5.151968,5.604499,4.015140,-0.024598,0.000015,6.253433
0.010000,5.643531,5.150772,5.644648,4.014895,-0.024598,0.000015,6.253334
0.010000,5.683659,5.149572,5.684795,4.014649,-0.024598,0.000015,6.253236
0.010000,5.723785,5.148368,5.724939,4.014403,-0.024598,0.000015,6.253140
0.010000,5.763909,5.147160,5.765081,4.014157,-0.024598,0.000015,6.253046
0.010000,5.804030,5.145948,5.805220,4.013911,-0.024597,0.000015,6.252953
0.010000,5.844148,5.144733,5.845356,4.013665,-0.024597,0.000015,6.252862
0.010000,5.884264,5.143515,5.885490,4.013419,-0.024597,0.000015,6.252773
0.010000,5.924377,5.142293,5.925622,4.013173,-0.024597,0.000015,6.252685
0.010000,5.964487,5.141067,5.965751,4.012927,-0.024597,0.000015,6.252599
0.010000,6.004595,5.139838,6.005878,4.012681,-0.024597,0.000015,6.252514
0.010000,6.044701,5.138606,6.046003,4.012435,-0.024597,0.000015,6.252431
0.010000,6.084804,5.137371,6.086124,4.012189,-0.024596,0.000015,6.252350
0.010000,6.124904,5.136132,6.126244,4.011943,-0.024596,0.000015,6.252270
0.010000,6.165002,5.134891,6.166361,4.011697,-0.024596,0.000015,6.252192
0.010000,6.205097,5.133646,6.206475,4.011451,-0.024596,0.000015,6.252116
0.010000,6.245189,5.132398,6.246587,4.011205,-0.024596,0.000015,6.252041
0.010000,6.285280,5.131148,6.286697,4.010959,-0.024596,0.000015,6.251968
0.010000,6.325367,5.129895,6.326804,4.010713,-0.024595,0.000015,6.251897
0.010000,6.365452,5.128639,6.366909,4.010467,-0.024595,0.000015,6.251827
0.010000,6.405535,5.127380,6.407011,4.010221,-0.024595,0.000015,6.251759
0.010000,6.445614,5.126119,6.447111,4.009975,-0.024595,0.000015,6.251692
0.010000,6.485692,5.124855,6.487208,4.009729,-0.024595,0.000014,6.251627
0.010000,6.525767,5.123588,6.527303,4.009483,-0.024595,0.000014,6.251564
0.010000,6.565839,5.122320,6.567395,4.009237,-0.024595,0.000014,6.251503
0.010000,6.605909,5.121049,6.607485,4.008991,-0.024594,0.000014,6.251443
0.010000,6.645976,5.119775,6.647573,4.008745,-0.024594,0.000014,6.251384
0.010000,6.686041,5.118499,6.687658,4.008500,-0.024594,0.000013,6.251328
0.010000,6.726103,5.117222,6.727740,4.008254,-0.024594,0.000013,6.251273
0.010000,6.766162,5.115942,6.767820,4.008008,-0.024594,0.000013,6.251219
0.010000,6.806219,5.114660,6.807898,4.007762,-0.024594,0.000012,6.251168
0.010000,6.846274,5.113376,6.847973,4.007516,-0.024594,0.000012,6.251118
0.010000,6.886326,5.112090,6.888046,4.007270,-0.024594,0.000012,6.251069
0.010000,6.926376,5.110802,6.928116,4.007024,-0.024593,0.000012,6.251022
0.010000,6.966423,5.109513,6.968184,4.006778,-0.024593,0.000011,6.250977
0.010000,7.006467,5.108222,7.008249,4.006532,-0.024593,0.000011,6.250933
0.010000,7.046509,5.106929,7.048312,4.006286,-0.024593,0.000011,6.250892
0.010000,7.086549,5.105635,7.088372,4.006040,-0.024593,0.000010,6.250851
0.010000,7.126586,5.104339,7.128430,4.005794,-0.024593,0.000010,6.250813
0.010000,7.166620,5.103042,7.168486,4.005548,-0.024593,0.000010,6.250776
0.010000,7.206652,5.101743,7.208539,4.005302,-0.024593,0.000009,6.250740
0.010000,7.246682,5.100443,7.248589,4.005056,-0.024593,0.000009,6.250707
0.010000,7.286709,5.099142,7.288637,4.004811,-0.024593,0.000009,6.250675
0.010000,7.326733,5.097840,7.328683,4.004565,-0.024593,0.000008,6.250644
0.010000,7.366755,5.096537,7.368726,4.004319,-0.024592,0.000008,6.250615
0.010000,7.406774,5.095232,7.408767,4.004073,-0.024592,0.000007,6.250588
0.010000,7.446791,5.093927,7.448805,4.003827,-0.024592,0.000007,6.250563
0.010000,7.486806,5.092620,7.488841,4.003581,-0.024592,0.000007,6.250539
0.010000,7.526818,5.091313,7.528874,4.003335,-0.024592,0.000006,6.250517
0.010000,7.566827,5.090005,7.568905,4.003089,-0.024592,0.000006,6.250496
0.010000,7.606834,5.088697,7.608934,4.002843,-0.024592,0.000005,6.250477
0.010000,7.646839,5.087387,7.648960,4.002597,-0.024592,0.000005,6.250460
0.010000,7.686841,5.086078,7.688983,4.002351,-0.024592,0.000005,6.250444
0.010000,7.726841,5.084767,7.729004,4.002105,-0.024592,0.000004,6.250430
0.010000,7.766838,5.083456,7.769023,4.001859,-0.024592,0.000004,6.250418
0.010000,7.806832,5.082145,7.809039,4.001614,-0.024592,0.000003,6.250407
0.010000,7.846825,5.080834,7.849053,4.001368,-0.024592,0.000003,6.250398
0.010000,7.886814,5.079522,7.889064,4.001122,-0.024592,0.000002,6.250390
0.010000,7.926802,5.078210,7.929073,4.000876,-0.024592,0.000002,6.250384
0.010000,7.966786,5.076898,7.969079,4.000630,-0.024592,0.000002,6.250380
0.010000,8.006769,5.075585,8.009083,4.000384,-0.024592,0.000001,6.250378
0.010000,8.046749,5.074273,8.049084,4.000138,-0.024592,0.000001,6.250377
0.010000,8.086726,5.072961,8.089083,3.999892,-0.024592,0.000000,6.250377
0.010000,8.126701,5.071649,8.129080,3.999646,-0.024592,-0.000000,6.250380
