dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000002,2.250000,0.000030,0.005970,0.597015,59.701493,0.000001
0.010000,0.000000,2.250000,0.000031,0.000147,-0.582337,-117.935161,0.000000
0.010000,0.000255,2.250000,0.000286,0.025453,2.530635,311.297205,6.283183
0.010000,0.000726,2.250000,0.000758,0.047174,2.172097,-35.853840,6.283179
0.010000,0.001464,2.250000,0.001495,0.073710,2.653550,48.145347,6.283173
0.010000,0.002495,2.250000,0.002527,0.103194,2.948399,29.484828,6.283165
0.010000,0.003822,2.250000,0.003853,0.132678,2.948413,0.001431,6.283154
0.010000,0.005444,2.250000,0.005475,0.162162,2.948431,0.001840,6.283140
0.010000,0.007360,2.250000,0.007391,0.191647,2.948454,0.002248,6.283124
0.010000,0.009572,2.250000,0.009603,0.221131,2.948480,0.002658,6.283106
0.010000,0.012078,2.249999,0.012109,0.250616,2.948511,0.003066,6.283085
0.010000,0.014879,2.249999,0.014910,0.280102,2.948546,0.003475,6.283062
0.010000,0.017975,2.249999,0.018006,0.309588,2.948585,0.003885,6.283036
0.010000,0.021365,2.249998,0.021397,0.339074,2.948628,0.004292,6.283008
0.010000,0.025051,2.249997,0.025082,0.368561,2.948675,0.004703,6.282978
0.010000,0.029032,2.249997,0.029063,0.398048,2.948726,0.005110,6.282945
0.010000,0.033307,2.249995,0.033338,0.427536,2.948781,0.005520,6.282910
0.010000,0.037877,2.249994,0.037908,0.457024,2.948840,0.005929,6.282872
0.010000,0.042742,2.249992,0.042773,0.486513,2.948904,0.006338,6.282832
0.010000,0.047902,2.249990,0.047933,0.516003,2.948971,0.006747,6.282789
0.010000,0.053357,2.249988,0.053388,0.545493,2.949043,0.007157,6.282744
0.010000,0.059107,2.249986,0.059138,0.574985,2.949118,0.007563,6.282697
0.010000,0.065152,2.249982,0.065183,0.604477,2.949198,0.007975,6.282647
0.010000,0.071492,2.249979,0.071523,0.633969,2.949282,0.008384,6.282595
0.010000,0.078126,2.249975,0.078157,0.663463,2.949370,0.008792,6.282540
0.010000,0.085056,2.249970,0.085087,0.692958,2.949462,0.009202,6.282483
0.010000,0.092280,2.249965,0.092311,0.722453,2.949558,0.009612,6.282424
0.010000,0.099800,2.249959,0.099831,0.751950,2.949658,0.010020,6.282363
0.010000,0.107614,2.249952,0.107645,0.781448,2.949762,0.010431,6.282299
0.010000,0.115724,2.249945,0.115755,0.810946,2.949871,0.010839,6.282232
0.010000,0.124128,2.249936,0.124159,0.840446,2.949983,0.011250,6.282164
0.010000,0.132828,2.249927,0.132859,0.869947,2.950100,0.011659,6.282093
0.010000,0.141822,2.249917,0.141853,0.899449,2.950221,0.012068,6.282019
0.010000,0.151112,2.249906,0.151143,0.928953,2.950345,0.012478,6.281944
0.010000,0.160696,2.249894,0.160727,0.958458,2.950474,0.012887,6.281866
0.010000,0.170576,2.249880,0.170607,0.987964,2.950607,0.013298,6.281785
0.010000,0.180751,2.249866,0.180782,1.017471,2.950744,0.013707,6.281703
0.010000,0.191220,2.249850,0.191252,1.046980,2.950886,0.014118,6.281618
0.010000,0.201985,2.249832,0.202016,1.076490,2.951031,0.014526,6.281531
0.010000,0.213045,2.249813,0.213076,1.106002,2.951180,0.014937,6.281442
0.010000,0.224400,2.249793,0.224432,1.135515,2.951334,0.015347,6.281350
0.010000,0.236051,2.249771,0.236082,1.165030,2.951491,0.015758,6.281256
0.010000,0.247996,2.249748,0.248027,1.194547,2.951653,0.016167,6.281160
0.010000,0.260237,2.249722,0.260268,1.224065,2.951819,0.016578,6.281062
0.010000,0.272772,2.249695,0.272804,1.253585,2.951989,0.016988,6.280961
0.010000,0.285604,2.249666,0.285635,1.283106,2.952163,0.017399,6.280859
0.010000,0.298730,2.249634,0.298761,1.312630,2.952341,0.017809,6.280754
0.010000,0.312151,2.249601,0.312183,1.342155,2.952523,0.018220,6.280647
0.010000,0.325868,2.249566,0.325900,1.371682,2.952709,0.018630,6.280538
0.010000,0.339880,2.249528,0.339912,1.401211,2.952900,0.019041,6.280426
0.010000,0.354187,2.249487,0.354219,1.430742,2.953094,0.019453,6.280313
0.010000,0.368790,2.249445,0.368822,1.460275,2.953293,0.019862,6.280197
0.010000,0.383688,2.249399,0.383720,1.489810,2.953495,0.020274,6.280080
0.010000,0.398882,2.249351,0.398913,1.519347,2.953702,0.020684,6.279960
0.010000,0.414370,2.249300,0.414402,1.548886,2.953913,0.021095,6.279838
0.010000,0.430155,2.249246,0.430187,1.578427,2.954128,0.021507,6.279714
0.010000,0.446234,2.249190,0.446266,1.607971,2.954347,0.021917,6.279588
0.010000,0.462609,2.249130,0.462641,1.637517,2.954571,0.022328,6.279460
0.010000,0.479280,2.249066,0.479312,1.667065,2.954798,0.022741,6.279330
0.010000,0.496246,2.249000,0.496278,1.696615,2.955030,0.023151,6.279198
0.010000,0.513507,2.248930,0.513540,1.726168,2.955265,0.023563,6.279064
0.010000,0.531064,2.248856,0.531097,1.755723,2.955505,0.023974,6.278928
0.010000,0.548917,2.248779,0.548950,1.785280,2.955749,0.024386,6.278790
0.010000,0.567065,2.248698,0.567098,1.814840,2.955997,0.024797,6.278650
0.010000,0.585509,2.248613,0.585542,1.844403,2.956249,0.025210,6.278508
0.010000,0.604249,2.248524,0.604282,1.873968,2.956505,0.025620,6.278365
0.010000,0.623284,2.248431,0.623317,1.903535,2.956765,0.026033,6.278219
0.010000,0.642614,2.248334,0.642649,1.933106,2.957030,0.026444,6.278072
0.010000,0.662241,2.248232,0.662275,1.962679,2.957298,0.026857,6.277922
0.010000,0.682163,2.248125,0.682198,1.992254,2.957571,0.027268,6.277771
0.010000,0.702381,2.248014,0.702416,2.021833,2.957848,0.027680,6.277618
0.010000,0.722895,2.247899,0.722930,2.051414,2.958129,0.028093,6.277464
0.010000,0.743705,2.247778,0.743740,2.080998,2.958414,0.028505,6.277307
0.010000,0.764810,2.247652,0.764846,2.110585,2.958703,0.028917,6.277149
0.010000,0.786212,2.247521,0.786248,2.140175,2.958996,0.029329,6.276989
0.010000,0.807909,2.247385,0.807946,2.169768,2.959294,0.029742,6.276827
0.010000,0.829902,2.247243,0.829939,2.199364,2.959595,0.030154,6.276664
0.010000,0.852191,2.247096,0.852229,2.228963,2.959901,0.030566,6.276498
0.010000,0.874776,2.246943,0.874814,2.258565,2.960211,0.030979,6.276332
0.010000,0.897657,2.246785,0.897696,2.288170,2.960525,0.031391,6.276163
0.010000,0.920835,2.246620,0.920874,2.317779,2.960843,0.031805,6.275993
0.010000,0.944308,2.246449,0.944348,2.347390,2.961165,0.032216,6.275822
0.010000,0.968077,2.246272,0.968118,2.377005,2.961491,0.032629,6.275648
0.010000,0.992143,2.246088,0.992184,2.406624,2.961822,0.033042,6.275474
0.010000,1.016505,2.245898,1.016547,2.436245,2.962156,0.033455,6.275297
0.010000,1.041162,2.245702,1.041205,2.465870,2.962495,0.033867,6.275120
0.010000,1.066117,2.245498,1.066160,2.495498,2.962838,0.034280,6.274940
0.010000,1.091367,2.245288,1.091412,2.525130,2.963185,0.034694,6.274760
0.010000,1.116914,2.245070,1.116959,2.554766,2.963536,0.035105,6.274577
0.010000,1.142757,2.244845,1.142803,2.584405,2.963891,0.035519,6.274394
0.010000,1.168896,2.244613,1.168944,2.614047,2.964250,0.035932,6.274209
0.010000,1.195332,2.244373,1.195381,2.643693,2.964614,0.036345,6.274023
0.010000,1.222064,2.244126,1.222114,2.673343,2.964981,0.036757,6.273835
0.010000,1.249093,2.243871,1.249144,2.702997,2.965353,0.037170,6.273646
0.010000,1.276418,2.243607,1.276471,2.732654,2.965729,0.037583,6.273456
0.010000,1.304040,2.243336,1.304094,2.762315,2.966109,0.037997,6.273264
0.010000,1.331959,2.243056,1.332014,2.791980,2.966493,0.038409,6.273071
0.010000,1.360174,2.242768,1.360230,2.821649,2.966881,0.038822,6.272877
0.010000,1.388685,2.242471,1.388743,2.851321,2.967273,0.039236,6.272682
0.010000,1.417494,2.242166,1.417553,2.880998,2.967670,0.039649,6.272486
0.010000,1.446599,2.241852,1.446660,2.910679,2.968070,0.040061,6.272288
0.010000,1.476001,2.241528,1.476064,2.940364,2.968475,0.040475,6.272090
0.010000,1.505699,2.241196,1.505764,2.970052,2.968884,0.040887,6.271890
0.010000,1.535695,2.240854,1.535762,2.999745,2.969297,0.041301,6.271689
0.010000,1.565987,2.240503,1.566056,3.029443,2.969714,0.041713,6.271488
0.010000,1.596577,2.240142,1.596648,3.059144,2.970135,0.042127,6.271285
