dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,3.750000,0.000030,0.005970,0.597015,59.701493,0.000001
0.010000,0.000000,3.750000,0.000149,0.017910,1.194030,59.701493,0.000000
0.010000,0.000258,3.750000,0.000418,0.035821,1.791045,59.701493,6.283183
0.010000,0.000735,3.750000,0.000896,0.059701,2.388060,59.701493,6.283179
0.010000,0.001482,3.750000,0.001642,0.089552,2.985075,59.701493,6.283173
0.010000,0.002526,3.750000,0.002687,0.119403,2.985075,-0.000000,6.283165
0.010000,0.003870,3.750000,0.004030,0.149254,2.985075,0.000000,6.283154
0.010000,0.005512,3.750000,0.005672,0.179104,2.985075,-0.000000,6.283140
0.010000,0.007452,3.750000,0.007612,0.208955,2.985075,-0.000000,6.283124
0.010000,0.009691,3.750000,0.009851,0.238806,2.985075,0.000000,6.283106
0.010000,0.012228,3.749999,0.012388,0.268657,2.985075,0.000000,6.283085
0.010000,0.015064,3.749999,0.015224,0.298507,2.985075,0.000000,6.283062
0.010000,0.018198,3.749999,0.018358,0.328358,2.985075,-0.000000,6.283036
0.010000,0.021631,3.749998,0.021791,0.358209,2.985075,0.000000,6.283008
0.010000,0.025362,3.749997,0.025522,0.388060,2.985075,-0.000000,6.282978
0.010000,0.029392,3.749996,0.029552,0.417910,2.985075,0.000000,6.282945
0.010000,0.033721,3.749995,0.033881,0.447761,2.985075,0.000000,6.282910
0.010000,0.038347,3.749994,0.038507,0.477612,2.985075,0.000000,6.282872
0.010000,0.043273,3.749992,0.043433,0.507463,2.985075,0.000000,6.282832
0.010000,0.048497,3.749990,0.048657,0.537313,2.985075,-0.000000,6.282789
0.010000,0.054019,3.749988,0.054179,0.567164,2.985075,0.000000,6.282744
0.010000,0.059840,3.749985,0.060000,0.597015,2.985075,-0.000000,6.282697
0.010000,0.065959,3.749982,0.066119,0.626866,2.985075,0.000000,6.282647
0.010000,0.072377,3.749979,0.072537,0.656716,2.985075,0.000000,6.282595
0.010000,0.079094,3.749974,0.079254,0.686567,2.985075,0.000000,6.282540
0.010000,0.086109,3.749970,0.086269,0.716418,2.985075,0.000000,6.282483
0.010000,0.093422,3.749964,0.093582,0.746269,2.985075,-0.000000,6.282424
0.010000,0.101034,3.749958,0.101194,0.776119,2.985075,0.000000,6.282363
0.010000,0.108944,3.749952,0.109104,0.805970,2.985075,-0.000000,6.282299
0.010000,0.117153,3.749944,0.117313,0.835821,2.985075,0.000000,6.282232
0.010000,0.125661,3.749936,0.125821,0.865672,2.985075,-0.000000,6.282164
0.010000,0.134467,3.749926,0.134627,0.895522,2.985075,0.000000,6.282093
0.010000,0.143571,3.749916,0.143731,0.925373,2.985075,0.000000,6.282019
0.010000,0.152974,3.749905,0.153134,0.955224,2.985075,0.000000,6.281944
0.010000,0.162676,3.749892,0.162836,0.985075,2.985075,0.000000,6.281866
0.010000,0.172676,3.749879,0.172836,1.014925,2.985075,0.000000,6.281785
0.010000,0.182974,3.749864,0.183134,1.044776,2.985075,0.000000,6.281703
0.010000,0.193571,3.749848,0.193731,1.074627,2.985075,-0.000000,6.281618
0.010000,0.204467,3.749830,0.204627,1.104478,2.985075,0.000000,6.281531
0.010000,0.215661,3.749811,0.215821,1.134328,2.985075,0.000000,6.281442
0.010000,0.227153,3.749791,0.227313,1.164179,2.985075,-0.000000,6.281350
0.010000,0.238944,3.749768,0.239104,1.194030,2.985075,0.000000,6.281256
0.010000,0.251034,3.749744,0.251194,1.223881,2.985075,-0.000000,6.281160
0.010000,0.263422,3.749719,0.263582,1.253731,2.985075,0.000000,6.281062
0.010000,0.276108,3.749691,0.276269,1.283582,2.985075,0.000000,6.280961
0.010000,0.289093,3.749662,0.289254,1.313433,2.985075,-0.000000,6.280859
0.010000,0.302377,3.749630,0.302537,1.343284,2.985075,0.000000,6.280754
