dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000002,5.000000,0.000030,0.005970,0.597015,59.701493,6.283184
0.010000,0.000000,5.000000,0.000032,0.000238,-0.573187,-117.020204,6.283185
0.010000,0.000262,5.000000,0.000295,0.026238,2.599999,317.318593,0.000004
0.010000,0.000730,5.000000,0.000763,0.046808,2.056989,-54.301015,0.000010
0.010000,0.001462,5.000000,0.001494,0.073138,2.632971,57.598196,0.000020
0.010000,0.002486,5.000000,0.002518,0.102393,2.925539,29.256836,0.000034
0.010000,0.003802,5.000000,0.003834,0.131649,2.925564,0.002462,0.000052
0.010000,0.005411,5.000000,0.005444,0.160905,2.925595,0.003165,0.000073
0.010000,0.007313,5.000000,0.007345,0.190161,2.925634,0.003869,0.000099
0.010000,0.009507,5.000001,0.009539,0.219418,2.925680,0.004572,0.000129
0.010000,0.011994,5.000001,0.012026,0.248675,2.925732,0.005276,0.000163
0.010000,0.014773,5.000001,0.014805,0.277933,2.925792,0.005980,0.000200
0.010000,0.017845,5.000002,0.017877,0.307192,2.925859,0.006683,0.000242
0.010000,0.021210,5.000003,0.021242,0.336451,2.925933,0.007387,0.000287
0.010000,0.024867,5.000004,0.024899,0.365711,2.926014,0.008092,0.000337
0.010000,0.028816,5.000006,0.028849,0.394972,2.926102,0.008796,0.000390
0.010000,0.033059,5.000007,0.033091,0.424234,2.926197,0.009498,0.000448
0.010000,0.037594,5.000010,0.037626,0.453497,2.926299,0.010204,0.000509
0.010000,0.042421,5.000012,0.042454,0.482761,2.926408,0.010908,0.000574
0.010000,0.047542,5.000015,0.047574,0.512027,2.926524,0.011612,0.000643
0.010000,0.052955,5.000019,0.052987,0.541293,2.926647,0.012319,0.000716
0.010000,0.058660,5.000023,0.058692,0.570561,2.926777,0.013020,0.000793
0.010000,0.064658,5.000028,0.064691,0.599830,2.926915,0.013727,0.000874
0.010000,0.070949,5.000034,0.070982,0.629101,2.927059,0.014432,0.000958
0.010000,0.077533,5.000041,0.077565,0.658373,2.927210,0.015139,0.001047
0.010000,0.084410,5.000048,0.084442,0.687646,2.927369,0.015841,0.001139
0.010000,0.091579,5.000057,0.091611,0.716922,2.927534,0.016548,0.001235
0.010000,0.099041,5.000066,0.099073,0.746199,2.927707,0.017255,0.001335
0.010000,0.106796,5.000077,0.106828,0.775478,2.927886,0.017961,0.001439
0.010000,0.114843,5.000089,0.114875,0.804758,2.928073,0.018664,0.001547
0.010000,0.123184,5.000102,0.123216,0.834041,2.928267,0.019374,0.001658
0.010000,0.131817,5.000117,0.131849,0.863326,2.928468,0.020081,0.001773
0.010000,0.140743,5.000134,0.140775,0.892612,2.928675,0.020784,0.001892
0.010000,0.149962,5.000152,0.149994,0.921901,2.928890,0.021495,0.002015
0.010000,0.159474,5.000171,0.159506,0.951192,2.929112,0.022201,0.002141
0.010000,0.169279,5.000193,0.169311,0.980486,2.929342,0.022907,0.002271
