dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000002,2.000000,0.000030,0.005970,0.597015,59.701493,6.283184
0.010000,-0.000000,2.000000,0.000032,0.000238,-0.573187,-117.020204,6.283185
0.010000,0.000273,2.000000,0.000305,0.027310,2.707221,328.040832,0.000004
0.010000,0.000760,2.000000,0.000792,0.048714,2.140374,-56.684672,0.000010
0.010000,0.001521,2.000000,0.001554,0.076116,2.740164,59.978923,0.000020
0.010000,0.002587,2.000000,0.002619,0.106562,3.044610,30.444655,0.000034
0.010000,0.003957,2.000000,0.003989,0.137008,3.044586,-0.002462,0.000052
0.010000,0.005632,2.000000,0.005664,0.167453,3.044554,-0.003165,0.000073
0.010000,0.007611,2.000000,0.007643,0.197899,3.044515,-0.003869,0.000099
0.010000,0.009894,2.000001,0.009926,0.228343,3.044470,-0.004572,0.000129
0.010000,0.012482,2.000001,0.012514,0.258787,3.044417,-0.005276,0.000163
0.010000,0.015374,2.000002,0.015406,0.289231,3.044357,-0.005980,0.000200
0.010000,0.018571,2.000002,0.018603,0.319674,3.044290,-0.006684,0.000242
0.010000,0.022072,2.000003,0.022104,0.350116,3.044216,-0.007387,0.000287
0.010000,0.025878,2.000004,0.025910,0.380557,3.044135,-0.008091,0.000337
0.010000,0.029988,2.000006,0.030020,0.410998,3.044047,-0.008794,0.000390
0.010000,0.034402,2.000008,0.034434,0.441437,3.043952,-0.009501,0.000448
0.010000,0.039121,2.000010,0.039153,0.471876,3.043850,-0.010204,0.000509
0.010000,0.044144,2.000013,0.044176,0.502313,3.043741,-0.010908,0.000574
0.010000,0.049471,2.000016,0.049504,0.532750,3.043625,-0.011613,0.000643
0.010000,0.055103,2.000020,0.055136,0.563185,3.043502,-0.012315,0.000716
0.010000,0.061039,2.000024,0.061072,0.593618,3.043372,-0.013024,0.000793
0.010000,0.067280,2.000029,0.067312,0.624051,3.043235,-0.013727,0.000874
0.010000,0.073825,2.000035,0.073857,0.654482,3.043090,-0.014432,0.000958
0.010000,0.080674,2.000042,0.080706,0.684911,3.042939,-0.015135,0.001047
0.010000,0.087827,2.000050,0.087860,0.715339,3.042780,-0.015844,0.001139
0.010000,0.095285,2.000059,0.095317,0.745765,3.042615,-0.016549,0.001235
