dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,3.500000,0.000030,0.005970,0.597015,59.701493,6.283184
0.010000,0.000000,3.500000,0.000149,0.017910,1.194030,59.701493,6.283185
0.010000,0.000268,3.500000,0.000418,0.035821,1.791045,59.701493,0.000004
0.010000,0.000745,3.500000,0.000896,0.059701,2.388060,59.701493,0.000010
0.010000,0.001492,3.500000,0.001642,0.089552,2.985075,59.701493,0.000020
0.010000,0.002536,3.500000,0.002687,0.119403,2.985075,-0.000000,0.000034
0.010000,0.003880,3.500000,0.004030,0.149254,2.985075,0.000000,0.000052
0.010000,0.005521,3.500000,0.005672,0.179104,2.985075,-0.000000,0.000073
0.010000,0.007462,3.500000,0.007612,0.208955,2.985075,-0.000000,0.000099
0.010000,0.009701,3.500001,0.009851,0.238806,2.985075,0.000000,0.000129
0.010000,0.012238,3.500001,0.012388,0.268657,2.985075,0.000000,0.000163
0.010000,0.015074,3.500002,0.015224,0.298507,2.985075,0.000000,0.000200
0.010000,0.018208,3.500002,0.018358,0.328358,2.985075,-0.000000,0.000242
0.010000,0.021641,3.500003,0.021791,0.358209,2.985075,0.000000,0.000287
0.010000,0.025372,3.500004,0.025522,0.388060,2.985075,-0.000000,0.000337
0.010000,0.029402,3.500006,0.029552,0.417910,2.985075,0.000000,0.000390
0.010000,0.033730,3.500008,0.033881,0.447761,2.985075,0.000000,0.000448
0.010000,0.038357,3.500010,0.038507,0.477612,2.985075,0.000000,0.000509
0.010000,0.043283,3.500012,0.043433,0.507463,2.985075,0.000000,0.000574
0.010000,0.048507,3.500016,0.048657,0.537313,2.985075,-0.000000,0.000643
0.010000,0.054029,3.500019,0.054179,0.567164,2.985075,0.000000,0.000716
0.010000,0.059850,3.500024,0.060000,0.597015,2.985075,-0.000000,0.000793
0.010000,0.065969,3.500029,0.066119,0.626866,2.985075,0.000000,0.000874
0.010000,0.072387,3.500035,0.072537,0.656716,2.985075,0.000000,0.000958
0.010000,0.079104,3.500041,0.079254,0.686567,2.985075,0.000000,0.001047
0.010000,0.086118,3.500049,0.086269,0.716418,2.985075,0.000000,0.001139
0.010000,0.093432,3.500058,0.093582,0.746269,2.985075,-0.000000,0.001235
0.010000,0.101044,3.500068,0.101194,0.776119,2.985075,0.000000,0.001335
0.010000,0.108954,3.500079,0.109104,0.805970,2.985075,-0.000000,0.001439
0.010000,0.117163,3.500091,0.117313,0.835821,2.985075,0.000000,0.001547
0.010000,0.125671,3.500104,0.125821,0.865672,2.985075,-0.000000,0.001658
0.010000,0.134477,3.500120,0.134627,0.895522,2.985075,0.000000,0.001773
0.010000,0.143581,3.500136,0.143731,0.925373,2.985075,0.000000,0.001892
0.010000,0.152984,3.500155,0.153134,0.955224,2.985075,0.000000,0.002015
0.010000,0.162686,3.500175,0.162836,0.985075,2.985075,0.000000,0.002141
0.010000,0.172686,3.500197,0.172836,1.014925,2.985075,0.000000,0.002271
0.010000,0.182984,3.500221,0.183134,1.044776,2.985075,0.000000,0.002405
0.010000,0.193581,3.500247,0.193731,1.074627,2.985075,-0.000000,0.002542
0.010000,0.204476,3.500276,0.204627,1.104478,2.985075,0.000000,0.002684
0.010000,0.215670,3.500306,0.215821,1.134328,2.985075,0.000000,0.002828
0.010000,0.227163,3.500340,0.227313,1.164179,2.985075,-0.000000,0.002977
0.010000,0.238954,3.500376,0.239104,1.194030,2.985075,0.000000,0.003129
0.010000,0.251043,3.500415,0.251194,1.223881,2.985075,-0.000000,0.003285
0.010000,0.263431,3.500456,0.263582,1.253731,2.985075,0.000000,0.003444
0.010000,0.276118,3.500501,0.276269,1.283582,2.985075,0.000000,0.003606
0.010000,0.289103,3.500549,0.289254,1.313433,2.985075,-0.000000,0.003773
0.010000,0.302386,3.500600,0.302537,1.343284,2.985075,0.000000,0.003943
0.010000,0.315968,3.500655,0.316119,1.373134,2.985075,-0.000000,0.004116
0.010000,0.329849,3.500713,0.330000,1.402985,2.985075,0.000000,0.004293
0.010000,0.344028,3.500775,0.344179,1.432836,2.985075,0.000000,0.004473
0.010000,0.358505,3.500841,0.358657,1.462687,2.985075,-0.000000,0.004657
0.010000,0.373281,3.500912,0.373433,1.492537,2.985075,0.000000,0.004844
0.010000,0.388356,3.500986,0.388507,1.522388,2.985075,-0.000000,0.005034
0.010000,0.403729,3.501065,0.403881,1.552239,2.985075,0.000000,0.005228
0.010000,0.419400,3.501148,0.419552,1.582090,2.985075,0.000000,0.005425
0.010000,0.435370,3.501237,0.435522,1.611940,2.985075,-0.000000,0.005626
0.010000,0.451638,3.501330,0.451791,1.641791,2.985075,0.000000,0.005829
0.010000,0.468205,3.501428,0.468358,1.671642,2.985075,-0.000000,0.006036
0.010000,0.485071,3.501532,0.485224,1.701493,2.985075,0.000000,0.006247
0.010000,0.502234,3.501641,0.502388,1.731343,2.985075,-0.000000,0.006460
0.010000,0.519697,3.501756,0.519851,1.761194,2.985075,0.000000,0.006677
0.010000,0.537457,3.501876,0.537612,1.791045,2.985075,-0.000000,0.006897
0.010000,0.555517,3.502003,0.555672,1.820896,2.985075,0.000000,0.007119
0.010000,0.573874,3.502135,0.574030,1.850746,2.985075,-0.000000,0.007345
0.010000,0.592531,3.502275,0.592687,1.880597,2.985075,0.000000,0.007575
0.010000,0.611485,3.502420,0.611642,1.910448,2.985075,-0.000000,0.007807
0.010000,0.630738,3.502573,0.630896,1.940299,2.985075,0.000000,0.008042
0.010000,0.650290,3.502732,0.650448,1.970149,2.985075,-0.000000,0.008280
0.010000,0.670140,3.502899,0.670299,2.000000,2.985075,0.000000,0.008521
0.010000,0.690289,3.503073,0.690448,2.029851,2.985075,0.000000,0.008765
0.010000,0.710735,3.503255,0.710896,2.059701,2.985075,0.000000,0.009012
0.010000,0.731481,3.503445,0.731642,2.089552,2.985075,0.000000,0.009261
0.010000,0.752525,3.503642,0.752687,2.119403,2.985075,-0.000000,0.009514
0.010000,0.773867,3.503848,0.774030,2.149254,2.985075,0.000000,0.009769
0.010000,0.795508,3.504062,0.795672,2.179104,2.985075,0.000000,0.010027
0.010000,0.817447,3.504285,0.817612,2.208955,2.985075,0.000000,0.010288
0.010000,0.839685,3.504517,0.839851,2.238806,2.985075,-0.000000,0.010551
0.010000,0.862221,3.504758,0.862388,2.268657,2.985075,0.000000,0.010817
0.010000,0.885055,3.505008,0.885224,2.298507,2.985075,-0.000000,0.011086
0.010000,0.908188,3.505267,0.908358,2.328358,2.985075,0.000000,0.011357
0.010000,0.931619,3.505537,0.931791,2.358209,2.985075,0.000000,0.011631
0.010000,0.955349,3.505816,0.955522,2.388060,2.985075,0.000000,0.011908
0.010000,0.979377,3.506105,0.979552,2.417910,2.985075,-0.000000,0.012186
0.010000,1.003703,3.506405,1.003881,2.447761,2.985075,0.000000,0.012468
0.010000,1.028328,3.506716,1.028507,2.477612,2.985075,0.000000,0.012751
0.010000,1.053252,3.507037,1.053433,2.507463,2.985075,0.000000,0.013037
0.010000,1.078473,3.507370,1.078657,2.537313,2.985075,-0.000000,0.013325
0.010000,1.103993,3.507713,1.104179,2.567164,2.985075,0.000000,0.013616
0.010000,1.129812,3.508069,1.130000,2.597015,2.985075,-0.000000,0.013908
0.010000,1.155929,3.508436,1.156119,2.626866,2.985075,0.000000,0.014203
0.010000,1.182344,3.508815,1.182537,2.656716,2.985075,0.000000,0.014500
0.010000,1.209057,3.509206,1.209254,2.686567,2.985075,0.000000,0.014800
0.010000,1.236069,3.509610,1.236269,2.716418,2.985075,-0.000000,0.015101
0.010000,1.263380,3.510027,1.263582,2.746269,2.985075,0.000000,0.015404
0.010000,1.290988,3.510456,1.291194,2.776119,2.985075,0.000000,0.015709
0.010000,1.318895,3.510899,1.319104,2.805970,2.985075,0.000000,0.016016
0.010000,1.347100,3.511355,1.347313,2.835821,2.985075,-0.000000,0.016325
0.010000,1.375604,3.511825,1.375821,2.865672,2.985075,0.000000,0.016636
0.010000,1.404406,3.512309,1.404627,2.895522,2.985075,-0.000000,0.016949
0.010000,1.433506,3.512807,1.433731,2.925373,2.985075,0.000000,0.017263
0.010000,1.462905,3.513319,1.463134,2.955224,2.985075,0.000000,0.017579
0.010000,1.492601,3.513846,1.492836,2.985075,2.985075,0.000000,0.017897
0.010000,1.522597,3.514387,1.522836,3.014925,2.985075,-0.000000,0.018217
0.010000,1.552890,3.514944,1.553134,3.044776,2.985075,0.000000,0.018537
0.010000,1.583482,3.515516,1.583731,3.074627,2.985075,0.000000,0.018860
0.010000,1.614372,3.516104,1.614627,3.104478,2.985075,0.000000,0.019184
0.010000,1.645560,3.516707,1.645821,3.134328,2.985075,-0.000000,0.019509
0.010000,1.677046,3.517327,1.677313,3.164179,2.985075,0.000000,0.019836
0.010000,1.708831,3.517963,1.709104,3.194030,2.985075,-0.000000,0.020164
0.010000,1.740914,3.518615,1.741194,3.223881,2.985075,0.000000,0.020493
0.010000,1.773295,3.519284,1.773582,3.253731,2.985075,0.000000,0.020824
0.010000,1.805974,3.519970,1.806269,3.283582,2.985075,-0.000000,0.021155
