dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.039997,5.360000,0.000029,0.005714,0.571429,57.142857,0.000002
0.010000,0.039999,5.360000,0.000031,0.000233,-0.548161,-111.958924,0.000001
0.010000,0.040209,5.360000,0.000241,0.021026,2.079283,262.744395,6.283183
0.010000,0.040676,5.360000,0.000708,0.046645,2.561944,48.266064,6.283176
0.010000,0.041404,5.360000,0.001436,0.072883,2.623770,6.182594,6.283167
0.010000,0.042454,5.360000,0.002486,0.104951,3.206818,58.304839,6.283153
0.010000,0.043882,5.360000,0.003914,0.142849,3.789856,58.303801,6.283134
0.010000,0.045719,5.360000,0.005751,0.183663,4.081352,29.149592,6.283109
0.010000,0.047964,5.360000,0.007996,0.224476,4.081308,-0.004432,6.283079
0.010000,0.050617,5.359999,0.010649,0.265289,4.081254,-0.005412,6.283044
0.010000,0.053678,5.359999,0.013710,0.306100,4.081190,-0.006409,6.283003
0.010000,0.057147,5.359998,0.017179,0.346912,4.081116,-0.007385,6.282957
0.010000,0.061024,5.359997,0.021056,0.387722,4.081032,-0.008372,6.282906
0.010000,0.065309,5.359996,0.025341,0.428531,4.080938,-0.009362,6.282849
0.010000,0.070003,5.359994,0.030035,0.469340,4.080835,-0.010343,6.282787
0.010000,0.075104,5.359992,0.035136,0.510147,4.080722,-0.011330,6.282719
0.010000,0.080614,5.359989,0.040646,0.550953,4.080599,-0.012321,6.282646
0.010000,0.086531,5.359986,0.046563,0.591758,4.080466,-0.013301,6.282568
0.010000,0.092857,5.359981,0.052889,0.632561,4.080323,-0.014291,6.282484
0.010000,0.099591,5.359976,0.059623,0.673362,4.080170,-0.015282,6.282395
0.010000,0.106732,5.359970,0.066764,0.714162,4.080007,-0.016266,6.282301
0.010000,0.114282,5.359963,0.074314,0.754961,4.079835,-0.017254,6.282201
0.010000,0.122239,5.359955,0.082271,0.795757,4.079652,-0.018243,6.282096
0.010000,0.130605,5.359946,0.090637,0.836552,4.079460,-0.019232,6.281985
0.010000,0.139378,5.359935,0.099410,0.877345,4.079258,-0.020221,6.281870
0.010000,0.148560,5.359922,0.108592,0.918135,4.079046,-0.021211,6.281749
0.010000,0.158149,5.359908,0.118181,0.958923,4.078824,-0.022201,6.281623
0.010000,0.168146,5.359891,0.128178,0.999709,4.078592,-0.023187,6.281491
0.010000,0.178551,5.359873,0.138583,1.040493,4.078350,-0.024186,6.281355
0.010000,0.189364,5.359852,0.149396,1.081274,4.078098,-0.025176,6.281213
0.010000,0.200584,5.359829,0.160616,1.122052,4.077836,-0.026160,6.281066
0.010000,0.212212,5.359804,0.172244,1.162828,4.077565,-0.027164,6.280914
0.010000,0.224248,5.359776,0.184280,1.203600,4.077283,-0.028148,6.280756
0.010000,0.236692,5.359744,0.196724,1.244370,4.076992,-0.029149,6.280594
0.010000,0.249543,5.359710,0.209576,1.285137,4.076690,-0.030135,6.280426
0.010000,0.262802,5.359672,0.222835,1.325901,4.076379,-0.031140,6.280254
