dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.040003,2.360000,0.000029,0.005714,0.571429,57.142857,0.000002
0.010000,0.040001,2.360000,0.000031,0.000233,-0.548161,-111.958924,0.000001
0.010000,0.040201,2.360000,0.000231,0.019978,1.974580,252.274034,6.283183
0.010000,0.040649,2.360000,0.000679,0.044784,2.480514,50.593481,6.283176
0.010000,0.041348,2.360000,0.001378,0.069974,2.519087,3.857271,6.283167
0.010000,0.042356,2.360000,0.002386,0.100763,3.078896,55.980892,6.283153
0.010000,0.043728,2.360000,0.003757,0.137151,3.638715,55.981902,6.283134
0.010000,0.045491,2.360000,0.005521,0.176337,3.918648,27.993267,6.283109
0.010000,0.047646,2.360000,0.007676,0.215524,3.918692,0.004432,6.283079
0.010000,0.050193,2.359999,0.010223,0.254711,3.918746,0.005422,6.283044
0.010000,0.053132,2.359999,0.013162,0.293900,3.918810,0.006396,6.283003
0.010000,0.056463,2.359998,0.016493,0.333088,3.918884,0.007391,6.282957
0.010000,0.060186,2.359997,0.020216,0.372278,3.918968,0.008374,6.282906
0.010000,0.064301,2.359996,0.024330,0.411469,3.919062,0.009357,6.282849
0.010000,0.068807,2.359994,0.028837,0.450660,3.919165,0.010347,6.282787
0.010000,0.073706,2.359992,0.033736,0.489853,3.919278,0.011332,6.282719
0.010000,0.078996,2.359989,0.039026,0.529047,3.919401,0.012314,6.282646
0.010000,0.084679,2.359986,0.044709,0.568242,3.919535,0.013308,6.282568
0.010000,0.090753,2.359982,0.050783,0.607439,3.919677,0.014292,6.282484
0.010000,0.097219,2.359977,0.057249,0.646638,3.919830,0.015276,6.282395
0.010000,0.104078,2.359972,0.064108,0.685838,3.919993,0.016267,6.282301
0.010000,0.111328,2.359965,0.071358,0.725039,3.920165,0.017255,6.282201
0.010000,0.118971,2.359957,0.079000,0.764243,3.920348,0.018243,6.282096
0.010000,0.127005,2.359948,0.087035,0.803448,3.920540,0.019232,6.281985
0.010000,0.135432,2.359937,0.095462,0.842655,3.920742,0.020221,6.281870
0.010000,0.144250,2.359925,0.104280,0.881865,3.920954,0.021210,6.281749
0.010000,0.153461,2.359911,0.113491,0.921077,3.921176,0.022200,6.281623
0.010000,0.163064,2.359896,0.123094,0.960291,3.921408,0.023195,6.281491
0.010000,0.173059,2.359878,0.133089,0.999507,3.921650,0.024179,6.281355
0.010000,0.183446,2.359858,0.143476,1.038726,3.921902,0.025172,6.281213
0.010000,0.194226,2.359836,0.154256,1.077948,3.922164,0.026171,6.281066
0.010000,0.205397,2.359812,0.165427,1.117172,3.922435,0.027153,6.280914
0.010000,0.216961,2.359784,0.176991,1.156400,3.922717,0.028155,6.280756
0.010000,0.228918,2.359754,0.188948,1.195630,3.923008,0.029142,6.280594
0.010000,0.241266,2.359721,0.201296,1.234863,3.923310,0.030145,6.280426
0.010000,0.254007,2.359685,0.214037,1.274099,3.923621,0.031129,6.280254
0.010000,0.267140,2.359645,0.227171,1.313338,3.923942,0.032132,6.280076
0.010000,0.280666,2.359602,0.240696,1.352581,3.924273,0.033129,6.279893
0.010000,0.294584,2.359555,0.254615,1.391827,3.924615,0.034119,6.279705
0.010000,0.308895,2.359504,0.268926,1.431077,3.924966,0.035121,6.279512
0.010000,0.323598,2.359448,0.283629,1.470330,3.925327,0.036119,6.279315
0.010000,0.338694,2.359388,0.298725,1.509587,3.925698,0.037117,6.279112
0.010000,0.354182,2.359324,0.314213,1.548848,3.926079,0.038116,6.278904
0.010000,0.370063,2.359254,0.330094,1.588113,3.926471,0.039116,6.278692
0.010000,0.386337,2.359179,0.346368,1.627381,3.926872,0.040117,6.278474
0.010000,0.403003,2.359099,0.363035,1.666654,3.927283,0.041118,6.278252
0.010000,0.420062,2.359013,0.380094,1.705931,3.927704,0.042123,6.278025
0.010000,0.437514,2.358921,0.397546,1.745213,3.928135,0.043122,6.277793
0.010000,0.455359,2.358822,0.415391,1.784498,3.928577,0.044124,6.277556
0.010000,0.473597,2.358717,0.433629,1.823789,3.929028,0.045135,6.277315
0.010000,0.492227,2.358606,0.452260,1.863084,3.929489,0.046133,6.277069
0.010000,0.511251,2.358487,0.471284,1.902383,3.929961,0.047142,6.276818
0.010000,0.530667,2.358361,0.490700,1.941688,3.930442,0.048147,6.276562
0.010000,0.550477,2.358227,0.510510,1.980997,3.930934,0.049156,6.276302
0.010000,0.570679,2.358085,0.530714,2.020311,3.931435,0.050159,6.276038
0.010000,0.591275,2.357935,0.551310,2.059631,3.931947,0.051174,6.275769
0.010000,0.612264,2.357777,0.572299,2.098955,3.932469,0.052180,6.275495
0.010000,0.633646,2.357609,0.593682,2.138285,3.933001,0.053188,6.275217
0.010000,0.655422,2.357433,0.615459,2.177621,3.933543,0.054200,6.274934
0.010000,0.677590,2.357247,0.637628,2.216962,3.934095,0.055211,6.274647
0.010000,0.700153,2.357051,0.660191,2.256308,3.934657,0.056223,6.274356
0.010000,0.723108,2.356845,0.683148,2.295661,3.935229,0.057236,6.274061
0.010000,0.746458,2.356628,0.706498,2.335019,3.935812,0.058249,6.273761
0.010000,0.770200,2.356401,0.730242,2.374383,3.936405,0.059263,6.273457
0.010000,0.794337,2.356162,0.754379,2.413753,3.937007,0.060277,6.273148
0.010000,0.818867,2.355912,0.778911,2.453129,3.937620,0.061295,6.272836
0.010000,0.843790,2.355650,0.803836,2.492512,3.938243,0.062308,6.272519
0.010000,0.869108,2.355376,0.829155,2.531900,3.938877,0.063323,6.272199
0.010000,0.894819,2.355089,0.854868,2.571295,3.939520,0.064346,6.271874
0.010000,0.920924,2.354790,0.880975,2.610697,3.940174,0.065357,6.271545
0.010000,0.947424,2.354477,0.907476,2.650106,3.940837,0.066380,6.271213
